GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREIFUE,G16PREOWRI,G16USSRMUR,G16USSDMET,G16USSLMIL,G16USSICRA,G16USSIGIA,G16USSISTO,G16USSOWRI,G16HALRYOU,G16HALDLIN,G16HALLMCD,G16HALISOU,G16HALOWRI
0201337-700,02,013,37-700,25,64,5,3,1,1,4,55,29,10,3,1,5,0,50,45,4,3,0
0201337-712,02,013,37-712,28,1,1,1,2,0,1,12,4,10,3,1,3,0,19,4,8,1,0
0201337-720,02,013,37-720,125,43,5,5,4,1,0,143,7,22,1,1,1,0,136,23,10,7,0
0201337-744,02,013,37-744,125,60,15,1,5,2.9999999999999996,4,155,19,22,0,1,8,0,147,37,15,1,0
0201637-704,02,016,37-704,13,21,0,0,0,0,4,26,9,4,0,0,0,0,21,14,3,1,0
0201637-706,02,016,37-706,354,533,40,16,16,2,36,501,200,170,11,3,77,4,412,415,77,35,4
0201637-750,02,016,37-750,8,17,0,0,0,0,0,15.000000000000002,2.9999999999999996,4,0,0,1,0,15.000000000000002,8,0,0,0
0201637-752,02,016,37-752,20,120,2,1,1,1,13.000000000000002,114.00000000000001,9,20,4,0,9,0,99,46,9,4,0
0202012-225,02,020,12-225,749.8076382340082,348.61263014298896,87.39637695475278,19.839208360278114,12.897675257032292,3.985360254867755,24.856884339994867,535.6242435592798,130.06224970728016,420.68697311341396,6.963431331760989,9.938374090294914,125.21663123732543,6.954046376683062,681.0805079068749,386.30462337282995,136.22173255442175,19.908031364182918,1.0010325412559027
0202012-230,02,020,12-230,1259.7945032721905,415.65320209842656,122.42517116438216,7.898398139637559,15.796796279275117,8.885697907092254,67.13638418691924,864.8745962903126,110.57757395492582,701.9701346602881,15.796796279275117,15.796796279275117,154.0187637229324,3.9491990698187793,1147.2423297823555,444.2848953546127,194.49805418857488,49.36498837273474,5.9237986047281685
0202012-233,02,020,12-233,610,205,49,14,11,0,20,356,65,382,6,6,84,0,540,226,109,16,8
0202013-235,02,020,13-235,621.3799582810168,196.48772356558638,49.869980600402634,12.966194956104685,7.979196896064422,1.9947992240161054,31.916787584257687,360.061259934907,66.82577400453953,327.14707273864127,14.96099418012079,11.968795344096632,72.81017167658784,3.989598448032211,493.7128079439861,231.39670998586823,112.70615615690996,28.92458874823353,0
0202013-240,02,020,13-240,939,363,94,28,3,5,51,651,103,502,3,15,122,0,860,327,165,46,6
0202013-245,02,020,13-245,589.9887340271713,268.6527490341093,113.6281249952897,6.610666538233499,9.193951459058317,1.1637448488801554,28.50269613759893,478.4214360317082,167.10319710516293,250.78813841139277,8.366558646223051,12.586497453294482,55.89884336986917,4.078545945920417,543.6524033068373,246.3405956406422,111.9584280451447,32.9659313033021,7.221748021801529
0202013-250,02,020,13-250,1059,439,148,23,18,0,38,731,167,585,9,9,126,2,885,439,239,42,1
0202013-255,02,020,13-255,772,311,76,11,8,7,44,536,91,395,9,3,131,2,711,293,125,30,6
0202013-260,02,020,13-260,74.44344127582852,119.83578351718737,3.631387379308708,0,3.631387379308708,0.907846844827177,2.723540534481531,111.66516191374278,39.94526117239579,29.051099034469665,6.354927913790239,0,21.788324275852247,0.907846844827177,88.96899079306336,96.23176555168077,9.07846844827177,4.539234224135885,0
0202014-940,02,020,14-940,831,405,82,14,21,10,45,664,121,431,20,14,145,0,780,398,162,43,2
0202014-945,02,020,14-945,613,287,75,19,15,7,40,468,105.99999999999999,341,3,8,105.99999999999999,1,549,312,123,22,7
0202014-950,02,020,14-950,944,399,107,20,1,4,48,744,116,446,7,8,168,7,884,454,118,30,4
0202014-955,02,020,14-955,359.2795941375423,188.90868094701239,50.31679819616686,4.413754227733935,9.710259301014657,0,16.77226606538895,281.597519729425,60.9098083427283,210.0947012401353,0,1.765501691093574,58.261555806087934,2.6482525366403604,348.6865839909808,185.37767756482526,60.9098083427283,15.889515219842165,1.765501691093574
0202014-960,02,020,14-960,1008,538,178,12,8,7,64,907,176,520,15,8,158,3,933,582,185,49,10
0202014-965,02,020,14-965,1411.8484580197728,795.709606020363,200.07023756824555,23.71418031577394,11.35709015788697,6.2142540947321825,121.7137376420245,1227.5641139147115,208.49859819979343,761.2809502729822,10.49992622104176,12.999852442083519,294.4987457577099,1.0714180315773942,1433.4915154198022,716.2099749151542,281.8555407997639,58.64246716836358,1.4285081894643648
0202014-970,02,020,14-970,781.8485280027521,428.52040294212486,106.86349475201374,9.400563418915096,6.096975275462813,2.7319152366218025,48.3084334100892,660.5916871569343,129.79907775057958,429.02088571978663,6.834538759465807,12.59166063797151,114.7439993970437,1.3431067943806514,764.9925638312524,394.810680693802,143.05084184255512,35.227825869654914,5.541161656506343
0202015-300,02,020,15-300,603.2794442925501,255.468714323986,100.06645100835921,18.20288813070476,6.666180284725819,0.3746017058081766,29.116513475353447,482.11155116855485,150.80281747455118,254.5142586094277,13.404150178880306,9.618748789901627,46.44813036303271,2.7739708120161524,527.4146236291973,261.27839161240377,108.97893620043234,36.427648519373236,8.395008838806032
0202015-305,02,020,15-305,702,498,83,15,9,8,24,566,201,357,8,12,132,1,666,439.99999999999994,114.99999999999999,45,0
0202015-310,02,020,15-310,430,423,36,25,9,13,29,364,178,259,17,1,97,1,447,366,79,28,0
0202015-315,02,020,15-315,397.0054710172238,353.00294797530023,55.000750272993066,12.000066395840095,19.000033197920047,3.0000199187520282,19.00034525836849,345.00460787130254,153.00088306467325,236.00300109197227,2.000046477088066,6.000092954176132,73.00079011049712,1.0000066395840095,386.0053448651276,294.00271558985986,87.00100921676945,29.00024566460835,4.0000398375040565
0202015-320,02,020,15-320,394.37883692062036,315.13500941369654,61.22797697706319,15.30675256369292,5.40239502315683,2.70109750582412,32.414003451175226,324.14640154477576,140.46150389129463,223.29832758545365,9.904424211038952,7.203226699460537,77.43256189692201,5.402261682151103,389.87450760038945,251.20946846746097,95.44201205850777,45.01932515652971,2.701364187835573
0202016-325,02,020,16-325,256,384,55,22,11,1,23,255,138,189,15,7,123,0,265,355,81,25,0
0202016-330,02,020,16-330,469,565,81,26,13,4,47,481.00000000000006,220,288,11,7,165,8,473,534,112,38,8
0202016-335,02,020,16-335,388.0311396382242,345.01166341288325,54.00518993970403,30.000892892852306,7.000334834819615,2,39.00139514508173,339.0246103592417,143.0074221718348,251.01272372314537,6.00066966963923,11.000502252229422,95.00184159150788,1.1161160653822484e-4,372.02695420297897,352.01238888832575,78.00541316291711,36.00172997990134,1.0004464464261529
0202016-340,02,020,16-340,431,480,62,17,8,1,26,416,159,228,9,3,188,0,429,465,69,30,0
0202016-345,02,020,16-345,440.00000000000006,355,42,8,10,2,13,385,114,241.00000000000003,3,5,102,0,423,342,72,14,1
0202016-350,02,020,16-350,784,710,105,24,8,11,46,731,239,441,9,7,218,5,781,656,147,41,6
0202016-355,02,020,16-355,435,463,65,30,10,6,30,408.00000000000006,197,277,13.000000000000002,7,107.00000000000001,4,432,422,106,45,4
0202017-400,02,020,17-400,377,572,73,10,5,1,24,460,134,184,0,0,241,1,408,525,67,17,3
0202017-405,02,020,17-405,199,315,32,13,7,2,18,215,116,111,1,4,109,1,205,292,45,15,0
0202017-410,02,020,17-410,293,421,67,20,14,11,28,373,149,156,8,7,128,0,297,417,66,35,1
0202017-415,02,020,17-415,364,341,40,16,11,8,22,341,92,214,6,7,115,0,353,306,81,23,5
0202017-420,02,020,17-420,829,801,104,40,13,3,61,791,295,402,18,10,303,4,793,780,148,64,8
0202017-425,02,020,17-425,330,508,67,26,16,5,40,386,194,184,9,7,177,3,342,477,94,41,4
0202017-430,02,020,17-430,225.957431036578,339.9359581966217,35.993219103171704,20.996044476850162,2.999434925264309,4.999058208773849,17.996609551585852,268.949331632033,119.97739701057237,133.97475999513915,5.998869850528618,6.998681492283389,90.98285939968405,0.9998116417547698,243.95404058816382,304.94255073520475,53.98982865475757,15.996986268076316,0.9998116417547698
0202018-435,02,020,18-435,231,416,22,4,2,0,18,318,63,91,1,3,196,1,256,384,24,13,1
0202018-440,02,020,18-440,228,264,36,14,2,0,13,203,91,128,4,7,109,1,196,261,62,21,0
0202018-445,02,020,18-445,320,402,67,20,7,7,23,318,142,188,9,2,166,6,301,389,91,34,1
0202018-450,02,020,18-450,345,334,48,17,7,4,17,295,136,201,8,6,115,0,325,296,78,42,0
0202018-455,02,020,18-455,299,455,42,16,2,3,24,296,195,196,11,2,126,1,299,395,70,38,3
0202018-460,02,020,18-460,340,644,65,13,6,2,42,417,172,190,0,2,284,7,362,591,76,37,6
0202018-465,02,020,18-465,177,274,21,13,2,2,6,179,117,116,5,6,69,0,175,250,33,21,5
0202018-470,02,020,18-470,138,160,29,14,2,7,2,113,58,88,4,1,77,1,116,187,30,8,0
0202018-475,02,020,18-475,220,246,31,8,5,0,12,244,74,108,1,5,74,0,217,225,43,16,4
0202018-480,02,020,18-480,385.99999999999994,725,62.99999999999999,17,3,0,29,461.99999999999994,165,164,15,1,385.99999999999994,4,404,706,62.99999999999999,23,2
0202019-500,02,020,19-500,217,399,24,11,17,5,17,211,178,181,12,11,68,8,232,328,72,23,4
0202019-505,02,020,19-505,225,395,22,13,11,2,13,260,166,154,5,9,59,1,268,310,46,27,3
0202019-510,02,020,19-510,367,459,27,12,10,7,19,321,211,242,22,3,82,0,381,390,67,28,3
0202019-515,02,020,19-515,158.04256896342204,176.0640418033783,17.00678089682829,10.003955523149836,20.00056507473569,5.000941791226151,7.003390448414145,149.05066836796695,68.02260298942764,91.02524000486085,5.001130149471382,5.001318507716612,59.017140600315955,1.8835824523028314e-4,174.04595941183618,156.05744926479522,41.01017134524243,7.0030137319236845,1.8835824523028314e-4
0202019-520,02,020,19-520,307,455,38,27,10,3,15,325,135,163,8,5,197,3,308,439,53,31,2
0202019-525,02,020,19-525,362,791,62,32,5,6,20,458,243,197,13,6,330,6,371,744,75,50,6
0202020-530,02,020,20-530,292.8539545769815,441.9701783640169,47.5281009590574,21.21304722705298,4.832719750948529,2.882005808488927,29.903129757720233,332.6291895282203,133.22345152289768,171.15465869925876,13.508113913215627,0.04406510520047638,154.82921710797416,6.734472465407602,268.4700302962365,417.05644428684684,88.85643537193222,33.77518090583912,4.842511996548635
0202020-535,02,020,20-535,440,828,82,31,9,7,45,522,310,262,10,14,264,4,476,729,111,50,4
0202020-540,02,020,20-540,167.9527216640344,229.9352737067138,33.9904317653403,3.9988743253341528,0,4.9985929066676915,7.9977486506683055,198.94399768537411,63.981989205346444,70.98001927468121,0.9997185813335382,5.99831148800123,108.96932536535567,2.999155744000615,149.95778720003074,255.92795682138578,19.994371626670766,15.995497301336611,2.999155744000615
0202020-545,02,020,20-545,201,449,37,13,0,0,6,291,119,67,1,0,207,3,201,432,28,19,3
0202020-550,02,020,20-550,114,176,17,6,7,0,5,131,68,58,7,3,56,0,110,174,32,8,0
0202020-555,02,020,20-555,276,568,72,16,5,2,42,403,204,135,13,1,199,4,320,523,75,39,0
0202020-560,02,020,20-560,238,572,43,10,5,2,21,331,115,86,0,0,337,3,255,546,30,24,1
0202020-565,02,020,20-565,164,419,23,12,3,1,13,245,78,77,1,2,204,3,177,387,27,17,1
0202020-570,02,020,20-570,284,459,38,20,16,2,30,307,209,191,10,6,112,0,308,407,72,39,1
0202021-600,02,020,21-600,403,862,69,14,2,0,26,623,144,145,1,0,456,0,473,796,48,36,2
0202021-605,02,020,21-605,598.5774597532796,505.66102400726396,53.79372595821957,16.627151659813322,3.9122709787796053,3.9122709787796053,33.254303319626644,525.222378901162,174.09605855569242,309.0694073235888,11.736812936338817,1.9561354893898026,169.20571983221794,5.868406468169408,536.9591918375008,490.01194009214555,118.34619710808306,44.01304851127056,7.824541957559211
0202021-610,02,020,21-610,483,451,79,19,4,1,32,495,162,220,14.000000000000002,4,152,0,472,427,95,44,2
0202021-615,02,020,21-615,384,379,66,16,11,6,24,374.99999999999994,128,215,6.999999999999999,10,142,4,374.99999999999994,371,89,31,3
0202021-620,02,020,21-620,408,399,38,15,3,8,23,402,118,208,1,7,140,2,413,349,71,29,3
0202021-625,02,020,21-625,483,624,83,19,9,3,36,592,185,216,6,7,229,2,483,628,78,44,1
0202021-630,02,020,21-630,277,353.00000000000006,48,17,3,1,12,244,126,177,5,0,139,6,255.00000000000003,335,76,20,5
0202021-635,02,020,21-635,429,650,88,17,7,6,25,514,179,246,11,4,247,0,465,604,79,47,3
0202022-640,02,020,22-640,734,473,73,35,6,7,45,622,155,391,14,8,169,5,665,462,164,43,8
0202022-645,02,020,22-645,1066,752,102,9,6,10,57,1098,155,429,12,3,286,0,1075,712,134,42,0
0202022-650,02,020,22-650,412,357,54,13,9,6,36,423,111,220,9,3,100,0,409.99999999999994,331,94,28,1
0202022-655,02,020,22-655,462,376,52,16,11,10,25,408,147,273,11,0,102,0,424,373,100,27,4
0202022-660,02,020,22-660,733,674,66,28,8,4,38,772,147,356,10,7,223,0,771,587,109,34,2
0202022-665,02,020,22-665,513,417,60,18,4,1,35,484,151,248,7,10,152,2,497,414,95,25,1
0202022-670,02,020,22-670,284,230,39,2,3,2,9,276,57,140,6,0,86,1,298,185,58,14,1
0202023-735,02,020,23-735,267,259,30,10,3,3,13,258,86,144,5,1,81,3,272,213,63,19,3
0202023-740,02,020,23-740,466,426,67,15,17,1,37,412,153,242,11,5,184,1,444,439,69,31,6
0202023-745,02,020,23-745,231,224,38,7,7,5,14,211,76,151,4,1,71,1,243,209,54,9,1
0202023-750,02,020,23-750,495,385,80,22,15,10,28,402,150,292,8,13,146,3,479,367,119,35,1
0202023-755,02,020,23-755,489,420,59,21,2,7,11,463,106,246,18,10,131,1,464,379,82,36,8
