GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGJAN,G20PRECBLA,G20PREIPIE,G20PREOFUE,G20USSRSUL,G20USSDGRO,G20USSOHOW,G20HALRYOU,G20HALDGAL
0201337-700,02,013,37-700,28,29,2,2,1,0,0,37,19,4,39,22
0201337-712,02,013,37-712,20,11,0,0,0,0,0,17,11,1,18,11
0201337-720,02,013,37-720,132,62,0,3,3,0,1,137,45,13,150,40
0201337-744,02,013,37-744,156,73,2.9999999999999996,7,0,1,1,140,76,23,162,76
0201637-704,02,016,37-704,15,18,0,1,0,0,0,20,16,0,14,22
0201637-706,02,016,37-706,505,465,15,1,1,3,1,494,426,56,511,462
0201637-750,02,016,37-750,5.999999999999999,11,0,1,1,0,0,10,8,1,11.999999999999998,5.999999999999999
0201637-752,02,016,37-752,24,179,5,0,0,0,0,76,91,32,97,99
0202012-225,02,020,12-225,914.8778720200112,537.3697865363282,35.79003433482706,4.9770078410457295,0.012513273437237056,2.990584350330471,0,950.5552868939031,469.978418814897,51.70957712578292,931.6952128463657,528.5982458603327
0202012-230,02,020,12-230,1444.4195597862185,624.9607527988219,67.13638418691924,4.936498837273474,1.9745995349093897,1.9745995349093897,0,1478.975051647133,576.5830641935418,59.23798604728169,1428.6227635069433,691.1098372182864
0202012-233,02,020,12-233,821,365,39,7,6,0,1,829,336,59,827,383
0202013-235,02,020,13-235,744.0601105580073,332.13407079868153,21.94279146417716,9.973996120080526,5.984397672048316,1.9947992240161054,0,744.0601105580073,280.2692909742628,50.86738021241069,749.0471086180476,315.17827739454464
0202013-240,02,020,13-240,1022,572,60,2,2,14,3,1094,443,57,1039,570
0202013-245,02,020,13-245,987.822176148458,690.7753041225313,95.44726543176753,12.273506286678515,3.213693899027042,2.0169164610590675,2.002818096429882,964.4062800448148,665.3098781934757,99.3960989512514,957.7210828387676,738.4320716776735
0202013-250,02,020,13-250,1123,659,87,9,2,7,1,1088,653,124,1091,745
0202013-255,02,020,13-255,778,384,46,7,3,0,0,801,351,40,776,416
0202013-260,02,020,13-260,33.59033325860555,59.91789175859368,0,0,0,0,0,32.68248641377837,36.31387379308708,3.631387379308708,31.774639568951194,49.02372962066756
0202014-940,02,020,14-940,872,590,68,5,5,0,3,899,552,84,880,660
0202014-945,02,020,14-945,705,471,35,13,20,4,0,750.9999999999999,447,48,723,510
0202014-950,02,020,14-950,1075,610,45,2,0,2,0,1116,575,63,1095,647
0202014-955,02,020,14-955,398.12063134160087,263.05975197294254,17.65501691093574,1.765501691093574,4.413754227733935,1.765501691093574,0,399.0033821871477,266.59075535512966,28.248027057497183,394.58962795941375,287.7767756482525
0202014-960,02,020,14-960,1022,701,60,12,3,0,0,1102,615,59,1066,712
0202014-965,02,020,14-965,1668.1323594510845,968.7070975357829,72.28508189464365,9.49992622104176,8.35709015788697,2,3,1786.7742363877821,873.3510402833112,78.85657370517929,1709.8460970931092,1022.7075402095322
0202014-970,02,020,14-970,935.9877357384385,643.4593020686411,55.523299649052355,6.445139302755056,4.992807898736155,0.24493629498911137,0.010437986082685223,1017.5457402549464,550.9664894772021,52.05158696381394,980.8310505792276,609.0128919003358
0202015-300,02,020,15-300,615.6326837977374,376.2582859856141,74.73031874036818,1.1562632971089029,3.149225735332127,0.25660746543619756,0.3283972703084893,596.9926288526163,369.4411613401231,86.03725874077313,600.7986496660353,443.9148187366843
0202015-305,02,020,15-305,743,650,21,14,0,3,4,732,627,52,739,650
0202015-310,02,020,15-310,514,633,17,11,0,7,2,491,576,65,484,650
0202015-315,02,020,15-315,398.0066130256734,376.0045281962945,24.000398375040568,3.000046477088066,5.000033197920048,0,2,389.00723050698633,358.0038443191415,28.00035853753651,388.0069582840419,382.00424933376604
