GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSRSHE,G16USSDCRU,G16USSOWRI,G16SSCRBOL,G16SSCOWRI,G16SSCRWIS,G16SSCOWR2,G16SSCRPAR,G16SSCOWR3,G16PSCRCAV,G16PSCOWRI
01001000001,01,001,000001,237.90929398226282,148.75093849503935,0.10937582924440456,1.008638590880202,4.048172868476573,234.21430645765028,150.40199561604078,0.009416195856873822,242.52924785462972,0.41228946238426767,240.35029997758255,0.4405380499548891,242.36497021596395,0.42851491071902426,241.3777709601765,0.4259079673400332
01001000002,01,001,000002,1863,348,55,13,31,1895,384,6,1889,23,1904,20,1881,19,1850,41
01001000003,01,001,000003,396,36,1,1,0,391,37,0,368,1,365,3,366,3,371,1
01001000004,01,001,000004,2504.1392011392236,890.7412639013961,109.75069078583743,21.79263614467066,38.228005887652536,2576.4732474309344,934.976866001834,7.177077811150054,2675.8986088826487,57.42484048704513,2684.3268796840393,56.0425448099475,2658.3839624561274,60.155941433621166,2637.0808167573164,81.2190276707088
01001000005,01,001,000005,377,145,10,2,2,383,144,0,396,8,392,7,392,7,394,8
01001000006,01,001,000006,679,79,12,9,7,665,103,8,639,12,643,8,643,6,648,5
01001000007,01,001,000007,1594.4267515923566,219.04458598726114,29.64968152866242,4.235668789808917,11.496815286624203,1557.5159235668789,272.2929936305732,4.840764331210191,1541.1783439490446,19.363057324840764,1549.6496815286623,18.152866242038215,1538.1528662420383,22.388535031847134,1551.4649681528663,30.85987261146497
01001000008,01,001,000008,222,211,1,1,1,225,204,0,222,9,224,6,221,7,225,7
01001000009,01,001,000009,563.612756264237,164.50873196659074,13.627942293090356,0.973424449506454,5.840546697038724,551.9316628701595,186.89749430523918,0.973424449506454,567.5064540622627,12.654517843583903,569.4533029612757,11.681093394077449,563.612756264237,10.707668944570996,539.2771450265756,16.54821564160972
01001000010,01,001,000010,1910.5172413793102,299.95362663495837,64.12009512485136,8.024970273483948,16.03804994054697,1896.6016646848989,354.0011890606421,10.007134363852556,1877.7205707491082,23.06064209274673,1899.7253269916766,20.05945303210464,1865.7027348394768,30.064209274673008,1866.677764565993,45.08442330558859
01001000011,01,001,000011,128.05995776089182,214.25422572521356,2.0169827342202096,0,1.0119628484544987,134.0496516362211,209.216414102927,0.002830455703368242,145.1213701219999,5.051963900803414,147.11725761501447,5.04849241945902,145.09744442509088,6.04849241945902,149.11234604861127,4.042190482411258
01001000012,01,001,000012,424,308,18,2,3,415,318,1,433,16,433,14,434,13,441,12
01001000013,01,001,000013,540.2431693989071,130.81876138433515,12.589253187613844,1.0947176684881603,9.305100182149364,544.0746812386157,135.1976320582878,1.6420765027322406,544.0746812386157,9.305100182149364,550.6429872495447,8.757741347905283,540.2431693989071,8.757741347905283,539.148451730419,14.778688524590164
01001000014,01,001,000014,328.3767336541183,421.6317577129918,5.952448344183414,0,3.968298896122276,323.4163600339655,409.72686102462495,0.992074724030569,354.1706764789131,16.865270308519673,353.17860175488255,15.873195584489103,346.23407868666857,15.873195584489103,349.21030285876026,13.889046136427964
01001000015,01,001,000015,744.2968840591167,256.62469885657976,39.218392516287935,6.8205900028326845,11.936032504957197,757.085490314428,285.6122063686187,2.5577212510622567,782.6627028250505,15.34632750637354,792.8935878292996,14.493753756019453,783.5152765754045,14.493753756019453,786.0729978264668,20.461770008498053
01001000016,01,001,000016,3516.4503893559067,1475.3176678382074,106.3305193906634,26.185628897912693,47.44876364745658,3530.0712821664456,1564.8195131300265,11.561566271942425,3622.719253659144,92.38035273556896,3633.7786536117087,82.19433607011813,3604.6208657500797,87.13716246677339,3565.505823383754,119.39670195816096
01001000017,01,001,000017,1073,437,45,4,12,1093,453,4,1112,32,1131,29,1110,28,1102,37
01001000018,01,001,000018,1081.4933086213498,157.52372930516398,20.513230192707066,2.8192202383024143,8.653340178436764,1059.0394011114593,191.48213892079403,3.2837666631861055,1048.83271321337,13.567671388627847,1055.1633212673883,12.725099486037148,1046.3369391945982,15.371277829986195,1054.480457809799,21.615364936827817
01003000001,01,003,000001,122,36,0,1,0,117,38,0,108,7,111,1,111,0,111,0
