GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWRI,G20USSRTUB,G20USSDJON,G20USSOWRI,G20SSCRSHA,G20SSCOWRI,G20SSCRMEN,G20SSCOWR2,G20SACRTHO,G20SACOWRI,G20SACRFRI,G20SACOWR2,G20SCCRWIN,G20SCCOWRI,G20SCCRKEL,G20SCCOWR2,G20PSCRCAV,G20PSCDCAS,G20PSCOWRI
01001000001,01,001,000001,256.7264134787934,191.12173614060734,3.0583666693101192,0.016225448334756618,247.21275820961387,204.72543137078983,0.009416195856873822,270.9331110914872,0.2265724886257822,273.8460325138453,0.24540488033952984,270.83213988044054,1.2728758629334795,267.7387153710819,0.2642372720532775,264.78552222191735,2.211398773716673,267.69684827855554,0.20353778781314277,252.18684706157697,184.1141446585491,0.02564164419163044
01001000002,01,001,000002,1857,535,35,5,1811,614,8,1978,34,1972,28,1970,28,1960,28,1966,27,1945,30,1808,574,1
01001000003,01,001,000003,465,65,3,0,453,78,0,466,1,463,1,465,1,459,2,463,1,460,2,454,65,1
01001000004,01,001,000004,2455.490514905149,1160.8121047877146,58.32746160794941,16.255194218608853,2400.987804878049,1273.6422764227643,7.649503161698283,2744.259259259259,81.27597109304426,2739.4783197831975,82.23215898825654,2725.1355013550133,82.23215898825654,2720.354561878952,79.36359530261969,2729.916440831075,78.4074074074074,2727.047877145438,73.62646793134599,2408.637308039747,1214.3586269196026,5.737127371273713
01001000005,01,001,000005,464,174,6,1,454,186,0,477,13,472.99999999999994,13,477,12,472,11,478,12,474,13,444,185,2
01001000006,01,001,000006,872,101,12,3,847,140,1,871,5,866,6,861,7,860,5,861,5,860,5,832,131,3
01001000007,01,001,000007,1907,337,27,6,1879,381,8,1948,33,1936,37,1941,42,1932,36,1947,35,1944,34,1863,379,4
01001000008,01,001,000008,245,222,2,0,237,231,0,261,7,258,5,259,8,255,8,258,6,258,6,234,220,1
01001000009,01,001,000009,690.157934700076,202.47228549734245,8.760820045558088,0.973424449506454,681.3971146545178,217.07365223993926,1.946848899012908,715.4669703872438,8.760820045558088,713.5201214882309,11.681093394077449,714.4935459377373,9.73424449506454,710.5998481397115,7.787395596051632,711.5732725892179,11.681093394077449,710.5998481397115,11.681093394077449,674.5831435079726,219.9939255884586,0.973424449506454
01001000010,01,001,000010,1864.319783197832,410.096657633243,40.05510388437218,8.015356820234869,1840.2682926829268,476.2032520325203,3.007226738934056,1942.5925925925926,14.076784101174345,1931.5880758807589,14.077687443541102,1943.5745257452575,13.077687443541102,1924.5700090334237,14.07497741644083,1933.5790424570912,13.074074074074074,1924.576332429991,13.069557362240289,1790.275519421861,469.1472448057814,7.005420054200542
