GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREOMCM,G16PREGSTE,G16PREIHED,G16PRECCAS,G16PREIKAH,G16USSRBOO,G16USSDELD,G16USSLGIL,G16USSOWRI
05001000011,05,001,000011,24.5625,9.21701388888889,0.10850694444444445,0,0.021701388888888888,0.06510416666666667,0.043402777777777776,0,21.41059027777778,11.56423611111111,2.021701388888889,0
05001000012,05,001,000012,32,10,0,0,0,1,0,0,32,12,0,0
05001000013,05,001,000013,189.56440901755587,87.2680717883515,4.015250949516684,2.9940828402366866,2.9940828402366866,4.990138067061144,1.9960552268244576,0.9980276134122288,173.4571242277536,114.28423883808499,5.05955955466445,0
05001000014,05,001,000014,70.1875,9.74826388888889,4.874131944444445,0,0.9748263888888888,2.9244791666666665,1.9496527777777777,0,63.36371527777778,25.34548611111111,0.9748263888888888,0
05001000015,05,001,000015,96,8,3,2,0,0,1,2,85,24.999999999999996,2,0
05001000021,05,001,000021,116.57952641688973,26.70368714304144,2.851120445429476,0.00932296523663302,1.9100699288562835,0.9596964470464583,1.9007469636196506,2.851120445429476,106.09744922127175,41.94695471294517,4.761190374285759,0
05001000022,05,001,000022,326.4257817365444,64.87103160668353,5.004789823924205,1.994949494949495,4.990851457139895,11.980157616715122,4.994334674449989,1.9949824802131086,320.416572720701,89.86363177051372,6.985817444721198,0
05001000023,05,001,000023,68.06852941561277,10.067997802123068,0.017274370123864177,0.990677034763367,1.0021932815126098,0.9964351581379884,0.011516246749242783,0.017274370123864177,65.03315895420182,14.12283591517048,1.019467651636474,0
05001000031,05,001,000031,67.44866110356915,14.885053198501902,2.7950950116345394,0.04774535809018568,0.9104781780603196,1.8368714754840343,0.015915119363395226,0.04774535809018568,61.59691323962083,23.345414235973255,1.081044896808427,0
05001000032,05,001,000032,24.429961572236582,15.286369205732166,1.0143864208929971,0.01411457846744168,0,0.004704859489147226,0.004704859489147226,0.01411457846744168,18.348347906367746,20.33948187224056,0.04704859489147226,0
05001000033,05,001,000033,2,5,2,0,0,0,0,0,2,7,0,0
05001000034,05,001,000034,54,21,2,0,0,3,0,1,52,26,2,0
05001000035,05,001,000035,88,20,3,0,1,3,0,1,82,31,2,0
05001000036,05,001,000036,22,28,5,1,1,0,1,1,29,30,0,0
05001000037,05,001,000037,83,11,0,1,0,2,0,0,75,22,1,0
05001000038,05,001,000038,58.63818424566088,13.682242990654206,1.9546061415220293,0.9773030707610146,0,0.9773030707610146,0,0,55.706275033377835,21.500667556742325,0,0
05001000041,05,001,000041,75.59046749169369,10.388762151104553,1.97700216226807,0.9702802879936278,0.02572347266881029,1.0002910061072399,0.9702802879936278,0.00857449088960343,65.92196257531583,23.99840965568415,1.0152963651640459,0
05001000042,05,001,000042,119.86740329152862,28.3382533122656,3.124318300430275,0.07243698224434016,0.12942217738491316,2.224880956552823,1.0560054686193616,3.0396395257525906,111.1884612127109,42.36629552461373,2.164925086691765,0
05001000043,05,001,000043,72,7,1,0,1,1,0,1,67,12,3,0
05001000044,05,001,000044,82.05259203507795,21.136737216749488,2.02729044834308,2.01364522417154,2,3.0137694863951747,0.01364522417153996,1.2426222363489387e-4,77.91575080643084,31.32840584149743,0.013649274236741891,2.0250326009652755e-6
05001000045,05,001,000045,11.827716093597443,1.9714078666070178,0,0,0,0.985612915178244,0,0,10.842133488636302,3.9425684600175694,2.1252141554838403e-5,0
05001000046,05,001,000046,48,9,0,1,0,1,0,0,46,12,0,0
