GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREACAR,G20PREOMYE,G20PRESLAR,G20PREIWES,G20PREICOL,G20PREIPIE,G20PREIGAM,G20PREIFUE,G20USSRCOT,G20USSDHAR
05001000011,05,001,000011,39.90972222222222,7.303819444444445,0.021701388888888888,0,0,0,0,0,1.0217013888888888,0.021701388888888888,0,0,1,41.90972222222222,7.347222222222222
05001000012,05,001,000012,32,9,0,0,0,0,0,0,0,0,0,0,0,36,4
05001000013,05,001,000013,241.4665278140479,83.14522625121283,1.9960552268244576,0.022604951560818085,0.9980276134122288,0,0,0.007534983853606028,0,0.9980276134122288,0,1.0055625972658349,0,244.490750589699,76.09875308649839
05001000014,05,001,000014,85.78472222222221,13.647569444444445,0.9748263888888888,0,0,0,0,0,0.9748263888888888,0.9748263888888888,0,0,0,85.78472222222221,15.597222222222221
05001000015,05,001,000015,96,10,2,0,0,0,0,1,0,0,0,0,0,96,12
05001000021,05,001,000021,140.39480125355516,21.933173803519047,0,0,0.9503734818098253,0,0,0,0.9503734818098253,0.9596964470464583,0,0,0,148.01643503850704,18.113033945806478
05001000022,05,001,000022,409.2718512833827,50.92019156776692,3.993376709665148,5.4975439356290136e-6,0,0.9974747474747475,0,0,0.0034832173100934802,1.000957964784841,5.4975439356290136e-6,5.4975439356290136e-6,0,415.25672175840697,44.942232551923524
05001000023,05,001,000023,74.1565447085585,8.057853115723228,0,0,0.005758123374621392,0,0,0,0.005758123374621392,0.9964351581379884,0,0,0,76.18396376508221,6.0534665526980085
05001000031,05,001,000031,72.15328725663979,15.775116662949586,0.9263932974237148,0.015915119363395226,0.015915119363395226,0.015915119363395226,0.03183023872679045,0.015915119363395226,0,0.015915119363395226,0.015915119363395226,0,0,76.03842635358123,11.143150175831012
05001000032,05,001,000032,34.437384855981286,11.294691555008239,0.004704859489147226,0.004704859489147226,0.004704859489147226,0.004704859489147226,0.009409718978294452,0.004704859489147226,0,0.004704859489147226,0.004704859489147226,0,0,34.51266260780764,8.284466308753277
05001000033,05,001,000033,7,4,0,0,0,0,0,0,0,0,0,0,0,7,4
05001000034,05,001,000034,50,17,0,0,1,0,0,0,0,1,0,0,0,53,15
05001000035,05,001,000035,90,20,1,0,0,0,0,0,0,0,0,0,0,92,18
05001000036,05,001,000036,41,23,1,0,0,0,0,0,1,0,0,0,0,44,21
05001000037,05,001,000037,87,6,0,1,0,0,0,0,0,0,0,0,0,87,7
05001000038,05,001,000038,65.47930574098798,8.795727636849133,0.9773030707610146,0.9773030707610146,0,0,0,0,0,0,0,0,0,67.43391188251002,7.818424566088117
05001000041,05,001,000041,84.36800616080676,10.373756792047747,0.015005359056806002,0.00857449088960343,0.006430868167202572,0.0021436227224008574,0.0021436227224008574,0.010718113612004287,0.012861736334405145,0.0021436227224008574,0.004287245444801715,0.004287245444801715,0.004287245444801715,83.52634323615719,10.240852183258893
05001000042,05,001,000042,132.18002785075748,30.197366425356126,1.0304675598472073,0.03550224703819686,0.018984872349042843,0.008884257604964137,1.0153376021568639,1.058467169048974,0.037969744698085686,0.054674264264688494,0.0025038729836099113,0.04065047477166807,1.016577148217085,139.76955805229144,24.377965216126178
05001000043,05,001,000043,72,5,1,0,0,0,0,0,0,0,0,0,0,71,7
05001000044,05,001,000044,81.17566985242769,11.13672304152128,1.000002025032601,0,0,0,2.0250326009652755e-6,1.000002025032601,0,4.050065201930551e-6,0,2.0250326009652755e-6,0,80.16203070335395,12.13672506655388
05001000045,05,001,000045,23.655197108064428,0.9856781521241803,0.985612915178244,0,0,0,0,0,0,0,0,0,0,21.683992529849494,2.9568827303391134
05001000046,05,001,000046,63,7,0,0,0,0,0,0,0,0,0,0,0,63,7
05001000047,05,001,000047,19.220606059790967,37.841579777659916,1,0,0.012758134934510905,0.03864758919537748,0,2,1,0,0,0,0.03864758919537748,27.49113918415861,31.467862020640656
05001000048,05,001,000048,16.260779721724756,10.242457638793223,0,0,0.04849152775864444,0,0,0,0,0,0,1,0,16.260779721724756,10.290949166551867
05001000051,05,001,000051,62,123,2,0,0,0,0,3,2,3,0,0,1,86,90
05001000053,05,001,000053,226,71,2,1,1,0,0,1,0,2,0,1,0,241.99999999999997,48
05001000055,05,001,000055,301.0337042721728,67.1284195433442,1.0100955125570745,0.9999945024560644,0,0.0025252525252525255,0,0,1.9999890049121287,2.0025142574373813,0.9999945024560644,0.9999945024560644,0,305.04883379714863,57.11332300363203
05001000071,05,001,000071,191.67867155207716,494.2290803219386,2.9782688268191673,3.9694675316632404,1.9847337658316202,0.9923668829158101,1.9859019439033572,6.947736358482408,3.9694675316632404,6.946568180410671,0,4.961834414579051,1.9859019439033572,260.1601637197702,396.97128490583054
05001000081,05,001,000081,688.6044573249485,342.0646266675811,6.976317818521647,3.9864673248695124,2.9898504936521344,0.9966168312173781,0.9966168312173781,4.983084156086891,5.979700987304269,0.9966168312173781,1.9932336624347562,1.9932336624347562,1.9932336624347562,745.389111348337,280.2743831321036
05001000091,05,001,000091,766.9977767621889,298.9991333140737,12.999962318003202,3.9999884055394466,0,3.9999884055394466,0,1.9999942027697233,0,0.9999971013848616,0.9999971013848616,1.9999942027697233,0,810.9976492231228,247.9992811434457
05003000001,05,003,000001,197.4751100406199,298.4212688044714,0.9774613324396768,1.9549226648793536,3.9949079902297098,0,4.887306662198384,1.9974539951148549,8.904001703946822,6.92729198754874,0.9883548581990409,5.014900652904888,0.010893525759364125,236.57432260118384,266.8440275917764
05003000002,05,003,000002,296.73473466896326,321.6285882485743,1.991508286368881,1.991508286368881,3.983016572737762,0,3.983016572737762,4.978770715922202,6.970279002291083,3.983016572737762,0,0,1.991508286368881,342.53942525544755,287.7729473803033
05003000003,05,003,000003,685,175,6,0,3,1,0,1,1,1,0,4,1,701,175
05003000004,05,003,000004,379,77,0,0,1,0,0,0,4,2,0,0,0,377,78
05003000005,05,003,000005,209.7521633978776,49.5558318718244,3.3841131243303576e-4,6.768226248660715e-4,0.001353645249732143,0,0.001692056562165179,6.768226248660715e-4,1.981258650293169,0.0023688791870312507,0.9894448855530689,0.001692056562165179,0.9891064742406359,209.7653614390625,49.54534112113898
05003000006,05,003,000006,402.57573208906814,180.53383771707905,0.07115337018091586,0.09154447109256501,2.0988662941645204,0,0.12733905632441334,1.0228402054671661,2.1432984695498294,2.1261691657652495,0.02207112581243508,3.021672144192247,0.008491713631118974,425.7280557757239,150.62849900234923
05003000007,05,003,000007,212.2824148539309,62.03341246159183,2.001591069599611,0,2.0007955347998054,7.955347998054069e-4,0,1.0007955347998054,2.001591069599611,1.0007955347998054,0,0.0015910695996108138,7.955347998054069e-4,212.2800282495315,68.03977673999027
05003000008,05,003,000008,180.13132675243904,35.28445971561707,3.0414081258208125,0,0,0.008249312557286892,0,0.06631762652705062,0,0,0,0.03315881326352531,0,184.21414300408068,31.25130090235354
