GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDKEL,G20USSRMCS
04001000005,04,001,000005,86.17357913165252,259.76673247669123,4.676649490363506,89.88211249869269,260.4694754761789
04001000010,04,001,000010,1977.572966159509,272.1776445671346,29.9202564271293,1990.5570972326832,289.10398911080165
04001000015,04,001,000015,991.6108202443281,148.30366492146598,20.017452006980804,996.6631762652705,157.29668411867365
04001000020,04,001,000020,333.0000613889341,1485.9999791646253,22.000001594436558,381.0000643285592,1421.9999784081128
04001000025,04,001,000025,393.02165816068884,76.00541454017221,4.000298048082874,413.0231980757837,71.00447072124311
04001000030,04,001,000030,NA,NA,NA,NA,NA
04001000035,04,001,000035,745.3881530432585,86.69621566144852,4.982541129968306,760.3357764331635,84.7031992094612
04001000040,04,001,000040,560.7369073155643,90.11835865191524,7.013150961323916,574.7484710919008,87.12289346616487
04001000045,04,001,000045,157.52777777777777,854.0185185185185,23.77777777777778,168.42592592592592,843.1203703703703
04001000050,04,001,000050,104.99941194064354,683.9961692133351,10.999938393781704,133.99924952424985,662.9962868252063
04001000055,04,001,000055,NA,NA,NA,NA,NA
04001000060,04,001,000060,416,65,6,421,70
04001000065,04,001,000065,646.8150257272132,118.96597845678264,3.9988564187153828,672.8075924488631,98.97169636320572
04001000070,04,001,000070,39.319148936170215,85.19148936170212,0,39.319148936170215,83.31914893617021
04001000075,04,001,000075,551.3392857142858,168.55,13.023571428571428,585.3942857142857,154.58928571428572
04001000080,04,001,000080,591.1973467100411,61.037428173251215,4.001328781240432,599.2057826330711,61.0310780220598
04001000085,04,001,000085,435.514480138182,108.878652783512,5.993318503663272,466.47992753773383,89.89982254342829
04001000090,04,001,000090,885.4182111200645,102.5850120870266,10.955680902497985,910.3174858984689,96.6091861402095
04001000095,04,001,000095,NA,NA,NA,NA,NA
04001000100,04,001,000100,90.11603256698265,34.65730800238354,1.9481133897631087,93.99875028555336,31.60072381279303
04001000105,04,001,000105,1029.9981965991656,122.99978464242463,11.999978989504841,1048.9981633325483,109.99980740379438
04001000110,04,001,000110,135,29,1,135,26
04001000115,04,001,000115,561.3907659256965,111.01792782090887,9.111850430191755,606.439257093629,75.08130153945501
04001000120,04,001,000120,78.42018348623854,223.34862385321102,1.9853211009174314,81.39816513761468,218.38532110091745
04001000125,04,001,000125,285.3019492890872,42.56384182308066,5.078306116988803,291.3593783640675,37.61081716869942
04001000130,04,001,000130,723.9969967864158,326.99864357618503,12.999946074894206,759.9968474553536,311.99870579746096
04001000135,04,001,000135,173,26,1.9999999999999998,173,27
04001000140,04,001,000140,313.07367591861447,164.9315579760524,7.900912956936643,349.6153983444464,126.41460731098628
04001000145,04,001,000145,806.9727026461499,112.21332916923022,21.095494707692204,835.2120289230728,115.16525698461481
04001000150,04,001,000150,526,57,3,524,59
04001000155,04,001,000155,569.6010862337856,61.41765874374319,6.044824389809811,577.7024851784582,65.39355687517568
04001000160,04,001,000160,92.57845836414748,560.4190161894245,11.036026615296855,108.68653271947217,540.2893658696693
04001000165,04,001,000165,236,873,13,258,841
04001000170,04,001,000170,NA,NA,NA,NA,NA
04001000175,04,001,000175,NA,NA,NA,NA,NA
04001000180,04,001,000180,158.42719864064898,663.60208642906,9.963999378626632,188.3191743742677,627.7317928365188
04001000185,04,001,000185,735.984496863527,92.99804104389676,4.999894679779397,773.9836964298505,74.99842019669094
04001000190,04,001,000190,307.0294677085318,74.78897302422412,5.904246189318026,321.7902062764859,71.83618521840643
04001000195,04,001,000195,294.00102671241336,35.000119417085514,1.0000068630508916,304.001047301566,27.000116671865158
04001000200,04,001,000200,439.9048563728537,103.06346899972348,5.098840853745332,455.36239537906766,86.58120747060728
04001000205,04,001,000205,237.99493105456,1139.9827281681803,14.000035612294809,256.9950433820103,1116.9825544686057
04001000210,04,001,000210,985.7115359033345,78.92374454678693,10.981914623446935,993.69016465260745,79.93540212460263
04001000215,04,001,000215,422.1111275088548,69.56260330578513,2.9826269185360097,429.0881523022432,74.50368949232586
04003000001,04,003,000001,402.2179851413399,885.032514516018,15.852632655763797,426.11470351807066,864.780153785091
04003000002,04,003,000002,396.08131742434546,1102.761572345584,38.26968778772364,439.6902644171308,1078.7317293974606
04003000003,04,003,000003,579.9494782642181,1158.7371485892697,29.17617218982505,609.4341210442288,1129.303320302052
04003000004,04,003,000004,906.275403608737,222.57644824311492,13.97340930674264,921.2469135802469,220.58024691358025
04003000005,04,003,000005,698.0521418182092,440.0243728039139,11.001864586091774,718.0530741112551,426.0250387275181
04003000006,04,003,000006,784.6724545730539,366.3991789529712,28.024726107165588,798.700012308498,376.39471435890164
04003000007,04,003,000007,61.05937073403156,145.76544199284524,3.9391054991546253,68.93740684060378,139.85713352758734
04003000008,04,003,000008,406.59809627805123,1013.5984780927266,14.209470795541783,433.91560538679454,985.3756170017564
04003000009,04,003,000009,751,257,9,775,237
04003000010,04,003,000010,926,413,13,965,379
04003000011,04,003,000011,894.1526022411431,252.81107524857563,13.030122271064245,929.25805390663,221.71315245680037
04003000012,04,003,000012,622.6360655737705,198.79344262295083,11.252459016393443,639.5147540983606,186.6032786885246
04003000013,04,003,000013,641.220982968775,381.29290834922324,9.048219380178391,686.2457019093926,343.30763920829804
04003000014,04,003,000014,389.9758071402088,1052.9267987766639,40.99680761241076,424.97315380528596,1043.9275010266094
04003000015,04,003,000015,567,1180,36,583,1187
04003000016,04,003,000016,301.94359364972996,487.6365401504321,22.547058210677026,314.1099957866908,484.29680178730695
04003000017,04,003,000017,230.87639685782116,510.72657486730134,3.997859685849717,238.87211622952057,501.7313905741395
04003000018,04,003,000018,311.93760262725783,151.99507389162562,9.934318555008211,333.7931034482759,140.07389162561577
04003000019,04,003,000019,343.0623973727422,782.0049261083743,16.06568144499179,355.2068965517241,780.9261083743843
04003000020,04,003,000020,614.2113321850863,342.39548212847353,7.717418712542313,636.2271919950093,322.68356885467506
04003000021,04,003,000021,271.17299363933694,693.3818214250672,9.010867939109637,288.16434781433804,681.3660983529792
04003000022,04,003,000022,116.19831994172023,131.18489267577226,1.787171948301385,118.89826102552209,133.83420012475565
04003000023,04,003,000023,31.000000000000004,147,3,31.000000000000004,149
04003000024,04,003,000024,346.814289769386,1271.3559411822441,26.63157526295035,375.7156114868084,1260.1704353252178
04003000025,04,003,000025,121.03146859148939,285.35896929064506,8.855952948958954,127.9194615378376,284.3749438551031
04003000026,04,003,000026,700.8708065667381,1117.3162027123483,32.03426124197002,729.0221270521057,1108.579586009993
04003000027,04,003,000027,853.2847457627119,1438.1423728813559,65.63728813559322,896.3898305084746,1454.7966101694915
04003000028,04,003,000028,574.6252809440631,735.2410278746086,31.92362671911462,605.5512943282054,726.2625078598576
04003000029,04,003,000029,372,524,18,394,516
04003000030,04,003,000030,327,412,22,341,414
04003000031,04,003,000031,638.1195627220421,883.1514707616874,40.14583674452809,659.3741205386867,885.834831299623
04003000032,04,003,000032,680.4257095158598,1252.5792988313856,26.819699499165278,680.4257095158598,1271.4524207011686
04003000033,04,003,000033,605.129193433262,970.6837972876517,37.96573875802998,641.9778729478944,966.4204139900071
04003000034,04,003,000034,543.2477558348295,803.4937163375224,38.974865350089765,574.181328545781,802.032315978456
04003000035,04,003,000035,441.995729673797,1175.0123459586546,36.99969639663382,460.0222353999338,1184.9898337759937
04003000036,04,003,000036,446,699,31,479,682
04003000037,04,003,000037,421.98717975404105,879.9732658378107,22.999301266215507,443.98651139998634,874.9734177364595
04003000038,04,003,000038,406,559,23,418,558
04003000039,04,003,000039,935.2947746429277,1134.4622121963246,68.34104760077854,962.3942822683707,1147.7558821183466
04003000040,04,003,000040,484.82328482328484,991.6839916839917,29.089397089397092,508.62370062370064,990.8024948024948
04003000041,04,003,000041,704.7522441651705,1221.5062836624775,53.025134649910235,729.818671454219,1235.967684021544
04003000042,04,003,000042,583,841,38,600,853
04003000043,04,003,000043,602,1330,24,603,1363
04003000044,04,003,000044,343.9675827021883,987.9039460406826,25.838006603493394,383.68067075582536,959.1357201820742
04003000045,04,003,000045,134.48066237799011,344.38950248706044,14.092451132781797,147.5448467138104,343.37707823725066
04003000046,04,003,000046,477.86937811605947,1293.6592845156592,39.07437384940076,527.2693989945877,1279.4232511042603
04003000047,04,003,000047,285.94033932727217,806.2333141638267,16.06089387860743,316.06222825316104,786.1417000102883
04003000048,04,003,000048,207.0357432440152,763.2133055769245,9.067607709210836,233.1634466947468,741.1231619646435
04003000049,04,003,000049,228,496,12,250,487
04005000001,04,005,000001,1185.8810408921934,358.5018587360595,20.118959107806692,1203,349.449814126394
04005000002,04,005,000002,1052.1189591078066,200.4981412639405,15.881040892193308,1068,193.55018587360593
04005000003,04,005,000003,798,125,20,806,136
04005000004,04,005,000004,1149.000249737337,347.00027602547783,20.000007667374383,1128.0002552140331,377.00028040683463
04005000005,04,005,000005,1344.5412233357774,624.5092544684566,31.038698832524528,1349.5670225574604,653.5092544684566
04005000006,04,005,000006,898.8813209339054,545.050272111907,35.334919401644534,905.6284541508503,559.0776229847702
04005000007,04,005,000007,860,418,45,868,439
04005000008,04,005,000008,611,196.00000000000003,10,608,209
04005000009,04,005,000009,1193,404.99999999999994,56.00000000000001,1219.0000000000002,426.99999999999994
04005000010,04,005,000010,162,35,5,156,42
04005000011,04,005,000011,592.390350877193,238.94736842105263,15.929824561403509,601.3508771929825,238.94736842105263
04005000012,04,005,000012,872,174,30.999999999999996,900,166
04005000013,04,005,000013,248,63,13,245.99999999999997,69
04005000014,04,005,000014,903.0000000000001,282,38,915.0000000000001,287
04005000015,04,005,000015,1627.9659221701484,651.0990890010606,52.17079537504419,1681.957978199216,636.2261925359774
04005000016,04,005,000016,1181,533,32,1203,540
04005000017,04,005,000017,329.0103519668737,186.03726708074535,9.474120082815736,328.14906832298135,193.7888198757764
04005000018,04,005,000018,388.3271221532091,282.5776397515528,15.182194616977226,399.3105590062112,280.72670807453414
04005000019,04,005,000019,1002.609649122807,613.0526315789474,34.07017543859649,1013.6491228070175,638.0526315789473
04005000020,04,005,000020,427,118.00000000000001,18,432.00000000000006,126.00000000000001
04005000021,04,005,000021,1302.155297048948,698.88261909853,44.97702397300603,1299.2248129616075,728.823412873816
