GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDPOL,G18GOVRSTA,G18GOVLHEL,G18GOVOHAM,G18ATGDWEI,G18ATGRBRA,G18ATGLROB,G18SOSDGRI,G18SOSRWIL,G18SOSCCAM,G18SOSOHUB,G18TREDYOU,G18TRERWAT,G18TRECKIL,G18RGTDSMI,G18RGTRMON,G18RGTLTRE,G18RGTOOTW
08001001001,08,001,001001,693.5213849287169,175.23828920570264,37.09979633401222,15.40325865580448,674.6048879837067,194.42158859470467,31.61303462321792,696.8248472505092,180.9450101832994,29.319755600814663,6.439918533604888,670.0448065173116,197.4684317718941,38.503054989816704,646.1649694501018,174.32179226069246,39.46639511201629,15.733197556008147
08001001002,08,001,001002,739.8575820955546,240.93671004146117,28.598156783097995,10.572696741195308,716.1549809798073,245.6983577682257,41.87126186377037,721.975882939641,233.3704169068158,34.23667032714713,11.393133749432115,727.4912937942835,221.20398219266045,38.91283457053699,704.6854884585741,217.14750508260187,38.06379103186822,19.02694103423923
08001001003,08,001,001003,310.8242771663593,153.2774132435391,20.54148568066008,6.5950901293112025,312.040650952884,158.97605064905252,16.744827280242017,326.5874424291024,145.9261078215014,11.802405167455039,4.201788756846201,317.84836191589733,154.55611477720657,14.289198160634225,306.23293998987066,144.05529268997742,19.89434394543349,6.735327560382481
08001001004,08,001,001004,352.0416871365954,162.0208435682977,20.002801554878722,13.000896497561191,353.04191126098567,172.02162800366375,19.00224124390298,369.04392838049836,159.01983500854135,13.001568870732084,7.000560310975745,362.04269569635176,153.021067692688,24.001905057317533,357.04112682561964,138.01961088415106,23.002689492683572,11.000896497561191
08001001005,08,001,001005,675.2103896103896,230.89090909090908,30.074025974025975,19.402597402597404,684.9116883116883,233.8012987012987,23.283116883116882,694.612987012987,225.07012987012988,15.522077922077921,4.850649350649351,688.7922077922078,225.07012987012988,21.34285714285714,673.2701298701298,216.33896103896103,24.253246753246753,9.701298701298702
08001001006,08,001,001006,433.01256286313884,143.0062814315694,23.000844278436748,11.00027016909976,441.01263040541374,138.0065178295317,23.0006754227494,448.01323828588824,128.00597749133217,22.00047279592458,2.00016885568735,447.012866803376,127.00634897384435,25.000574109336988,441.01239400745146,115.00590994905724,18.000810507299278,15.00027016909976
08001001007,08,001,001007,528.3677322282416,309.72930035437946,28.17247094009187,19.27152287372479,519.566872061917,314.0910988354948,32.83756570113428,536.4474562144028,308.22157809351523,24.566798431766344,6.2287526349677815,519.9702562418868,320.73616428830627,19.789832444601682,505.3033112689658,291.27365677248685,30.09307008341672,14.322168800199288
08001001008,08,001,001008,440.157148843368,208.09269326308035,23.008287146036984,13.005831695359358,424.15438646135567,221.09392098841914,31.0098218027105,448.1592973627109,202.09238633174564,23.007366352032875,5.001841588008219,437.15438646135567,217.09606950776208,14.005831695359358,413.15008942266985,191.08716849905568,37.00890100870639,4.004297038685843
08001001009,08,001,001009,427.8366021840036,206.92097348618867,27.989310423252576,3.9984729176075104,418.84003811938675,210.91944640379617,26.989692193850697,445.82973031323746,196.9247911921699,8.996564064616898,5.997709376411265,428.8362204134055,208.92020994499242,15.993891670430042,414.84156520177925,194.92555473336614,20.991982817439432,7.996945835215021
08001001010,08,001,001010,542,263,38,12,523,268,52,535,267,32,10,549,256,33,515,234,48,19
08001001011,08,001,001011,623.7173879565364,304.3097472620352,24.85018954452013,21.804377878533927,603.9266918437659,308.17273218084534,39.884860433633456,639.0681715624127,281.54910653530163,29.42919164679001,3.837695901469082,622.8875701950419,293.0116162050268,32.29798019138893,595.3456152273102,278.69296249937327,37.104583449728175,15.199049501830086
08001001012,08,001,001012,543.9863692688972,261.04213135068153,39.465923172242874,24.296778190830235,556.8023543990087,269.2676579925651,40.36802973977695,565.8884758364312,263.68897149938044,25.747831474597277,6.225526641883519,554.9299876084262,260.365551425031,37.91697645600991,525.2949194547708,234.51982651796777,41.198884758364315,27.902106567534076
08001001013,08,001,001013,677,360,45,10,661,377,37,668,362,34,6,671,355,39,631,332,50,15
08001001014,08,001,001014,492,236,34,13,479,240,35,482,237,28,6,488,227,32,462,211,37,11
08001001015,08,001,001015,399.2192192192192,191.7987987987988,25.16816816816817,20.82882882882883,400.08708708708707,206.55255255255256,22.564564564564566,422.65165165165166,189.1951951951952,18.225225225225227,2.6036036036036037,409.6336336336336,196.13813813813815,21.696696696696698,395.7477477477478,181.3843843843844,20.82882882882883,18.225225225225227
08001001016,08,001,001016,477.1965136033073,282.4224264182839,33.11159482145398,19.47740871850234,468.43167967998124,295.08274208531043,37.980947001079564,480.11812491108265,289.2395194697597,24.346760898127926,7.790963487400935,490.83069970625894,276.5792038027332,31.16385394960374,469.40555011590635,260.99727682793133,40.902558308854914,8.764833923326053
08001001017,08,001,001017,471.9451233265996,300.7167038447022,31.949018069894674,14.681266502809574,473.1111870613272,306.69273005787016,31.94488453812048,498.1411785617063,291.01834546950977,30.276263962712342,4.641968975498772,500.2453259926442,292.71512322791824,29.19537167200012,454.79979897521105,284.84459736891995,26.790634236934025,24.81846665084525
08001001018,08,001,001018,501.49394478764196,271.4672231630395,41.51477865945274,11.466828502552467,470.0035356329628,294.8323968499343,52.09976783066163,503.0972415968709,285.63944572033625,24.054560218384157,6.344025994386619,496.15099640516814,286.58041539327127,32.22745004703902,466.29983056160324,271.17889364358865,46.9206015762019,13.799202537840005
08001001019,08,001,001019,308,164,20,13,309,179,16,314,168,13,7,314,168,18,306,158,21,14
08001001020,08,001,001020,509,161,25,18,497,176,30,509,155,34,6,523,146,33,487,160,22,18
08001001021,08,001,001021,623.7896103896104,222.10909090909092,37.92597402597403,15.597402597402597,594.0883116883117,247.1987012987013,42.71688311688312,621.387012987013,236.92987012987012,30.477922077922077,7.14935064935065,610.2077922077922,223.92987012987012,52.65714285714286,586.7298701298702,223.66103896103897,32.746753246753244,33.298701298701296
08001001022,08,001,001022,1087.8700196551997,365.12716887695,34.735348261585145,16.682371729615888,1033.4154975489867,372.18472988928403,60.24748447999232,1054.9897792600925,377.5991953627374,26.996222511589647,7.421107258599252,1028.841606058893,390.3817650128907,35.469916081146025,992.167569748122,344.9234919681975,58.876879677638954,21.62728479300527
08001001023,08,001,001023,399.12998034480023,165.87283112304996,31.264651738414855,12.317628270384112,390.58450245101324,184.81527011071597,22.752515520007677,401.0102207399073,174.40080463726258,18.00377748841035,7.578892741400747,398.15839394110697,170.6182349871093,26.530083918853972,385.8324302518779,162.0765080318025,16.123120322361043,11.372715206994728
08001001024,08,001,001024,617.3333333333334,251.19402985074626,24.860696517412936,14.676616915422885,601.6417910447761,260.37810945273634,33.875621890547265,623.8258706467661,243.87064676616916,27.35323383084577,5.676616915422885,620.4875621890548,239.70149253731344,33.02985074626866,605.9651741293533,245.19402985074626,22.199004975124378,6.845771144278607
08001001025,08,001,001025,560,232,19,14,532,264,20,543,243,23,5,554,229,25,536,218,25,10
08001001026,08,001,001026,616.5952592317036,279.1377918993203,52.537049868472295,15.528245531614495,597.9070569042864,306.18957935236944,52.9603416603436,618.1913919777923,287.1315723103301,42.91433142373255,8.750030463850987,606.3061276737576,292.56753864156,50.386383548233354,591.0739939494607,276.7948316105116,39.55129733942585,16.231505098473004
08001001027,08,001,001027,306.1102994476812,101.42364093616858,14.254537926815395,4.799374268242358,294.3171697703566,111.1718013435799,19.68846262891873,301.65981605063183,107.20908213722927,10.260203066202283,4.734451787622204,300.29004122710745,105.15828587430107,15.373651186124588,289.073876689194,100.19896118371126,16.57876402889559,7.17478293427134
