GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREUWES,G20PREOOTH,G20USSDHIC,G20USSRGAR,G20USSLDOA,G20USSODOY,G20USSOEVA,G20USSOWRI
08001001001,08,001,001001,940.2158859470469,280.8309572301426,15.659877800407331,4.219959266802444,3.073319755600815,4.109979633401222,4.219959266802444,922.2260692464358,276.2708757637474,28.916496945010184,9.293279022403258,8.183299389002038,0
08001001002,08,001,001002,1042.8002926741192,334.48786629302134,17.109238460993367,5.687386145155557,1.8893761327482317,2.8627547565346085,5.725173405148019,1017.2550593432292,345.82507539528746,23.71256609712391,7.586055043438021,4.761423654817073,0.00951683748169839
08001001003,08,001,001003,874.7768691070497,268.5870752417341,15.923085531877833,3.3184526446654816,0.03116387357139517,3.6884604661001097,5.3149663793181094,829.5993473878946,294.1592881593195,24.1272820583707,3.3496165182368767,4.882630810740691,0
08001001004,08,001,001004,531.0739415309547,243.02541024747978,11.001259066316566,5.0003433817227,1,4.578422969331215e-4,1.000457842296933,510.0711944771731,250.02598255035096,20.002289211484666,3.0003433817226997,3.4338172269984113e-4,0
08001001005,08,001,001005,939.0857142857143,349.24675324675326,17.462337662337664,3.8805194805194803,2.9103896103896103,4.850649350649351,8.731168831168832,923.5636363636363,343.42597402597403,29.103896103896105,8.731168831168832,7.7610389610389605,0
08001001006,08,001,001006,669.3602734687624,237.33845666876792,7.027398873185973,4.003223396845408,2,1.0016116984227044,4.008058492113522,670.2571247697093,223.42548838359394,11.030622270031381,5.003223396845408,6.009670190536226,2
08001001007,08,001,001007,709.2186537651053,413.08050305618616,11.535939350490573,2.1560237526409325,0,3.204120796252239,6.175794801597402,703.8491425827979,413.3758336772965,11.075067613716914,3.146199983824531,4.138666838596864,0.9901762311835985
08001001008,08,001,001008,615.2080994449287,292.12400025922005,18.003376244681736,6.138626694061574e-4,0,1.0009207940041092,6.001841588008219,595.2068717195899,302.12400025922005,24.003069313347034,3.0009207940041094,2.001227725338812,3.069313347030787e-4
08001001009,08,001,001009,564.7842996120609,277.893867773722,6.997327605813144,1.9992364588037552,0,0.9996182294018776,3.9984729176075104,539.793843877014,287.89005006774073,18.992746358635674,1.9992364588037552,7.996945835215021,0
08001001010,08,001,001010,808,376,19,2,3,7,6,790,371,33,7,6,0
08001001011,08,001,001011,1436.8871725847114,526.8183138913814,36.67993419647054,5.924988249369739,2.8308550185873607,4.377921633978549,10.566188095543307,1389.7739178737768,547.1374823740546,52.9847241806606,11.58669828654446,11.169636371405375,0
08001001012,08,001,001012,708.4231722428749,398.90582403965306,12.578686493184634,3.2819083023543993,5.169144981412639,3.2255266418835196,8.451053283767038,707.9157372986369,395.1728624535316,22.48079306071871,5.620198265179678,4.451053283767038,0
08001001013,08,001,001013,940,465,20,4,4,2,9,913,482,32,8,9,0
08001001014,08,001,001014,653,366,19,2,0,5,6,641,370,28,10,1,0
08001001015,08,001,001015,669.1261261261261,344.54354354354354,14.753753753753754,2.6036036036036037,3.4714714714714714,6.075075075075075,6.942942942942943,663.918918918919,338.4684684684685,26.036036036036037,6.075075075075075,5.207207207207207,0
08001001016,08,001,001016,648.5977103261279,348.64561606119184,15.58192697480187,14.608056538876754,3.8954817437004676,3.8954817437004676,2.921611307775351,643.7283581465023,353.51496824081744,28.24224264182839,2.921611307775351,4.869352179625585,0
08001001017,08,001,001017,689.4438203894463,387.6329632765347,21.629762711228906,3.8216877038573025,1.6838013766751274,3.0358196215557585,7.178358256116319,673.6866051463606,398.8531616281313,27.723700828423414,4.155577392690774,5.868032156473338,0.9794050343249427
08001001018,08,001,001018,743.1250832051381,387.8874789922662,18.40926382016863,5.193818430008944,3.2560369772395843,2.6072066978420008,7.877462200425341,735.1181084205366,397.33904569068585,24.293102460925272,9.768110931718754,2.668991594867172,0.020594965675057208
