GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16DELDNOR,G16DELLMOU,G16DELGSTR,G16DELOWRI,G16COUDWHI,G16COURCEL,G16COULKLO,G16COUGAIK,G16COUIGRO,G16COUICHE,G16COUOWRI,G16HALDGAR,G16HALOWRI
1100102-001,11,001,02-001,3697.378388604745,194.33659994014158,87.70061946016645,33.8843302459734,86.70402151175547,3381.4568389584633,360.7684573247756,185.36721840444272,31.89113434915144,2994.776834975002,498.2989742054912,289.01340503918493,371.73103475729647,1131.138671446465,367.7446429636525,43.850309730083225,3441.2527158631224,82.71762971811154
1100102-002,11,001,02-002,745.5898319689788,58.0340370529944,30.492460146488582,12.787160706591987,22.623438173201208,649.1943127962086,103.28091339939681,37.377854373115035,7.869021973287376,571.4877208099957,133.7733735458854,85.57561395950022,91.47738043946575,156.3968117190866,71.80482550624731,8.852649719948298,712.1464885825076,19.67255493321844
1100102-003,11,001,02-003,1391.9147829562512,217.26966319844547,40.67605566728888,29.762967561430887,50.59704485443251,1317.507364052674,202.38817941773004,95.24149619657884,22.818275130430347,1039.7196668126523,328.3847420944541,102.18618862757937,157.7437280755837,538.709712861899,116.07557348958046,15.873582699429805,1278.8155062228138,54.56544052928996
1100102-004,11,001,02-004,1793.3998705790964,194.51186152783825,45.173705838038224,26.47501101740242,60.546424510401515,1617.663612013845,247.21970837626012,100.66738300060389,23.447282568997384,1315.3310171643227,422.25396267665406,153.5914352166379,184.9704798563432,641.1933479418028,142.8619764930736,21.482021848876023,1617.4509994876512,52.81381383122607
1100102-005,11,001,02-005,2205.6832898721536,276.1326212002888,92.64024917026829,30.96908186471228,121.21016969084381,2009.2590858962149,370.04165997993516,142.68649109200632,34.858870964107474,1520.1780463131129,692.4575123044443,175.61401538039541,223.76661128126912,838.5431353892823,116.23624276660766,23.78731528018468,1864.2393115736381,76.93374358160946
1100102-006,11,001,02-006,2215,309,85,29,122,2009,362,166,34,1555,711,175,199,855,170,21,1992,76
1100102-007,11,001,02-007,1227,166,54,22,62,1140,206,91,25,937,333,106,150,541,85,15,1108,67
1100102-008,11,001,02-008,2384,300,89,23,126,2208,341,186,53,1770,663,162,229,1031,129,42,1980,113
1100102-009,11,001,02-009,1519.0033132020474,286.828734215259,56.32889427719605,16.63649399662146,92.62837587168953,1450.0067921000289,253.4068646970182,99.77886873513805,36.882136869781945,1112.789955267587,536.9742363025291,112.28531905204238,134.99249318282526,705.5592621259821,125.42780874239928,22.930612650920416,1309.605355313333,90.5770304723926
1100102-010,11,001,02-010,1728.3050847457628,208.81355932203388,49.40677966101695,16.779661016949152,75.50847457627118,1591.271186440678,223.72881355932202,125.84745762711864,24.23728813559322,1283.6440677966102,421.35593220338984,116.52542372881356,166.864406779661,761.6101694915254,150.08474576271186,17.71186440677966,1468.2203389830509,70.84745762711864
1100102-011,11,001,02-011,3188,363,126.00000000000001,60,147,2868,497,268,48,2265,839,238,381,1511,197,38,2989,131
1100102-012,11,001,02-012,512.4122246235198,95.0518170204331,24.01752917791603,3.0057788498624274,32.02292277112096,457.3756252410578,112.06953882667787,51.026775337695916,13.006549363177418,343.28354889991647,194.13040937856212,50.03274681588709,49.041800347338224,304.15699208792927,42.02138174449098,5.004430451561194,470.3476941333894,34.014447124656066
1100102-013,11,001,02-013,1362.774184011543,109.72995337208816,37.047723715965,14.692188298354365,37.105406074161195,1221.5927304161164,166.18145359542655,76.21081214832239,17.547982402863873,979.9985764186807,238.3728658330843,92.01836516306915,115.30625958025239,619.1946450205182,73.32617686471478,14.77871183564866,1121.1800300141072,26.16308843235739
1100102-014,11,001,02-014,2764,210,77,34,75,2486,308,185,20,2171,461,217,288,1210,175,33,2467,76
1100102-015,11,001,02-015,2918.3655913978496,157.1290322580645,72.57788806175903,29.615108905431487,70.51102839812518,2569.829611248966,290.60283981251723,191.56741108354012,29.54824924179763,2158.1942376619795,411.07664736696995,172.67728149986215,254.76040805073063,1265.4247311827958,134.7976288944031,20.601736972704714,2458.0110283981253,62.056382685414945
1100102-016,11,001,02-016,3298,150,70,41,83,2969,339,156,39,2552,449,226,299,1510,184,33,2881,80
1100102-017,11,001,02-017,4232.634408602151,230.8709677419355,116.42211193824097,45.384891094568516,111.48897160187482,3824.170388751034,413.39716018748277,189.43258891645988,40.45175075820237,3260.8057623380205,595.92335263303,271.32271850013785,351.23959194926937,1654.5752688172042,280.2023711055969,44.398263027295286,3689.9889716018747,77.94361731458505
1100102-018,11,001,02-018,3887.053329578982,98.69327387939549,74.31473236376232,38.12044126686932,87.30904828429199,3623.9327654379995,266.28402931649435,157.65456458896972,28.11612664865271,3186.555511267348,346.77799237123276,207.02518197771712,331.31522817156997,1425.0476250114814,331.29062473996765,48.15612143940045,3490.150580700628,104.29398787837509
1100102-019,11,001,02-019,3108,61,58,55,51,2889,179,189,27,2607,180,146,398,1351,255,41,2849,78
1100102-020,11,001,02-020,1050.9081967213115,15.636065573770491,8.229508196721312,13.99016393442623,8.229508196721312,964.4983606557378,42.79344262295082,27.15737704918033,7.406557377049181,896.1934426229508,47.731147540983606,72.41967213114754,104.51475409836065,253.4688524590164,101.22295081967214,11.521311475409835,955.4459016393444,15.636065573770491
1100102-021,11,001,02-021,903,26,13,15,14,852,44,41,11,754,64,45,94,366,84,30.999999999999996,814,30.999999999999996
1100102-022,11,001,02-022,3326,103,77,34,83,2961,282,188,43,2637,397,175,300,1591,196,53,2936,94
1100102-023,11,001,02-023,2523,66,42,45,45,2322,167,115,17,2083,219,144,289,1056,175,19,2291,48
1100102-024,11,001,02-024,2494,89,56,33,37,2232,210,152,18,2000,243,156,284,1267,135,26,2201,63
1100102-025,11,001,02-025,3860.471758664955,157.9788189987163,86.298459563543,59.298459563543005,86.52759948652118,3481.284980744544,336.4229781771502,232.35365853658536,39.534659820282414,3007.410783055199,429.7073170731707,210.66623876765084,458.7836970474968,1987.0173299101411,186.88831835686779,37.22913992297818,3323.826700898588,98.75673940949935
1100102-026,11,001,02-026,2787.2258159884573,159.27004662791182,68.952276284035,23.307811701645633,70.8945939258388,2545.4072695838836,241.81854640457345,141.7891878516776,18.452017597136127,2155.001423581319,416.6271341669157,168.98163483693085,279.6937404197476,1420.8053549794818,145.6738231352852,26.22128816435134,2396.819969985893,72.8369115676426
1100102-027,11,001,02-027,2249.941251596424,123.24393358876118,51.26947637292465,27.606641123882504,74.93231162196679,2035.0038314176245,196.2043422733078,159.72413793103448,34.50830140485313,1762.8812260536397,338.18135376756067,109.44061302681992,250.43167305236273,1149.6194125159643,123.24393358876118,18.733077905491697,1843.7292464878672,82.8199233716475
1100102-028,11,001,02-028,2356,264,51,52,91,2183,238,182,33,1858,469,146,285,1103,157,24,2038,67
1100102-029,11,001,02-029,1295,102,46,33,32,1170,146,115,12,1000.0000000000001,250.00000000000003,88,191,632,110,6,1177,42
1100102-030,11,001,02-030,1142.7541528239203,121.07419712070875,27.940199335548172,13.03875968992248,43.77297895902547,1054.2768549280177,114.55481727574751,91.27131782945736,23.283499446290143,922.0265780730897,224.452934662237,46.56699889258029,83.82059800664452,707.8183831672204,66.12513842746401,17.695459579180508,974.1816168327796,47.498338870431894
1100102-031,11,001,02-031,2206.9374492282695,206.28350934199838,51.32412672623883,34.545085296506905,69.09017059301381,2092.4451665312754,204.30950446791226,144.10235580828595,30.597075548334686,1781.5393988627131,363.21689683184405,104.62225832656377,203.3225020308692,1290.0121852152722,124.36230706742485,25.662063363119415,1898.9926888708367,70.07717303005687
1100102-032,11,001,02-032,2479.867390219561,181.7443862275449,38.73241017964072,28.801022954091817,60.58146207584831,2286.2053393213573,192.6689121756487,155.92277944111777,40.7186876247505,1987.2705838323354,374.4132984031936,96.33445608782435,216.50424151696606,1352.6549401197606,119.17664670658682,37.73927145708583,2080.625623752495,72.49912674650699
1100102-033,11,001,02-033,2751.3223462079673,178.87470413578973,57.968921830668165,36.570629335199335,63.44056761955017,2501.067775368803,224.9815359702052,198.23556765778787,32.74232234764188,2187.350435623007,377.1231622005032,144.15232609493657,279.9009117779766,1571.706186286431,132.48959934537058,23.499207523650018,2279.0770159871827,95.62630916328263
1100102-034,11,001,02-034,2764.5468582436642,150.27113218270918,74.39894289438053,34.621290257781034,70.7158269095102,2539.1401599696005,225.40669827406376,180.47268325864582,25.78181189409226,2180.4046630432313,354.31575774452506,151.7443785766573,293.9126555926518,1305.2963050380424,165.00359612219046,26.518435091066323,2441.905897969024,66.2960877276658
1100102-035,11,001,02-035,3168,73,48,59,51,2886,162,220,21,2563,229,146,394,1672,142,27,2830,61
1100102-036,11,001,02-036,3387,108,53,51,41,3144,161,197,13,2802,262,173,447,1298,279,34,3094,56
