GEOID20,STATEFP,COUNTYFP,DISTRICT,G18DELDNOR,G18DELRRIM,G18DELLMAJ,G18DELGSTR,G18DELICHE,G18DELOWRI,G18MAYDBOW,G18MAYLMOU,G18MAYGWIL,G18MAYICAN,G18MAYOWRI,G18ATGDRAC,G18ATGLHEN,G18ATGOWRI,G18CHADMEN,G18CHALBIS,G18CHAOWRI,G18COUDBON,G18COURCHI,G18COUGSCH,G18COUIREE,G18COUISIL,G18COUILEW,G18COUOWRI,G18HALDGAR,G18HALOWRI,G18USSDBRO,G18USSGORY,G18USSOWRI
1100102-001,11,001,02-001,2381.869096702248,159.4556717457572,39.8639179364393,95.67340304745431,78.7312379244676,16.9421651229867,2146.6719808772564,114.60876406726298,189.35361019808667,180.3842286623878,110.62237227361905,2469.5697161624144,237.19031172181383,11.95917538093179,2380.872498753837,266.09165222573233,54.812887162604035,1924.430638381607,195.33319788855255,315.92154964628145,477.3704172888606,987.6285668752836,119.5917538093179,38.867319988028314,2465.5833243687707,68.76525844035778,2232.379404440601,378.70722039617334,40.86051588485028
1100102-002,11,001,02-002,325.5807841447652,23.60706591986213,7.869021973287376,15.738043946574752,9.83627746660922,0.983627746660922,302.957345971564,13.770788453252909,34.42697113313227,21.639810426540283,8.852649719948298,341.3188280913399,31.476087893149504,0.983627746660922,330.4989228780698,31.476087893149504,10.819905213270141,275.41576906505816,35.41059887979319,60.984920292977165,51.14864282636795,136.72425678586816,11.803532959931065,3.934510986643688,342.30245583800087,13.770788453252909,308.85911245152954,54.09952606635071,4.91813873330461
1100102-003,11,001,02-003,920.6677965669287,125.99656267672408,23.81037404914471,39.683956748574516,29.762967561430887,10.913088105857991,871.0628506312106,60.518034041576136,90.28100160300703,73.41531998486285,29.762967561430887,979.2016327710762,123.020265920581,6.94469243100054,949.4386652096453,130.9570572702959,18.849879455572893,659.7457809450513,141.87014537615389,125.99656267672408,181.55410212472842,530.7729215121841,48.61284701700378,18.849879455572893,925.6282911605006,36.707659992431424,790.7028382153472,220.24595995458856,24.80247296785907
1100102-004,11,001,02-004,1172.4410696448533,143.0999196547966,43.70379587893959,56.49133760023367,25.46166004913598,14.563429680874648,1102.2598979886686,80.72394197067176,105.40146259828839,87.70329363234403,44.729971960781036,1236.7905847085492,163.45703124461596,16.46151835053762,1230.5972365710581,158.69661969704083,30.215659039923622,889.0164617696108,168.48799509668666,157.22134419717045,226.90780111341874,574.2729830121551,60.35113985025394,12.744837518064354,1207.4698041321335,45.82923199268766,1061.2451048888188,252.32320981956093,29.198760931893112
1100102-005,11,001,02-005,1405.0479898596984,208.25734819788144,62.605057770574724,67.07414086324847,47.930041391372775,16.536772413346476,1416.4548488282,101.96816532995318,132.86571561116386,98.22327626502182,40.64689825301862,1499.408872839036,219.00558510763028,15.607272046869705,1505.1839379812554,215.82978319047677,26.109740583014652,1009.6337903430933,245.1852224767956,198.75999556568001,293.33455486179184,773.0849821865744,63.22072984475762,21.466726844815362,1374.343253192131,69.67922083527317,1228.963716733095,285.2781387407655,59.069454923875846
1100102-006,11,001,02-006,1321,185,44,57,41,16,1311,91,111,94,40,1410,187,19,1416,181,28,954,222,184,248,651,37,14,1326,75,1190,264,49
1100102-007,11,001,02-007,843,116,29,31,21,1,824,66,76,46,12,884,126,6,885,122,12,584,133,119,248,425,40,9,825,51,736,169,35
1100102-008,11,001,02-008,1644,221,51,87,77,26,1716,100,137,96,40,1779,229,17,1793,218,38,1063,244,183,500,1016,71,11,1591,77,1449,332,57
1100102-009,11,001,02-009,935.39516751246,185.70460194803346,31.29935941527922,35.61108598048484,33.231190656341155,14.212145595844913,982.285064782658,58.04547677163939,74.04369581861499,84.8050932463133,18.26705546279155,1019.1271403795564,155.15951665152653,9.222492100091445,1030.294174674071,141.02274454585995,23.59773430669898,624.9093700418061,209.40265537683766,116.49689813765059,272.65729678801017,549.016226338908,40.582486712800794,11.063336253100928,913.5050274695865,43.12121626579366,852.8600931809773,169.62177163764076,36.94304062362052
1100102-010,11,001,02-010,1141.0169491525423,139.83050847457628,30.76271186440678,62.45762711864407,42.88135593220339,13.983050847457626,1135.4237288135594,61.52542372881356,94.15254237288136,90.42372881355932,19.576271186440678,1238.8983050847457,139.83050847457628,6.525423728813559,1227.7118644067796,151.94915254237287,16.779661016949152,779.3220338983051,172.45762711864407,147.28813559322035,292.7118644067797,672.1186440677966,43.813559322033896,8.389830508474576,1100,43.813559322033896,1003.9830508474577,220,28.898305084745765
1100102-011,11,001,02-011,2191,187,67,136,76,20,2026,125,250,161,66,2353,237,15,2313,247,52,1550,229,336,446,1270,97,21,2240,81,1931,505,50
1100102-012,11,001,02-012,353.2623597837542,67.03910355073576,18.0117503280536,12.012520841368593,15.009053531451135,2.0030820532599614,316.26505658035666,32.01907020454601,38.024849054408435,54.01829969123102,13.007512504821156,388.280081589999,63.041029834023234,1.0028894249312137,403.28123735997144,55.04045194903699,3.0048157082186893,222.18819787718638,83.04603817057067,49.03717726744828,105.05489907369306,245.1448565032182,18.0117503280536,5.004045194903699,348.2561956772343,20.013098726354837,307.2292277112096,87.05316541873434,12.011172443067359
1100102-013,11,001,02-013,898.172140867067,95.9512415364395,28.903517820474505,46.46094149177183,22.78815310408211,11.519141223765775,834.5098284954063,53.20137087988894,90.86420062534746,58.84531808848056,33.78815310408211,977.9309354182533,87.71055346142352,8.20188825368669,945.9602939711492,99.86420062534745,24.153647163923942,624.1563625729866,110.45098284954064,124.91192434131246,196.72840125069493,583.34880955823985,39.85527673071176,20.721029477452465,877.0184937031431,44.22077079055359,770.1448518093622,173.35346592241964,31.21132952212014
1100102-014,11,001,02-014,1855,146,56,74,39,17,1628,102,202,127,75,1922,197,11,1837,222,59,1297,181,270,401,1067,76,21,1838,70,1587,368,48
1100102-015,11,001,02-015,2014.2838433967468,117.23311276537083,70.20347394540943,132.56451612903226,39.936035290874,15.334298318169285,1797.2990074441686,92.95230217810862,233.2360077198787,148.9017094017094,70.57788806175903,2145.834987593052,189.67728149986215,9.307554452715744,1994.6553625585884,244.3993658671078,68.28370554177006,1389.605459057072,153.2360077198787,282.1883098979873,317.9132892197408,1303.0416322029225,67.59125999448581,21.628480838158257,2016.259994485801,85.25696167631652,1767.8472566859664,412.5121312379377,47.85580369451338
1100102-016,11,001,02-016,2193,133,72,106,53,23,1943,93,224,144,108,2277,222,18,2147,259,83,1581,183,314,459,1304,76,37,2177,85,1933,386,62
1100102-017,11,001,02-017,2824.7161566032532,164.76688723462917,88.79652605459057,115.43548387096774,69.063964709126,24.665701681830715,2530.7009925558314,144.04769782189138,238.7639922801213,214.0982905982906,116.42211193824097,2939.165012406948,271.32271850013785,22.692445547284258,2778.3446374414116,324.6006341328922,94.71629445822994,2184.394540942928,238.7639922801213,382.8116901020127,510.0867107802592,1404.9583677970775,117.4087400055142,46.37151916184174,2896.740005514199,92.74303832368348,2571.1527433140336,480.4878687620623,63.14419630548663
1100102-018,11,001,02-018,2711.430678778523,97.5710902175781,45.14645491756663,96.34194877647445,84.27872001537807,18.060946733215076,2308.608501095064,108.40762504206639,247.67211447984803,194.64025127306618,149.3892453228676,2818.747900627247,182.84640818136717,15.042691732789278,2702.4310109543762,216.95066901861188,76.19686332016154,2026.7981867777637,120.70186235798747,316.1296922525078,583.6941018630563,1217.5307601622474,98.42297564337052,41.13931863853548,2683.7318029359294,82.24656661320897,2510.896513475957,386.35231978582067,39.14653765587375
1100102-019,11,001,02-019,2196,53,44,110,50,26,1775,67,284,191,120,2297,143,15,2121,212,83,1612,72,285,486,1091,98,33,2197,50,1951,403,30
1100102-020,11,001,02-020,608.1606557377049,6.583606557377049,8.229508196721312,14.813114754098361,13.167213114754098,3.2918032786885245,545.616393442623,11.521311475409835,49.37704918032787,32.91803278688525,13.167213114754098,612.2754098360656,32.91803278688525,1.6459016393442623,589.2327868852459,46.08524590163934,9.052459016393442,530.8032786885246,14.813114754098361,67.48196721311476,159.65245901639346,166.2360655737705,23.865573770491803,9.875409836065574,605.6918032786886,12.344262295081968,564.544262295082,71.5967213114754,5.7606557377049175
1100102-021,11,001,02-021,669,23,9,14,15,9,554,13,61,51,36,672,46,3,635,57,25,528,30.999999999999996,72,144,308,26,10,647,14,595,97,16
1100102-022,11,001,02-022,2369,109,69,102,46,20,2036,93,233,163,129,2478,178,16,2295,256,91,1683,163,318,497,1377,86,30,2328,84,2070,414,55
1100102-023,11,001,02-023,1773,52,33,75,34,14,1494,70,177,130,86,1813,116,5,1698,162,68,1288,89,264,381,862,74,20,1715,52,1525,335,21
1100102-024,11,001,02-024,1800,68,48,100,39,6,1517,60,257,121,75,1890,121,10,1763,165,70,1258,95,282,384,1050,49,24,1784,53,1546,357,29
1100102-025,11,001,02-025,2721.37676508344,137.05519897304237,79.14569961489089,173.13157894736844,77.68741976893453,28.534659820282414,2366.724646983312,121.6803594351733,349.7284980744544,187.3607188703466,115.13863928112966,2933.195763799743,221.28433889602053,12.229139922978177,2744.216944801027,284.2772785622593,91.37483953786906,1742.7811296534019,178.74261874197688,383.790757381258,574.3042362002567,1813.642490372272,107.44415917843389,32.534659820282414,2656.751604621309,113.37483953786906,2263.5789473684213,612.9223363286264,64.68741976893453
1100102-026,11,001,02-026,2059.827859132933,133.0487584635605,64.0964821795255,116.53905850822817,60.21184689591789,17.480858776234225,1835.4901715045937,107.79862912011106,231.13579937465255,163.15468191151945,60.21184689591789,2220.0690645817467,192.28944653857647,6.79811174631331,2120.039706028851,231.13579937465255,38.84635283607606,1385.8436374270134,183.54901715045938,300.08807565868756,462.2715987493051,1358.6511904417603,96.14472326928824,24.278970522547535,2020.9815062968569,74.77922920944641,1755.8551481906377,449.6465340775804,40.78867047787986
1100102-027,11,001,02-027,1655.4125159642401,118.31417624521073,39.43805874840358,103.52490421455938,52.25542784163474,25.634738186462325,1496.6743295019157,72.960408684546607,189.30268199233717,136.06130268199234,54.22733077905492,1786.544061302682,145.92081736909321,10.845466155810984,1724.4291187739464,183.38697318007664,41.40996168582375,990.8812260536398,140.00510855683268,225.78288633461048,442.69220945083015,1213.70625798212,57.18518518518518,15.77522349936143,1561.7471264367816,59.157088122605366,1342.8659003831417,366.7739463601533,50.28352490421456
