GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREILAR,G20PREIPIE,G20PREOWRI,G20DELDNOR,G20DELLHYN,G20DELGSTR,G20DELSMUS,G20DELIFRA,G20DELIKRU,G20DELILOW,G20DELICHE,G20DELOWRI,G20COUDWHI,G20COURPIC,G20COULBIS,G20COUGWIL,G20COUIHEN,G20COUIORA,G20COUILAZ,G20COUIGOO,G20COUIBAT,G20COUIPAL,G20COUIGAR,G20COUILEW,G20COUIJAY,G20COUIBAR,G20COUIHOW,G20COUIMER,G20COUIHE2,G20COUIPAD,G20COUIGUR,G20COUISCR,G20COUISIL,G20COUICRI,G20COUIMUR,G20COUIROG,G20COUOWRI,G20USSDSTR,G20USSRWEI,G20USSGORY,G20USSOWRI,G20HALDOWO,G20HALGROB,G20HALISYE,G20HALOWRI
1100102-001,11,001,02-001,6877.52244198419,347.81268399543285,48.83329947213814,46.84010357531618,10.962577432520806,6.976185638876877,43.850309730083225,5815.149028978082,211.27876506312828,146.49989841641442,123.57814560296183,139.52371277753755,91.68701125381038,88.69721740857744,53.81628921419305,36.87412409120635,1914.4646588974972,316.9181475946924,113.612166118852,155.46927995211325,967.6966079070639,670.7104192805912,693.6321720940438,633.8362951893848,207.29237326948436,187.3604143012647,125.57134149978378,86.70402151175547,76.73804202764565,97.66659894427627,62.78567074989189,77.73463997605663,47.83670152372716,78.7312379244676,35.87752614279537,40.86051588485028,87.70061946016645,37.870722039617334,32.88773229756242,26.908144607096524,30.894536400740456,3343.586116918846,409.6017567969138,343.82629220178893,33.8843302459734,3194.096424657199,313.92835374945946,322.8977352851583,59.79587690465895
1100102-002,11,001,02-002,358.0404997845756,32.459715639810426,2.9508832399827662,2.9508832399827662,1.967255493321844,0,5.9017664799655325,289.1865575183111,18.688927186557518,6.885394226626454,13.770788453252909,11.803532959931065,10.819905213270141,7.869021973287376,4.91813873330461,4.91813873330461,158.36406721240846,33.44334338647135,13.770788453252909,20.65618267987936,86.55924170616113,17.705299439896596,70.82119775958638,54.09952606635071,33.44334338647135,19.67255493321844,14.75441619991383,13.770788453252909,2.9508832399827662,19.67255493321844,6.885394226626454,7.869021973287376,2.9508832399827662,1.967255493321844,1.967255493321844,2.9508832399827662,2.9508832399827662,7.869021973287376,0.983627746660922,3.934510986643688,3.934510986643688,267.5467470917708,45.246876346402416,48.19775958638518,2.9508832399827662,285.2520465316674,26.557949159844895,36.39422662645411,8.852649719948298
1100102-003,11,001,02-003,1448.4644213229699,233.1432458978753,10.913088105857991,6.94469243100054,4.9604945935718145,1.9841978374287257,19.841978374287258,1227.2263624496668,101.19408970886502,28.770868642716522,34.7234621550027,63.49433079771922,49.60494593571814,18.849879455572893,18.849879455572893,14.881483780715444,626.014417708763,215.28546536101675,56.54963836671868,85.3205070094352,426.60253504717605,121.03606808315227,254.96942210959125,340.28992911902645,65.47852863514795,74.40741890357722,25.794571886573436,24.80247296785907,42.6602535047176,35.71556107371706,13.88938486200108,23.81037404914471,17.85778053685853,15.873582699429805,5.952593512286177,17.85778053685853,8.928890268429265,14.881483780715444,10.913088105857991,5.952593512286177,14.881483780715444,1033.767073300366,254.96942210959125,158.73582699429807,19.841978374287258,995.075215470506,125.99656267672408,168.65681618144168,36.707659992431424
1100102-004,11,001,02-004,2003.370576803727,259.7756280893101,24.238516270044872,9.744623399471328,2.96342181497008,0.015189873417721518,31.1056269181863,1671.7269831709361,146.68512180337652,35.04729043490195,49.670978952266765,64.32200073388367,73.84164144911261,36.91618173765084,22.4035518538955,10.802361608069576,882.9529989411625,281.83267827162143,77.8008595990887,77.17148432876999,601.567555984908,105.35857732949876,369.5397001092894,475.98029926689986,87.83900117874207,128.17598080884142,48.654762566976885,37.05998487793847,52.44434628395542,43.99140215951485,21.434087468780145,31.1687511716999,33.934022909498964,25.224352908499306,6.827953584675768,19.470509785760864,21.33062377187953,18.565352034080465,24.205771763366716,13.610337549098372,13.678691979478119,1515.6083076193754,343.0796978997448,173.65111935539136,18.52146545092938,1481.858608359111,118.07894700033445,259.3474462165904,31.283857602254166
1100102-005,11,001,02-005,2281.699178738853,356.5545683429288,27.892311419238187,12.357489389600396,4.108057584821271,2.0002270324960576,43.14253783775351,1932.499689257999,197.39487666208143,60.28508162435896,40.82725793465647,64.36819255208368,79.71867502058554,60.353551762092785,20.824577390652042,28.39262228470544,858.5094051381207,353.3724414641301,92.86137703135242,109.83121475073943,692.141606281494,203.86152948170286,304.6136251778674,836.4724829464787,69.22641332994128,118.7220857248857,52.78642530176972,20.363093762703347,67.93180350164687,47.61162093042725,12.78882190264735,30.146266584334334,30.251727092126057,27.92960793387286,1.252004781387463,28.715432844192907,11.787483808092214,14.68144541531425,20.89365981753942,14.499861155369297,20.501460686587798,1658.7690887775052,444.6207882062426,157.38620718628454,28.680279341595664,1534.5290397121692,145.33938056874317,295.54641927349195,53.14581601227123
1100102-006,11,001,02-006,2185,350,32,7,1,7,32,1815,161,45,51,72,89,47,22,24,809,346,73,82,584,207,373,708,88,108,57,38,55,53,23,37,37,25,9,25,13,21,20,16,24,1553,458,169,24,1487,162,304,50
1100102-007,11,001,02-007,1334,218,18,6,4,1,17,1100,103,23,29,57,56,31,25,12,481,213,56,55,391,120,254,446,46,82,35,21,46,39,19,37,22,14,8,17,7,22,10,1,11,987,285,107,18,881,110,203,34
1100102-008,11,001,02-008,2757,372,33,4,2,4,60,2356,207,52,43,116,113,41,32,47,895,431,87,89,858,301,604,1132,117,147,60,28,162,31,7,37,46,34,5,21,15,19,11,9,27,1998,546,203,45,1753,188,403,66
1100102-009,11,001,02-009,1509.8340608356123,318.8944385311616,13.539639348245174,2.648080208969302,0.7342734134172111,2.161588346252874,37.429675783510994,1289.6741075836087,127.05566915289856,20.70678392882702,13.105477942351996,74.72392331073132,65.15005213086542,27.00214229122728,13.135496306438338,26.047748454207273,478.6410918415192,337.186446853254,33.463344703334364,46.373909198292566,452.1540830690882,168.64620234204426,240.05693296749405,769.0913566294772,45.5196050981164,51.630553720376895,39.39755429934444,21.169541522384115,48.386405205892714,21.165955403107773,8.29832436079252,24.055250071942105,18.53624652310327,10.995148907308732,3.734273413417211,14.359812144388233,10.350959465151151,5.434343874214296,8.113975977093311,12.59787760387303,12.535261465576955,1036.9647133529713,401.0357132450639,96.96545579029832,17.9007267581948,883.528518447651,98.88875650393136,272.6190844878034,47.28007829106212
1100102-010,11,001,02-010,1819.6610169491526,230.25423728813558,13.050847457627118,5.593220338983051,4.661016949152542,1.8644067796610169,29.83050847457627,1556.7796610169491,96.01694915254237,31.694915254237287,33.559322033898304,67.11864406779661,62.45762711864407,28.898305084745765,18.64406779661017,11.186440677966102,645.0847457627119,255.42372881355934,38.220338983050844,66.1864406779661,556.5254237288136,165,327.20338983050846,704.7457627118644,44.74576271186441,102.54237288135593,49.40677966101695,24.23728813559322,68.05084745762711,46.610169491525426,16.779661016949152,29.83050847457627,27.033898305084747,13.983050847457626,4.661016949152542,6.525423728813559,12.11864406779661,10.254237288135593,7.4576271186440675,13.983050847457626,7.4576271186440675,1385.2542372881355,304.8305084745763,117.45762711864407,13.983050847457626,1180.1694915254236,127.71186440677967,239.5762711864407,31.694915254237287
