GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PREGSTE,G16PRELJOH,G16HALDROC,G16HALRREI,G16HALGPER,G16HALLGES,G16GOVDCAR,G16GOVRBON,G16GOVGGRO,G16GOVLGOW,G16LTGDHAL,G16LTGRGUN,G16INSDNAV,G16INSRCRA
10001001-28,10,001,001-28,523.7501796981171,236.01668779933107,18.806110581620004,28.209165872430006,519.0486520527121,195.58355004884805,25.388249285187005,10.343360819891002,546.3175123960611,189.00141134528104,14.104582936215003,8.462749761729002,542.5562902797371,206.86721639782004,548.1981234542232,190.88202240344305
10001001-29,10,001,001-29,2165.837918536998,2858.893788131766,73.92890042425326,198.28890054321016,2248.0117695102444,2574.6564544805938,122.85748747026138,96.46221494457379,2574.3294376847853,2438.1891121028334,62.12130395843982,58.1732347047471,2719.1540996056774,2301.865156307057,2482.9942587862415,2491.2129679814966
10001001-30,10,001,001-30,895.0701929806119,1580.7980218656292,37.13892422301187,98.44366317523193,930.0553005823622,1486.2399831477178,55.095596616103514,36.887862960713946,1026.9752607090768,1467.9889292720306,35.00794601144186,19.74254904912249,1143.8326862392034,1337.3214611580927,963.2909432855122,1508.0170281196563
10001001-31,10,001,001-31,49.04381245196004,77.64488854727134,1.0315142198308993,4.03228285933897,47.44965411222137,77.83243658724058,1.7817063797079171,1.2190622598001537,54.48270561106841,72.3935434281322,1.5003843197540354,0.8439661798616449,60.6717909300538,65.92313604919293,51.10684089162183,72.95618754803996
10001001-32,10,001,001-32,1151.9297608481434,592.7768775168169,34.61823908422146,74.08467501780997,1109.6761045552148,550.3202119028444,44.50632605059402,32.866816109924244,1128.9388481811477,586.50047768604,26.713362668612668,20.86004225719649,1107.8692159418206,612.2914770479,1172.2603435830147,549.2124570073787
10001001-33,10,001,001-33,184,182,5,15,187,183,3,5,187,188,2,4,205,171,189,185
10001001-34,10,001,001-34,205.25430942296518,186.77301190035567,7.167114024026322,19.728162209591797,196.52950052048052,196.4845597880362,3.760632570576552,7.43107762173788,206.62717147073948,194.66939261872025,4.202937692118227,4.785834808077977,226.93427141997054,178.26280351159028,214.55613020376896,185.49578728784
10001002-28,10,001,002-28,807.4878201770553,770.6930930348356,27.073410027095015,59.87743612625371,829.6997924224494,683.3487470981175,50.93536513602473,28.738356580725682,935.2437270840204,627.0654276679535,27.680427570954663,30.40330313435635,988.8894471711901,604.38448276977,897.8900951235443,667.8998984745314
10001002-29,10,001,002-29,2146.7931445781846,1660.2795359705203,53.673298914267455,114.81189773031961,2083.433204987884,1563.3407175854677,75.7506203114711,47.580033124063405,2228.911662408399,1541.5947212760332,34.62557955770875,34.934837499134225,2252.971159511632,1507.7139826964474,2196.7232394693865,1522.6744356781278
10001002-30,10,001,002-30,114.91643812251695,172.9039738473254,4.049631188969783,11.745301544914195,113.79728067597243,163.08501379294603,4.741790038305999,5.884354060063674,134.79611190819043,157.89281858221858,2.942177030031837,2.515178432823531,126.3146564020572,159.37076258174363,122.43856684577439,162.55469328869023
10001002-31,10,001,002-31,929.0830108243131,596.2921432139883,25.108309741881765,63.56800666111573,929.657572023314,593.3071174021649,26.292309741881766,27.417232306411325,961.5720366361365,594.6400399666944,18.814361365528725,17.601232306411323,956.7236169858451,613.6724596169859,930.4743913405496,606.3212722731057
10001002-32,10,001,002-32,765.258315682487,516.0769486100404,26.173602338845956,50.57772003484839,725.0571855488522,526.8912647599888,24.729553390365393,23.292359135801192,759.1242566997189,533.9729027521911,18.402632259495793,15.379577445088728,787.5933405557757,505.75554874341526,763.281069594827,506.9370678758966
10001002-33,10,001,002-33,890.2676369640495,1029.438884478336,21.47569360646972,88.8260450007444,877.2669675549532,1031.9063890165946,31.653673432467034,34.56015527087772,914.6969640714051,1051.0675906623437,12.468824428081112,23.560894205334233,970.3390336848549,994.8616310649502,910.9918211239884,1033.2856425763114
10001002-34,10,001,002-34,71.71401912049971,216.27909259007262,3.8923221828214345,18.554370152168865,69.30612864579581,220.33768520816156,2.81923736795622,6.884559249268239,97.29862559734886,200.90479079782594,2.8949098273391662,3.9741395641721433,119.74767184035477,177.3740669884546,86.80191311726048,209.89143793308625
10001003-28,10,001,003-28,234.6248066227511,244.9220274337516,7.8709426199946835,21.66180740964301,242.63880802703446,217.8971725290102,14.533565804835192,7.986594310540024,274.22618356641476,203.0530937196402,7.612232145160642,6.032562202413033,296.97764706288064,186.565495806678,264.0937074915442,214.42430798119423
10001003-29,10,001,003-29,297.6684912936835,483.9289509497619,9.197543490664167,25.677992521555165,297.86802022657133,465.96925704790806,15.635644760125928,10.397943773904574,338.42987428243,443.6826488339363,9.484883947604931,5.340325025605579,377.0028092640891,404.5537728595761,317.4388512752848,450.38935063915847
10001003-30,10,001,003-30,332.6507936507937,1261.6507936507935,24.68253968253968,49.55555555555556,396.3968253968254,1132.4285714285713,33.492063492063494,25.555555555555557,471.1904761904762,1122.6190476190477,20.746031746031747,19.746031746031747,606.9047619047619,980.8412698412699,432.07936507936506,1141.920634920635
10001003-31,10,001,003-31,1249,834,34,82,1185,894,32,29,1276,846,22,24,1303,834,1242,862
10001003-32,10,001,003-32,570.6680719800402,420.80489723423426,15.695119338316672,40.51997038188866,533.5650927427457,432.94673849801734,15.689896275284122,13.839592060535946,566.3566870350135,431.638188613097,6.978957903727299,10.104179631277377,583.0419349735861,415.54399656556825,564.5759908197897,423.024107407643
10001003-33,10,001,003-33,505.597515907578,828.6723764585594,15.616911688264958,69.30004561667575,514.382028732227,817.9357496728771,25.377481493430555,12.688740746715277,542.6876811672073,836.4808323026919,9.760569805165598,12.688740746715277,622.7243535695652,725.210336523804,547.5679660697901,802.3188379846122
10001003-34,10,001,003-34,1078.3298956761762,1438.6020317906145,42.47745224169615,104.11750374252063,1052.9529959908393,1417.9052032185111,42.24459715315858,35.774772714125014,1152.939165656753,1402.9525392968835,23.79956794898706,24.371786630280557,1220.111444748236,1313.340428687302,1133.0144339631695,1381.435269909235
10001004-28,10,001,004-28,23.859649122807017,34.59649122807018,0.5964912280701754,1.7894736842105263,24.157894736842103,30.12280701754386,2.3859649122807016,0.5964912280701754,30.42105263157895,27.736842105263158,0,0.5964912280701754,29.82456140350877,26.245614035087716,28.92982456140351,27.438596491228072
10001004-29,10,001,004-29,270.5449654112221,428.3197540353574,5.690238278247501,22.243658724058417,261.7509607993851,429.35434281322057,9.8285933897002291,6.7248270561106835,300.54803996925443,399.3512682551883,8.276710222905457,4.655649500384319,334.6894696387394,363.65795541890856,281.9254419677171,402.45503458877783
10001004-30,10,001,004-30,182.86675403630062,548.3912865633096,7.948725146574057,22.51837184494831,207.0943954572068,490.18348553508554,17.129537940824985,11.235229425493861,248.09417601719588,474.2967643827047,10.78861703066225,7.69929468002342,285.2562321444326,431.6587194520416,220.9766710244544,496.11703531412167
10001004-31,10,001,004-31,645.3222737311207,340.12151304616026,19.010566351840023,55.70012678082674,596.627430126214,359.816356651067,27.015849527760036,13.347421802453365,608.9642855768274,377.4795012004537,16.673710901226684,12.352704978373376,628.6485628298941,370.1479289257603,630.3275569070407,350.4689348486136
10001004-32,10,001,004-32,221.23504385662656,88.64317330016381,3.659611957811633,11.444549197664553,205.9385087004622,92.76473275323518,5.348718981295104,3.6646330631048625,208.40548122894106,100.26126735366692,0.008159296101497602,2.2011648628772016,198.49783389641763,100.95502934500071,208.16666200429052,84.71910966187214
10001004-33,10,001,004-33,668.4002478581434,1134.7248541457054,19.74992691592372,96.40854088314259,704.7433717674868,1094.218798479851,27.280285951536737,28.273377488669727,753.1417185429098,1101.347894550887,16.481293166683706,17.625619421174115,876.5149656460005,972.1542226454822,737.541613086623,1082.8804183099376
10001004-34,10,001,004-34,1364.8194890334844,1497.4868955109162,44.36358915956229,136.60037779324736,1301.2018934356083,1484.2025348611696,54.332166921524546,56.77525294075403,1446.625197614158,1436.6729364124055,29.662298922160883,41.87890181864573,1520.836689313855,1360.3593317619786,1414.744348686531,1430.1706196339385
10001005-28,10,001,005-28,1579.1258512908626,1252.4079019030437,46.03454679985689,85.43618218703108,1564.14055494277,1102.247733353552,65.81731711583268,47.771964201967265,1709.2062504596063,1069.3092332204808,38.52285626859509,35.176397547814304,1703.2627536397379,1079.6425346044887,1715.923800626172,1036.1617188584523
10001005-29,10,001,005-29,186.87028837603015,565.134296136059,11.792233207389542,29.75283503979267,216.68857623152618,508.9292637352246,17.70823124444021,16.03770571833496,260.35224853313883,494.0146365452148,8.572190091610365,9.913111744723698,311.05610492700004,441.4498207857477,230.2605237348021,515.974148816236
10001005-30,10,001,005-30,608.1332459636993,1023.6087134366904,34.051274853425944,61.481628155051695,656.9056045427932,909.8165144649145,39.87046205917502,25.76477057450614,702.9058239828041,924.7032356172954,28.211382969337752,18.30070531997658,792.7437678555674,841.3412805479584,667.0233289755456,937.8829646858784
10001005-31,10,001,005-31,723,374,22,62,698,403,18,14,746,396,14,10,748,381,719,398
10001005-32,10,001,005-32,303.4062622491026,275.74391726305794,9.307627656459667,27.25893941172884,290.76330785314923,286.4796990164134,10.685973192657853,5.726484293090562,306.2767831591875,282.354701794844,7.60799625805338,6.997612026926829,332.6662685428961,257.5623165876831,309.35691910941034,269.59791856559104
10001005-33,10,001,005-33,324.07347483312503,711.3371211422722,6.5001468249919485,31.986827035502994,344.98365345337277,643.6545358559536,24.357571736959482,17.653330539822317,363.2610363250055,670.0514631447364,11.87869021615702,7.406978196751433,436.25484891470524,586.0579031181109,374.0435826479466,632.5574376288333
10001005-34,10,001,005-34,288.469966453573,465.53965440850686,6.266789037280841,53.68687891638711,291.33894550287994,496.2057725172479,10.938920184821823,8.413633774289512,303.35888347363755,498.3450218368251,9.795999746819419,10.039242990062663,385.7349832267865,409.46268751186784,304.74124944616744,480.10823469839863
10001006-28,10,001,006-28,365.2826953006383,434.10520758827835,9.731979628437646,21.696828337655234,377.2114066880329,395.95771608994403,14.229839853840136,5.266241466877757,435.56714713683584,363.7926489462185,7.4870647737167255,6.718683532241459,449.93752101998734,343.52015586806465,414.8635544875541,359.8985443850979
10001006-29,10,001,006-29,245.7877407717047,726.290703402289,10.045932967418215,45.53937218664005,238.70079367431117,723.8820352297173,15.45796003299158,12.244428806857416,306.80964633641184,682.6848641517652,7.709099027685071,11.688592338186522,373.2723416411248,606.3701876569801,283.8231156713187,693.9350334330226
10001006-30,10,001,006-30,432.90735146022155,970.9607250755287,16.854984894259818,54.29103726082578,480.472306143001,889.6535750251762,18.887210473313193,24.693856998992953,516.2789526686807,896.3474320241692,12.90332326283988,16.822759315206444,606.3282980866062,806.3786505538772,484.42396777442093,913.3796576032225
10001006-31,10,001,006-31,770.8534554537886,271.9841798501249,27.26810990840966,37.37135720233139,754.6402997502082,259.79517069109073,18.26810990840966,18.701082431307245,783.0424646128226,259.22814321398835,16.646128226477934,14.701082431307244,723.6469608659451,330.6236469608659,767.3172356369691,277.9292256452956
10001006-32,10,001,006-32,130.43957909018062,25.399729562544334,4.039891098085973,4.746411246767275,126.32071505092158,22.960945586655583,4.767034324720591,2.5136696669798315,123.46330244098291,29.87671567800207,2.834216561195871,1.5357192956413102,107.22904249452503,47.558601856857734,126.61307155809966,28.065062633463544
10001006-33,10,001,006-33,800.471607448463,1207.7981937948048,18.983774827796672,68.108261440296,813.7173936084113,1137.463322762396,28.569617650700224,28.162855591063362,870.6158895214274,1148.1929716573807,21.74076715394077,14.238837306555268,955.1431760537631,1043.3389826127393,811.6714522698236,1175.1894572623762
10001006-34,10,001,006-34,856.6875442640091,879.4936197177708,20.331396962754255,78.24361547320946,812.9292746394393,885.2276290883433,34.26267313970183,31.59652638526453,878.6287586683213,868.0603529474872,19.296266290350612,27.562291111592224,904.8963549344784,844.89965820949,871.5995672221228,863.7097921198508
10001007-28,10,001,007-28,58.15877128447899,52.8048385205088,1.5610892535371952,4.199863523440915,58.32066660269328,49.29502393670899,1.222478115770506,1.9487253302626109,63.00820991800744,48.34731151840834,0.875315868598663,1.0734094616639478,64.39258335199224,45.01848830886351,63.26587339666699,46.60523089061617
10001007-29,10,001,007-29,438.0233155469461,748.9292787414516,11.909028792815004,53.41064553432538,392.26331413812335,787.6995565730386,25.371561034310705,9.849901206304482,504.40958774324207,712.0230798039388,12.955404654985179,11.766197646091985,553.1782764227643,657.9832847876494,466.55577400135013,734.4713331572306
10001007-30,10,001,007-30,305,1079,17,43,349,981,32,22,423,981,17,9,466,917,364,1016
10001007-31,10,001,007-31,768.3369985308459,297.84192659411286,17.656935236029128,37.67914838718948,745.8693637102061,298.0415195995581,16.733135571164922,15.053965374567472,762.8852905936777,298.20994873268904,17.93482399917312,11.769974866493474,734.1451950069948,331.68956773761363,752.3350046876708,290.3830386158257
10001007-32,10,001,007-32,15.724743777452415,31.44948755490483,0,2.3587115666178624,15.462664714494876,30.13909224011713,1.3103953147877014,0.5241581259150805,16.773060029282576,29.87701317715959,0.7862371888726208,0.5241581259150805,19.91800878477306,27.256222547584187,16.510980966325036,30.663250366032212
