GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDCAR,G18USSRARL,G18USSGTHE,G18USSLFRO,G18HALDROC,G18HALRWAL,G18ATGDJEN,G18ATGRPEP,G18TREDDAV,G18TRERSIM,G18TREGCHA,G18AUDDMCG,G18AUDRSPA
10001001-28,10,001,001-28,425.9584046736931,134.46369065858303,10.343360819891002,5.641833174486001,431.6002378481791,135.40399618766403,421.2568770282881,148.56827359479803,406.2119885629921,152.32949571112204,15.985193994377005,419.3762659701261,144.80705147847402
10001001-29,10,001,001-29,2216.7399831681782,2073.1538656417183,40.52128863914617,44.21100593677384,2320.1686485068735,1922.2025761841758,2208.723699672701,2101.225473425522,1937.6801559269531,2312.521699519206,79.25350765837521,2127.335384651135,2164.821519158326
10001001-30,10,001,001-30,813.9441504663429,1148.3648583973197,18.172947763059504,19.13600984473074,906.2899964481212,1003.9898222412112,885.8189514669943,1078.1603712474553,728.8084716678886,1225.4134053654,28.49600064569788,825.5302500178585,1141.4628896223253
10001001-31,10,001,001-31,47.730976172175254,59.17140661029977,1.0315142198308993,0.8439661798616449,51.01306687163721,53.920061491160645,49.981552651806304,57.29592621060723,38.16602613374327,68.07993850883936,1.9692544196771715,46.23059185242121,60.48424289008455
10001001-32,10,001,001-32,997.2969540241575,408.27609985437715,13.69903558024295,23.395957333635568,1026.7843320362942,370.79677147370103,1000.2765811138055,421.99225890083346,925.4357267583088,457.7801618645775,28.210783733540868,982.7664776053209,425.0414605205029
10001001-33,10,001,001-33,171,152,2,3,174,145,177,144,149,171,4,164,159
10001001-34,10,001,001-34,203.71664526726119,155.65790525161177,4.0530440592164965,4.229459721726475,216.01109027090146,133.81182135456987,201.63647310922312,155.95295632446536,171.89169657772004,182.43982524331358,4.965496124014917,193.72523318285133,163.20701221447996
10001002-28,10,001,002-28,735.2514611260921,492.9400340142653,14.536705013547508,14.007740508661998,757.9645333385066,458.3474628332719,736.1283799251169,502.59982022878796,626.2039834196623,582.3297883484975,27.468972652789365,720.2887487794311,510.0387284096714
10001002-29,10,001,002-29,2101.5604388910597,1264.7213894179458,34.86404191820542,38.822277199768884,2185.8571444401223,1156.2954335823179,2101.2843550791445,1295.6193830040768,1908.4570098186575,1447.9307867076534,48.095048998546396,2070.0472433259424,1315.0802599652613
10001002-30,10,001,002-30,112.11269286235235,122.5418887528219,2.2383148930890444,0.9807256766772791,120.63895383750022,111.0734507476422,116.30075582118938,119.8999818377377,102.21381747613863,131.87533377196007,2.0998831232218014,109.33235417740092,124.47993353096331
