GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20USSDCOO,G20USSRWIT,G20USSLFRO,G20USSITUR,G20HALDROC,G20HALRMUR,G20HALLROG,G20HALIPUR,G20GOVDCAR,G20GOVRMUR,G20GOVLMAC,G20GOVIDEM,G20LTGDHAL,G20LTGRHAL,G20INSDNAV,G20INSRPIL
10001001-28,10,001,001-28,608.3776773154071,276.4498255498141,2.8209165872430004,11.283666348972002,589.5715667337871,251.06157626462706,12.223971878053003,21.627027168863005,583.9297335593011,252.94218732278907,13.164277407134003,18.806110581620004,595.2133999082731,255.76310391003207,8.462749761729002,23.507638227025005,585.8103446174631,272.6886034334901,594.2730943791921,257.64371496819405
10001001-29,10,001,001-29,3030.1506462175944,3438.872497786993,72.3627648812873,28.502152327615637,3035.6999013209356,3203.8666887456466,72.11726634394523,111.41995194015085,2987.4664519416215,3262.807130466463,49.04497336029109,78.85011181833445,3068.3722872096264,3263.6370883229656,44.098750830824734,72.66289228250646,3095.5482631675627,3256.115176498671,3051.6385130546923,3267.348870251577
10001001-30,10,001,001-30,1218.422861037943,1812.9232621219012,42.095596616103514,10.581022607803305,1225.1186493275886,1710.5638701768921,31.80655988690198,54.222344551703436,1195.5460872717256,1735.0912699538706,33.87244755438775,43.257683989440025,1241.9084852970864,1734.2456053494195,17.00634014423889,45.61608369642579,1208.1743894132933,1782.3901221376095,1169.5370077758491,1811.1263352762821
10001001-31,10,001,001-31,64.61029976940814,88.14757878554958,2.813220599538816,0.37509607993850885,63.391237509608,84.771714066103,1.5941583397386627,3.1883166794773254,63.86010760953113,85.52190622598002,1.0315142198308993,2.4381245196003074,65.1729438893159,85.61568024596464,1.0315142198308993,1.8754803996925442,63.29746348962337,88.2413528055342,58.89008455034589,92.27363566487318
10001001-32,10,001,001-32,1584.963877758508,663.4500702712319,23.106848869710294,17.760617658785534,1472.0736224240568,634.3729605378782,28.708451361290656,49.60052778795356,1477.7037288848205,629.9983540208215,25.949766507858214,48.936783304149394,1511.9966389150509,626.6511707416158,26.794557833667053,42.392061168837444,1406.6725717894099,746.6267009786185,1426.5729203194971,718.8110640306529
10001001-33,10,001,001-33,228,235,4,2,230,223,5,4,221,226,4,11,229,228,3,5,228,231,219,238
10001001-34,10,001,001-34,252.2810913198781,184.07604481958612,7.381992938841852,5.508610195562296,254.8778555198553,177.25499241262955,4.279864196729327,8.889283342297324,246.52915431857187,182.66147386607932,4.723489110377824,5.242720736530599,247.7320920106901,188.47575656508567,4.673084635374973,5.773893585380676,237.35615505690495,205.1448187304043,237.34745948763464,202.07658779506352
10001002-28,10,001,002-28,1036.310051021398,784.036678500527,31.547025691763505,7.199071397624175,1006.3229518691679,747.8463757994323,22.461232144127365,36.733713568846554,1000.1083994542198,743.0935728558403,21.206811906286173,30.940008147903857,1019.7614798145382,749.4435899923047,20.87175845991684,26.073410027095015,1029.3767551942888,752.2465814370057,1020.3028278399648,756.5671885205088
10001002-29,10,001,002-29,3092.2667014255844,1973.8457282678437,55.523613137589614,19.353127426263505,3022.495605630251,1841.947102909956,60.43861826897959,90.563161157909,2969.434876525619,1904.9919976625756,42.89792353889208,69.27245024071836,3059.8191272344156,1879.2077139216685,33.06651600088706,60.349773528648875,2977.5236112249613,1989.152636979582,2993.415433872446,1956.9972810218176
10001002-30,10,001,002-30,163.11042804957086,194.121152181245,2.0998831232218014,1.2575892164117655,163.3638850140922,180.9915329376584,2.0998831232218014,5.5957872327226115,154.6991922690771,193.1638330797809,1.6845878136200718,4.476629786178089,165.45206484970743,183.0914160608802,3.3691756272401436,5.042060153253638,155.66821465814778,195.55228303034374,146.4497948336637,204.77070285482785
10001002-31,10,001,002-31,1129.734121565362,563.4027110741049,19.262361365528726,13.014154870940882,1108.0522697751874,526.3692722731057,14.138258118234804,25.689438800999167,1103.4344246461283,538.3842464612823,10.999180682764363,25.137438800999167,1106.1538118234805,557.9272206494588,9.308103247293921,23.182361365528728,1045.1170824313072,618.993898417985,1042.590934221482,624.1520466278101
10001002-32,10,001,002-32,926.8356914361942,531.7546309346849,22.266928913493576,10.855368334488787,881.2844855183387,498.51481193143076,23.317386560804216,38.49766325628239,876.2298536215358,524.1854176026413,10.101822583635052,30.61046509959065,895.0959779331384,523.7510003014733,10.449855165798802,26.689020342781397,842.4777488504058,599.4478389675448,840.4298711580784,592.2666426185017
10001002-33,10,001,002-33,1322.424715137127,1214.4128889097585,32.56564559029033,15.469786498903064,1304.2089979648363,1157.2173162555753,36.135684746536384,41.7887772236376,1278.8630463246384,1188.26439839269,24.27172112395207,39.24437909303258,1324.3479161866323,1183.1394016232534,19.516287680652184,26.1967221886729,1257.7027182959807,1256.788934110707,1209.9658022589554,1293.9052973592375
10001002-34,10,001,002-34,100.95898404668327,247.38746574666274,6.759432308468146,1.589434896646308,97.56034644232233,241.9641956235775,6.677614927117437,3.958629706415213,94.53162300116601,240.10688161886543,4.7044449958775925,4.74184817266617,105.28694357504783,238.99015478372704,3.685377860670632,1.3813859293827595,107.2408126345786,235.93429656252584,98.08083334000389,243.10425288368407
10001003-28,10,001,003-28,302.045239842374,260.03686334909946,7.898349713738044,3.1897586370245272,303.24753596195626,242.98004195676842,5.37208246845625,9.706311379790385,295.6657225683249,244.47146730271405,6.549983152081116,8.674481138240168,303.7923640053677,245.8228455221569,4.595951043954125,7.3535216703266,306.4556667193663,248.84816159672127,300.05777732493175,248.37953151896804
10001003-29,10,001,003-29,422.2052160311384,551.6460160058738,15.018821611423457,4.67807329375354,422.21786466782623,525.5872616309972,10.284834976476022,17.48875949704159,418.5222949418568,531.4291371292333,6.8511334442541205,15.082749409671008,434.27010101954374,527.6346300636462,6.353269671390348,12.004002832404062,422.29532286636436,543.6073716211495,399.19516750696613,564.0700897774303
10001003-30,10,001,003-30,469.7936507936508,1410.3809523809523,27.49206349206349,7.873015873015873,484.53968253968253,1347.3333333333333,24.555555555555557,32.55555555555556,468.4126984126984,1363.4603174603174,17.555555555555554,26.61904761904762,498.4761904761905,1361.2698412698412,17.428571428571427,19.746031746031747,514.1587301587301,1361.015873015873,485.968253968254,1382.2063492063492
10001003-31,10,001,003-31,1602,868,22,13,1602,796,31,37,1556,848,27,26,1605,828,22,29,1528,917,1493,958
10001003-32,10,001,003-32,684.4421911189553,400.22415490631585,15.104649261094627,6.89543815657086,662.1683467286308,395.98585506751675,15.434102485645983,19.17996104096965,656.5420172080075,393.00912383743685,11.137800915895033,15.714839962803113,661.1144190057048,400.7316910502033,12.71259071651863,19.912538410121854,625.6738007515792,454.96770668267675,627.2584623495823,443.2742282041856
10001003-33,10,001,003-33,693.0004561667575,848.1935160688905,17.569025649298077,6.832398863615919,688.1201712641747,801.3427810040956,16.592968668781516,21.473253571364317,652.9821199655786,826.7202624975262,19.521139610331197,22.449310551880878,691.0483422057243,814.031521750811,11.712683766198719,13.664797727231837,660.7905758097111,845.2653451273409,613.9398407449162,883.3315673674867
10001003-34,10,001,003-34,1425.5343774760067,1612.5029401249951,35.620232204791684,17.119832140266375,1420.5784401718934,1519.141039870373,33.253003748946334,49.868645423439105,1363.2856618524786,1588.515510909501,22.67058840777402,41.70391447511784,1441.504948170499,1526.6671724760467,21.42825104509473,47.67031075202496,1369.3939117598845,1616.4236344951883,1329.346950265594,1650.4177883093762
10001004-28,10,001,004-28,37.57894736842105,46.228070175438596,0.2982456140350877,0.2982456140350877,37.57894736842105,41.45614035087719,1.1929824561403508,2.087719298245614,37.28070175438596,43.84210526315789,0.2982456140350877,0.8947368421052632,40.26315789473684,42.35087719298245,0.2982456140350877,0.5964912280701754,41.1578947368421,40.56140350877193,39.07017543859649,43.54385964912281
10001004-29,10,001,004-29,356.41583397386626,486.2567255956956,15.518831667947731,2.0691775557263643,349.69100691775554,467.6341275941583,8.794004611837048,17.588009223674096,352.27747886241355,471.7724827056111,5.690238278247501,13.449654112221367,359.5196003074558,472.28977709454267,5.690238278247501,10.345887778631822,349.173712528824,486.7740199846272,324.86087624903917,509.0176787086856
10001004-30,10,001,004-30,231.71910363247005,591.8809274869467,4.385582085482151,3.84964734001171,247.9697278655128,551.8701983461794,4.459619669396299,14.443250535366253,233.8062585317731,568.6883011846231,8.208021109872394,7.412790401103616,241.7158518138289,567.1021759530321,2.0272083156214658,8.569646698374251,254.06121830912488,560.6478661544261,234.21384846127316,575.2022280860757
10001004-31,10,001,004-31,842.0540995674676,375.1426457498403,18.34213862653335,7.336855450613341,829.7119609409342,349.4689348486137,16.34213862653335,17.010566351840023,802.7172441168542,370.46365167269363,11.005283175920011,16.347421802453365,828.7172441168542,365.811073475147,7.336855450613341,9.336855450613342,766.3645391384808,419.15849527760037,758.3751054903208,424.15849527760037
