GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16USSRISA,G16USSDBAR,G16USSLBUC,G16PSCRECH,G16PSCLHOS
13001000002,13,001,000002,419.2664942634113,721.1570222801236,9.759139881027519,436.3814024486349,564.7889480086258,27.316560794864536,533.6025355063969,334.5313676737068
1300100001B,13,001,00001B,684.9276870645585,91.96573952244343,9.002492396626474,635.9254858609607,80.96837751558422,14.001732059273959,654.8994305558551,61.989606565863546
1300100001C,13,001,00001C,497.31093560643063,51.682446018290186,5.090448640514446,456.9252867599825,52.472145092962386,13.262287065452966,467.2000389176402,45.29447746733675
1300100003C,13,001,00003C,777.4225701301581,263.16053170158625,15.150411478458036,750.6933107913826,211.73890689841187,26.4211521396825,791.1974255759629,137.17415485895643
1300100004B,13,001,00004B,567.0088809946714,21.035523978685614,1.0071047957371226,535.9200710479573,13.042628774422736,11.017761989342807,546.9342806394316,15.02486678507993
1300100004D,13,001,00004D,905.4777975133214,92.91119005328596,11.982238010657193,830.6998223801065,90.89342806394316,18.955595026642985,866.664298401421,68.93783303730018
1300100005A,13,001,00005A,530,68,12,492,54,18,512,47
1300100005B,13,001,00005B,583,103,8,541,92,13,553,66
130010003A1,13,001,0003A1,473.6306374567617,19.49691978257289,5.015878767913029,439.05468621314446,24.429813869214296,10.369889639268655,441.6951078899687,25.536353154340308
13003000001,13,003,000001,850.050511020288,136.00390618556895,6.000538784216405,758.0432374333665,117.00457966583944,24.001481656595114,763.0443150017993,106.00350209740664
13003000002,13,003,000002,380.16415923543207,29.432163800972113,4.162987460736488,325.71719325303997,34.34064240683889,11.252892502220499,333.87964192956,26.43256788913442
13003000003,13,003,000003,489,257,16,445,226,16,487,143
13003000004,13,003,000004,164,275,9,154,219,14,198,123
130050DOUGL,13,005,0DOUGL,3365.513321492007,608.0532859680284,47.01065719360568,3047.3801065719363,474.0639431616341,95.0266429840142,3107.4014209591473,352.0373001776199
1300700000A,13,007,00000A,62.15261044176707,27.244979919678713,0,60.44979919678715,14.473895582329316,2.5542168674698793,56.192771084337345,10.216867469879517
1300700000E,13,007,00000E,134.84738955823292,137.7550200803213,4,129.55020080321285,109.52610441767068,6.445783132530121,142.80722891566265,67.78313253012048
1300700000H,13,007,00000H,92.20693020985847,105.92142508540752,3.0078086871644705,93.25378233284529,88.7750122010737,2.0126891166422642,108.41776476329916,58.46852122986823
1300700000M,13,007,00000M,133,74,2,130,64,2,137,38
1300700000N,13,007,00000N,360.4430103880322,313.1419150631358,6.198231849747989,357.51102064019494,261.02222823670843,16.35121918345741,380.4790119793348,171.38277512741834
13009000318,13,009,000318,1588.8722473647338,605.9899611049703,49.04757108164044,1582.165718940574,502.6931147759101,55.04127635496737,1661.9706200896667,337.82083820338346
13009000319,13,009,000319,608.428664921466,540.7146596858639,31.078534031413614,619.526832460733,454.4921465968586,35.05890052356021,657.7722513089005,304.8049738219895
13009000322,13,009,000322,682,273,17,627,243,23,664,176
13009001714,13,009,001714,384.44285073957866,218.11653966831017,7.967727476467951,355.5598386373823,200.1891528462573,18.923352756611386,389.4226804123711,121.50784401613626
1300900321E,13,009,00321E,110.54144328001561,529.8022326573721,8.962819725406671,119.50426300542227,464.07488800438983,11.950426300542228,174.2770502162408,236.020919435709
1300900321W,13,009,00321W,365.2795275590551,1334.3681102362204,23.95275590551181,410.1909448818898,1124.7814960629921,33.93307086614173,576.8622047244095,617.7814960629921
1300900CTY1,13,009,00CTY1,138.38692202140166,528.8800174028758,24.299715640503592,168.39283442559764,460.0502692015281,18.373418000866472,244.16750934242162,248.71195977362558
1300900CTY2,13,009,00CTY2,179.0856785490932,307.6754221388368,21.245153220762976,192.29580988117573,247.00125078173858,24.21013133208255,225.8211382113821,169.12757973733582
1300900CTY3,13,009,00CTY3,122.91432145090683,529.3245778611632,27.75484677923702,146.70419011882427,452.9987492182614,23.78986866791745,206.1788617886179,240.87242026266418
1300900CTY4,13,009,00CTY4,127.4585567199844,169.1977673426279,20.03718027459333,146.49573699457773,136.92511199561017,17.049573699457774,161.7229497837592,97.97908056429101
1300900CTY5,13,009,00CTY5,227.66784296426997,643.5902073224526,39.02911336568152,255.6784296426996,551.5002205558006,32.04499338332598,348.7613586237318,312.31230701367446
1300900CTY6,13,009,00CTY6,793.1243653000154,678.6521308283008,34.014312314580344,804.8009485220773,574.8814011806218,51.97797499589192,899.9936600221454,359.5988554892164
1300900MERI,13,009,00MERI,1046.3980365908076,594.5667112896028,49.21909861668898,1049.351182507809,499.08165997322624,54.141008478357875,1152.711289602856,343.5493083444891
1300900MONT,13,009,00MONT,1321.0790996874734,1020.3392520548347,65.1624096085904,1316.8756959852365,879.3554991323759,64.44638320304033,1414.1198497207372,581.7820322290697
13011000001,13,011,000001,759.7105115046655,87.45858484384831,17.54797395666093,731.1217213605552,70.37404971132973,30.98501655920469,743.1307954001405,97.3553381572145
13011000002,13,011,000002,433,67,8,417,59,20,419,70
13011000003,13,011,000003,188,17,1,177,12,5,180,17
13011000004,13,011,000004,375.6281935896259,29.530080235190407,11.056590235586606,346.5426914989558,35.471753275136386,19.085621912071765,361.6651540136175,40.372046538939614
13011000005,13,011,000005,226.5156350227277,23.756042595765734,4.283637917301215,204.13135494598234,21.236115768493296,15.721444052743555,220.06499087723606,22.519009091259672
13011000006,13,011,000006,821.1354582098256,103.02514115784649,27.004059586977455,759.1317966683405,109.01988462488544,44.00528425247346,793.1347098317225,121.0193439553482
13011000007,13,011,000007,386.9000351912085,53.968954036540055,7.658956274233901,345.8458972206267,57.52890031503314,26.184555642399243,374.6630517202053,54.78421890278245
13011000008,13,011,000008,492.56467110125647,44.31929046563193,8.185513673318551,460.7091648189209,42.11308203991131,18.38137472283814,480.65742793791577,45.93791574279379
13011000009,13,011,000009,368.8900662251656,48.08344370860927,6.015894039735099,344.79867549668876,43.07549668874172,18.063576158940396,356.8622516556291,38.08344370860927
13011000010,13,011,000010,746,80,16,704,82,30,733,76
13011000011,13,011,000011,817.4638982544734,77.23778981455433,17.55953536183614,741.5777065583117,89.82394996904283,49.60073480725367,775.9451791635913,104.17099866800885
13011000012,13,011,000012,356.94437086092717,49.307284768211915,8.249006622516555,339.51258278145696,47.18278145695364,16.996026490066225,346.5086092715232,45.30728476821192
13011000013,13,011,000013,342,30,4,304,31,14,309,34
13013000001,13,013,000001,1339,365,73,1248,329,108,1300,342
13013000002,13,013,000002,1730.2312628590425,410.08321653504396,59.493982641977304,1661.1235972974673,353.46336576731983,113.58108047402136,1713.0882411076072,373.6856688498962
13013000003,13,013,000003,1318,337,74,1276,282,104,1305,327
13013000004,13,013,000004,1116.9982411026053,283.9995527960071,61.99990237095929,1055.9983371569842,246.9996110584991,88.99985985508673,1088.9982851931397,266.9995795652602
13013000005,13,013,000005,2002.6325800775996,643.1023833454335,94.70505774106876,1933.8675069903045,572.2987896403773,120.63453367738347,1994.7144660804033,513.4206114976312
13013000006,13,013,000006,908,278,43,886,235,60,914,229
13013000007,13,013,000007,1084.2523401063315,499.7676136863663,57.29761916787982,1063.235592105177,431.6945328936344,84.07568020340678,1138.944389817863,332.3491787369289
13013000008,13,013,000008,1837.077302926917,400.808649924326,93.38806830327749,1732.8399020085678,363.79324577379884,129.01500739638647,1770.8550085934894,409.29127055383117
13013000009,13,013,000009,1634,417,65,1599,345,93,1606,356
