GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRPER,G20USSDOSS,G20USSLHAZ,G20PSCRSHA,G20PSCDBRY,G20PSCLMEL,G20PSCRMCD,G20PSCDBLA,G20PSCLWIL
13001000002,13,001,000002,521.1769691386733,882.4272436721665,8.760648712893472,504.5277306728451,839.6857073799208,31.138938899162884,491.7550555433904,801.77407123212,38.919158187947346,478.128383198002,794.9200961353695,34.06216542746488
1300100001B,13,001,00001B,869.9043808373417,115.93988913095059,7.003761782532732,827.9387599490951,133.9217079010375,15.995636418541446,813.9235143763077,108.94577985807037,23.991524125881668,792.937325553806,114.94100644938634,20.991015077327926
1300100001C,13,001,00001C,595.8361813552051,55.915394083843914,2.1039809564942953,580.7411193344118,55.31874088130497,6.379744369771403,564.709329385862,51.81698179509209,7.479195898220513,561.5465778010916,45.77624492676327,7.411394397931996
1300100003C,13,001,00003C,850.9868495061216,301.6573622439896,4.135370330612232,826.731149992743,293.9955517387742,22.481316731065714,803.5356150707476,274.40894697278793,29.60164591383214,786.3250390009063,277.3036589378673,32.526440174603124
1300100004B,13,001,00004B,648.3182389937107,23.163522012578618,2.0012578616352203,640.2842767295598,25.162264150943397,2.018867924528302,623.2515723270441,19.138364779874212,9.018867924528301,606.2377358490567,21.12578616352201,7.023899371069183
1300100004D,13,001,00004D,1044.7044025157234,129.59119496855345,0.9968553459119497,1017.7893081761006,128.5943396226415,14.952830188679245,991.8710691823899,109.65408805031447,14.952830188679245,980.9056603773585,99.68553459119497,18.940251572327043
1300100005A,13,001,00005A,697,118,5,660,115,17,642,120,14,633,105,20
1300100005B,13,001,00005B,709,132,2,676,136,13,667,127,14,661,120,14
130010003A1,13,001,0003A1,534.4481441827267,20.05638829407566,3.68750892219843,519.2259100642398,24.421663097787295,4.725017844396859,513.5404710920772,18.007066381156317,7.452105638829408,501.9543540328337,22.398037116345467,5.711134903640257
13003000001,13,003,000001,1026.0645194099145,160.00606132243456,11.000404088162304,1008.0620948809407,164.00619601848865,13.001346960541014,984.061152008562,131.00538784216405,17.000673480270507,943.0581886953718,139.00538784216405,17.000673480270507
13003000002,13,003,000002,485.4583608054287,45.33916075024378,3.01776549461024,467.3699374205398,46.339026054189674,9.998653039458988,460.2800323790558,40.32166464774174,5.035665685274581,438.10129986452057,40.32166464774174,5.035665685274581
13003000003,13,003,000003,566,291,10,565,270,17,551,246,27,512,258,25
13003000004,13,003,000004,229,329,6,238,293,12,243,246,15,210,262,14
130050DOUGL,13,005,0DOUGL,4019.977358490566,625.2452830188679,25.00188679245283,3930.9264150943395,591.2433962264151,70.02830188679245,3822.877358490566,541.2075471698113,81.02830188679245,3737.856603773585,537.188679245283,78.03584905660378
1300700000A,13,007,00000A,79.18072289156626,26.393574297188753,0,80.03212851405623,23.839357429718874,0,70.66666666666666,24.690763052208833,2.5542168674698793,69.81526104417671,24.690763052208833,1.7028112449799195
