GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCOP,G16PREIMCM,G16PREISTE,G16PREICAS,G16PREIFUE,G16PREOWRI,G16USSRCRA,G16USSDSTU,G16USSCWRI
16001011401,16,001,011401,857.825304706183,206.16031274284953,35.03716232269637,0.004400543425997485,63.10438481084296,10.001313800383997,4.009854672216713,0.003520434740797988,0,817.9115808079077,208.1480779595965,65.12119361420152
16001011402,16,001,011402,796.1370232001382,292.0273659465546,49.00515784024198,2.0007345563820707,86.00646049991892,8.001230904623238,3.0009767509148464,1.0002461809246475,2.4219453277568313e-4,882.1338317962728,265.0273181098521,58.014095119603454
16001011403,16,001,011403,286.2037696889992,119.6844088484298,17.80953941655355,1.9796172220126946,40.54064419369277,4.946119896048112,1.9807864856061446,0.9892239792096224,0.0011692635934499598,335.5901357794996,107.82775226103573,11.924473875814167
16001011404,16,001,011404,1292.9215494358405,318.0140901020404,79.12416929209535,2.0218451759394007,148.29223254166902,13.073014991638436,13.021846658152223,7.000000741106411,2.4964348857966532e-5,1309.271396787406,319.97067380216924,112.19017159419366
16001011405,16,001,011405,994.2569693213728,331.08929683917705,54.01092119615835,3.001927269910296,90.02569693213728,9.006424233034322,8.001927269910297,3,0,994.2878056399376,322.0854422993565,81.01670300588924
16001011406,16,001,011406,1723.3976005001846,562.9610711307965,75.76718927749174,5.095432367045479,141.05904968294016,9.251333789705367,7.096716221200328,8,3,1786.73647789591,473.20575750423706,130.15854765183502
16001011407,16,001,011407,651.0490566037736,302.6981132075472,30.766037735849057,2.9773584905660377,58.554716981132074,5.9547169811320755,8.932075471698113,2.9773584905660377,0,648.0716981132075,273.9169811320755,65.50188679245282
16001011408,16,001,011408,729.4510351196752,475.44489705702665,57.214943363855205,1.0238825959839117,99.48959321767019,6.059706489959779,4.0238825959839115,1.0119412979919558,0,824.048100019273,428.30160148112316,62.143295575903466
16001011409,16,001,011409,713,394,47,2,73,18,3,1,1,784,354,39
16001011410,16,001,011410,655.170844998263,473.16966984065937,61.41219921694673,2.0213206491524174,59.63251259152171,30.028427532203224,10.014213766101612,1,0,714.087632911817,475.7787912728651,68.34823726948949
16001011411,16,001,011411,810.5827707375416,453.77509312774947,69.20493607591597,1.0493093273784422,67.90030452175151,16.82968035657286,5.952510191041494,0,0,847.8236158556309,424.03181418023297,75.90632804276039
16001011412,16,001,011412,386.0165558916786,134.16919334259796,16.40977885934062,2.8936036344561664,38.62070853428079,9.64462554664668,2.8936036344561664,0,1.244168577828124e-6,432.34368981451325,128.36567755020047,25.09160741441056
16001011413,16,001,011413,1660.902813902144,717.5603603226699,90.6660466855502,4.981275016615819,259.9446566723567,13.008296979441914,4.981275016615819,0,0,1885.7489565061064,627.1792233183237,110.51344411168513
16001011414,16,001,011414,1280,456,95,4,209,25,4,1,0,1395,455,111
16001011415,16,001,011415,798.9450985989508,254.3989259383899,43.162021808539386,3.6730197146945565,85.40112696431473,6.427562513854026,2.754720388648628,1.8362434731135413,0,865.9908944116964,226.8455064197831,44.07854523969373
16001011416,16,001,011416,1079.1538746240867,476.34723103953115,62.43785578749151,3.3052292225250057,96.1995175689555,4.993349522165524,2.4119341941985004,0.2000841509474554,1.850009573682856e-4,1212.3674434939699,418.5208669953596,54.0534388974996
16001011417,16,001,011417,903.5331505982056,293.2039421909047,73.02812995736616,1.0039557752546164,91.04219493604924,10.004834836422308,11.00351624467077,2.001758122335385,4.395305838462628e-4,977.5401830875471,302.2035026603208,62.046590241887706
16001011418,16,001,011418,1212.4668494017944,463.7960578090954,63.97187004263384,8.996044224745384,95.95780506395076,10.995165163577692,7.99648375532923,3.998241877664615,0.9995604694161537,1228.4598169124529,462.79649733967915,105.9534097581123
16001011419,16,001,011419,675.913640134354,319.48650641505657,65.89409194810541,2.995185997641155,68.88927794574657,8.985557992923464,2.995185997641155,3.993581330188207,0,701.8719187805773,308.50415775703897,84.8636032664994
16001011501,16,001,011501,888,641,82,1,180,21,10,5,2,1095,620,75
16001011502,16,001,011502,789,559,72,1,122,12,3,3,1,918.9999999999999,546,75
16001011503,16,001,011503,631,477,42,5,69,15,8,1,0,703,438,60
16001011504,16,001,011504,1006.5489806362172,733.2921435415934,95.05053667899602,6.002769133095673,162.08999682560935,27.013153382204443,11.009691965834854,0,0,1190.6320546290872,688.2686059102803,100.0533058120917
16001011505,16,001,011505,581,393,55,7,82,17,3,1,3,620,387,61
16001011506,16,001,011506,597,486,62,5,80,29,12,2,0,700,498,75
16001011507,16,001,011507,687,439,85,3,103,19,11,7,0,769,462,94
