GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREOWRI,G16USSRYOU,G16USSDBAY,G16USSLBRE,G16USSOWRI,G16GOVRHOL,G16GOVDGRE,G16GOVLBEL,G16GOVOWRI,G16ATGRHIL,G16ATGDARR,G16SPIRMCC,G16SPIDRIT
18001000010,18,001,000010,576.9009835939522,123.76463718758787,36.97142396819681,8.068669759735611,525.5248030562932,169.02560245993968,48.191147013994275,0,534.400298875228,180.27930574334013,24.036108091191917,0,600.7162201407248,116.84259586308133,495.80652314536036,238.69645843711623
18001000020,18,001,000020,530.7578470349109,100.12995046980546,25.997347543907324,11.986693701219131,492.5853252126701,143.2288655702629,35.06590139361929,0,501.6695857771416,141.18396314244782,21.008127406652527,0,558.7163278612492,91.1294590507181,456.6566575385318,204.21358093399192
18001000030,18,001,000030,513.5775007706324,105.4451960440809,18.873253344101762,5.9466919815397095,489.44582387682016,134.42308820918853,18.008324221523203,0,489.5972473260338,152.18745242920082,5.997166464610932,0,546.2674818414104,83.6238339507449,436.96718585629066,206.8586314563737
18001000040,18,001,000040,187,28,2,2,161,39,16,0,157,50,4,0,184,24,140,72
18001000050,18,001,000050,633.4808434738087,309.54846584167285,52.18106241602746,13.079139358329108,536.0511493810806,403.80802346969335,69.31284251459509,0,548.9173679979556,423.1693664643137,26.138922285616935,0.998642861778669,697.5101252138911,276.59325140297676,517.8045878344866,478.36571389671843
18001000060,18,001,000060,571.2579317361061,328.68533186199255,54.70595391071778,10.274240220046902,514.6665808889694,360.78456545477434,76.14347564468494,0.9997474763784225,498.3385027193994,407.88001119323246,42.48757182916657,0,600.5827270985957,314.6888671926946,489.89769817835173,443.6461161440128
18001000070,18,001,000070,296.2934231624465,162.89115648868778,34.55496624383407,5.926367338253603,241.98453870777308,193.50512471544562,58.24892309674065,0,245.92649609985827,213.26288042632095,30.60341510165901,0,324.920103318009,146.11337350959653,263.6835324894124,221.17173896072498
18001000080,18,001,000080,391.90675233370746,154.5124089048218,15.04252825519376,4.168815338934224,325.77718093962426,214.67105389608116,24.450592428353513,0,334.0537650845709,216.59067081400806,13.071039227957641,0,406.89282126778573,133.8964631005158,312.8755196750131,237.0959915819862
18001000090,18,001,000090,628.3354991427741,298.3946667111154,57.54652933429195,10.298376162203569,515.9704448193326,389.68958580306037,75.94672247624938,0.985340581401803,506.37219916880423,440.56102522580346,25.790534950983798,0.986697719623134,646.7222082462623,295.55410723734667,504.8878973982777,459.89700707574315
18001000100,18,001,000100,529.5194979366644,186.0246889992759,41.52404185321727,7.719266634673735,459.7529098526369,248.85734090013602,53.14692006102246,0.014659418598197008,446.3687983000425,295.01168710359826,20.244750642770807,0.014659418598197008,557.2196456793414,188.82046291174072,420.8110287857078,339.7503478558317
18001000110,18,001,000110,315,32,13,8,306,57,10,0,309,57,5,0,333,34,274,94
18001000120,18,001,000120,343.011848512916,101.39350368835115,23.45184108823058,2.8122155981156602,283.81828990023314,137.10848344650995,42.25007838746855,0.9374051993718868,285.7532602731372,159.5761282443551,11.268915717182734,0,355.1914316631771,97.63719844929024,296.02461081678774,161.51444083804583
18001000130,18,001,000130,290,45,12,4,265,72,12,0,262,68,12,0,291,45,239,102
18001000140,18,001,000140,134,24,7,2,112,46,7,0,123,39,2,0,139,23,110,55
18001000150,18,001,000150,417,53,17,5,369,94,26,0,352,130,6,0,417,50,330,147
18001000160,18,001,000160,58.57782296150857,14.646038936577076,3.904969286354408,7.036427555254292e-4,48.81539974562256,20.506072889545614,7.808179465820003,0,51.74160532384773,18.557927376694153,3.903679274635945,0,57.60539203817907,16.59512263976924,46.85927961487514,29.29313333728744
18001000170,18,001,000170,255.86048646966543,77.94041561426025,17.987180315781856,6.9954850163411875,222.88015842431062,115.91469597673121,24.984681542520278,0,228.8742722279201,119.91514030166488,9.993751644384277,0,275.8431508534806,67.94928504339236,196.89148459554224,162.88801026516563
18001000180,18,001,000180,211.11280454820013,48.45569009725558,12.48744624191148,4.7026102864930825,183.5743763502075,67.35535965689026,20.20111620670749,2.5252362157741036e-4,178.07663571393996,86.11502958673117,8.73480518980288,0,217.04519044390045,48.229937745644726,170.91525531376377,99.1690760669689
18001000190,18,001,000190,447,101,30,7,394,158,32,0,388,177,13,0,464,99,379,196
18001000200,18,001,000200,380.2385299363823,32.29494719815189,12.041395716021333,6.9358452239232005,339.5950385193962,64.0597015633291,28.824171443485444,0,335.7254288968519,82.80555395499498,10.970140264423804,0,378.44062900579456,34.2081190935263,287.3019922590974,128.41553129771813
18001000210,18,001,000210,419.42217703849144,118.35396106342293,26.095030713645592,5.999296357244474,354.1846002543775,179.4939271104544,37.191820534179996,0,352.25839467615225,203.44207262330585,15.096320725364055,0,445.39460796182095,102.40487736023076,310.1407203851249,245.70686666271257
18001000220,18,001,000220,452,104,22,3,359,170,40,0,350,201,18,0,449,111,362,199
18001000230,18,001,000230,364,94,24,4,308,138,39,0,311,161,8,0,380,100,293,184
18001000240,18,001,000240,280.6528036815408,53.03134979776248,6.677558023760331,0.25439871912549994,236.15056101027656,83.2395627740386,22.675695997388953,0.06259480062811316,253.97990662368736,76.05245618399626,6.725790411553806,0,279.82475863416335,50.60950854924676,242.3515457883898,95.41334677158856
18001000250,18,001,000250,421.09324766629254,108.48759109517819,27.95747174480624,5.831184661065776,385.22281906037574,140.32894610391884,41.54940757164649,0,363.94623491542905,172.40932918599194,26.92896077204236,0,448.1071787322143,99.10353689948418,361.1244803249869,195.9040084180138
18003000010,18,003,000010,128,190,19,5,125,188,25,1,132,185,14,0,150,174,129,201
18003000020,18,003,000020,114,150,20,6,124,143,19,0,125,150,7,0,137,146,116,165
18003000030,18,003,000030,365,249,32,16,346,273,43,0,351,289,22,0,431,207,340,311
18003000040,18,003,000040,263.31647338475835,174.67528432454267,19.98771910181334,5.214187591777392,259.8403483235734,172.9372217939502,22.594812897702035,0.8690312652962321,255.49519199709223,192.92494089576354,10.428375183554785,0.8690312652962321,304.16094285368126,145.997252569767,256.36422326238846,196.40106595694846
18003000050,18,003,000050,334,227,35,18,328,241,41,0,328,257,21,0,388,197,318,271
18003000060,18,003,000060,261.68352661524165,239.32471567545736,17.01228089818666,11.785812408222606,249.1596516764266,238.06277820604979,30.405187102297965,0.13096873470376783,255.50480800290774,249.07505910423646,16.571624816445215,0.13096873470376783,312.83905714631874,195.002747430233,259.63577673761154,252.59893404305154
18003000070,18,003,000070,192,91,16,7,168,113,21,0,178,110,14,0,210,81,174,121
18003000080,18,003,000080,276.7716031560069,168.86065318904392,18.98433379048423,19.983509253141293,257.78726936552266,189.8433379048423,34.97114119299726,0,273.7740767680357,190.84251336749935,11.990105551884776,0,323.73284990088894,135.8878629213608,262.783146678808,202.83261891938412
18003000090,18,003,000090,500.7462470739315,248.55134258928342,42.49504095227807,9.251137430067901,472.1031761464672,296.5888206261729,35.12051620319768,0,485.968338768768,294.74271582687396,17.555723146212696,0,581.1264264729695,192.19278808939046,470.26036949654,314.1453683097285
18003000100,18,003,000100,129.18452032939769,91.46980806016232,7.816398404340025,2.612260522682614,118.28651270908159,93.65356277811192,17.326589986193934,0,119.2049034931055,102.5311106735754,5.163294993096967,0,147.51118687673645,77.73501887179837,119.16406060454506,107.81685777120889
18003000110,18,003,000110,425.15484556951424,274.9043177531145,40.403911740499375,12.038467784809464,375.48165933534864,310.40439895563753,58.4231456329041,1.019233892404732,409.61629658218175,312.5775039872801,18.153871139237854,0,489.88573348089403,224.21189762654416,408.5393610125628,323.7121412341133
18003000120,18,003,000120,380,206,26,6,363,216,28,1,365,217,17,0,424,170,347,250
18003000130,18,003,000130,280,213,30.000000000000004,8,259,242,33,0,271,243,22,0,329,187,276,254
18003000140,18,003,000140,655.1169852879594,421.34197101792023,55.15084170356468,19.067618694701405,609.0181579649343,474.4928127214849,59.16644601772654,0,616.0285608410422,485.5240213498086,35.109230199133044,0,733.4446758853586,376.1027048674383,610.0025536507725,510.5864386064561
