GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRBRA,G18USSDDON,G18USSLBRE,G18SOSRLAW,G18SOSDHAR,G18SOSLRUT,G18AUDRKLU,G18AUDDWHI,G18AUDLSCH,G18TRERMIT,G18TREDAGU
18001000010,18,001,000010,413.752734736099,145.72835995274104,27.909036842445555,447.573105418234,116.75764526907386,12.969296114607877,438.5616886488872,121.7262320991521,14.03097395582949,457.5272691971919,120.66455425793049
18001000020,18,001,000020,438.61379012766497,107.15883746328885,27.989894255857337,464.6111376715723,86.1350033418768,17.985276123415204,456.5781239647342,93.13771247742764,17.985276123415204,475.5779979446771,90.14103905212285
18001000030,18,001,000030,455.6974281650239,114.4241209133069,12.918148948716851,489.4374114629749,87.58829527177137,3.9728737348716763,479.45895884964716,92.56069675074487,7.937335055898149,493.3682231286206,85.62288943894853
18001000040,18,001,000040,152,25,1,161,14,2,156,16,2,157,17
18001000050,18,001,000050,446.1345789589178,311.739315875643,57.212989587003364,498.2575720818214,251.80138773788156,40.06185305739445,476.035795519154,273.81024355909483,37.14335019622357,506.38220999333976,273.6553921107646
18001000060,18,001,000060,435.57582407256893,328.23911529813944,46.81868028219547,487.11647628039384,272.1979035296953,36.32302769713843,455.4047143263798,298.3020440980393,34.544945109391726,496.5016752065674,287.86174460423484
18001000070,18,001,000070,214.3486244627813,159.9399650071733,30.60917135171293,243.96607052891451,134.27886695826007,18.75739605021471,231.12352931684558,147.11085504523018,14.813519908111541,256.8028554909296,136.2469675292757
18001000080,18,001,000080,313.8894938491889,182.05679596501196,19.830102520495313,357.2622524483835,147.47104900670666,3.8888123392598772,336.476928680731,156.08868268424945,10.930172237375032,350.279645477287,152.99030084060652
18001000090,18,001,000090,449.29061522435967,346.6847782382434,46.79183816485057,505.76882568038104,301.5390541580512,22.028420392215807,479.02794105383606,314.32492281323044,31.6106750720022,514.463646596069,309.45163585013495
18001000100,18,001,000100,414.31059700769,221.73729174859056,25.2855187137653,436.9029577391778,190.80158753550285,23.02586513663743,434.61398532485356,190.04557592119292,18.43953904218705,451.2189939292604,190.91886288428842
18001000110,18,001,000110,282,44,2,288,37,4,289,38,3,290,40
18001000120,18,001,000120,258.4882961924721,115.47797722443623,18.761472870584463,282.87754248007457,94.82498285117458,11.252204613249324,269.7271319225747,106.08052968521058,10.314799413877436,287.55119959378726,97.64388289086361
18001000130,18,001,000130,228,50,7,239,41,4,234,44,6,246,37
18001000140,18,001,000140,117,27,2,124,18,2,115,25,2,122,20
18001000150,18,001,000150,331,72,16,352,48,11,341,56,8,353,51
18001000160,18,001,000160,46.86127326934913,17.574355443068825,0.9772391488255965,44.91324503029025,16.595357187354416,2.9280819589065747,44.911368649608846,15.620932609550922,4.878924768987552,50.7665943770813,13.669034335336654
18001000170,18,001,000170,188.90329807117746,107.91622677934055,14.988308824619596,218.87830275209888,68.94743031948849,15.987058963834881,216.87918950535052,69.94658370078322,13.989558685404312,232.86665171126484,69.94577721662432
18001000180,18,001,000180,181.3397602736823,57.65953383221029,14.281801900472367,190.98809768931133,56.381200080609005,5.80343766639917,178.794034458931,58.406358563212294,9.447970672083914,197.6306187838338,50.86539702130151
18001000190,18,001,000190,340,124,23,357,106,13,342,110,18,372,99
18001000200,18,001,000200,311.34396719272354,38.355413267918415,5.102654332934849,313.54859182966715,29.29492441143764,3.043644921557241,309.55912184576226,29.32718420006468,6.979467358766199,314.6060790915432,25.389668525445185
18001000210,18,001,000210,327.1387267306509,134.4256445569312,15.022760851174404,352.0867549697098,104.40464281264559,14.071918041093426,336.08863135039115,113.37906739044908,13.121075231012448,356.2334056229187,105.33096566466335
18001000220,18,001,000220,310,122,16,327,107,8,313,109,17,333,99
18001000230,18,001,000230,265,110,24,293,89,12,282,94,12,302,87
18001000240,18,001,000240,228.200485514839,60.93906439896803,5.330483924841346,235.07390838537816,50.45171853517726,1.789645528463795,226.235785263044,53.221061086616906,1.7625894068092094,231.50257933291493,52.592188618065
18001000250,18,001,000250,362.1105061508111,121.94320403498803,28.169897479504687,384.7377475516165,102.52895099329335,17.11118766074012,372.523071319269,102.91131731575055,23.069827762624968,395.720354522713,99.00969915939348
18003000010,18,003,000010,112,157,10,119,145,9,124,142,5,122,148
18003000020,18,003,000020,77,134,7,82,131,5,89,120.00000000000001,6,86,132
18003000030,18,003,000030,246,256,26,279,225,15.000000000000002,290,210,19,298,220
18003000040,18,003,000040,199.00815975283717,178.1514093857276,9.559343918258554,218.12684758935427,153.8185339574331,11.297406448851017,225.94812897702033,143.39015877387828,7.821281387666089,221.6029726505392,152.08047142684063
18003000050,18,003,000050,249,244,16,268,223,15,278,209,18,290,213
18003000060,18,003,000060,211.99184024716283,235.8485906142724,12.440656081741446,240.87315241064573,207.1814660425669,10.702593551148981,237.05187102297964,197.6098412261217,17.17871861233391,241.3970273494608,208.91952857315937
18003000070,18,003,000070,149,108,9,157,98,11,167,88,7,163,99
18003000080,18,003,000080,203.83179438204118,187.84498697952816,5.995052775942388,225.81365456049662,154.87219671184502,11.990105551884776,233.80705826175313,145.87961754793145,13.988456477198906,236.80458464972432,155.87137217450208
18003000090,18,003,000090,412.0334476890889,290.12291887324056,23.0915639320806,460.99521493164224,243.92247572487773,15.708793809570857,469.31299324527396,226.36922619069384,18.480836889219486,478.550113540512,231.91825957404873
18003000100,18,003,000100,93.30681931164459,99.22498041223409,7.5306513067065355,103.55180008186245,91.16367779882101,7.040842888560444,105.1028345522768,85.00038280572406,8.224521045365229,106.71509507495942,93.36773911933362
18003000110,18,003,000110,316.02004591763506,261.98125332273344,24.153871139237857,352.38548987332496,230.5965754746388,15.153871139237856,363.55859490496755,209.2888331961631,21.19233892404732,373.57782879737226,220.5196399050199
18003000120,18,003,000120,292,221,21,321,190,16,319,190,17,325,198
18003000130,18,003,000130,212,198,14,218,188,12.000000000000002,233,168,15.000000000000002,235,178
18003000140,18,003,000140,494.7216759958589,455.46680553121513,20.10923019913304,544.8725176994236,402.3211652657044,16.083223008863268,562.9453378321789,373.1963307524095,20.083223008863268,573.9817478985566,376.23794225684117
18003000150,18,003,000150,329.2783240041411,280.53319446878487,20.89076980086696,358.12748230057645,252.6788347342956,15.91677699113673,372.05466216782105,228.8036692475905,15.91677699113673,379.0182521014434,236.76205774315886
18003000160,18,003,000160,104,128,13,124,111,9,122,111,8,126,116
18003000170,18,003,000170,209,162,14,227,142,12,229,133,18,239,141
18003000180,18,003,000180,328.1291000182955,160.07392907030598,13.005296411006995,349.1390307889336,125.06201214554024,11.005517094798952,359.1434444647728,111.05759846970108,11.003972308255246,363.1449892513165,117.05759846970106
18003000190,18,003,000190,370,355,26,407,315,21,428,286,17,427,301
18003000200,18,003,000200,329,246,16,348,226,12,351,209,17,358,217
18003000210,18,003,000210,326,257,8,344,233,12,364,211,15,359,228
18003000220,18,003,000220,584.8708999817045,334.926070929694,23.994703588993005,629.8609692110664,280.9379878544598,24.994482905201046,649.8565555352272,260.9424015302989,17.996027691744754,656.8550107486835,260.9424015302989
18003000230,18,003,000230,251,195,18,272,171,13,285,156,16,295,161
18003000240,18,003,000240,207,154,14,219,130,18,224,126,15,229,135
18003000250,18,003,000250,340,288,14,373,254,9,386,232,11,377,247
18003000260,18,003,000260,427,245,29,452.99999999999994,215,25,461,202,29,467,215.99999999999997
18003000270,18,003,000270,449.15417789758527,204.19696855347777,9.838007468689357,473.49934791116414,176.4447282315559,8.79880411770946,488.02128445012914,153.71115738985404,10.568816854450102,490.43136240320644,164.27806576970548
18003000280,18,003,000280,488.6823264674584,273.6735898042797,19.363513546520792,522.3232700976247,239.8920226576921,12.59349219655803,536.7413236976914,220.65022557180166,13.049632547435221,540.6527864817607,226.70176659383554
18003000290,18,003,000290,312.4864864864865,214.0864864864865,10.637837837837838,337.7513513513514,188.15675675675678,10.637837837837838,344.4,172.2,12.63243243243243,347.05945945945945,178.84864864864866
18003000300,18,003,000300,267.0375888162855,190.0095754708153,13.000967733752608,293.0389130835259,162.00820027021948,11.000713066975605,306.0391168169475,142.00748720324387,9.001018667108008,299.03967708385693,157.00789467008707
18003000310,18,003,000310,387,238,26,397,215,26,405,204,27,406.99999999999994,222
18003000320,18,003,000320,317,242,25,340,223,12,340,219,16,349,221
18003000330,18,003,000330,2.0524125625045166,3.986363180372483,0.0017474976305081138,1.062535837254927,4.976147932062572,0.0012876298330059786,1.0629037314929286,4.974860302229566,0.001839471190008541,1.0639154406474334,4.97559609070557
18003000340,18,003,000340,156,111,8,165,104,6,163,105,6,170,104
18003000350,18,003,000350,154.2318111443023,123.79193736544183,5.062911610214944,168.32777213878745,102.69400719497715,9.04747300459843,172.36869822697577,97.62932940584032,7.059348855072671,165.37049480319618,108.67541182833368
18003000360,18,003,000360,195,257,31,204,240,26,219,221,23,221,240
18003000370,18,003,000370,242.69198681546604,258.25392793823585,22.26142489890894,267.83680513432085,232.16918170204798,15.76674236817309,286.27490869595084,210.9324976110677,17.66780142548811,284.39505286128474,225.7381088392588
18003000380,18,003,000380,337,436,30.000000000000004,372,397,27,396,354,39,390,389
18003000390,18,003,000390,258.2767110725855,352.28547563923536,33.64524205543259,283.01585964275654,322.59849735503013,29.686978284205228,293.90108501363176,304.78631038450703,32.65567611262575,308.74457415573437,320.6193654694165
18003000400,18,003,000400,98,125,12,107,114,8,114,106,9,115,112
18003000410,18,003,000410,176,236,29,187,227,20,200,215,17,209,225
18003000420,18,003,000420,159,160,18,187,138,7,184,140,6,190,139
18003000430,18,003,000430,120,145,11,129,135,8,133,127.00000000000001,12.999999999999998,139,133
18003000440,18,003,000440,104.71026596374541,247.31567580008442,16.953090679844497,116.67715350245916,230.3625851202399,15.955850051618349,126.64955978472064,223.38190072265687,15.955850051618349,131.63576292585137,230.3625851202399
18003000450,18,003,000450,67,99,14,74,95,11,78,91,9,84,93
18003000460,18,003,000460,36.45596886593469,72.91193773186939,9.852964558360728,43.353044056787205,72.91193773186939,2.9558893675082185,44.338340512623276,71.92664127603331,1.9705929116721457,47.294229880131496,70.94134482019724
18003000470,18,003,000470,212.375532757051,245.44747531680574,20.506097600219054,231.80937571667891,223.95612409300517,16.41886401946537,243.0543830457938,208.6201540313673,15.464952994430412,249.1925373897979,220.88910781712374
