GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDKEL,G18GOVRKOB,G18GOVIORM,G18GOVLCAL,G18GOVIKLO,G18SOSRSCH,G18SOSDMCC,G18SOSLHOD,G18ATGRSCH,G18ATGDSWA,G18INSDMCL,G18INSRSCH,G18TRERLAT,G18TREDFRA
20001000010,20,001,000010,48,98,5,3,4,116,35,5,125,31,27,122,115,37
20001000020,20,001,000020,39.680851063829785,56.545212765957444,1.9840425531914894,1.9840425531914894,0,66.46542553191489,25.79255319148936,3.9680851063829787,75.3936170212766,22.816489361702125,22.816489361702125,76.38563829787233,68.44946808510639,29.76063829787234
20001000030,20,001,000030,15,27,1.9999999999999998,1.9999999999999998,1.9999999999999998,35,7.999999999999999,3,40,7.999999999999999,11,37,33,13.999999999999998
20001000040,20,001,000040,58,113,10,12,4,133,50,8,153,42,43,147,141,50
20001000050,20,001,000050,13,38,1,1,0,40,11,2,43,10,8,45,41,12
2000100006A,20,001,00006A,44.25073169828207,72.96875491612131,4.403825449696786,1.4200156579760652,2.0561115051519274,86.41319325466863,30.520001619590413,5.273014800874963,95.9534569156352,28.081085263799054,25.41391498447389,95.69031483716891,92.01191259890922,27.230034101149386
2000100006B,20,001,00006B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000100006C,20,001,00006C,5.1419753086419755,8.015432098765432,0.15123456790123457,0.30246913580246915,0.15123456790123457,10.132716049382717,3.175925925925926,0.30246913580246915,10.88888888888889,2.7222222222222223,3.0246913580246915,10.283950617283951,9.679012345679013,3.478395061728395
2000100006D,20,001,00006D,0.052983558184773495,0.09272122682335361,0.0052983558184773495,0.0013245889546193374,0.0026491779092386748,0.10861629427878566,0.03576390177472211,0.006622944773096687,0.1205375948703597,0.033114723865483434,0.02914095700162542,0.1205375948703597,0.11656382800650168,0.03046554595624476
20001000070,20,001,000070,130.95278801736237,124.3285023015071,21.327430785066074,6.784590399207079,3.884296112143759,167.00404834691045,109.57881716293609,12.616205686240518,178.67245003979514,108.59998645667345,106.64749616296598,177.7039615711681,168.0035635284443,118.27452890530824
20001000080,20,001,000080,148.9143066606718,172.28380601610203,9.220306062276345,12.784499924287923,4.062994604750288,215.33310419217096,111.8294253147787,14.07785737125466,252.06377253008,90.26700322213352,93.94326604966234,247.18701585240802,221.58549723459478,118.4543957934664
20001000130,20,001,000130,28.960337950385224,44.68502562509983,0.903259651785394,1.7219070970143053,0.8404127450114526,56.44854355825746,18.036445507221426,1.7499917368410653,60.80256844494329,15.451332660452884,17.099686967716245,57.52387266471776,54.052725745447404,19.745077492499828
20001000140,20,001,000140,133,148,11,7,4,197,85,18,217,83,73,228,211,89
20001000150,20,001,000150,20,41,6,1,3,55,16,0,57,15,9,61,56,15
2000100016A,20,001,00016A,34.31542601339323,67.48415238974091,5.949755058779559,6.775236225501151,1.9886111919504443,82.88913110005836,25.71784056272048,5.997990609994882,89.09614243198631,26.49508617822675,24.651181639922275,90.87573290200369,83.8110833692106,30.649172249917154
2000100016C,20,001,00016C,5.030674846625766,7.085889570552148,0.3067484662576687,0.3680981595092025,0.15337423312883436,8.43558282208589,4.141104294478527,0.3680981595092025,9.32515337423313,3.619631901840491,3.8036809815950923,8.987730061349694,8.895705521472392,3.957055214723926
20001000170,20,001,000170,35,55,1,3,0,61.00000000000001,27,7,70,24,20,73,66,29
20001000180,20,001,000180,44,60,5,1,2,76,37,1,87,26,31,81,79,34
