GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOMCM,G16PRECCAS,G16PREOOTH,G16USSRKEN,G16USSRBOU,G16USSRFLE,G16USSRMAN,G16USSRDUK,G16USSRCRA,G16USSRCAO,G16USSRMAR,G16USSRPAT,G16USSDCAM,G16USSDFAY,G16USSDEDW,G16USSDLAN,G16USSDPEL,G16USSDWIL,G16USSDMEN,G16USSLCLE,G16USSLGIL,G16USSOLAN,G16USSOTAY,G16USSNBIL,G16USSNHEB,G16USSNMAR,G16USSNWEL,R16USSRKEN,R16USSDCAM
220010001-1,22,001,0001-1,916.198347107438,98.5909090909091,13.942148760330578,6.971074380165289,2.987603305785124,0.9958677685950413,0,206.14462809917356,482.995867768595,31.867768595041323,101.57851239669422,43.81818181818182,8.962809917355372,6.971074380165289,0.9958677685950413,2.987603305785124,48.79752066115702,29.87603305785124,3.9834710743801653,3.9834710743801653,0,0.9958677685950413,0,10.954545454545455,0,0,0,13.942148760330578,7.966942148760331,0,0,388.38842975206614,66.72314049586777
220010001-2,22,001,0001-2,689.2157289016367,240.05204592740424,13.339943190033614,9.267419340956113,2.669457820424226,1,1.6791069432312433,140.11409973707515,439.1253133314166,41.0373365235591,59.748800000921065,14.771224200107145,14.046206209530135,5.686421499348941,0.06886657101865137,2,73.85853397303005,69.78392366961242,10.24212925059391,14.288040297939677,0.04591104734576758,6.607905805523272,2.022955523672884,3.9940081552518314,1.1041009463722398,0,0.06886657101865137,8.763909643989448,3.0848027007582046,3.9710526315789476,0.9903508771929824,315.29353786731605,78.50935124109374
220010001-3,22,001,0001-3,684.6015293801356,126.76958028535316,10.669755167030761,3.3127872191537233,1.3562452746565163,1.0041322314049586,7.835912072505132,159.09041270999975,399.22723906965376,29.024491849269594,54.417581940094124,16.373946768268535,11.081237284420537,5.700816528318679,0.16815339542612268,0.012396694214876033,57.70941439467393,41.36298017800742,7.940602165150487,4.300390524938847,4.984126984126984,1.6760231398889271,0,4.045454545454545,0.8958990536277602,2,0,3.7737893499292983,5.74906272497325,0.164021164021164,0,330.11578469221143,67.99523448118228
220010001-4,22,001,0001-4,681.5696804894629,134.8851121685928,11.126444595513256,1.1053704962610469,1.0632222977566281,5,4,152.51937457511897,455.98504418762747,24.75866757307954,45.65329707681849,25.31611148878314,7.042148198504419,9.021074099252209,1,0,37.42148198504419,29.4425560842964,5.042148198504419,4.02107409925221,5.042148198504419,4,2,4.02107409925221,0.04214819850441876,0,1,3.0842963970088375,4.02107409925221,2.0632222977566284,0,331.66893269884434,55.611148878314076
220010001-5,22,001,0001-5,339.69727403156384,220.8522238163558,9.839311334289814,3.9311334289813487,0.9770444763271162,1,0.9770444763271162,91.5767575322812,219.8780487804878,13.70157819225251,32.47202295552367,7.931133428981348,1,2.9311334289813487,3.9311334289813487,0,75.65566714490674,40.88522238163558,14.908177905308465,11.862266857962696,4.954088952654232,2,0.9770444763271162,1.9770444763271162,0,0,3.9311334289813487,6.977044476327116,0,0,0,142.7044476327116,113.12769010043041
220010001-6,22,001,0001-6,87.88888888888889,657.4791666666666,1.9826388888888888,2.9479166666666665,4.930555555555555,3.9479166666666665,5,26.739583333333336,188.36805555555557,7.878472222222222,7.861111111111111,10.895833333333334,4.930555555555555,0.9826388888888888,0,1.9826388888888888,207.26388888888889,109.02777777777777,27.67013888888889,27.70486111111111,9.947916666666668,6.913194444444445,7.982638888888889,1.9826388888888888,1.9652777777777777,2,0,22.739583333333332,3.9652777777777777,1,2,48.28819444444444,190.26388888888889
220010001-8,22,001,0001-8,385.38624338624334,114.52910052910052,4.1798941798941796,2.507936507936508,0,0,2.507936507936508,77.74603174603173,201.47089947089947,24.243386243386244,37.61904761904762,15.047619047619047,5.851851851851851,1.6719576719576719,0.8359788359788359,0,47.650793650793645,36.78306878306878,10.867724867724867,2.507936507936508,5.015873015873016,1.6719576719576719,0,0,0,0,0,7.523809523809524,4.1798941798941796,0.8359788359788359,0,183.9153439153439,43.47089947089947
220010001-9,22,001,0001-9,500.5082493510004,44.78679693370067,5.483426086602184,4.592663795365368,2.797652370786472,0.05208333333333333,0,151.92159357222084,260.2914760913728,32.86967201668913,28.394698279803293,13.754855421183823,1.9397117169765565,0.9621438701841847,0,0.017361111111111112,20.187906643449775,20.310905776791856,2.2001283836432233,1.2592198935759975,1.8644558690233402,0.13505116959064328,0.017361111111111112,0.9524947473771671,1.847094757912229,0,0,3.9044599836607152,0.9602067356812607,2.7475061719560627,0.009649122807017543,246.05836774621235,28.189197089142525
220010002-1,22,001,0002-1,816,94,10,4,0,4,1,160,435,41,90,36,13,6,1,1,35,26,6,1,3,0,1,5,2,1,0,1,4,0,0,384,64
220010002-2,22,001,0002-2,621.6265734265734,35.204195804195805,5.839160839160839,0.9762237762237762,3.832167832167832,0.01818181818181818,2.874125874125874,172.65874125874126,310.786013986014,23.374825174825176,68.74825174825175,33.87692307692308,1.9342657342657343,0.9762237762237762,2.874125874125874,0,10.325874125874126,17.626573426573426,1.0307692307692309,0.05454545454545454,1.9524475524475524,0,0.958041958041958,1.0125874125874126,0.958041958041958,0.958041958041958,0,4.826573426573427,7.682517482517483,0,0,350.24755244755244,36.24755244755245
