GEOID20,STATEFP,COUNTYFP,DISTRICT,G18SOSRARD,G18SOSREDM,G18SOSRSTO,G18SOSRKEN,G18SOSRCRO,G18SOSRCLO,G18SOSDCOL,G18SOSDFRE,G18SOSNMOR,R18SOSRARD,R18SOSDCOL
220010001-1,22,001,0001-1,320.6694214876033,83.65289256198348,57.7603305785124,80.66528925619835,33.85950413223141,54.77272727272727,22.90495867768595,50.78925619834711,9.958677685950414,203.15702479338844,10.954545454545455
220010001-2,22,001,0001-2,232.57617752624188,100.75105524867888,80.55741972446924,105.69235343108869,29.651529336014907,35.856806337701336,95.10715500512819,81.44961816226068,17.401790367118934,157.31180573305278,43.87876566815888
220010001-3,22,001,0001-3,220.1895573650664,87.89842351299191,51.73126556923517,103.28959532644649,18.14022881387378,44.179386625758866,46.26467061812631,49.68957143505466,6.729019474932867,145.73450125271174,25.524615996224828
220010001-4,22,001,0001-4,241.1400407885792,97.47518694765466,49.6743711760707,103.09585316111489,30.59007477906186,42.37933378653977,38.25288919102651,65.29503738953093,10.084296397008838,154.212780421482,11.231815091774303
220010001-5,22,001,0001-5,111.34720229555236,38.403156384505024,20.678622668579628,58.21951219512195,10.770444763271161,29.63271162123386,91.5638450502152,79.44906743185078,14.862266857962698,53.92109038737446,43.816355810616926
220010001-6,22,001,0001-6,61.30555555555556,31.70486111111111,20.80902777777778,31.65277777777778,4.947916666666667,17.791666666666668,256.4479166666667,228.17708333333334,20.84375,26.600694444444443,96.09722222222223
220010001-8,22,001,0001-8,111.18518518518518,36.78306878306878,25.915343915343914,47.650793650793645,13.375661375661375,28.42328042328042,35.94708994708994,33.439153439153436,0,61.026455026455025,16.719576719576718
220010001-9,22,001,0001-9,136.74865449370083,64.23958114681106,29.54595033712198,47.951364290513276,25.6279304119408,16.65477387384164,13.63859924922776,14.692857749830047,3.8292406854151015,96.39798648629846,10.976967074950009
220010002-1,22,001,0002-1,261,95,39,106,24,47,23,38,11,167,16
220010002-2,22,001,0002-2,217.65034965034965,81.42097902097902,21.586013986013988,77.47972027972028,37.472727272727276,28.092307692307692,8.155244755244755,17.91748251748252,1.0125874125874126,168.20839160839162,6.2027972027972025
220010002-3,22,001,0002-3,232.15773115773115,90.4052836052836,55.62812742812743,61.443512043512044,21.43030303030303,45.966278166278165,22.408391608391607,34.15120435120435,2.938927738927739,172.7835275835276,16.05982905982906
220010002-5,22,001,0002-5,149,56,25,60,14,18,12,15,3,162,6
220010003-1,22,001,0003-1,121.91672908385578,42.16651366153718,33.604932983169434,66.21094729259741,15.898247830359532,30.24825248291236,34.60464543715934,49.459897439490355,12.022585607884308,245.37734385576576,101.85365258238576
220010003-2,22,001,0003-2,197,80,38,90,18,64,14,14,5,126,8
220010003-3,22,001,0003-3,295.56582201850733,85.70257718585142,86.84469428349044,161.37983222347142,30.74158090460953,74.54169333218023,75.34166738735622,105.4254432240768,32.270872610914125,585.9082072126611,206.2576753437689
220010003-4,22,001,0003-4,117.37469011147778,47.505910456582775,40.54519857492325,64.89250357090086,18.93788274310857,33.27726608547177,174.4392454317096,213.52870675926383,15.89067297115369,267.38183191318194,423.41094912081957
220010003-5,22,001,0003-5,162.14007782101166,38.070038910505836,29.085603112840467,57.1011673151751,23.038910505836576,43.08560311284047,41.10505836575875,28.315175097276263,1.0544747081712063,102.47470817120622,40.54474708171206
220010003-7,22,001,0003-7,237.19460015706665,84.72869715926016,57.705429631434995,99.4923172746229,38.48034771305549,30.788599128009317,36.94574701437972,50.20209061120589,10.809878950361524,179.8659896552658,48.67034960868741
220010004-1,22,001,0004-1,118.81598317560463,73.24395373291273,25.519453207150367,37.99789695057834,10.218717139852787,34.587802313354366,11.15036803364879,23.259726603575185,5.041009463722397,122.42166140904311,11.123028391167193
220010004-2,22,001,0004-2,146,77,42,64,10,130,24,33,17,153,17
220010004-4,22,001,0004-4,229.1273560578876,63.66351654400552,63.983390800169865,103.7200052441943,40.237623623251864,101.79265600103527,19.71059426725578,41.319137450330544,6.875991909411945,213.25625451170123,21.72232837799888
220010004-5,22,001,0004-5,175.6740273396425,77.60357518401682,32.40588853838065,62.2534174553102,13.644584647739222,36.66982124079916,9.380651945320714,16.202944269190326,2.558359621451104,88.68980021030494,7.6750788643533125
220010004-6,22,001,0004-6,155.397476340694,64.59305993690852,33.91798107255521,69.6845425867508,8.807570977917981,117.17034700315457,9.555205047318612,13.958990536277602,7.151419558359621,155.24921135646687,19.454258675078865
220010005-1,22,001,0005-1,52.5974025974026,41.883116883116884,16.558441558441558,18.506493506493506,4.87012987012987,13.636363636363637,33.116883116883116,10.714285714285714,1.948051948051948,63.31168831168831,21.428571428571427
220010005-2,22,001,0005-2,70,38,21,28,9,16,18,15,4,104,25
220010005-3,22,001,0005-3,104.38568825320274,73.85226573295677,34.95581063746621,82.44663374458409,15.531242395714624,19.53497833638881,4.885058989985741,18.443350344911117,8.704778106264556,122.19286614806128,15.494439030835549
220010005-4,22,001,0005-4,110,39,34,66,10,17,17,18,12,175,30
220010005-5,22,001,0005-5,35.07138211245942,32.63301342444874,10.975599736107737,23.122266049181107,13.166161865707126,7.292517500542021,6.567008256403528,16.16035781780826,2.199717869767866,54.36835116653221,16.504800959540553
220010006-1,22,001,0006-1,47.07054176072235,15.481847253574117,16.291854778028593,22.16525583145222,3.9433784800601956,18.180210684725356,90.92099322799098,79.66920617005268,6.516741911211437,51.24059443190369,129.0597253574116
220010006-2,22,001,0006-2,88,47,22,48,4,17,17,25,10,173,31
220010006-3,22,001,0006-3,90.41986455981942,34.13995485327314,24.229119638826184,41.03160270880361,9.534988713318285,12.496613995485326,65.76975169300225,83.3431151241535,9.891647855530474,155.04401805869074,122.49548532731377
220010006-4,22,001,0006-4,105,44,38,53,26,23,51,75,6,210,91
220010006-5,22,001,0006-5,83.68551960538417,32.64208678204164,33.00217373129337,37.224437756040466,3.8271883621770755,14.89724939386339,36.624069893821584,44.844160187275314,3.7860546777025332,163.22464676866483,63.26423375971909
