GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWES,G20PREOOTH,G20USSRCAS,G20USSRMUR,G20USSDPER,G20USSDEDW,G20USSDPIE,G20USSDKNI,G20USSDWEN,G20USSLSIG,G20USSIMEN,G20USSOPRI,G20USSOJOH,G20USSNBIL,G20USSNBOU,G20USSNMON,G20USSNDAR
220010001-1,22,001,0001-1,1045.6611570247935,80.66528925619835,6.971074380165289,2.987603305785124,3.9834710743801653,987.900826446281,28.8801652892562,27.884297520661157,24.896694214876035,3.9834710743801653,4.979338842975207,0,0,2.987603305785124,1.9917355371900827,3.9834710743801653,9.958677685950414,17.925619834710744,2.987603305785124,2.987603305785124
220010001-2,22,001,0001-2,683.6978961668847,238.2758598798898,10.714884270133696,1.5716280900445652,10.097345132743364,657.0247330531608,18.859537080534782,73.78434758319473,67.36010208097916,12.629981843805945,17.068866571018653,2,2.0688665710186513,4.646017699115045,7.240601312832493,9.194690265486726,8.617539137390333,12.760795317479463,6.743362831858407,6.091822094691535
220010001-3,22,001,0001-3,617.083640870447,130.23278935338467,10.015292517706033,3.7231676421539657,1.1461789296061218,590.6611443740969,15.335572572499363,42.42746202649662,44.25846802701187,19.524158679267288,0.8963368327004692,2.8756756756756756,4.021621621621621,2.2690338623564688,2.1216185248365456,6.713666771430247,0.8980392079346222,5.206693009106525,2.1067919744508643,1.7421264239446057
220010001-4,22,001,0001-4,676.1060503059143,136.8851121685928,8.105370496261047,1.0421481985044188,7.126444595513257,656.768864717879,14.37933378653977,29.168592794017677,64.27396329027873,8.084296397008838,7,0.04214819850441876,5.063222297756628,1.0632222977566281,5.0842963970088375,4.0842963970088375,11.021074099252209,8.126444595513256,1.0421481985044188,0
220010001-5,22,001,0001-5,343.9038737446198,245.37015781922523,6.931133428981348,0.9770444763271162,4,312.4088952654232,13.724533715925395,120.35724533715926,54.58680057388809,9.954088952654232,5.931133428981348,2,2.9311334289813487,0,7.954088952654232,0,7.931133428981348,9.88522238163558,1,5.908177905308465
220010001-6,22,001,0001-6,106.66319444444444,683.6701388888889,8.947916666666668,4.965277777777778,9.895833333333334,111.62847222222223,1.9652777777777777,302.69097222222223,175.66319444444446,39.635416666666664,30.72222222222222,3.9305555555555554,2.9479166666666665,5.965277777777778,4.947916666666667,0,24.895833333333332,18.80902777777778,6.947916666666667,8.930555555555555
220010001-8,22,001,0001-8,456.9189189189189,124.6918918918919,4.27027027027027,1.7081081081081082,1.7081081081081082,421.0486486486487,12.81081081081081,46.11891891891892,31.6,14.518918918918919,5.124324324324324,5.124324324324324,5.978378378378379,0,2.562162162162162,5.978378378378379,2.562162162162162,5.124324324324324,0,4.27027027027027
220010001-9,22,001,0001-9,488.6314819842086,47.153696160011286,4.6803598053017135,1.87954313549335,5.606181028898929,473.3884628589639,16.735455574405734,10.986246534107126,14.415162140785437,4.378708935686798,0.2777777777777778,1.8818169801344513,2.7706421368683434,2.8506261585005954,3.8066219150378307,3.754538581704497,1.042801312092791,5.725434962035606,2.026697756928945,0.06944444444444445
220010002-1,22,001,0002-1,990,62,7,1,2,932,24,25,13,2,15,0,7,3,2,3,8,4,1,1
220010002-2,22,001,0002-2,711.7972027972028,28.46153846153846,9.634965034965035,0,2.928671328671329,685.5482517482518,10.793006993006994,7.415384615384616,14.952447552447552,0.03636363636363636,1.9524475524475524,0.03636363636363636,3.832167832167832,0.9762237762237762,0,2.928671328671329,0.9762237762237762,2.8923076923076922,0,0
