GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTru,G16PREDCli,G16PRELJoh,G16PREGSte,G16PREOth,G16USSRSze,G16USSDVan,G16USSGFlo,G16USSOth,G16H01RHar,G16H01DWer,G16H01LBee,G16H01Oth,G16H02RMcD,G16H02DRup,G16H02LKas,G16H02Oth,G16H03RPla,G16H03DSar,G16H03GEze,G16H03Oth,G16H04RMcD,G16H04DBro,G16H04LKra,G16H04GCla,G16H04Oth,G16H05RArn,G16H05DHoy,G16H05LSum,G16H05Oth,G16H06RHoe,G16H06DDel,G16H06LHow,G16H06GGlu,G16H06Oth,G16H07RVau,G16H07DCum,G16H07GHoe,G16H07Oth,G16H08RCox,G16H08DRas,G16H08LWun,G16H08GWal,G16H08Oth
2400101-000,24,001,01-000,417.75838222439745,62.76452485963632,6.966023755632139,2.003482764040264,7.907180832987208,365.06567825734476,83.70475277259442,14.930536953530874,0.020268971214784645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.26818968207806,98.54640337286195,4.9959217600658015,5.969910349691221,0.00509325236494439,0,0,0,0,0,0,0,0,0
2400102-000,24,001,02-000,458.9239578561612,78.28859367842419,18.032065964269353,9.00916170407696,2.0366468163078335,401.6811726981219,117.38479157123226,19.068712780577187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405.6307833256986,121.45350435180944,10.022904260192396,8.027485112230876,0,0,0,0,0,0,0,0,0,0
2400103-000,24,001,03-000,442.7011701170117,80.76305130513052,5.982448244824482,3.9882988298829884,0.9970747074707471,387.86206120612064,105.68991899189919,13.95904590459046,0.9970747074707471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370.91179117911787,119.64896489648964,5.982448244824482,9.970747074707472,0.9970747074707471,0,0,0,0,0,0,0,0,0
2400104-002,24,001,04-002,200,126,16,11,2,151,158,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,156,18,17,0,0,0,0,0,0,0,0,0,0
2400104-003,24,001,04-003,366,209,18,13,9,282,273,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,264,20,12,0,0,0,0,0,0,0,0,0,0
2400104-004,24,001,04-004,559,247,20,19,9,445,327,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,309,19,17,3,0,0,0,0,0,0,0,0,0
2400104-005,24,001,04-005,329.9707724425887,162.4582463465553,12.241127348643007,16.68475991649269,2.5135699373695197,259.6054279749478,205.3100208768267,35.66910229645094,0.04279749478079332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.43423799582462,217.3956158663883,15.855949895615867,7.6419624217118995,3.12839248434238,0,0,0,0,0,0,0,0,0
2400104-008,24,001,04-008,419.9269311064718,189.3956158663883,24.852818371607516,13.711899791231733,10.283924843423799,332.51356993736954,266.5250521920668,33.42275574112735,0.8569937369519833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.08559498956157,268.2390396659708,17.139874739039666,12.854906054279748,2.5709812108559498,0,0,0,0,0,0,0,0,0
2400105-004,24,001,05-004,407.613363591157,214.2710835503637,21.92541320050233,20.928803509570407,10.962706600251165,334.8608561531265,260.1151293332322,39.86438763727696,0.9966096909319241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.82695306244574,265.0981777878918,13.952535673046938,14.949145363978863,0.9966096909319241,0,0,0,0,0,0,0,0,0
2400105-006,24,001,05-006,279.386636408843,67.72891644963632,12.07458679949767,3.071196490429594,0.03729339974883478,212.13914384687348,114.88487066676781,20.135612362723034,0.003390309068075889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.17304693755426,100.90182221210819,12.047464326953062,6.050854636021138,1.0033903090680758,0,0,0,0,0,0,0,0,0
2400106-001,24,001,06-001,339.036356274127,341.01251222421257,21.001219745127635,4.000511506021267,19.00074758572339,311.03171337331855,329.0158960332763,32.00137713159572,1.0000393466170205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.03191010640364,321.01542387387207,20.000944318808493,8.00070823910637,1,0,0,0,0,0,0,0,0,0
2400106-003,24,001,06-003,187,137,15,13,9,153,166,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,162,9,6,3,0,0,0,0,0,0,0,0,0
2400106-005,24,001,06-005,368.67126961400317,244.7817372775902,18.983073503160053,6.993763922216862,9.99109131745266,337.69888652989994,267.7612473077313,14.98663697617899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348.68908697909785,244.7817372775902,8.991982185707394,6.993763922216862,2.997327395235798,0,0,0,0,0,0,0,0,0
2400106-006,24,001,06-006,702,199,23,16,1,582,303,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,300,12,12,1,0,0,0,0,0,0,0,0,0
2400106-099,24,001,06-099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400107-001,24,001,07-001,695.0691489361702,269.63085106382977,33.58723404255319,6.530851063829787,2.798936170212766,610.168085106383,322.81063829787234,41.98404255319149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601.7712765957447,344.2691489361702,16.793617021276596,16.793617021276596,0,0,0,0,0,0,0,0,0,0
2400107-002,24,001,07-002,886,247,28,8,11,776,339,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,326,11,8,1,0,0,0,0,0,0,0,0,0
