GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRHOG,G18GOVDJEA,G18GOVLQUI,G18GOVGSCH,G18GOVOWRI,G18COMRPHU,G18COMDFRA,G18COMOWRI,G18ATGRWOL,G18ATGDFRO,G18ATGOWRI,G18USSRCAM,G18USSDCAR,G18USSLVOH,G18USSISIM,G18USSOWRI
2400101-000,24,001,01-000,343.9972285993459,33.80908836659863,4.966876911263259,0.9955641497373418,0.006503879507074395,231.84394262559476,120.24288754767137,0,306.2489307157767,64.64989741009931,0.00867183934276586,287.3437395552107,72.66296709532182,0.021783636601907568,12.914358545211439,0.006503879507074395
2400102-000,24,001,02-000,358.5849748053138,33.15574896930829,4.022904260192396,0.004580852038479157,0,244.06733852496563,138.55428309665598,0,324.41090242785157,72.29775538250115,0,280.3238662391205,96.33440219880897,6,18.05955107650023,0
2400103-000,24,001,03-000,353.9615211521152,23.92979297929793,1.9941494149414942,0.9970747074707471,0,242.28915391539152,121.64311431143113,0,317.06975697569754,54.83910891089109,0,289.15166516651664,66.80400540054005,2.991224122412241,18.944419441944195,0
2400104-002,24,001,04-002,182,62,4,7,0,111,128,1,146,101,2,121,106,7,12,1
2400104-003,24,001,04-003,322,99,7,4,1,168,247,0,240,190,0,209,198,5,21,0
2400104-004,24,001,04-004,563,136,4,8,0,299,371,1,433,249,0,355,321,5,21,2
2400104-005,24,001,04-005,293.044885177453,62.322546972860124,2.1711899791231732,8.171189979123174,0,162.9446764091858,183.86638830897704,1,226.080375782881,133.11586638830897,2,207.1972860125261,143.9133611691023,3.1711899791231732,6.38517745302714,2
2400104-008,24,001,04-008,381.3622129436326,86.55636743215031,3.4279749478079333,3.4279749478079333,0,179.1116910229645,277.66597077244256,0,281.9509394572025,182.53966597077243,0,244.24321503131523,218.53340292275576,3.4279749478079333,7.71294363256785,0
2400105-004,24,001,05-004,398.6438763727696,144.508405185129,0.9966096909319241,7.972877527455393,2.9898290727957724,201.31515756824868,325.8913689347392,0,308.9490041888965,231.2134482962064,0,253.13886149670873,264.1015680969599,8.969487218387316,17.938974436774632,0
2400105-006,24,001,05-006,209.35612362723035,46.49159481487101,0.003390309068075889,0.02712247254460711,0.010170927204227666,132.68484243175132,121.10863106526081,0,181.05099581110352,77.7865517037936,0,162.86113850329127,88.8984319030401,1.030512781612683,5.061025563225366,0
2400106-001,24,001,06-001,429.0354906485525,169.0062954587233,7.000157386468082,10.000118039851062,0,183.01920114910604,407.02081436040385,7.869323404108598e-5,313.0281721777867,289.0129450369998,0,233.02608680708462,344.0149517144678,11.000275426319144,28.00066889248935,0
2400106-003,24,001,06-003,206,61,6,0,0,105,157,0,156,115,0,126,130,5,9,0
2400106-005,24,001,06-005,386.65523398541796,132.8815145221204,3.996436526981064,2.997327395235798,0.999109131745266,201.82004461254374,305.7273943140514,0,291.7398664696177,215.80757245697745,0,231.7933185649017,254.77282859504282,5.994654790471596,20.981291766650585,0.999109131745266
2400106-006,24,001,06-006,615,129,7,6,0,345,386,0,529,223,0,465,268,5,17,1
2400106-099,24,001,06-099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400107-001,24,001,07-001,654.9510638297872,126.88510638297872,6.530851063829787,0.9329787234042554,0,381.58829787234043,387.18617021276594,0.9329787234042554,548.5914893617021,232.31170212765957,0,480.4840425531915,295.7542553191489,5.597872340425532,13.061702127659574,0
2400107-002,24,001,07-002,799,123,7,0,1,458,431,1,666,249,2,570,322,2,31,1
2400108-000,24,001,08-000,991.5309081092477,136.8721895611919,5.9496323652131125,2.982477472929137,0,640.127940515016,442.51829826943487,0.01532258064516129,843.5646344806489,269.8647855025643,0.03064516129032258,761.8954652743492,337.62594155562476,5.9496323652131125,24.84887141419442,0.03064516129032258
2400109-000,24,001,09-000,386.4702869490963,23.17168089934869,0.927888634217128,0.9215048951972512,0,250.28120254350608,143.7058216516188,0.9151211561773744,350.46350282019154,50.91045592755775,1.8302423123547489,316.42953117508534,81.25415216586165,0.927888634217128,7.374167074584635,1.8302423123547489
2400110-000,24,001,10-000,662.4973339615235,56.330577696275135,3.947798156250229,0.04824561403508772,0,370.73789311666025,290.7745768544574,0,567.4124589132723,113.93549306716662,0,499.40317530005586,173.13251370121597,3.8513069281800534,19.51190966324122,0
2400111-000,24,001,11-000,370.9075137135191,159.09727978409344,0.9584173480969486,2.8752520442908454,0,175.3903747017416,344.0718279668045,0,271.2321095114364,258.7726839861761,0,229.06174619517068,278.89944829621203,5.750504088581691,16.293094917648123,0
2400112-000,24,001,12-000,873.4403600750148,286.15347432192834,6.813601769018084,13.544236850418319,2.8490007401924498,452.97935091030644,661.7682718437027,0.9496669133974833,693.8110634346325,449.55546674693556,0.9496669133974833,588.6795194657587,532.0564881752977,8.71293559581305,42.822427784712396,0.9496669133974833
