GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI
23001019105,23,001,019105,1106.1660255651557,1273.9103411915341,149.29086174802828,44.284399444797124,0.05026737967914439
23001020601,23,001,020601,1091.8807665010645,1027.9418026969481,181.98012775017745,39.34705464868701,9.836763662171753
23001020602,23,001,020602,1370.7511618907054,1089.343358593698,167.8657475070389,51.85617226665962,7.285390755553207
23001020603,23,001,020603,934.877924512655,1109.7886862746695,146.04249334390926,32.45213821551838,10.725074533272158
23001020604,23,001,020604,826.3915921456035,913.3430084756205,90.96614779472104,38.706642654724085,9.884572228758726
23001020605,23,001,020605,1102.5490000743328,1183.8439421833634,152.80561515955264,46.1822559636301,5.131213784787119
23001029255,23,001,029255,817,1545,151,26,0
23001038565,23,001,038565,418,752,76,17,10
23001040035,23,001,040035,1780.453781512605,2805.6860198624904,290.8869365928189,86.03819709702063,17.155080213903744
23001040665,23,001,040665,465.9982371088585,691.6394887615689,62.78713089466726,21.58307624504187,28.4504186866461
23001040770,23,001,040770,561.0709563684443,738.0105773468489,115.81798148964302,44.281181137064785,0.37064786249449094
23001044585,23,001,044585,527.9157979576579,890.5369119149437,119.1791961152805,24.294320945005232,5.151649120118669
23001046160,23,001,046160,533.5893648880755,952.3192860537745,98.94878024042849,21.793757414492834,6.664327514260081
23001060020,23,001,060020,1247.3493676093744,1688.8429633127337,199.41457829849148,58.48197526349107,7.1330127785182675
23001064570,23,001,064570,867.1233022636485,1694.4703062583224,152.14434087882822,50.71478029294274,0
23001077800,23,001,077800,1092,2014,150,47,12
23001079585,23,001,079585,225.87669773635153,588.5296937416778,64.85565912117177,6.285219707057257,6
23001387401,23,001,387401,1547.1192334989355,822.0581973030518,116.01987224982257,34.65294535131299,8.163236337828247
23001387402,23,001,387402,1332,1521,177,40,10
23001387403,23,001,387403,1490,555,103,43,7
23001387404,23,001,387404,1014,1132,144,26,6
23001387405,23,001,387405,816,547,90,29,5
23001387406,23,001,387406,1068.0417264924167,1575.197142137618,176.41987949233766,37.12811093512101,10.012695537995427
23001387407,23,001,387407,1049.534064429179,1220.7847010535786,148.35756204824008,28.104626341357672,8.012063746736349
23003NA,23,003,NA,13499,19454,1658,518,125
23005002655,23,005,002655,273,561,58,16,3
23005007170,23,005,007170,1208.842297318737,1446.8882278280184,155.7584483579248,68.57290179279708,5.877677296525464
23005010180,23,005,010180,3734.2395075545605,1319.1337437045327,190.10072747621712,58.68326804700615,5.785674314493565
23005011125,23,005,011125,817.2525472247535,1107.2401626573303,103.89586847640646,46.497245925002225,9.888073394495413
23005012300,23,005,012300,234.4232657068063,65.36521160558465,16.875002545084353,11.166104203025014,0.021465968586387434
23005015430,23,005,015430,3211.0801021222273,1758.0491463220042,285.00632945056117,56.001861603106214,29.00021275464071
23005024495,23,005,024495,4919,2638,307,108,22
23005026525,23,005,026525,3466.6941419710543,1644.9568573397657,266.66878015161956,86.89207443142661,9.987594762232943
23005027025,23,005,027025,43,26,8,0,0
23005028240,23,005,028240,5037.524383297989,3952.6641245213987,488.95637520182896,163.9840397079862,102.99822663422069
23005028870,23,005,028870,2038,2402,271,82,14
