GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTru,G16PREDCli,G16PRECCas,G16PREMVac,G16PRESKen,G16PREGSte,G16PREIDeL,G16PREIMcM,G16PRELJoh,G16PREOth
27001000005,27,001,000005,567.9747299602063,363.3751885113818,3.0263261769707444,7.0390703576314975,0.98702442990426,2.2978875912413366,0,21.18307038636671,36.70743144719672,6.181338849814663
27001000010,27,001,000010,337.46612444832454,147.2293083177731,0.9630980896263849,1.936649368341644,0.010457598489187177,4.6795240301712395,0,6.741677808584068,17.14752884046956,3.7896335393694778
27001000015,27,001,000015,95.69426751592357,56.818471337579616,0,0.9968152866242038,0,0.9968152866242038,0,1.9936305732484076,5.980891719745223,0.9968152866242038
27001000020,27,001,000020,9.000038063899394,8.00002378993712,0,2.3789937120930483e-6,0,0,0,0,2.3789937120930483e-6,1
27001000025,27,001,000025,16,19,0,2,0,0,0,0,0,0
27001000030,27,001,000030,44.37828556696402,28.327478479554998,0,0.944186046511628,0,0.9443046142745128,0,0,0,0
27001000035,27,001,000035,11,9,0,0,0,0,0,0,1.9999999999999998,0
27001000038,27,001,000038,14.999999999999998,9,0,0,0,0,0,0,0,0
27001000040,27,001,000040,432,267,0,2,0,6,0,8,16,2
27001000045,27,001,000045,144.0053141634244,78.00214280783241,8.571231329680383e-5,1,0,3.0000857123132967,8.571231329680383e-5,1.0000857123132967,11.000428561566483,1
27001000050,27,001,000050,174,105,1,2,0,0,0,6,13,2
27001000055,27,001,000055,61.17145448923435,38.25796630550025,0.003725524866508862,0.011176574599526588,0,0.022353149199053176,0.003725524866508862,2.9683064529574876,4.9583539961953385,0.014902099466035448
27001000060,27,001,000060,329,189,0,1,0,4,0,7,10,3
27001000065,27,001,000065,203.47566833553986,96.75560919096154,2.72207698858464e-4,2.9917848553747604,2.72207698858464e-4,5.44415397716928e-4,0,1.9947954446153653,6.9821923677020665,2.72207698858464e-4
27001000070,27,001,000070,126.52433166446014,78.24439080903846,0.9997277923011415,0.008215144625239744,0.9997277923011415,1.999455584602283,0,1.0052045553846347,5.017807632297934,0.9997277923011415
27001000075,27,001,000075,79,27,0,0,0,0,0,0,5,0
27001000080,27,001,000080,120.84767179351762,42.94586683571288,0,0.9987410892026249,0,0,0,2.996223267607875,4.993705446013125,0.9987410892026249
27001000082,27,001,000082,18,4,1,0,0,0,0,0,0,2
27001000085,27,001,000085,71,44,0,0,0,1,0,5,2,0
27001000090,27,001,000090,175,87,1,1,0,4,0,3,3,2
27001000095,27,001,000095,22,6.999999999999999,0,0,0,0,0,0,1,0
27001000100,27,001,000100,14.999999999999998,5,0,0,0,0,0,0,0,0
27001000105,27,001,000105,6,8,0,1,0,1,0,0,1,0
27001000110,27,001,000110,72.67979968274282,36.9342836994215,0,0.05403489618637115,0.9794222754901108,2.012879447166593,0,0.05403489618637115,5.113250962196039,0.1080697923727423
27001000115,27,001,000115,16,4,0,4,0,0,0,0,2,0
27001000120,27,001,000120,75.64399966392888,62.468486346911156,0,0.0012589107973749987,0,2,0,4.045212050654528,3.006294553986875,1.0426942290597778
27001000125,27,001,000125,37.131584356506984,11.260065422027134,0,0.05581395348837209,0,0.05581395348837209,0,0.9585646817375971,0,0.9585646817375971
27001000130,27,001,000130,53.94252873563219,35.015325670498086,0,0.946360153256705,0,0.946360153256705,0,0.946360153256705,0.946360153256705,0
27001000132,27,001,000132,12,13,0,0,0,0,0,0,2,0
27001000135,27,001,000135,127,77,2,1,0,0,1,4,5,2
27001000140,27,001,000140,61.9946858365756,24.99785719216758,0.9999142876867032,0,0,0.9999142876867032,0.9999142876867032,0.9999142876867032,4.999571438433516,0
27001000145,27,001,000145,406,230,3,2,0,5,0,12,22,3
27001000150,27,001,000150,37.86858741403136,29.339909848965604,0,0.9459651038136289,4.164341873084793e-4,0.9467979721882458,0,0.9459651038136289,3.785942586191058,1.8919302076272577
27001000155,27,001,000155,37,9,2,0,0,0,0,0,1,0
27001000160,27,001,000160,52,20,0,1,0,3,0,0,4,1
27001000165,27,001,000165,27,24,0,0,1,3,0,0,0,0
27001000170,27,001,000170,31,4,0,0,0,1,0,0,2,1
27001000175,27,001,000175,404.44923516593803,292.0178957634653,0.9962744751334911,3.0577889426418525,0,6.0121296094216365,0.9962744751334911,9.100659064283892,18.076128762425352,4.019580659154654
27001000180,27,001,000180,52,43,1,2,1,3,0,1,2,1
27001000185,27,001,000185,204.73516522352304,108.0390622251606,1.008261181807517,1.0196511708361509,0.002517971606552866,1.0110156206106542,0,5.059049943881746,18.10337778361735,1.019769404434443
27001000190,27,001,000190,12.998458619082495,15.99810291579384,0,0,0,0.999881432237115,0,0,0,0
27001000195,27,001,000195,60,39,0,0,0,2,0,1,6,0
27001000200,27,001,000200,18,9,0,0,0,0,0,2,0,0
27001000205,27,001,000205,120,55,1,2,0,0,0,2,2,1
27001000210,27,001,000210,126.00000000000001,65,0,1,0,0,0,2,3,0
27001000215,27,001,000215,121,82,0,1,1,2,0,3,1,0
27001000220,27,001,000220,11,5,0,1,0,0,0,1,2,0
27001000225,27,001,000225,44,19,1,0,0,2,0,0,2,0
27001000230,27,001,000230,74.8309232480534,36.44994438264739,0,1.9310344827586208,0.020161290322580645,1.0058398220244718,0,1.9310344827586208,1.0663236929922135,0.9655172413793104
