GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRNEW,G18USSDKLO,G18USSMSCH,G18USSGOVE,G18USSOWRI,G18GOVRJOH,G18GOVDWAL,G18GOVMWRI,G18GOVLWEL,G18GOVOWRI,G18SOSRHOW,G18SOSDSIM,G18SOSIDEN,G18SOSOWRI,G18AUDRMYH,G18AUDDBLA,G18AUDMFOR,G18AUDLDOC,G18AUDOWRI,G18ATGRWAR,G18ATGDELL,G18ATGMJOH,G18ATGOWRI
27001000005,27,001,000005,346.23469397173636,460.571456338425,30.065683829290794,10.001962925987032,0,410.0928420528777,387.18362377770814,29.403104557033604,14.013494254219282,0.98702442990426,410.15748851392146,367.26349117966913,44.72746197258996,0,395.4832342660877,342.7930830672998,56.37720932209569,18.415936479785067,0,428.8990830037821,330.6871719332026,60.78147082630423,3.0263261769707444
27001000010,27,001,000010,241.08227200605185,211.5694882495457,6.83579178558644,1.9680353920101443,0,279.93128757548664,163.30914544612315,11.483947429690431,2.9415778519247775,0.010457598489187177,280.86300846024517,146.33945310217385,19.09459171329726,0,282.5695994806253,134.90777602732808,16.424915831491663,9.505467667392038,0,295.027098189031,131.05537925942224,22.98881887515986,0.9630980896263849
27001000015,27,001,000015,65.78980891719745,84.72929936305732,4.984076433121019,1.9936305732484076,0,79.7452229299363,69.77707006369427,5.980891719745223,0,0,79.7452229299363,70.77388535031847,2.9904458598726116,0,79.7452229299363,65.78980891719745,8.971337579617835,0,0,78.7484076433121,65.78980891719745,8.971337579617835,0
27001000020,27,001,000020,7.000023789937122,14.00004520088053,7.1369811362791446e-6,0,0,9.000030926918258,11.000042821886819,2.3789937120930483e-6,0,0,9.000028547924545,10.000047579874241,0,0,9.000028547924545,10.000040442893106,4.757987424186097e-6,2.3789937120930483e-6,0,10.000030926918257,10.000035684905681,9.515974848372193e-6,0
27001000025,27,001,000025,12,24,0,0,0,13,18,4,0,0,12,23,1,0,12,20,4,0,0,12,21,2,0
27001000030,27,001,000030,26.43792070890289,37.76922037690839,1.8884906607861407,0,0,33.04757873777294,31.159443780275456,0.9444231820373978,0,0,33.04734160224717,30.215376301526714,2.371355257699222e-4,0,30.214546327186518,29.271308822777968,3.7769813215722814,1.185677628849611e-4,0,31.159206644749684,29.2710716872522,3.7769813215722814,0
27001000035,27,001,000035,7.999999999999999,14,0,0,0,7.999999999999999,13,0.9999999999999999,0,0,7.999999999999999,14,0,0,10,12,0,0,0,10,9,1.9999999999999998,0
27001000038,27,001,000038,9,12,1,0,0,8,14,0,0,0,11,10,0,0,10,10,0,0,0,11,8,0,0
27001000040,27,001,000040,291,344,6,5,0,350,279,13,4,0,352,263,17,0,345,260,17,11,0,363,241,28,0
27001000045,27,001,000045,105.00377134178505,93.00222852014572,8.000342849253187,1.0000857123132967,0,123.00411419103824,75.00214280783241,8.000342849253187,1.0000857123132967,0,122.00394276641165,77.00197138320583,6.00025713693989,0,123.00394276641165,66.00171424626593,12.00051427387978,1.0001714246265936,0,125.00428561566483,58.00179995857923,20.000428561566483,0
27001000050,27,001,000050,127,142,6,1,0,145,119.00000000000001,7,5,0,147,113,9,1,142,113,10,3,0,153,103,15,0
