GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20PREPLAR,G20PRESKEN,G20PREIWES,G20PREIPIE,G20PREOWRI,G20USSDSMI,G20USSRLEW,G20USSMOCO,G20USSCSTE,G20USSOWRI
27001000005,27,001,000005,451.96587073532527,641.7900562793036,9.07227367168998,2.10158247160025,3.0240912238966597,0,0.1261599917538358,4.01089282449849,0.9868016006018302,0.06489927451967198,426.2956471794626,560.8352924673827,79.66533774593537,22.02867374991036,0
27001000010,27,001,000010,179.28946006993863,360.40327100556976,2.896021631256506,1.887944379405955,0.9653405437521687,0,1.8665605924556683,0.9760258231268426,0.010685279374673893,0.933293524428773,164.08990948693113,344.6051728109683,26.042740343953263,4.901504083783874,0
27001000015,27,001,000015,74.76114649681529,106.6592356687898,2.9904458598726116,0,0,0,0,0,0,0,78.7484076433121,94.69745222929936,5.980891719745223,0.9968152866242038,0
27001000020,27,001,000020,11.00004520088053,12.000040442893106,0,0,0,1,0,0,0,0,11.000042821886819,13.00003330591197,2.3789937120930483e-6,4.757987424186097e-6,0
27001000025,27,001,000025,20,17,0,0,0,0,0,0,0,1,20,16,0,0,0
27001000030,27,001,000030,37.76827183480531,38.71376212670867,0,0,0,0,0,2.371355257699222e-4,0.944186046511628,0,33.047460170010055,35.88120398717379,4.7211673680839095,0.944186046511628,0
27001000035,27,001,000035,15,12,0.9999999999999999,0,0,0,0,0,0.9999999999999999,0,15,14,0,0,0
27001000038,27,001,000038,13,14.999999999999998,0,1,0,0,0,0,2,0,12,18,1,0,0
27001000040,27,001,000040,285,482,2,0,0,0,0,1,1,1,277,463,15,4,0
27001000045,27,001,000045,77.0026570817122,153.00539987573768,2,0,1.0000857123132967,0,0,1,0,0,75.0026570817122,149.00454275260472,4.000599986193078,1,0
27001000050,27,001,000050,137,197,0,0,0,0,0,1,0,1,132,183,8,5,2
