GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16USSRBLU,G16USSDKAN,G16USSLDIN,G16USSGMCF,G16USSCRYM,G16GOVRGRE,G16GOVDKOS,G16GOVLSPR,G16GOVGFIT,G16GOVITUR,G16LTGRPAR,G16LTGDCAR,G16LTGLHED,G16LTGGLEA,G16ATGRHAW,G16ATGDHEN,G16TRERSCH,G16TREDBAK,G16TRELOTO,G16TREGHEX,G16SOSRASH,G16SOSDSMI,G16SOSLMOR
29001000002,29,001,000002,738,167,29,14,4,639,273,20,3,18,635,284,9,14,11,635,249,27,19,727,202,699,209,18,4,705,190,31
29001000003,29,001,000003,463,451,52,31,2,442,517,27,17,2,458,495,24,14,9,431,468,33,44,486,482,444,458,44,22,484,440,47
29001000004,29,001,000004,503,299,35,12,5,476,357,11,14,2,493,353,4,5,7,480,324,12,19,530,302,507,291,22,15,515,295,24
29001000005,29,001,000005,643,371,44,9,7,620,440,19,8,2,645,430,4,5,11,608,424,22,9,716,353,684.9999999999999,353,22,6,680,349,34
29001000006,29,001,000006,875.2640816010385,221.24972823691863,26.69579628586004,4.322416514648498,5.2322285641027015,754.8556757752926,311.55297043057425,31.798232939020906,13.253299217162072,19.454745771313036,770.700876319086,323.9448835091224,15.548170840822955,7.200367514496257,11.403972147956635,755.7654878247469,292.59219512455695,29.157905701549385,25.507677473978852,848.007165998499,254.77847636395686,818.7007454454645,252.3944958294049,25.2513307710593,11.374269177659606,804.7455549709274,248.69584169099403,45.497076710638424
29001000007,29,001,000007,1246.827148950588,407.45324206011105,56.26318532658692,10.669804135987995,7.762113727269293,1131.3197131921754,551.0453322568374,27.181965080781076,8.740335860631422,15.533938811430952,1159.4540034546058,531.6675634498591,18.43839210118553,6.794681990454238,13.586126861944354,1128.412022783457,519.0294456109451,38.81380575531059,17.479592681608136,1270.0670914272437,425.91105687508133,1226.4053365913107,413.3042311861538,41.71825904506517,12.616537045819886,1227.3598198522693,422.99581318877966,50.46614818327954
29001000008,29,001,000008,768.8865237712338,535.2815330398588,62.03922251257563,16.007315897756435,16.005194257020932,775.8021625953141,594.3844916716757,22.01916473423829,8.006133196402969,19.01076506847261,798.8220055774054,580.3707529202619,17.012944640658997,7.00474773497141,7.0096982300209145,784.7997802630497,557.3622253554266,36.02724577702411,17.012237427080496,849.901150673357,538.2948832006739,829.8699053768333,518.2862687386622,35.02939638348506,9.00893308499153,865.8695698242959,472.2946732978176,48.035384751260814
29001000009,29,001,000009,270,457,36,23,0,265,492,14,12,7,279,492,13,11,2,310,420,15,29,315,458,307,422,25,18,330,408,30
29001000010,29,001,000010,412,262,47,9,1,363,314,29,12,8,386,314,19,6,2,368,289,28,36,431,290,400,289,28,6,418,265,36
29001000011,29,001,000011,110.02224567713957,329.01549666311155,38.00179587497742,18.000463451607075,2.0004634516070743,136.02244843721766,348.01720564091266,2.000637245959727,5.000231725803538,2.000550348783401,137.02311464890283,341.01680012075644,9.000492417332516,7.000202760078095,2.000202760078095,148.02270912874664,299.0161339090713,8.001042766115917,23.000492417332516,150.0245919009004,328.0155835602879,142.02401258639154,304.01500424577904,17.001013800390474,16.00026069152898,153.02505535250745,308.0136718224087,16.001390354821222
29003000002,29,003,000002,4.478790613718412,1.5568592057761732,0.16922382671480146,0.038357400722021665,0.020306859205776177,3.801895306859206,2.1683212996389893,0.13763537906137185,0.038357400722021665,0.05189530685920578,4.032039711191336,2.078068592057762,0.06768953068592058,0.020306859205776177,0.024819494584837547,3.932761732851986,1.8862815884476536,0.14891696750902528,0.13312274368231047,4.124548736462094,1.9607400722021662,4.004963898916968,1.845667870036101,0.1286101083032491,0.05189530685920578,4.235108303249097,1.6899819494584838,0.1917870036101083
29003000003,29,003,000003,410.25722021660647,142.60830324909747,15.500902527075812,3.513537906137184,1.8601083032490975,348.25361010830323,198.6182310469314,12.60740072202166,3.513537906137184,4.753610108303249,369.33483754512633,190.35108303249098,6.200361010830325,1.8601083032490975,2.273465703971119,360.2409747292418,172.78339350180505,13.640794223826715,12.194043321299638,377.80866425992775,179.60379061371842,366.8546931407942,169.06317689530687,11.780685920577618,4.753610108303249,387.9359205776173,154.8023465703971,17.56768953068592
29003000004,29,003,000004,157.6659187495297,41.64760117912106,13.882533726373685,2.9748286556515042,0.9916095518838347,150.72465188634288,69.41266863186843,3.966438207535339,0,0,136.8421181599692,81.31198325447444,2.9748286556515042,0,0,158.65752830141355,56.521744457378574,2.9748286556515042,1.9832191037676694,169.56523337213574,49.580477594191734,154.69109009387822,54.53852535361091,6.941266863186843,0.9916095518838347,170.55684292401958,37.68116297158572,6.941266863186843
29003000005,29,003,000005,221.2551312282856,49.00699047007772,4.009041566088546,1.9712567497802398,0.9814703707321157,195.89490574725474,74.54185212574474,2.9527271205123555,2.9194630872483223,0.9731543624161074,193.83217290599842,77.56110731278517,0.02494802494802495,1.9463087248322148,0,201.80035998827947,56.9169654941467,2.944411112196347,4.882403828712554,211.6233797039166,58.80506216076686,202.74025031743153,59.81979656476301,2.004520783044273,0.008316008316008316,215.52431316189706,51.89318952406201,4.923983870292595
29003000006,29,003,000006,1042.6253226492538,363.78051833226806,39.86483251190935,8.98667645100297,4.768974225920177,884.6835743412832,506.7347617128082,32.24326139099411,9.097719017320056,12.094431836656518,938.5370075075108,485.4907909945503,15.901515978236905,4.8355997657104295,5.827101201068111,915.1841856767115,440.89793927624123,34.82935612682816,31.251759955636423,960.1767906337622,458.3052145019008,931.8625207954265,431.6487014968253,30.178827304979546,12.198071565219134,985.9380390942882,395.05448680116785,44.911173741751426
29003000007,29,003,000007,543.8991396441737,187.96154406639758,20.481323476242373,4.626853511981198,2.484536689045872,461.8603056336461,262.1755165228261,16.61335735955639,4.71102305651759,6.231925494205172,489.4503346354218,251.50622080327557,8.082129963898916,2.495890699601681,2.963447653429603,477.7844634847907,227.82230184570227,17.936107175546013,16.121528561068274,501.01581842333746,236.84457612807356,486.51384350214613,222.97067813204006,15.487978253490434,6.23270740597946,514.4562214972104,204.1089082956746,23.162448963437626
29003000008,29,003,000008,633.7693693693694,233.60600600600603,40.97417417417417,10.11051051051051,3.1927927927927926,511.9111111111111,366.10690690690694,22.34954954954955,10.11051051051051,9.578378378378378,542.7747747747748,356.5285285285285,10.11051051051051,7.981981981981982,2.1285285285285287,553.4174174174175,292.14054054054054,25.01021021021021,30.33153153153153,578.9597597597598,320.34354354354355,585.8774774774774,274.5801801801802,28.203003003003,13.303303303303304,617.2732732732733,261.2768768768769,27.138738738738738
29003000009,29,003,000009,374.9365079365079,123.76190476190476,27.38095238095238,4.015873015873016,0.36507936507936506,312.5079365079365,194.95238095238093,11.682539682539682,5.111111111111111,4.746031746031746,329.66666666666663,189.47619047619045,7.666666666666666,2.1904761904761902,2.5555555555555554,320.17460317460313,166.47619047619048,14.968253968253967,18.253968253968253,342.8095238095238,170.49206349206347,340.6190476190476,149.68253968253967,14.238095238095237,7.301587301587301,353.031746031746,145.66666666666666,19.71428571428571
29003000010,29,003,000010,251.1502961300268,60.11409795278146,8.746910241501475,0.9637883008356546,1.9421397084674257,221.03014035751954,81.55530464883576,11.609148930416206,4.843213348838467,1.932430970603348,219.16567055196472,98.91805717067366,0.9637883008356546,3.864861941206696,3.8551532033426184,221.09324715363604,76.63442139708468,1.961557184195581,17.391878735430133,246.19057792681937,73.77703707710198,224.0185926386673,82.38802498850637,3.8891337858668904,2.9059280093030804,250.10398355734645,60.186913486762045,7.768558833869703
29003000011,29,003,000011,438.7546296296296,100.56944444444444,18.34722222222222,6.050925925925926,3.0046296296296298,338.96296296296293,184.47222222222223,22.14814814814815,8.064814814814815,6.060185185185185,358.18055555555554,194.40277777777777,8.097222222222221,2.0277777777777777,4.032407407407407,354.06018518518516,163.11111111111111,18.189814814814813,18.23148148148148,387.34722222222223,159.16203703703704,378.31944444444446,134.89814814814815,20.180555555555554,11.092592592592592,393.47685185185185,123.84722222222223,31.25
29003000012,29,003,000012,305.62915934356107,72.59503542637863,14.507841770561413,0.13421439985160985,2.864316669719584,257.3239024159505,119.75058024498489,8.925535519460139,4.881931464313774,1.082168502134523,269.48218415098216,123.08568019541465,0.12750299045563668,2.0634361033681454,0.16406601587660083,269.67754928299087,99.52329003168299,6.7476367265979915,9.221589195914257,278.2424644398452,106.11534138659009,276.52195356662446,94.0726513064763,6.8455332490575245,2.988463955477234,289.78551495269676,86.65349607964284,11.590352113306052
