GEOID20,STATEFP,COUNTYFP,DISTRICT,G18SSCRJAC,G18SSCRANG,G18SSCDEAR,G18SACRHEA,G18SACDARR,G18SACRGRI,G18SACRRAY,G18SACDHAM,G18SACRKIT,G18SACDCOL,G18SACLMON
37001000001,37,001,000001,932.8752781538519,461.08305870153225,355.0642363908851,1387.1502783440994,350.20109043127064,1003.8889073134695,394.9349061096694,329.77255440476716,1340.457566465189,318.100447762975,82.68400664053154
37001000002,37,001,000002,1051.8829854930505,557.3675774710896,427.4742761215395,1598.20013987531,438.35205768879956,1097.0890314829608,533.7798689581458,391.904680830948,1519.1173877459685,391.35367527041836,118.41406198463562
37001000004,37,001,000004,962.7463323708142,524.2485089225688,476.50096814709326,1461.659411494151,495.01532069268586,1051.420336668126,444.3444610942219,456.03773638617514,1418.7840687569894,438.4978234482453,103.29059841225335
37001000005,37,001,000005,667.799374886211,376.9356471579947,286.906398099261,1036.8203627862952,292.84239254269403,731.1166489494963,312.62904068747065,269.0984147689621,1002.193728532936,259.2050906965738,66.28527128500168
37001000007,37,001,000007,821.166292554058,470.2515493333417,416.3880922849868,1284.0016810997204,425.58912817034104,877.2076055677718,428.54657694827637,393.35345400454923,1232.861196929655,396.8523497789404,80.8051273207827
37001000011,37,001,000011,452.31742749943714,302.8146146206758,906.5393494304509,746.5618171780184,916.0618215883337,503.73877715200473,259.01124269441453,897.9691244883563,700.8539508201806,889.3988995462616,77.13202447885139
37001000013,37,001,000013,468.46919078160215,275.65494062939575,872.5396422225301,722.7409257181896,878.3857846301762,479.2831780751237,271.68803318543854,840.433592294346,679.9160615283135,853.0202700076651,67.21380557615572
37001000035,37,001,000035,761.7517068927385,383.13920529625494,817.8266122711058,1119.0169835305505,831.7912336127406,783.1049627822592,382.606108369541,776.166790799393,1057.4346364677822,766.1632703206501,128.2249650032059
3700100003C,37,001,00003C,663.1684089667639,328.1027671762595,596.3170070779635,934.2765313132297,641.3127793120111,612.1981729043677,376.08755507230455,578.2984823756819,893.2593746922913,581.2993896898339,101.0269787474693
3700100003N,37,001,00003N,621.3551115188203,323.3630901833763,694.4993813894113,907.5777934212164,723.82075634808,608.6212504643729,345.85478180174704,666.1779971387339,863.6192292530804,669.1088045438536,95.74236874873706
3700100003S,37,001,00003S,1237.6573401515475,604.3743898200646,1627.1631845959587,1773.7099670564044,1663.4849421055362,1155.2017917657347,718.5377978077412,1553.037058718899,1668.1359642794641,1556.133565322265,220.635815423946
3700100003W,37,001,00003W,674.2168355799167,351.410267566894,625.7200404439391,1007.4923121839928,641.5419635923786,639.2091834533045,397.8694277700693,602.6142115776354,955.8353264650675,593.5864649518289,93.56406896712033
37001000063,37,001,000063,229.00654278581789,141.8091998354345,724.2906551247054,367.8500323008121,727.2115628239767,258.73045576568575,124.9490071363401,708.3958481043846,343.06853755532967,705.392317138473,49.552740019636936
37001000064,37,001,000064,933.9098261148005,506.0587422907182,937.8346194434002,1409.9509070152724,959.8548424730958,960.0245719695388,493.9810583469073,891.7760066268498,1344.8173008116498,892.7837386014005,127.19816480808588
3700100006E,37,001,00006E,345.6945751876989,216.70362401406302,615.0796348076062,551.9546863115855,612.2007016602283,375.9158567485357,205.62315971879238,587.4145934167823,504.0681734062241,577.6769714145919,85.39001785380225
3700100006N,37,001,00006N,199.3043453106235,132.36170203306676,653.0673811348331,332.6095719439648,647.1570818695145,229.56725318772743,112.23392172399583,633.9452235442094,310.36579453025223,623.96935204021,45.47853538542157
3700100006S,37,001,00006S,545.9498789563182,293.2440687502509,591.3001322722038,827.7063609364351,597.0736576165914,522.3260104583072,326.4826484876698,562.609116115919,795.1191696365096,549.1980039989817,78.54547400291476
3700100006W,37,001,00006W,135,71,254,204,256,133,80,244,191,239,30
3700100008N,37,001,00008N,701.7625023727783,349.67036502039264,636.1477007603526,1038.433004148575,638.4325624410045,717.1261975639918,353.3843064648557,612.8923184827137,984.7492019208228,601.265189254077,102.00210475713024
3700100008S,37,001,00008S,276.921127153702,137.68929861051168,203.2904078573132,406.1418604634639,206.4908260243199,297.29278383751887,120.45450190525312,194.0661191636421,388.3350400621701,195.4131913241873,32.67622203605692
3700100009N,37,001,00009N,475.97204267524677,250.2105480110839,546.2984333134862,708.6009930267708,558.9930782971122,470.08650267936883,255.1320347745437,538.4550160876635,662.6903124785307,515.9912290745872,89.88610964801795
3700100009S,37,001,00009S,857.6524359916352,482.002836535069,982.477839029852,1303.4824307092465,1007.6160786441515,880.2243052561278,484.18505284056505,938.6012374621092,1241.9346678861546,929.1019815175599,145.0367866179274
37001000103,37,001,000103,660.4498464260192,394.6796276106275,563.2715695668235,1043.1117182835046,576.8649690139642,716.4568760052788,360.84459361392106,538.3030379883312,999.5764471825049,523.3999613534564,94.07638843318381
3700100010N,37,001,00010N,807.7397710480924,393.7844086600997,900.5495649423762,1179.8270507690445,913.0454317221419,782.1752801231199,458.4712629063595,838.07143760914,1107.8684355802482,857.1171290001856,140.96390160809366
3700100010S,37,001,00010S,1251.6576597118353,650.3387999685095,2449.9714348043126,1851.5990374955886,2471.711983883375,1237.2652960595185,703.0829085080367,2360.458696134058,1695.5154381914792,2319.7302195314946,315.327532162248
37001000124,37,001,000124,337,183,479,504,488,330,196,466,477,459,60
37001000125,37,001,000125,466,215,446,659,462,465,235,417,634,420,70
37001000126,37,001,000126,458,242,487,672,500,427,287,457,649,460,63
