GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOFUE,G16PREOWRI,G16USSRHOE,G16USSDGLA,G16USSLMAR,G16USSIGER,G16USSOWRI,G16HALRCRA,G16HALDIRO,G16HALLSEA,G16HALOWRI,G16GOVRBUR,G16GOVDNEL,G16GOVLRIS,G16GOVOWRI,G16AUDRGAL,G16AUDLRIE,G16AUDOWRI,G16TRERSCH,G16TREDMAT,G16TRELOLS,G16TREOWRI,G16INSRGOD,G16INSDBUF,G16INSLBAT,G16INSOWRI,G16PSCRFED,G16PSCDHUN,G16PSCLSKA,G16PSCOWRI
38001003901,38,001,003901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38003002401,38,003,002401,240,141,29,2,2,0,5,346,63,7,3,0,269,127,22,0,333,78,9,0,297,77,3,243,134,23,2,236,126,34,2,262,103,29,2
38003002402,38,003,002402,363.85710567602865,227.85165599287404,51.8321118412012,8.800849322467224,2.936344656639334,0.9775879577932062,10.759094480847677,514.4619206274066,128.10392262723255,14.668934771554829,1.9567105369834334,0,386.35288259551726,223.94335032356392,37.160619367318,1.955687456052086,514.4619206274066,128.10750341049228,13.691346813761623,0.9775879577932062,416.6662939345574,169.1728476638607,1.9561989965177597,334.52025921385035,246.4401503239838,51.824438734216095,0.9775879577932062,331.5828914762797,225.8928992940279,52.816349825048164,1.9551759155864123,367.78229218070607,192.63802789369169,55.73632518678594,5.115404656736901e-4
38003002403,38,003,002403,230.001233133078,164.0004672925348,40.00012655839484,8.000016225435237,3.0000227156093313,2,12.00003569595752,335.0015900926532,92.00025311678968,14.000032450870474,13.000009735261141,2.9999999999999996,274.00130452499303,160.00048027288298,20.000077882089133,2.000003245087047,337.00159009265315,92.00027583239901,25.00003245087047,1,289.0013564463858,129.00031801853063,2.0000064901740946,239.00117472151112,158.00055815497214,40.00007788208913,1,241.0011455157277,140.00044457692547,49.00016874452646,1,254.00132724060236,124.00033748905291,49.00008761735028,1.0000032450870473
38003002404,38,003,002404,346.95216063035014,204.97173754818957,50.99296885345204,4.999310671907063,2.9995864031442374,0.9998621343814126,10.998483478195537,493.9318943844178,102.9857998412855,20.997104822009664,7.998897075051301,0.9998621343814126,365.949541183597,205.971599682571,45.99365818154498,1.9997242687628252,476.9342380999338,115.98400758824386,30.99572616582379,1.9997242687628252,399.944853752565,158.9780793666446,6.999034940669888,340.95298782406167,216.97008316076654,45.99365818154498,0.9998621343814126,339.95312568968023,180.97504632303568,65.99090086917323,0.9998621343814126,376.94802466179254,153.97876869473754,52.99269312221486,1.9997242687628252
38003002405,38,003,002405,431.3671858734837,276.4193275331193,63.126905249778105,9.564682613602743,2.869404784080823,1.9129365227205488,17.216428704484937,644.6596081568249,133.9055565904384,21.99877001128631,7.651746090882195,0,491.62468633918104,255.37702578319326,47.82341306801372,0,615.0090920546564,156.860794863085,29.650516102168503,0,562.4033376798413,163.5560726926069,1.9129365227205488,475.36472589605637,254.42055752183296,43.99754002257262,0.9564682613602744,443.8012732711673,241.9864701241494,81.29980221562332,0.9564682613602744,495.4505593846221,196.07599357885624,66.9527782952192,0.9564682613602744
38003002406,38,003,002406,206,91,19,3,3,0,5,252,52,10,6,0,203,92,28,0,247,56,18,0,219,74,2,176,103,27,0,181,84,39,0,191,85,28,0
38003002407,38,003,002407,80,31,15,0,5,0,3,110,19,4,2,0,91,30,11,0,109,15,7,0,92,31,0,82,34,15,0,75,40,14,0,90,31,10,0
38003002408,38,003,002408,113.99845226660776,27.999619854956293,9.99986423391296,0,0,0,2.999959270173888,142.99805854495534,11.999837080695553,0,1.9999728467825921,0.9999864233912961,119.99837080695553,22.99968773799981,12.99982350408685,0,135.99815358121626,16.999769197652032,1.9999728467825921,0,115.99842511339035,23.999674161391106,0,105.99856087947738,34.99952481869536,4.99993211695648,0,97.99866949234702,29.999592701738884,14.999796350869442,0,109.99850657304258,21.999701314608515,11.999837080695553,0.9999864233912961
38003002409,38,003,002409,151,46,24,0,4,0,0,193,19,8,2,0,152,48,16,0,188,19,15,0,154,47,0,129,50,22,0,123,49,24,1,142,31,22,0
