GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRCRA,G18USSDHEI,G18USSOWRI,G18HALRARM,G18HALDSCH,G18HALITUT,G18HALOWRI,G18SOSDBOS,G18SOSICOA,G18SOSIJAE,G18SOSOWRI,G18ATGRSTE,G18ATGDTHO,G18ATGOWRI,G18AGRRGOE,G18AGRDDOT,G18AGROWRI,G18PSCRCHR,G18PSCDBRA,G18PSCOWRI,G18PSCRKRO,G18PSCDBUC,G18PSCOWR2,G18TAXRRAU,G18TAXDOVE,G18TAXOWRI
38001003901,38,001,003901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38003002401,38,003,002401,178,191,3,201,158,9,0,165,40,144,0,254,109,0,237,124,0,203,155,0,199,155,0,193,164,1
38003002402,38,003,002402,285.61988816509745,373.5598349673694,3.9103518311728247,306.15946608806826,307.056230652285,36.184566030921815,0.9780994982588799,310.0012714968408,67.4888653798627,245.50348560344452,0.9780994982588799,355.06137175821823,291.40254635641753,0.9780994982588799,378.5275750689805,265.9837248323972,1.9551759155864123,302.25627582341485,327.5804623612856,0.9780994982588799,312.0316438608813,300.20748800261015,3.910863371638498,299.3122580597904,325.6421672810664,1.9551759155864123
38003002403,38,003,002403,188.0010416729422,194.00076908563022,2.9999999999999996,206.00110657468312,148.00059385092965,21.000087617350278,2.000003245087047,166.00067173301878,33.000223911006266,161.00081776193593,1.0000032450870473,236.00124935851323,136.00051596884052,1.0000032450870473,222.00127531920958,146.0005062335794,2,195.0011520059018,167.00056140005918,2.000003245087047,195.00114876081474,168.00055815497214,2.000003245087047,183.00108061398677,186.00066848793173,1
38003002404,38,003,002404,283.9608461643212,316.9562965989078,2.9995864031442374,305.9578131207122,266.96318987983716,28.996001897060964,0.9998621343814126,289.9600189706096,74.98966007860594,215.9702210263851,1.9997242687628252,363.9498169148342,231.9680151764877,0,360.95023051168994,228.96842877334348,0.9998621343814126,303.9580888519494,285.960570433084,0.9998621343814126,318.9560208676706,259.96415493916726,0,299.95864031442375,285.960570433084,0.9998621343814126
38003002405,38,003,002405,367.2838123623453,397.89079672587417,0.9564682613602744,416.0636936917194,316.5909945102508,25.824643056727407,0.9564682613602744,318.50393103297137,105.21150874963018,311.8086532034494,2.869404784080823,498.31996416870294,261.1158353513549,0.9564682613602744,495.4505593846221,257.2899623059138,0,417.9766302144399,314.6780579875303,0.9564682613602744,412.23782064627824,313.72158972617,0.9564682613602744,390.23905063499194,349.11091539650016,0.9564682613602744
38003002406,38,003,002406,164,163,0,179,131,12,0,135,37,132,1,202,116,0,210,108,0,181,129,0,173,131,1,168,145,0
38003002407,38,003,002407,70,59,1,78,49,4,0,43,20,66,0,93,38,0,94,37,0,81,49,0,75,54,0,78,52,0
38003002408,38,003,002408,78.9989274479124,62.99914467365166,0.9999864233912961,99.99864233912962,38.99947051226055,2.999959270173888,0,41.99942978243443,12.99982350408685,81.99888671808628,0,108.99852014965128,30.99957912513018,0,108.99852014965128,31.999565548521474,0,95.99869664556442,41.99942978243443,0,91.99875095199924,44.99938905260832,0,82.99887314147757,53.99926686312999,0
38003002409,38,003,002409,126,91,0,144,65,4,0,62,31,110,0,166,50,0,169,47,0,141,62,0,133,68,0,138,70,0
38003002410,38,003,002410,39,38,1,47,28,2,0,29,12,32,0,48,28,0,52,24,2,46,26,1,46,27,0,48,27,0
38003002411,38,003,002411,344.1344116352938,263.5923026222185,0.13359350432266343,366.817920524817,204.38899110669735,28.994701397939533,1.0655668609123858,228.5341067665594,75.3097418808949,271.716822404785,1.1527682038104246,415.6675977997314,177.51308714689932,1.0654289952937985,424.07035971549783,173.75737785476616,0.04496195003217518,380.807853104294,194.78034781804095,1.0655668609123858,379.7733658643551,193.10620917708044,1.1326651219141801,357.4889703768071,229.2856784014177,0.0884936886719008
38003002412,38,003,002412,112,113,0,130,84,7,1,74,25,121,0,150,68,1,149,71,0,132,82,0,136,82,0,130,92,0
38003002413,38,003,002413,119,123,0,126,103,12,0,101,38,98,0,147,89,0,157,83,0,134,97,0,131,99,0,112,120,1
38003002414,38,003,002414,41,51,0,49,42,2,0,39,6,45,0,68,24,0,59,33,0,46,43,0,58,29,0,50,41,0
38003002415,38,003,002415,110,79,2,130,50,5,0,45,21,115,1,141,45,0,145,43,0,124,60,0,125,53,0,125,57,0
38005001401,38,005,001401,546,477,7,579,398,43,0,341,82,583,0,715,300,0,702,307,1,612,387,0,592,393,1,582,416,0
38005002301,38,005,002301,117,118,1,123,103,12,0,93,18,122,1,157,82,1,160,77,1,137,92,0,128,99,0,133,102,0
38005002302,38,005,002302,74.29564827276806,691.198295199641,2.003589053387169,112.30731269627636,601.1565724540152,41.02916105877075,3.000897263346792,588.1417676087932,60.05114401076716,94.27501121579184,2.0013458950201883,132.3598026020637,617.1310004486317,2.0013458950201883,139.3615971287573,605.1301031852848,3.000897263346792,120.31807985643786,622.1601615074024,4.0008972633467925,97.31224764468371,644.157469717362,4.0008972633467925,111.30776132794975,626.1740690892777,4.0008972633467925
38005002303,38,005,002303,91.10400843026437,141.06975982727897,2.001262621308217,95.10811194951607,123.05508185457096,9.010258798129263,1.0003156553270542,115.04987354167457,11.017992353642091,91.09674835774211,2.0004734829905813,111.12657778614874,113.04608567774991,4.000473482990581,115.12720909680286,111.04577002242286,2.000315655327054,100.11189981344071,123.05634447587917,2.000315655327054,95.10984805381487,122.05539750989801,2.000315655327054,95.1082697771796,125.06123713344851,4.000315655327054
38007003901,38,007,003901,121.95538672068021,52.98061882127911,0,129.9524612597412,33.987566791009236,11.995611808591496,0,45.983178599600734,29.989029521478738,84.9689169775231,0,139.94880443356746,33.987566791009236,0,139.94880443356746,30.988663838861367,0,128.9528269423586,41.98464133007023,0.9996343173826246,127.95319262497596,42.98427564745286,0,131.95172989450646,42.98427564745286,0
38007003902,38,007,003902,254,41,0,262,26,6,0,31,50,201,1,260,30,0,259,28,0,248.99999999999997,39,0,240,40,0,233,54,0
38007003903,38,007,003903,73.98742980393624,20.996433474458648,0,76.98694835332122,15.997255813869954,2.9994843978656367,0,11.998048583900445,9.99834678329755,62.98924065821708,0.9998167487820944,81.98598086995267,12.99786533268254,0,86.98512437902201,7.998730361493037,0,75.98713160453913,14.997464678727376,0,77.98661995814606,14.997567133285434,0,73.9874212660564,16.997132327810917,0
38009000601,38,009,000601,448.64311010041564,170.50597136733094,4.058127554668597,470.29826226143916,119.40016677289952,25.39254434486177,1.0145318886671493,138.43431746820914,89.2499191977912,374.0574593416426,1.0291067874525743,506.8797682469655,118.16704060163465,1.0436816862379996,529.0245223469116,92.02243907603923,0.029169263693287525,418.6092767874276,204.40846828383832,0.029149797570850202,451.52645001120595,152.11313568470246,0.029149797570850202,462.87584260218364,153.02555568432066,0.029149797570850202
38009000602,38,009,000602,451.9324468980517,238.39374967844452,3.962396338857517,496.4089768817522,163.2158955098264,26.74721063603511,0.9978465259424829,233.27613380412,85.1770264029804,344.19010013223055,1.9874102619099903,535.96253655554,147.4491380541461,2.964549812915034,545.8457497302527,137.57006627442095,1.9749860769475267,381.7728151240584,299.6431664337428,1.9749860769475267,444.04906817021157,211.67967020230932,1.9791274719350145,467.7654666735318,205.74642918149175,1.9749860769475267
38009000603,38,009,000603,383.40682435700904,218.09369971426804,4.979304066000783,415.27442392796445,149.37924619057847,33.85926709675841,2.987578575272092,172.2841900825197,103.56953230147303,303.73783509044154,3.9834399405191596,448.13786830275956,149.3792020268256,1.9917254907286908,455.1089061401927,143.40402279440497,0.9958641254816231,336.6012739447675,254.94063923427342,0.9958641254816231,383.4068022751326,192.2013014576097,1.9917227304941352,399.3406062009621,187.22199187113983,0.9958641254816231
38009000604,38,009,000604,504.9365512929541,239.49559745120354,0.9978983227133481,536.8692976197813,185.60908802468273,21.95376309969366,0,207.5628511243764,83.82345910792124,424.10678715317295,0.9978983227133481,588.7600104008754,153.6763416978556,0,588.7600104008754,146.69105343886218,0,469.0122116752736,264.4430555190372,0,525.8924160699345,202.57335951080967,0,517.9092294882277,218.53973267422325,0.9978983227133481
38009000605,38,009,000605,358.0634487070459,243.5044025487965,0.0021016772866519263,397.1307023802188,188.39091197531727,18.046236900306344,1,207.43714887562362,63.17654089207876,308.8932128468271,2.0021016772866522,431.23998959912467,166.3236583021444,1,444.23998959912467,150.30894656113784,1,316.9877883247264,278.5569444809628,1,352.1075839300656,222.42664048919036,1,365.0907705117724,219.46026732577678,1.002101677286652
38011003901,38,011,003901,539.3390042997946,214.85809334406756,7.80952549209981,589.1797785385754,135.7310816157656,21.482914727184134,1.9518644788780557,181.6309105182137,105.50612826538193,415.2736228723705,0.9759322394390278,617.4838810588948,129.8920287918321,0.9759322394390278,621.402083052764,114.25230204175662,0.9759322394390278,569.6218497946306,159.18653658770364,0.9759322394390278,551.0625966325885,170.90185861414716,0,552.0137179529764,178.74653290823593,0
38011003902,38,011,003902,314.6609957002054,79.14190665593244,1.1904745079001902,348.8202214614246,40.26891838423441,6.517085272815866,0.048135521121944254,56.3690894817863,53.49387173461806,252.72637712762955,0.024067760560972127,350.5161189411052,48.10797120816788,0.024067760560972127,357.597916947236,35.74769795824337,0.024067760560972127,329.3781502053693,56.81346341229636,0.024067760560972127,320.93740336741155,59.09814138585284,0,308.98628204702356,77.25346709176407,0
38011003903,38,011,003903,171,32,2,182,17,8,0,21,41,126,0,180,23,0,191,15,0,181,23,0,170,29,0,169,36,0
38011003904,38,011,003904,207.99655244287194,77.99870716607698,0.9999834252061152,210.9965027184903,59.99900551236691,15.999734803297843,0,81.99864086690144,42.999287283862955,137.9977126784439,2.9999502756183456,220.99633697055145,59.99900551236691,0,226.99623752178815,51.999138110717986,0.9999834252061152,203.9966187420475,74.99875689045864,0,188.99686736395577,80.99865744169533,0,187.99688393874965,86.99855799293202,0
38013000201,38,013,000201,47,11,0,50,5,0,1,6,7,35,0,52,3,0,50,4,0,49,6,0,47,6,0,40,14,0
38013000202,38,013,000202,177,81,2,199,56,4,0,58,29,163,0,218,43,0,213,45,0,193,60,1,197,53,0,201,60,0
38013000203,38,013,000203,243.08711495226657,57.01792985758219,0.9999984953755199,251.0889803401659,41.01260454692531,10.002768949814584,5.465186755215628e-5,47.0192115274799,28.016215001231245,215.06579005984824,0,264.09115648544895,38.01399461888596,0,264.092728509723,37.012478751103956,0,251.08678625935752,48.01646942337149,0,247.08766508314335,49.01489589447297,0,237.08631545729227,60.018307906781615,0
38013000204,38,013,000204,113,30,3.0000000000000004,122,16,3.0000000000000004,0,22,19,96.00000000000001,0,128,16,0,125,16,1,113,28,0,118,19,0,111,31,0
38013000205,38,013,000205,99,23,0,101,16,4,0,13,13,90,0,106,15,0,106.99999999999999,13,0,101,20,0,104,15,0,106,14,0
38013000206,38,013,000206,50,26,1,56,17,3,0,20,7,40,0,59,14.999999999999998,0,63,12,0,51,20,0,55,19,0,55,20,0
38015000701,38,015,000701,1247.0260277021066,556.1452705896123,18.761247430191883,1296.4756339990458,397.1431923011978,86.85563052379183,4.939428233430315,587.6481883917014,316.1437002284487,793.6872400397747,7.922525232636041,1337.984665135972,441.4667102692873,5.925735535027375,1391.2329272036177,362.53482538854774,2.9734618303089437,1240.1525024261134,473.11789872059796,3.96432519983663,1215.4313605088923,478.08570942768307,3.964499544181807,1132.3712244426379,611.5336294779022,9.873777365894473
38015000702,38,015,000702,911.0593100434808,492.1806391224895,10.096389530244016,1015.7153825509864,323.6838954314944,36.741563187459384,1.9834259954546245,453.50383221112435,172.9782325152674,679.9034893222445,3.0348921775055677,1087.2266538432252,286.51248904099486,3.966851990909249,1070.7501431235773,275.6152169787692,3.966851990909249,974.3978646166066,341.6542357592333,6.0697843550111354,960.4300383283263,335.36952980270206,6.010031170687505,884.1751236489708,454.41170088875356,7.001744168414817
