GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWRI,G20HALRARM,G20HALDRAK,G20HALLPET,G20HALOWRI,G20GOVRBUR,G20GOVDLEN,G20GOVLHEN,G20GOVOWRI,G20AUDRGAL,G20AUDDHAR,G20AUDOWRI,G20TRERBEA,G20TREDHAU,G20TREOWRI,G20INSRGOD,G20INSOWRI,G20PSCRKRO,G20PSCDBUC,G20PSCOWRI
38001003901,38,001,003901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38003002401,38,003,002401,219,166,12,1,241,139,16,0,261,117,11,11,229,161,0,226,160,4,322,6,220,153,0
38003002402,38,003,002402,425.7881915216195,256.19977273783786,30.19260815677301,2.921928245457581,437.48078235061485,239.6317732729597,27.271167696031924,0,471.5608398995787,199.69468904573532,22.404539185045913,16.56799946487816,405.3244503243701,281.5218501058929,0.9738134869136956,388.75547529005894,294.1931322689668,2.9253427384730375,569.9520981468825,18.507334098525156,401.4243185295504,267.8850467960857,1.9476269738273913
38003002403,38,003,002403,228.00146983354497,151.00055080078104,13.000027849477693,3.094386410476172e-6,230.00151315495472,135.000467252348,16.000027849477693,2,247.00149149424985,119.00039917584695,12.000043321409747,8.000083548433082,213.00138319072548,163.0005693670995,1,215.00129345351957,161.00064363237337,5.0000247550912835,321.0017204788442,5.000030943864104,221.00135224686136,150.00054770639466,1
38003002404,38,003,002404,420.4088620378811,256.880808271473,20.498414678102748,2.0554142232282313,452.1841911666493,215.38243092765137,24.497788016200076,0,458.7930016290627,189.1603413725926,28.775799125195242,22.50135398785928,407.8502138410856,262.21439026917204,1.999686669048665,401.23489809725646,268.55106824210327,8.444567109631192,579.8985107776975,15.554925559660653,414.29184164096023,243.82711736847708,0.9998433345243325
38003002405,38,003,002405,483.90697691992915,304.7505770678943,24.01065152656137,3.6939463887017494,526.3873603899992,252.1118410288944,24.93413812373681,0,516.2290078210694,230.87164929385932,24.93413812373681,30.475057706789432,489.44789650298173,286.28084512438556,0.9234865971754374,474.6721109481748,304.7505770678943,7.387892777403499,671.374756146543,12.005325763280686,473.74862435099936,289.9747915130873,0
38003002406,38,003,002406,236,106,9,3,254,92,1,0,254,83,4,10,225.99999999999997,106,0,205,129,1,287,2,217,108,0
38003002407,38,003,002407,109,42,6,0,116,38,3,0,121,31,3,2,105,49,0,102,51,0,134,1,102,47,0
38003002408,38,003,002408,115.99842511339035,38.99947051226055,0,0,116.99841153678165,29.999592701738884,2.999959270173888,0,116.99841153678165,24.999660584782404,4.99993211695648,6.999904963739073,111.99847941982517,38.99947051226055,0,100.99862876252091,48.99933474617351,1.9999728467825921,140.99808569817276,0,100.99862876252091,41.99942978243443,0
38003002409,38,003,002409,178,54,5,0,177,42,16,0,185,36,5,8,165,59,0,168,56,2,200,0,166,56,0
