GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE
3100100001P,31,001,00001P,535,62,23,3
3100100001W,31,001,00001W,491,180,53,12
3100100002E,31,001,00002E,247.64483678354506,94.34089020325527,15.161928782666026,4.492423343012156
3100100002P,31,001,00002P,121,19,5,0
3100100002W,31,001,00002W,392.56041165722166,144.00707775122157,31.818176441855933,15.185335935221108
3100100003P,31,001,00003P,388,71,17,3
3100100003W,31,001,00003W,300.679266024072,179.12569677273882,20.0247040564725,0.9628674921537769
3100100004P,31,001,00004P,376.0320039465522,65.49428775569685,10.274408590647363,0.36394557823129253
3100100005P,31,001,00005P,340.7440515610261,75.29901062588856,16.83009126224729,2.301885917484018
3100100005W,31,001,00005W,317.9007512848878,98.95798803778828,17.624513642507818,3.9682629698276806
3100100006P,31,001,00006P,127.23949519660067,30.74249754062417,5.5374522297331366,1.1090797305685351
3100100006W,31,001,00006W,669.2631970873566,222.7552873786362,51.621290291261104,2.0540252427183567
3100100007P,31,001,00007P,158,25,7,1
3100100007W,31,001,00007W,379,140,16,5
3100100008P,31,001,00008P,221,18,7,1
3100100008W,31,001,00008W,587.4492385786801,233.00507614213197,48.378172588832484,6.911167512690356
3100100009P,31,001,00009P,271,41,10,0
3100100009W,31,001,00009W,288.26666666666665,148.83333333333334,25.066666666666666,7.833333333333333
3100100010P,31,001,00010P,135,23,10,1
3100100010W,31,001,00010W,274.56,178.80296296296297,17.795555555555556,1.6948148148148148
3100100011W,31,001,00011W,376.6857142857143,175.66593406593407,33.503296703296705,12.676923076923078
3100100012W,31,001,00012W,88.55076142131979,44.99492385786802,0.6218274111675127,0.08883248730964467
3100100013W,31,001,00013W,806.5158010032098,297.69280871512643,52.45399809209146,6.429049788434163
3100100014W,31,001,00014W,287,182,22,2
3100100015W,31,001,00015W,372.2049441021982,198.20447322421055,27.741965863095977,7
3100100016W,31,001,00016W,169,113,24,3
3100100017W,31,001,00017W,565.702860400949,240.07775163258296,25.54595182190247,6.928052777277688
3100300001P,31,003,00001P,253,32,6,2
3100300001W,31,003,00001W,104,25,2,0
3100300002P,31,003,00002P,117,15,1,0
3100300002W,31,003,00002W,236.35399939292665,46.05009425371603,5.010018850743207,2.0016698084572013
3100300003P,31,003,00003P,284,24,23,0
3100300003W,31,003,00003W,346.21158872710004,60.46527323472762,17.823064204583893,0.9946453360610958
3100300004P,31,003,00004P,370,26,7,1
3100300004W,31,003,00004W,128,22,8,1
3100300005P,31,003,00005P,214.4344118799733,30.48463251155635,6.1669169446728995,1.003684855481703
3100300005W,31,003,00005W,151,26,7,3
3100300006P,31,003,00006P,198,24,2,1
3100300007P,31,003,00007P,216.00209591120154,30.00040447409152,12.000147081487826,5.000036770371957
3100300008P,31,003,00008P,113.99790408879846,21.999595525908475,7.999852918512173,1.9999632296280432
3100500001P,31,005,00001P,244,17,11,0
3100700001P,31,007,00001P,356.99999907051387,18.99999995053155,13.999999963549563,2.999999992189192
31009000001,31,009,000001,276.0525507713597,30.004582916106948,10.001527638702315,4.582916106948169e-4
3101100001P,31,011,00001P,374,62,23,4
3101100002P,31,011,00002P,85,17,3,0
3101100003P,31,011,00003P,95,37,8,1
3101100004P,31,011,00004P,308,43,20,3
3101100005P,31,011,00005P,358,50,21,1
3101100006P,31,011,00006P,369,61,20,2
3101100007P,31,011,00007P,261,94,21,6
3101100008P,31,011,00008P,143,9,6,0
3101100009P,31,011,00009P,306,41,15,0
31013001301,31,013,001301,330.9263406010607,133.081319976429,39.03535651149087,7.007071302298173
31013001302,31,013,001302,359.11437845365293,133.63658467773317,36.149673813944695,8.786538536373845
31013001303,31,013,001303,308.99964398094454,121.99985943584218,35.99995852205179,0.999998847834772
31013001304,31,013,001304,444.1462293395929,131.74678163901388,22.95589560462767,5.988484837385958
31013001305,31,013,001305,500.23277701834667,136.02043462374797,21.008884619020865,7.001776923804173
31013001306,31,013,001306,445,152,25,1
31013001311,31,013,001311,266.7265039269397,26.26166072208984,10.806085055543573,2.2046132375238088
31013001312,31,013,001312,302.0633735436977,23.0725435057444,7.578213598217889,3.0118310540209925
31013001315,31,013,001315,659.8166666666667,107.18333333333334,31.46666666666667,0
31015000001,31,015,000001,405,40,11,6
31015000002,31,015,000002,370.99999999999994,54.99999999999999,8,4
31015000003,31,015,000003,206.43319783197833,32.90826558265583,3.990379403794038,2.9902439024390244
3101700001P,31,017,00001P,671,83,22,4
3101700002P,31,017,00002P,280,32,11,1
