GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRFIS,G18USSDRAY,G18USSLSCH,G18GOVRRIC,G18GOVDKRI,G18SOSREVN,G18SOSDDAN,G18TRERMUR,G18ATGRPET,G18AUDRJAN,G18AUDDSKI
3100100001P,31,001,00001P,352,83,20,381,72,365,71,400,411,351,76
3100100001W,31,001,00001W,338,174,26,375,167,367,165,429,424,353,177
3100100002E,31,001,00002E,153.86549949816632,82.54827892784836,15.723481700542544,171.27363995233844,81.42517309209532,162.28879326631412,79.17896142058925,201.5974975176705,202.15905043554702,162.28879326631412,78.05585558483621
3100100002P,31,001,00002P,92,21,5,103,14,94,15,98,102,91,15
3100100002W,31,001,00002W,239.69087729526586,149.94917819309237,25.41896929322292,272.29624527442814,140.4265519212699,278.6699620240061,123.43827955805493,328.7968935242726,335.1199162217786,261.70703668682717,127.65362802305891
3100100003P,31,001,00003P,290,91,21,332,64,319,61,340,344,301,83
3100100003W,31,001,00003W,197.6362727475497,141.98547148138744,12.445246190036064,223.4073112392464,127.696811687573,214.782664500127,127.70710186013915,275.78877364399983,276.78251165385205,200.49400470631258,141.08434502463055
3100100004P,31,001,00004P,283.32537619132586,70.14920747832178,12.03771841431787,300.318785837843,66.24716658362541,290.89186053980114,54.92868321661389,301.8506276685331,305.5754256310011,271.66399847634585,71.4508344224993
3100100005P,31,001,00005P,245.77179788943744,78.07526978186628,10.12282188963569,261.45959319550263,68.5847356204312,252.22228070248545,66.76846158985214,274.3440194680794,280.46218255495467,242.8132324095206,70.90744580535454
3100100005W,31,001,00005W,211.5614613423269,90.95006953299921,15.45136696153758,230.38888318617822,86.4424990144757,219.5878718734316,84.45836752956187,257.3048621131101,260.0794628947521,216.20257097796005,85.1589522348407
3100100006P,31,001,00006P,97.98964557330122,29.096890485668705,6.8984040430575435,103.524289141162,29.129450600884287,98.73501243893926,26.186517394159836,110.64722777398548,116.2328048127999,95.346948948115255,32.06308407137148
3100100006W,31,001,00006W,497.697531067945,215.86333786407292,25.351164077669317,526.2647961164878,210.48516116504442,513.8596067961001,186.45814854368524,590.6429728155163,601.8860864077488,502.5084427184308,193.6202242718403
3100100007P,31,001,00007P,111,14,3,115,15,103,16,108,108,97,20
3100100007W,31,001,00007W,259,135,17,271,140,260,131,315,321,245,138
3100100008P,31,001,00008P,150,35,6,174,18,145,25,154,156,146,29
3100100008W,31,001,00008W,475.88324873096445,233.99238578680203,12.83502538071066,497.60406091370555,224.11928934010152,487.7309644670051,203.38578680203045,566.7157360406092,581.5253807106599,461.0736040609137,227.08121827411168
3100100009P,31,001,00009P,193,58,8,204,57,194,53,225,232,185,60
3100100009W,31,001,00009W,178.6,153.53333333333333,13.316666666666666,192.7,154.31666666666666,190.35,150.4,253.8,256.15,179.38333333333333,156.66666666666666
3100100010P,31,001,00010P,95,32,3,99,31,90,25,91,92,89,24
3100100010W,31,001,00010W,171.1762962962963,172.02370370370372,11.016296296296296,190.66666666666666,166.93925925925925,180.49777777777777,159.3125925925926,226.2577777777778,237.27407407407406,175.41333333333333,162.70222222222222
3100100011W,31,001,00011W,233.6175824175824,176.57142857142858,33.503296703296705,266.2153846153846,177.47692307692307,241.76703296703297,182.0043956043956,313.3010989010989,322.35604395604395,235.42857142857142,185.62637362637363
3100100012W,31,001,00012W,72.11675126903553,50.00761421319797,3.16497461928934,79.39593908629442,44.880710659898476,78.26903553299492,39.61421319796954,92.28426395939087,93.4746192893401,71.92639593908629,42.91878172588833
3100100013W,31,001,00013W,625.5171848773102,318.13579810024504,34.0832056682804,677.1646490164288,302.53043210151856,672.6384455857751,268.6768017313041,777.0527954469277,786.0112414144158,640.2143928732918,286.88243961482107
3100100014W,31,001,00014W,171,173,8,194,161,180,158,258,262,173,167
3100100015W,31,001,00015W,274.4736904216409,208.9571512698452,18.623660977182663,303.60270749009294,197.8281342013932,297.2263684672756,185.59152442956656,365.5919953075542,373.71030019346756,281.4844026041796,187.08616833829723
3100100016W,31,001,00016W,106,105,10,117,105,112,103,149,151,108,106
3100100017W,31,001,00017W,371.07678438185184,241.1608812761871,25.007701118257746,405.71704826824026,229.47103500884,393.48232306093377,217.8901645294848,503.02345804147416,513.2008997495642,372.05093823746404,229.04176009318715
3100300001P,31,003,00001P,185,48,12,196,49,185,39,207,208,166,54
3100300001W,31,003,00001W,81.99999999999999,23,1,81.99999999999999,23,76,25,87,85.99999999999999,72,31
3100300002P,31,003,00002P,88,14,5,91,18,88,15,93,90,85,13
3100300002W,31,003,00002W,179.2721787785238,43.053433870630435,6.005009425371603,186.26883916160938,43.06178291291644,168.25548069395177,38.053433870630435,184.26382973623777,195.2621599277806,159.24212222629416,49.066792338288046
3100300003P,31,003,00003P,213,23,7,215,33,203,38,211,217,189,38
3100300003W,31,003,00003W,243.13766973077696,63.442496589201255,9.89946478464339,247.07597515276345,71.37952131656105,240.1067451466261,57.51490049509259,262.8627601092576,265.8198455026022,232.14958245813736,55.59273636006693
3100300004P,31,003,00004P,280,41,3,288,41,260,26,260,262,242,41
3100300004W,31,003,00004W,105,17,1,104,21,102,18,107,106,92,23
3100300005P,31,003,00005P,164.59015149069924,32.50406954016831,3.095525789985006,162.65518568562717,37.5586957705225,154.6377741594221,32.431665634276975,159.87341015450465,158.91799456961715,146.60829531556848,40.340471301645024
3100300005W,31,003,00005W,137,19,4,134,23,123,23,134,136,120,27
3100300006P,31,003,00006P,149,18,1,152,17,138,16,139,132,130,18
3100300007P,31,003,00007P,156.0014524296923,32.000404474091525,9.000091925929892,157.0016178963661,43.00036770371957,142.00136050376238,41.000422859277506,165.00147081487827,166.0015259704362,142.00130534820445,43.0004228592775
