GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRSAS,G20USSDJAN,G20USSLSIA
3100100001P,31,001,00001P,556,86,6,507,56,43
3100100001W,31,001,00001W,570,253,20,552,193,46
3100100002E,31,001,00002E,257.75278930532244,102.20263105352655,9.54639960390083,255.50657763381633,72.44032640607101,24.146775468690336
3100100002P,31,001,00002P,131,24,3,119,13,14
3100100002W,31,001,00002W,414.4750395716199,186.13507200220636,14.85525110467697,408.4567546786221,128.64388251469134,35.93199342969689
3100100003P,31,001,00003P,422,97,12,406,55,42
3100100003W,31,001,00003W,283.9547713467067,211.58535684668124,11.441218007617694,324.80240419074715,137.2637455737139,17.218422960540355
3100100004P,31,001,00004P,427.7977201953078,93.48140224418792,6.112915420152358,408.97621944722647,61.93704131695421,25.81787247342779
3100100005P,31,001,00005P,345.10107132501423,100.36601069611964,7.432035102490928,341.4172773461357,55.68364403836352,28.038100245713373
3100100005W,31,001,00005W,326.699139086405,114.10529271247539,9.929903437726992,323.67337655673066,74.5998566569686,28.946340477634692
3100100006P,31,001,00006P,176.83998207446132,51.44810638341872,3.5013652194893825,165.7858107666027,36.33483014787014,13.48843410569991
3100100006W,31,001,00006W,729.3712475727933,256.7007291262074,27.270126213591784,746.2361844659974,147.97192135922003,59.080504854367135
3100100007P,31,001,00007P,160,18,1,158,9,13
3100100007W,31,001,00007W,388,170,12,381,109,42
3100100008P,31,001,00008P,258,29,6,240,18,24
3100100008W,31,001,00008W,650.6370558375635,303.1040609137056,13.822335025380712,661.4974619289341,154.02030456852793,52.32741116751269
3100100009P,31,001,00009P,325,77,9,305,55,23
3100100009W,31,001,00009W,307.06666666666666,194.26666666666665,9.4,297.6666666666667,126.9,40.733333333333334
3100100010P,31,001,00010P,170,24,3,152,9,10
3100100010W,31,001,00010W,262.6962962962963,211.85185185185185,12.71111111111111,276.25481481481484,105.07851851851852,29.659259259259258
3100100011W,31,001,00011W,399.32307692307694,230.9010989010989,20.826373626373627,406.56703296703296,149.4065934065934,40.747252747252745
3100100012W,31,001,00012W,84.36294416243655,60.89593908629442,0.17766497461928935,98.50253807106598,22.97969543147208,9.672588832487309
3100100013W,31,001,00013W,931.8149311779191,435.6884064053463,23.015835065839344,956.1431721716506,247.51263634152073,74.24839511114824
3100100014W,31,001,00014W,276,193,13,283,112,39
3100100015W,31,001,00015W,441.2804002579567,255.40894644842106,17.49464390873065,456.2911124404954,157.31206592758517,40.73125368055728
3100100016W,31,001,00016W,169,156,7,167,84,21
3100100017W,31,001,00017W,620.8268682004536,277.85842866179195,24.462822178298328,597.2225958534609,191.91493779192947,59.21206185267865
3100300001P,31,003,00001P,270,44,5,252,37,16
3100300001W,31,003,00001W,114,32,1,116.99999999999999,22,6
3100300002P,31,003,00002P,118,15,1,107,9,5
3100300002W,31,003,00002W,285.3907351789851,69.06846214674525,7.006679233828804,266.36568805212704,54.051764062173234,21.01836789302921
3100300003P,31,003,00003P,331,34,4,278,30,30
3100300003W,31,003,00003W,358.2144592969297,59.55117974318235,3.9785813442443834,323.53612560898443,46.64092833551707,23.784223567240815
3100300004P,31,003,00004P,434,39,2,376,46,22
3100300004W,31,003,00004W,164,19,2,159,10,7
3100300005P,31,003,00005P,236.3948055240852,41.3803581100724,4.014739421926812,221.09818633888852,31.3073076023097,11.19740853972997
3100300005W,31,003,00005W,190,21,4,181,18,7
3100300006P,31,003,00006P,216,22,0,199.00000000000003,13,12
3100300007P,31,003,00007P,236.00257392603697,31.00045962964946,3.0000183851859785,215.00244522973512,20.000312548161634,17.000110311115872
3100300008P,31,003,00008P,139.99742607396303,24.99954037035054,0.9999816148140216,132.99755477026488,16.99968745183837,5.99988968888413
3100500001P,31,005,00001P,260,21,3,228,21,21
3100700001P,31,007,00001P,361.9999990574958,42.99999988804508,4.999999986981987,334.9999991277931,38.9999998984595,20.999999945324344
31009000001,31,009,000001,280.0575919790773,35.006874374160425,2.000763819351158,222.05025931330619,35.00611055480926,34.00320804127487
3101100001P,31,011,00001P,371,60,8,319,49,26
3101100002P,31,011,00002P,83,12,0,74,6,3
3101100003P,31,011,00003P,123,27,3,105,27,8
3101100004P,31,011,00004P,394,76,8,355,47,27
3101100005P,31,011,00005P,483,67,10,447,40,26
3101100006P,31,011,00006P,459,105,18,445,66,28
3101100007P,31,011,00007P,262,81,5,232,65,22
3101100008P,31,011,00008P,131,14,2,120,11,10
3101100009P,31,011,00009P,347,57,11,305,40,28
31013001301,31,013,001301,379.1086186540732,149.1452184179457,19.031877213695395,383.06611570247935,122.12396694214875,27.053128689492326
31013001302,31,013,001302,438,135,17,411,117,45
31013001303,31,013,001303,337.9996105681529,119.99986174017263,17.999979261025896,327.9996220898052,84.99990206595562,49.9999423917386
