GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREICAS,G16PRENROC,G16PREONON,G16USSDCOR,G16USSRHEC,G16USSIJON,G16USSNSAW,G16USSNGUM,G16USSNWIL,G16USSONON
32001000001,32,001,000001,164.70996978851963,529.1873111782477,35.47129909365559,2.788519637462236,2.4471299093655587,24.800604229607252,172.81570996978854,510.42296072507554,19.564954682779458,11.117824773413897,13.788519637462237,2.2235649546827796,27.47129909365559
32001000002,32,001,000002,206.58439278508024,422.7703936888857,40.7350668941351,4.3463163166109124,1.6517728663256181,24.935715552973463,178.95918175405362,438.84827442812866,17.597150162697723,13.947896274373974,10.917128125244709,6.514499547142763,26.46241290057528
32001000003,32,001,000003,86.85800604229607,230.36253776435046,15.105740181268882,6.042296072507553,1.5105740181268883,12.83987915407855,83.83685800604229,237.9154078549849,5.287009063444109,3.7764350453172204,6.042296072507553,0.7552870090634441,15.105740181268882
32001000004,32,001,000004,129.47620192133076,335.703434100721,34.29672669094454,1.1513024403849892,0.09998097870883475,16.572712125279775,134.23290433616737,312.2713766372523,10.113290701926205,16.622702614634193,7.7107048424473925,3.955333399932531,25.634681365529826
32001000005,32,001,000005,92.03465251604237,220.88394900991827,15.206170388572122,1.600558925788342,3.201050354040772,12.804775145218338,94.43560902541273,204.07762468077328,12.004276315332454,7.202937025646987,4.001582932694612,2.400922760602403,18.40691700370129
32001000006,32,001,000006,102.39575924623027,325.34690855982745,30.3220982875916,1.0460140410845145,1.0153380136948382,11.398788356065792,115.51846335578897,322.392922600912,8.168718150643219,7.138042123253543,4.046014041084514,2.0460140410845145,9.230070205422571
32001000007,32,001,000007,122.43202416918427,516.4501510574017,16.422960725075527,2.1691842900302114,2.0422960725075527,23.3595166163142,113.34743202416918,514.6616314199396,11.148036253776434,11.105740181268882,10.169184290030211,2.021148036253776,20.422960725075527
32001000008,32,001,000008,60.57209272279469,187.6484147413437,15.211772170602645,2.9865083211627748,1.5846336291440788,6.341282665932248,60.66436129850195,178.22819352269693,9.235037443854365,6.859218591049513,1.6164136413947865,2.28613677060906,13.869577762818167
32001000009,32,001,000009,90.68395928362472,290.0539099763049,10.940346003004532,10.037298999188575,0.03227634977806242,16.540640232441568,81.11102685854144,306.3649681594866,6.3853722875457475,8.260316673252733,1.2487538422442155,0.19365809866837452,14.526587004654282
32001000010,32,001,000010,103.8108108108108,446.8378378378378,24.07207207207207,3.009009009009009,0.7522522522522522,18.054054054054056,102.3063063063063,455.8648648648649,6.770270270270271,9.77927927927928,0,1.5045045045045045,19.55855855855856
32001000011,32,001,000011,140.36504297994267,607.9214899713467,37.08424068767908,9.012034383954154,1.0040114613180515,23.104297994269338,141.3971346704871,607.9335243553008,16.044126074498568,10.036103151862463,4.012034383954155,4.012034383954155,28.06017191977077
32001000012,32,001,000012,47.123080961508684,195.74202860934378,11.780770240377171,3.6248523816545144,0.9062130954136286,7.249704763309029,46.21686786609506,193.9296024185165,9.062130954136286,6.3434916678954005,0.9062130954136286,0.9062130954136286,9.062130954136286
32001000013,32,001,000013,52.00038746450451,355.0016094679418,15.000096866126126,3.000029804961885,2.0000074512404713,4.00005960992377,60.000380013264035,349.0015945654609,5.000074512404714,5.0000521586832996,3.0000074512404713,1.0000074512404713,7.000074512404714
32001000014,32,001,000014,87.97664646216772,413.8901322197436,17.995223139988852,6.9981423322178875,0.9997346188882696,14.996019283324044,90.97585031883253,399.89384755530784,19.99469237776539,6.9981423322178875,2.999203856664809,0.9997346188882696,17.995223139988852
32001000015,32,001,000015,79.68366762177651,419.43381088825214,18.388538681948422,2.6269340974212034,0.8756446991404011,22.766762177650428,86.68882521489971,422.06074498567335,9.632091690544412,7.88080229226361,2.6269340974212034,2.6269340974212034,13.134670487106018
32001000016,32,001,000016,132.29015899234494,261.58593933394224,17.143084027213487,6.369535268343909,1.0867328212215477,22.653925316361725,141.09993232694407,254.5064224484512,10.88934656083933,6.643534178840325,1.09040254599219,6.051499660599786,17.869377934134
32001000017,32,001,000017,182.1886094617817,836.1594632960557,44.92778299607606,11.990947903143137,1.2477438306706703,31.94584410194193,204.69302387351343,798.1325968691889,25.229639636956946,27.22062671087086,11.99995299507507,5.495475910110108,32.44133959743743
32001000018,32,001,000018,208.00052928783018,737.0024640494256,31.000132321957548,1.0000393389603521,2.000003576269123,23.000092982997195,204.00061154202,719.0023174223917,27.000082254189827,14.00008583045895,5.000042915229475,10.000017881345615,21.000092982997195
32001000019,32,001,000019,97.22604421109322,413.62942869031554,13.012178363867838,11.108345926191173,0.0504297994269341,10.276039217026954,103.6060588944598,403.8197576086778,13.50397641759035,9.418732626769073,3.1395775422563577,2.143481494264506,9.721311423330679
32001007-01,32,001,007-01,0,0,0,0,0,0,0,0,0,0,0,0,0
