GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREIBLA,G20PREONON
32001000001,32,001,000001,260.7583081570997,588.6948640483383,19.812688821752268,3.2235649546827796,11.235649546827794
32001000002,32,001,000002,293.65956528801894,564.7539666168952,22.776605007259047,1.6614088603511004,10.934886475769359
32001000003,32,001,000003,114.04833836858006,265.8610271903323,19.637462235649547,0.7552870090634441,7.552870090634441
32001000004,32,001,000004,209.93869787348422,379.6105042295808,15.621371642312456,3.905342910578114,10.714697759412603
32001000005,32,001,000005,113.64457730232589,292.10877058434755,16.80605433900135,2.400922760602403,8.002997121549445
32001000006,32,001,000006,130.71785753382187,371.0984712308745,14.230070205422571,1.0153380136948382,4.076690068474191
32001000007,32,001,000007,187.19335347432025,603.4441087613293,22.549848942598185,1.0211480362537764,16.211480362537763
32001000008,32,001,000008,69.4535906014972,234.24928508663388,6.493554837562655,1.5547934870269702,3.9633622871493293
32001000009,32,001,000009,125.8784084026354,357.7922717183412,10.415744763994228,3.0145997147750534,5.258677212289429
32001000010,32,001,000010,130.8918918918919,555.1621621621622,5.2657657657657655,0.7522522522522522,8.274774774774775
32001000011,32,001,000011,176.44928366762176,703.1180515759312,26.060171919770774,2.0040114613180515,6.020057306590258
32001000012,32,001,000012,76.1219000147448,243.7713226662661,5.437278572481771,0.9062130954136286,3.6248523816545144
32001000013,32,001,000013,68.0006259041996,396.00200438368677,12.000044707442829,1.0000074512404713,6.000029804961885
32001000014,32,001,000014,99.97346188882696,499.8673094441348,11.996815426659236,0.9997346188882696,7.997876951106157
32001000015,32,001,000015,98.07220630372493,462.3404011461318,13.134670487106018,0.8756446991404011,4.378223495702006
32001000016,32,001,000016,205.91189153601593,294.59747677188483,6.557094175035709,3.08364873128477,12.308906851744585
32001000017,32,001,000017,274.10720326330323,1040.8344769857054,15.734179395155149,2.247739913593593,9.725197805685683
32001000018,32,001,000018,266.00082611816737,889.0030684389075,21.00005006776772,3.0000071525382457,6.00002503388386
32001000019,32,001,000019,122.19137515086328,528.6593422853146,13.705695615298087,1.046525847418786,6.2287252850857815
32001007-01,32,001,007-01,0,0,0,0,0
32001008-01,32,001,008-01,19.90146993587193,67.47369602994715,1.7819354259317257,0.44548385648293143,1.1157474917963148
32001008-02,32,001,008-02,1.4892731412061802,2.6407019124165134,0.11031652897823556,0.02757913224455889,0.07584261367253695
32001008-03,32,001,008-03,0,0,0,0,0
32001012-01,32,001,012-01,0,0,0,0,0
32001012-02,32,001,012-02,0,0,0,0,0
32001012-03,32,001,012-03,0,0,0,0,0
32001015-01,32,001,015-01,0.7702005730659026,3.630945558739255,0.10315186246418338,0.006876790830945559,0.034383954154727794
32001015-02,32,001,015-02,0,0,0,0,0
32001015-03,32,001,015-03,0.6418338108882521,3.0257879656160456,0.08595988538681948,0.0057306590257879654,0.028653295128939826
32001015-04,32,001,015-04,0.25673352435530084,1.2103151862464183,0.034383954154727794,0.002292263610315186,0.011461318051575931
32001015-05,32,001,015-05,4.027285571634402,18.985774837705037,0.539368603343893,0.03595790688959287,0.17978953444796436
32001015-06,32,001,015-06,0.4164614790709467,1.9633184013344631,0.05577609094700179,0.0037184060631334525,0.018592030315667262
32001015-07,32,001,015-07,0,0,0,0,0
32001015-08,32,001,015-08,0,0,0,0,0
32001015-09,32,001,015-09,0,0,0,0,0
32001015-10,32,001,015-10,0,0,0,0,0
32003001038,32,003,001038,189,231,2,0,3
32003001039,32,003,001039,382,548,2,0,9
32003001063,32,003,001063,649,573,15,3,13
32003001067,32,003,001067,46.57735247533967,106.27840324818709,2.1272889126211223,2.0180703404088733,2.132268265973662
32003001072,32,003,001072,NA,NA,NA,NA,NA
32003001074,32,003,001074,NA,NA,NA,NA,NA
32003001137,32,003,001137,583,563,11,0,11
32003001302,32,003,001302,1180,842,23,3,17
32003001303,32,003,001303,743,624,8,2,13
32003001304,32,003,001304,823,484,17,0,14
32003001307,32,003,001307,880,775,7,1,7
32003001309,32,003,001309,1.7763675999004618,2.461128572938099,0.023683772969410394,0.004306140539892799,0.021530702699463996
32003001318,32,003,001318,856,454,10,2,15
32003001327,32,003,001327,1051,618,23,4,18
32003001328,32,003,001328,810.2800241940923,582.184686854605,13.237658963420598,3.753677128490834,13.167967441510937
32003001330,32,003,001330,684,882,13,6,12
32003001331,32,003,001331,778.7164358182242,533.4310946223459,9.8772979798791,6.882439858762881,6.901441095054374
32003001332,32,003,001332,323,273,7,1,3
32003001333,32,003,001333,575,523,3,2,5
32003001334,32,003,001334,782,655,15,4,8
32003001335,32,003,001335,639,664,12,0,10
32003001336,32,003,001336,613.717334118251,433.15419562365304,3.9467352676414853,0.9866838169103713,5.920102901462228
32003001337,32,003,001337,839,676,14,6,11
32003001340,32,003,001340,1104.6755382386962,690.3088325113202,11.05747407904009,1.0147192986501539,15.081300214098297
32003001341,32,003,001341,732,570,21,6,7
32003001342,32,003,001342,537,444,12,4,5
32003001343,32,003,001343,362,473,8,0,9
32003001344,32,003,001344,359,245,6,1,2
32003001345,32,003,001345,334,268,6,1,3
32003001346,32,003,001346,543,667,13,3,6
32003001348,32,003,001348,742.3912677134135,574.7177632407305,21.07123604999532,1.0107933409083816,10.04749069999688
32003001349,32,003,001349,724.8272446734888,539.1343922739474,12.656322253359724,1.947011801629555,13.609698499448859
32003001351,32,003,001351,667,398,11,2,11
32003001352,32,003,001352,629,478.00000000000006,15,2,8
32003001353,32,003,001353,1183.4366693667,761.9813648012383,28.72305600475372,1.9754905561734373,14.900656183865726
32003001354,32,003,001354,490,305,6,2,9
32003001356,32,003,001356,954.9984166087792,711.9988195030897,12.99997844598338,0.9999983419987216,20.999965181973153
32003001361,32,003,001361,1.0204472308896677,1.0216254170561727,4.180660590824255e-4,7.601201074225919e-5,3.800600537112959e-4
32003001363,32,003,001363,1.018476182760304,0.011651646785777263,4.993562908190255e-4,0,0
32003001365,32,003,001365,6.903127098284213,9.409037170410848,0.07003788534244776,0.012734160971354137,0.0636708048567707
32003001367,32,003,001367,966,670,12,4,12
32003001368,32,003,001368,905.114109972041,592.4924601461715,3.9697987279475484,2.9773490459606613,14.886745229803307
32003001371,32,003,001371,1.795728113378148,3.850952228089977,0.03671563057092868,0.0066755691947143056,0.03337784597357153
32003001374,32,003,001374,0.824741502690212,0.872263782585001,0.016862744478796154,0.0030659535415993007,0.015329767707996503
32003001375,32,003,001375,6.6734164858117735,6.000323383693122,0.11599922182886527,0.02109076760524823,0.10545383802624116
32003001376,32,003,001376,9.45874499151206,10.003765613699558,0.19339441432459603,0.035162620786290184,0.17581310393145094
32003001377,32,003,001377,3.2288014996472376,3.307758383855892,0.028016958912748413,0.005093992529590621,0.025469962647953103
32003001378,32,003,001378,216.3616097588292,231.01974348314187,4.4237503854035705,0.8043182518915584,4.021591259457792
32003001379,32,003,001379,0.022051317326754846,0.02332193226565708,4.5086336541692065e-4,8.197515734853104e-5,4.098757867426551e-4
32003001380,32,003,001380,0.015941201097393266,0.016859746142038605,3.259353384225389e-4,5.926097062227981e-5,2.96304853111399e-4
32003001381,32,003,001381,10.37862343195646,12.976648202199303,0.21220233782810602,0.03858224324147382,0.19291121620736912
32003001382,32,003,001382,0.01229098517404354,0.012999201791878762,2.5130267084475644e-4,4.5691394699046626e-5,2.2845697349523308e-4
32003001384,32,003,001384,1091.4856840016216,1156.500872176427,22.285349670353437,4.045265327694735,20.279391169194646
32003001385,32,003,001385,0.138741513729601,1.1467359132195967,0.002836722399675857,5.15767709031974e-4,0.00257883854515987
32003001386,32,003,001386,0,0,0,0,0
32003001387,32,003,001387,0,0,0,0,0
32003001389,32,003,001389,554.2212666976768,513.1295862755929,10.404947322076833,0.1276969687785468,8.418784932929578
32003001390,32,003,001390,1595.3692393572692,1274.767141704419,33.241309180029916,5.126835068623866,22.433606075038792
32003001391,32,003,001391,832.9434473907554,721.619263491275,12.92155705976112,0,13.915522987435054
32003001394,32,003,001394,547,716,7.000000000000001,2,2
32003001395,32,003,001395,534.7411764705882,729.6823529411765,4.023529411764706,0,8.094117647058825
32003001396,32,003,001396,548,441.99999999999994,9.999999999999998,1,8
32003001410,32,003,001410,835,811,23,4,14
32003001411,32,003,001411,616,577,9,1,6
32003001509,32,003,001509,642.774111659354,762.0562320265363,10.514237169711718,1.9671947082377859,9.956006939959043
32003001510,32,003,001510,333.68241469244134,619.0633505192063,2.0314737657296376,0.9971327315062133,7.061787386521357
32003001511,32,003,001511,517,601,12,0,8
32003001513,32,003,001513,626,975,15,4,16
32003001514,32,003,001514,672,862,12,3,18
32003001517,32,003,001517,305,418,4,1,5
32003001518,32,003,001518,620.2635201573255,868.6057030481809,10.062930186823992,2,13.314650934119962
32003001519,32,003,001519,164,386,9,1,4
32003001520,32,003,001520,321.25882352941176,360.3176470588235,0.9764705882352941,0,3.9058823529411764
32003001521,32,003,001521,383.3076923076923,637.2820512820513,7,3.0512820512820515,9.230769230769232
32003001525,32,003,001525,651.9114982578398,848.5665505226481,0,0.9832752613240419,3.9331010452961674
32003001528,32,003,001528,690.2537974821868,846.3519434379812,10.270550445553113,0.20794223826714803,13.208868704780803
32003001533,32,003,001533,13.007618644442843,16.560047667660573,0.13297067069061488,0.0241764855801118,0.12088242790055898
