GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW
39001001AAA,39,001,001AAA,607.4481592220158,118.42576682122014,6.015966255795755,2.005322085265252
39001001AAB,39,001,001AAB,442,90,4,4
39001001AAD,39,001,001AAD,457.55184077798424,79.57423317877986,2.984033744204245,0.9946779147347483
39001001AAE,39,001,001AAE,229.86009732360097,53.96715328467153,1.9987834549878345,0
39001001AAG,39,001,001AAG,266,60,1,0
39001001AAI,39,001,001AAI,787,171,8,3
39001001AAK,39,001,001AAK,476.9363063795205,149.08065826899633,7.914736556955167,0.9938710551266422
39001001AAN,39,001,001AAN,742.9172858913939,119.63427155930725,3.9826976696915715,0.9830576585710101
39001001AAP,39,001,001AAP,522.069288131483,145.45891334042014,5.977729384442661,1.992564748067994
39001001AAR,39,001,001AAR,235.85729398074685,60.84806410663281,3.022955675446948,1.0054347826086956
39001001AAS,39,001,001AAS,401.4978685488115,93.58463698638441,5.086792272708523,0.05667154706942251
39001001AAT,39,001,001AAT,544.5468679918514,90.35024184246288,1.0811565005967758,0.9900941059930658
39001001AAU,39,001,001AAU,297.2192242833052,59.973018549747046,0.8819561551433389,0
39001001AAW,39,001,001AAW,681.3463023161316,150.10412433969933,4.06352431261005,1.0006941622646621
39001001AAY,39,001,001AAY,444.65671641791045,111.16417910447761,4.962686567164179,2.9776119402985075
39001001AAZ,39,001,001AAZ,456.55610972568576,102.62718204488777,7.0448877805486285,2.0224438902743143
39001001ABA,39,001,001ABA,417,130,10,2
39001001ABC,39,001,001ABC,401.4438902743142,143.37281795511223,3.9551122194513715,1.9775561097256857
39001001ABE,39,001,001ABE,578.0927487352445,75.83473861720067,6.0269814502529515,0
39001001ABG,39,001,001ABG,512.7340765688915,97.29299365633615,3.891719746253446,0.9729299365633615
39001001ABH,39,001,001ABH,367.2659234311085,53.70700634366385,0.10828025374655406,0.027070063436638515
39003002AAA,39,003,002AAA,416.52810235195346,127.0263007172624,12.801100072282257,0
