GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREOFUE,G20PREOLAR,G20PREOCAR,G20PREOWRI,G20USSDREE,G20USSRWAT,G20USSOWRI
44001440101,44,001,440101,1200.3486119083266,529.3698945628962,16.156711324181753,0,0.9503947837753971,3.8015791351015884,10.454342621529369,1247.8683510970964,460.9414701310676,3.8015791351015884
44001440102,44,001,440102,1766.068143937082,637.1938055229972,25.4807600179229,3.1126733662411166,2.0077354744421556,0.16171224732461356,9.540160407879117,1777.1038552379562,595.7052573884838,0.08085612366230678
44001440103,44,001,440103,1346.181699114416,440.572679678034,21.19199376590187,3.848057087817856,0.9660848282638262,3.8382877526753862,16.3420309542978,1327.9889096297777,459.62409130436885,1.9191438763376931
44001440104,44,001,440104,1611.0492817354145,640.3318001626686,19.60294014566803,1.950560611648318,5.839190400429503,3.9173781653745525,14.698257751657435,1636.6351018993405,586.3948629331644,2.9498887630962427
44001440105,44,001,440105,1748.2224103134179,609.1482357834603,29.47266693504588,4.045124195029479,2.1548498439530617,2.101934745377733,26.346222366266947,1738.9297838537618,603.7008614761846,4.071581744317144
44001440201,44,001,440201,603.6740675600904,535.009112623086,6.675721658407884,2.86101329449235,1.907338411392591,0.953676144744973,3.814691962527751,678.0603614894377,437.7347110761547,2.8610107712019217
44001440202,44,001,440202,488.2963484234946,219.2350952105486,11.958277920575378,1.9930463200958963,0.9965231600479482,2.9895694801438446,4.982615800239741,516.1989969048371,179.37416880863069,0.9965231600479482
44001440203,44,001,440203,1458.620717869609,851.830940150915,27.99382810042218,1.001092951546409,2.000198089964317,1.9992041834000662,12.997311958511057,1562.6161099492897,710.8318834068945,3.0022849480749767
44001440204,44,001,440204,951.5157843452762,614.7645325179844,19.360063143700287,2.0401174500293933,2.019064818450446,1.041111356593644,9.159475893553322,1043.3115371873737,484.74239632402737,5.037135730336641
44001440205,44,001,440205,950.5578947368421,853.6421052631579,17.621052631578948,1.9578947368421051,0.9789473684210526,1.9578947368421051,7.8315789473684205,1084.6736842105263,660.7894736842105,1.9578947368421051
44001440206,44,001,440206,833,632,17,2,3,0,10,980,458,2
44001440207,44,001,440207,631.7036515765053,288.7649047894514,10.041722079424622,0.006953679904103625,1.0034768399520517,1.0104305198561554,3.017384199760259,664.8010030951629,241.62583119136931,0.0034768399520518126
44001440208,44,001,440208,727,480,21,4,6,3,7,799,384,1
44001440209,44,001,440209,170,95.00000000000001,7,1,1,1,1,180,76,0
44001443401,44,001,443401,964.0564904467727,535.0462473920542,10.001587673481373,2.000153645820778,3.0001536458207783,1.0002048610943706,10.000717013830297,1025.0624314185095,424.03805294827936,5.000051215273593
44001443402,44,001,443402,1102.993725336943,902.9982566437507,30.998967635343284,3.0000843436755047,3.0000050138434102,3.9998744687377235,13.99960030549808,1218.9939720921095,742.9983594446519,1.00018677422269
44001443403,44,001,443403,1504.5813197044668,852.7088054090518,33.34877915706604,6.13964357759346,1.0942926521074052,6.0480342485871175,14.196623918711072,1623.2819036527537,683.8651231157817,4.141435824048073
44003440601,44,003,440601,524.991263393681,620.8279402740786,18.215195685039202,2.019360912610337,2.039834648383422,2.9983307652558775,8.077443650441348,614.3345132070899,519.0614189484114,2.019360912610337
44003440602,44,003,440602,143.29956418233823,162.96813181520818,6.556189210956651,0,0.9365984587080931,0,0.9365984587080931,165.77792719133248,140.48976880621396,0
44003440603,44,003,440603,893.2535751952516,987.5813169153006,16.904865837387955,5.163984518342199,5.089360976059605,5.076692482666755,4.598595029042124,1017.936336726717,823.8043555420562,2.165554336405172
44003440604,44,003,440604,545.6590503792338,593.1083427190357,9.99624568324519,2.995845033832856,0,2.9920499851380464,6.989038527750239,653.444859066831,457.39669426115137,0.9973484600845266
44003440605,44,003,440605,487.6445227826227,649.1454455282583,19.489775707534513,5.841236285926714,1.9518257839202715,2.9223982761926193,5.866158151136391,558.1665901887662,566.8625796881737,2.9259585426511445
44003440606,44,003,440606,208.94054351898157,345.5368571118865,7.19176671341499,1.5983122845486162,1.5957580163334857,0.7997947093280907,2.403215530306968,257.72418938567245,286.36481996268344,0.801071843435656
44003440607,44,003,440607,819.6212811104791,837.7283570624373,21.44395537545113,0.975471652535527,1.9415629980001594,1.9726956805052114,5.918865240127768,915.523801011455,715.3114299872495,2.0064162107589807
44003440608,44,003,440608,781.0879241236358,830.5036110193503,24.643802696422465,2.0258253451513624,2.059215200611974,3.0554329454573494,9.166298836372048,886.9705576778495,702.7988787259472,1.062997455766599
44003440609,44,003,440609,563.4047693755883,682.1678694697207,14.577345465955444,2.173203639786633,1.0577345465955443,1.0866018198933165,3.173203639786633,642.483213053028,582.7430185127079,1.0866018198933165
44003440610,44,003,440610,355,368,5,4,0,1,1,417,289,1
44003440611,44,003,440611,533.2668492724208,563.543904817192,5.8600752667299,0,0,1.9533584222432998,5.8600752667299,586.0075266729899,487.3629263497033,4.88339605560825
44003440612,44,003,440612,582.8560088986229,597.2493122246127,16.130876178458628,3.9999206128689595,0.018741960997541572,0.9999801532172399,8.01858318673546,655.3043869942052,506.8012913711201,0
44003440613,44,003,440613,495.4815623369854,524.3179434164288,10.29359435381198,3.045371559343582,1.000699900176637,3.0069423155420174,4.1144150758060825,539.6296115447067,457.1062530092851,0.0016142050040355124
44003440614,44,003,440614,279.12208725681853,249.3752143825793,2.019909961029188,1.000122484497429,0.9989657202601155,1.0012792487347426,4.0051169949389704,320.1652823410445,200.3217853084754,1.995617912045604
44003440615,44,003,440615,600.9759059232526,703.7090931315466,10.997445472063129,1.9890130946989655,0,3.002810792454721,3.041393093267267,688.018836603627,577.6489132996671,3.0317475180641305
44003440616,44,003,440616,641.9279944700858,804.227634231383,21.11902391105234,2.0571245353355225,1.0178636848396916,2.9913571094281206,12.043186892827187,757.6906580797721,664.1198732962912,0.020744648363651343
44003440617,44,003,440617,452.0315930475261,616.3523717553958,16.02965484809573,1.0068322009696904,0.9999773015487381,0.0019406801440460717,4.006764105615905,520.1435493786704,524.1991893232281,1.0024344111871912
44003440618,44,003,440618,254,312,5,0,1,2,0,279,278,0
44003440901,44,003,440901,281.07792891876716,175.3168982695508,5.785503683960707,0.961606387504458,0.008079535028348614,0.004537043760499023,1.933617075678333,299.5443589158795,156.7109038988371,0.003615701471947372
44003440902,44,003,440902,1281.194653010679,813.4886486354857,16.989320671748473,3.9974872168819937,0.9993718042204984,2.998115412661495,21.986179692850964,1328.1651278090424,764.5194302286812,0
44003440903,44,003,440903,1160.873669297524,615.8907198516929,25.191629568294612,0.0249951610819058,1.0249951610819057,2.0166634407212705,18.10831236468826,1195.3652407988016,575.499128994743,1.0166634407212705
44003440904,44,003,440904,1247.7165225950869,796.1745259309437,29.708232072314267,2.970968293114254,2.970968293114254,0.990530029918314,7.923618442705824,1320.0071826765438,725.8665840336985,0.990530029918314
