GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20USSRGRA,G20USSDHAR,G20USSCBLE,G20USSOWRI
45001000001,45,001,000001,867.0002763239521,419.00025343998095,8.000006293092078,1.0000011441985597,1,852.0002665982644,422.0002580167752,22.000013730382715,1.0000005720992797
45001000002,45,001,000002,392.70210986369716,730.0808439454788,3.104130058021748,1.1041300580217481,1.0347100193405827,371.49384974765366,749.1155539648195,10.347100193405828,0.06942003868116539
45001000003,45,001,000003,482.9996171416901,442.99964884838244,10.999991280659609,1.9999984146653835,0,465.99963061703437,450.999642507044,23.999980975984602,0.9999992073326918
45001000004,45,001,000004,446,208,3,0,0,429,215,13,0
45001000005,45,001,000005,784.2073706614001,185.4198914153265,7.169535511235618,0.0013330227388835174,0.02903148076286981,764.5657978478471,191.8703136153595,17.390759749279958,1.9988608965793833
45001000006,45,001,000006,309.4874907223315,86.18282219190962,0.026770300573592726,1.0032683848406507,2.1551809965510076e-4,303.372087147834,89.26581477841741,5.0758924171020166,0.002500796778002117
45001000007,45,001,000007,529.8622881355932,664.5254237288135,6.0423728813559325,3.010593220338983,2,507.7351694915254,683.5677966101695,8.13771186440678,0
45001000008,45,001,000008,623,145,7,4,0,616,160,7,0
45001000009,45,001,000009,344,71,7,0,0,333,77,10,2
45001000010,45,001,000010,773.521670492744,363.61644398874955,15.141377015642794,2.060821565800843,0,766.2580232821404,378.8390557728733,14.283590115764307,0.04061738424045491
45001000011,45,001,000011,313.312925170068,150.7074829931973,0.9914965986394558,1.9829931972789117,0,319.26190476190476,148.72448979591837,0.9914965986394558,0.9914965986394558
45001000012,45,001,000012,722.2913100186694,179.25421434826498,7.016051276125859,2.9975878960881728,0.0011478974925075134,709.2866334543935,190.32532159052826,13.92581119306846,1.959382615759545
45001000013,45,001,000013,718.1493807935586,122.12859406010821,5.95719077314947,0.016063154072664076,0.9825715823507742,695.5534992455155,137.84686128608536,13.86517938539486,0.013958571216231412
45001000014,45,001,000014,454.13771186440675,142.47457627118644,3.957627118644068,0.989406779661017,0,442.2648305084746,146.4322033898305,12.86228813559322,0
45001000015,45,001,000015,483.4740836623271,193.38963346493082,2.8439651980136884,2.8439651980136884,0.9479883993378961,477.78615326629966,194.3376218642687,9.479883993378962,1.8959767986757923
45003000000,45,003,000000,20.386731443134757,14.875783158118296,0.3450302644154189,0.10067431241371987,0.012403100775193798,19.44651693745354,15.571641711797811,0.6141924179675056,0.038658808537750874
45003000001,45,003,000001,617.5982028556169,371.61466403984764,11.044158958049959,5.0240883179160996,1.00481766358322,630.6166557753714,366.5640696978351,7.0955710346407725,0
45003000002,45,003,000002,184.66199756394641,587.9238733252131,5.989037758830694,4.990864799025578,1.9963459196102313,185.66017052375153,597.9056029232643,4.990864799025578,0.9981729598051157
45003000003,45,003,000003,133,845,4,7,2,118,864,12,0
45003000004,45,003,000004,75.35313097503406,362.4146667868266,2.1204841276407387,1.020063492391798,0,72.17240478357294,368.52165488403455,4.120432540995763,0
45003000005,45,003,000005,327.6888419692208,541.2278170662805,11.808606917809758,2.9521517294524395,0,341.46555003999885,540.2437664897964,5.904303458904879,0
45003000006,45,003,000006,590.4184359850349,402.1243631202855,13.848743644553338,4.980701942565173,0.024305448657286968,612.9650831909754,394.15524001218125,11.030460619615242,0
45003000007,45,003,000007,299,239,2,4,1,283,252,13,0
45003000008,45,003,000008,497.95645650046475,579.2800869619654,7.786564636178669,4.853684212858787,1.93999747182176,492.10219702841556,582.2206596929776,15.561316656683257,4.848244766647047
45003000009,45,003,000009,540,491,15,9,1,522,511,20,1
45003000010,45,003,000010,282.12437872623764,481.3439179297082,7.056527574078926,2.0424074291806087,1.016366955219083,276.0842181073778,486.3580380746065,9.127955559486862,1.0453875114464108
45003000011,45,003,000011,358.49637155297535,672.4368650217707,10.039187227866474,10.021770682148041,1,347.4267053701016,681.4760522496372,17.074020319303337,0.0043541364296081275
45003000012,45,003,000012,250.14389359129382,221.97218863361547,3.174123337363966,3.1088270858524787,3.0435308343409915,235.01330108827085,243.03748488512696,3.3482466747279322,2.1088270858524787
45003000013,45,003,000013,843.0280654377991,440.00298978890646,19.223329997950547,5.98795645517125,1.9684625492772667,831.0246295916768,467.9192636439258,14.192081881638115,1.0117542104184498
45003000014,45,003,000014,790.6739592565469,324.9345038040604,8.861850103747102,4.923250057637278,0,774.9195590721076,333.7963539078075,16.739050195966747,0.9846500115274557
45003000015,45,003,000015,520,165,8,4,0,502,179,15,1
45003000016,45,003,000016,460,263,6.999999999999999,3,0,450,274,10,0
45003000017,45,003,000017,881.3799575217281,266.71077351694066,5.283982912199278,1.1516803033700882,0.027906976744186046,863.950229573739,274.10276819867084,20.298722346471532,0.027906976744186046
45003000018,45,003,000018,600,190,8,0,0,577,203,19,0
45003000019,45,003,000019,470.7348284960422,131.20712401055408,8.116094986807388,2.021767810026385,1,454.62598944591025,140.29419525065964,14.130606860158311,1.0145118733509235
45003000020,45,003,000020,910.8771929824561,543.5570175438596,20.061403508771928,4,0,922.7017543859649,531.6359649122807,23.144736842105264,1.013157894736842
45003000021,45,003,000021,455.27423950281485,318.39440278955027,10.910711622071817,0.9918828747338015,2.9756486242014044,449.3229422544121,331.2888801610897,15.870125995740825,0
45003000022,45,003,000022,886,533,16,3,2,876.0000000000001,542,20,1
45003000023,45,003,000023,536.8392713959465,518.2209461345267,15.150166653481149,3.78891880059419,0.9479340675867408,521.7768904397675,531.395700713774,24.618335754145193,2.8355042709140474
45003000024,45,003,000024,431,138,8,0,0,422,144,9,2
45003000025,45,003,000025,583,425,11,9,2,572,442,10,0
45003000026,45,003,000026,367,349.00000000000006,17,1,0,359,351.00000000000006,19.000000000000004,3
45003000027,45,003,000027,995.3636363636364,235.38095238095238,17.147186147186147,2.025974025974026,0.008658008658008658,997.3722943722944,229.45887445887448,22.095238095238095,3
45003000028,45,003,000028,618,257,14,3,0,633,250,10,1
45003000029,45,003,000029,669,464,33,9,0,688,468,16,1
