GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16USSRTHU,G16USSDWIL,G16HALRNOE,G16HALDHAW,G16PUCRNEL,G16PUCDRED
460030VTD-1,46,003,0VTD-1,230,62,11,4,254,60,229,85,270,40
460030VTD-2,46,003,0VTD-2,120.00076407443578,23.000060498562362,7.00001344412497,3.0000044813749898,121.00077303718575,32.00007394268734,107.00074390824832,50.000096349562284,145.00078199993575,10.000040332374908
460030VTD-3,46,003,0VTD-3,289.9985563316385,100.99949720515686,18.999905414831485,5.999970130999417,313.99843685563616,106.99946733615627,261.99869572030786,158.99920847148454,361.9981979036315,60.99969633182741
460030VTD-5,46,003,0VTD-5,128.00144366836153,61.00050279484315,11.000094585168513,1.000029869000583,135.00156314436384,62.00053266384373,128.00130427969214,74.00079152851545,153.00180209636852,44.00030366817259
460030VTD-7,46,003,0VTD-7,206,93,26,5,249,82,203,123.99999999999999,271,53
460050VTD-1,46,005,0VTD-1,258.50390625,104.4140625,19.93359375,5.0625,284.765625,110.109375,261.984375,131.94140625,299.3203125,87.328125
46005VTD-01,46,005,VTD-01,639.6527929901424,177.63964950711937,38.265060240963855,3.009857612267251,696.7809419496166,167.60021905805039,617.4271631982475,238.3461117196057,709.8696604600219,132.27601314348303
46005VTD-02,46,005,VTD-02,600.7258044890208,200.9041574907443,40.47512427390527,12.956354525724498,660.7816489531469,207.63236866462404,589.5524503702285,273.7394167703945,703.4168362217541,145.63574380824716
46005VTD-04,46,005,VTD-04,193.51577728902342,78.16426744844274,14.922269240157252,3.7897826641669212,213.1752748593893,82.42777294563054,196.12125287063816,98.77121068485039,224.07090001886922,65.37375095687939
46005VTD-05,46,005,VTD-05,974.4211959692908,384.2276269093107,64.61400941124342,18.145402558143985,1115.316503642731,357.347649635028,1002.1166403638267,470.8711917949491,1215.922761279326,236.03570658816147
46005VTD-W2,46,005,VTD-W2,359.0195864104723,226.23079788997748,42.2953281813802,11.803341219106708,398.364173082949,240.9849665975381,361.97044907237864,273.4442526541161,424.9217299075529,204.59124258696775
46005VTD-W3,46,005,VTD-W3,377,212,29,9,437,188,385,240,462,142
46005VTDW01,46,005,VTDW01,149.38595326479003,61.69310430443693,11.76287132846255,3.0050904024406577,164.61010562909027,65.0984211711171,151.3658873426975,77.75049648246211,173.12678971643504,51.8542028847243
46005VTDW71,46,005,VTDW71,314.66812705366925,131.4063526834611,19.44578313253012,2.9463307776560788,352.9704271631982,119.6210295728368,307.0076670317634,163.22672508214677,379.48740416210296,82.4972617743702
46005VTDW72,46,005,VTDW72,27.300145331491052,11.450365848160416,1.8569532366755157,0.35737093211056864,31.40843718258462,10.73758914150991,28.48526662228929,13.715298791467875,34.4455988161318,7.139558011928851
46005VTDW81,46,005,VTDW81,354.4872218813156,233.21408234179017,27.03163778450101,7.011600520983705,453.5673709353848,182.18244455728916,376.5040953663828,253.24782931192462,488.61588220495304,123.12549654518736
46005VTDW82,46,005,VTDW82,206.31948907078436,90.65553307655676,13.397369420180802,4.912368787399628,240.25949160190908,77.25816365637596,213.46475276154746,104.94606045808295,260.80212471285296,53.142898700050516
460070VTD-1,46,007,0VTD-1,70,183,11,2,112,148,96,166,83,179
460070VTD-4,46,007,0VTD-4,149.99990120799555,6.999997023137902,11.999992136667181,3.848801703770071e-8,156.99989684556485,10.999994145440184,149.99990136194762,15.999991029418247,148.9999017927119,10.999994414856301
46007VTD-02,46,007,VTD-02,108.37727272727273,62.150000000000006,10.786363636363637,4.109090909090909,127.89545454545454,57.013636363636365,118.64999999999999,65.74545454545455,115.56818181818181,64.71818181818182
46007VTD-05,46,007,VTD-05,80.56542114951566,46.20076707818642,8.018280551017694,3.05457583387957,95.07455003277421,42.382668803173424,88.20185313938106,48.87355510958192,85.91082253113551,48.109987099447324
46007VTD-06,46,007,VTD-06,22.05909090909091,12.649999999999999,2.1954545454545453,0.8363636363636363,26.03181818181818,11.604545454545454,24.15,13.381818181818181,23.52272727272727,13.172727272727272
46007VTD-27,46,007,VTD-27,234.9982152141207,100.99923292181357,12.999901267164123,3.999969620665884,239.99817723995307,111.99914937864476,243.99814686061893,108.99917216314535,227.99826837795538,117.99910380964359
460090VTD-1,46,009,0VTD-1,439,105,29,6,470,114,412,170,496,69
460090VTD-2,46,009,0VTD-2,369.693661971831,107.61971830985915,15.943661971830986,10.961267605633804,405.5669014084507,104.63028169014085,360.72535211267603,143.49295774647888,423.5035211267606,74.73591549295774
460090VTD-3,46,009,0VTD-3,472.306338028169,208.38028169014083,30.056338028169012,8.038732394366196,501.4330985915493,224.36971830985917,431.2746478873239,295.50704225352115,571.4964788732394,125.26408450704226
460090VTD-4,46,009,0VTD-4,337,156,32,6,388,178,295,247,426,96
460090VTD-5,46,009,0VTD-5,488.02291325695586,127.40916530278233,22.049099836333877,5.024549918166939,488.99018003273324,149.52373158756137,443.9738134206219,190.55646481178397,499.1702127659575,112.31914893617022
460110VTD-1,46,011,0VTD-1,192.31235267684258,168.00400484875294,39.2877020285745,8.048217006064581,250.3161558927424,135.63080895564215,210.63926230896112,184.21314377891488,253.36262760073535,116.39773930109381
460110VTD-2,46,011,0VTD-2,292.58112773238213,342.50964782323234,53.92280169811821,9.985704018170038,382.4524638959125,276.6040013033101,321.53966938507523,375.46247108319346,385.4481751013635,236.66118523062994
460110VTD-3,46,011,0VTD-3,309,356,64,13,404,288,340,390,408,246
460110VTD-4,46,011,0VTD-4,677,622,89,17,885,503,744,682,893,430
460110VTD-5,46,011,0VTD-5,1236,933,168,33,1615,754,1359,1023,1630,645
460110VTD-6,46,011,0VTD-6,1101.0018027012752,766.0010917768286,143.00015234095284,28.000025390158807,1439.0023485896895,620.0008886555582,1211.0019804323867,841.0012060325432,1452.0023739798485,530.0007617047642
460110VTD-8,46,011,0VTD-8,409,242,45,9,534,196,450,266,539,167
460110VTD-9,46,011,0VTD-9,388,234,46,9,507,190,426,257,511,162
46011VTD-10,46,011,VTD-10,380,192,37,7,496,155,417,210,501,133
46011VTD-11,46,011,VTD-11,370.8884669952886,249.93451974141098,62.98278977470419,11.996864961148534,484.85392607447073,201.94705989681685,407.87713113366186,273.9282496637081,489.8525363336909,172.95471971529963
46011VTD-12,46,011,VTD-12,187,64,9,2,245,52,206,71,247,45
46011VTD-13,46,011,VTD-13,139.21624989421153,84.55073580977509,11.806554157650268,1.9691886244580408,181.37510554718492,68.81724118867271,152.94195673991499,93.39492944164033,183.33428698436197,58.98559404821247
46011VTD-14,46,011,VTD-14,702,415,71,14,917,336,772,455,926,287
46011VTD-15,46,011,VTD-15,95,75,9,2,124,61,104,82,125,52
46011VTD-16,46,011,VTD-16,269,135,32,6,352,109,296,148,355,94
460130VTD-1,46,013,0VTD-1,712,403,78,11,842,355,716,480,872,283
460130VTD-2,46,013,0VTD-2,369,264,42,6,437,232,372,314,452,185
460130VTD-3,46,013,0VTD-3,859.3820991395032,469.6825393879847,82.20386799180828,12.027638339913265,1016.011505601593,412.618784284201,864.4161241180685,558.8199967315371,1052.1544446309367,329.4801401082043
460130VTD-4,46,013,0VTD-4,318.3673257023933,210.14464099895943,47.655567117585846,7.094693028095734,376.07908428720083,184.6493236212279,320.42559833506766,250.93860561914673,390.47242455775233,147.91363163371489
460130VTD-5,46,013,0VTD-5,236,162,38,5,280,143,238,193,290,114
460130VTD-6,46,013,0VTD-6,1135.5578183903826,572.9523791879084,93.17959150400559,14.02721083394024,1343.0258447341548,503.83265151857137,1142.5795870575348,682.131970691914,1391.1346880699157,402.6693865149299
460130VTD-7,46,013,0VTD-7,1198.251889271881,530.1350797668621,83.85912760307119,12.113269262849842,1417.2171861496101,466.7784223776485,1205.7073329860111,631.6893166311195,1467.5329062811343,372.6784113791134
460130VTD-8,46,013,0VTD-8,531,324,69,10,628,285,534,385,650,227
460130VTD-9,46,013,0VTD-9,546.5089624856113,242.9577668175596,45.22116284858666,6.594006552787946,646.3917692046447,213.77109154362094,550.2803781735173,289.10387088498015,669.0083215299856,170.44757834108233
46013VTD-10,46,013,VTD-10,218.00037666627628,157.0001500892442,32.000030306481996,5.000004329497428,258.00044593823515,138.00013277125447,219.0003795526079,187.0001789525604,267.0004618130591,110.0001053511041
46013VTD-11,46,013,VTD-11,318.26774700736576,220.17416111976385,40.35284181115547,6.204976031993253,376.79333475764975,193.27226657899354,320.4317278329604,262.5270029309193,389.61323888562276,155.04241038703404
46013VTD-12,46,013,VTD-12,582.126902372842,225.43439013181833,41.50831275482896,6.219644810223514,688.6342344154646,197.4794603032474,586.8252211919786,268.09965473072884,713.3104761305792,158.424394394795
46013VTD-13,46,013,VTD-13,224,151,21,3,265,133,226,180,274,106
46013VTD-14,46,013,VTD-14,137.05698369517282,112.02153300923581,14.00420156277772,2.000612727905084,162.06740006955926,98.01890703249974,138.05742135796217,133.02564703945566,167.06985098117957,78.01514313251137
46013VTD-15,46,013,VTD-15,650.9423710035522,245.97822314419943,47.99575085740477,6.999380333371529,769.9318366708682,215.98087885832146,655.9419283845318,292.97406252540827,797.9293580043543,172.98468538189636
46013VTD-16,46,013,VTD-16,235.53687896374439,94.51889249989942,19.019498062476014,2.7185568106987756,278.8465949114473,83.59786700123495,237.3336507522538,112.68940282709396,288.7730381010145,66.34394189002208
46013VTD-17,46,013,VTD-17,328.000645301275,260.00024384656473,28.00004757981751,4.000006938723387,387.0007632595726,228.0002141091788,330.000650257506,309.00029043513604,401.00079101446613,182.0001714855923
46013VTD-18,46,013,VTD-18,139,110,12,2,165,96,140,131,170,77
46013VTD-19,46,013,VTD-19,547,372,46,7,647,327,550,443,670,262
46013VTD-20,46,013,VTD-20,79,69,8,1,93,61,79,83,97,49
46013VTD-21,46,013,VTD-21,113.36193029490616,138.31635388739946,10.04289544235925,2.005361930294906,134.4289544235925,121.27882037533512,114.36461126005362,164.37801608579088,139.44504021447722,97.22252010723861
46013VTD-22,46,013,VTD-22,134.63806970509384,117.68364611260053,15.95710455764075,1.9946380697050938,159.5710455764075,103.72117962466488,135.6353887399464,140.62198391420912,165.55495978552278,82.77747989276139
460150VTD-2,46,015,0VTD-2,87,18,1,2,94,15,83,27,102,8
460150VTD-3,46,015,0VTD-3,764.4136734413728,362.7217822996318,75.94175056411024,11.990802720648986,893.3148026883495,323.7516734575226,799.3868480432657,413.68269386239,946.2741813712158,228.82448525238482
460150VTD-5,46,015,0VTD-5,257.30797787379265,77.58258318613876,19.25906936419869,3.8792120112814574,278.48406020108774,85.23939691360385,252.56926615190966,110.12765137076195,295.603926916386,60.12342965970124
46015VTD-D2,46,015,VTD-D2,389.09016393442624,98.33196721311475,26.081967213114755,5.0163934426229515,414.1844262295082,109.36065573770492,382.0737704918033,141.4672131147541,442.2581967213115,68.25409836065575
46015VTD-D3,46,015,VTD-D3,12.509587691525919,3.8093105376451106,0.9405705031222494,0.1881141006244499,13.591243770116506,4.138510213737898,12.321473590901467,5.361251867796822,14.43775722292653,2.9157685596789733
