GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRNOE,G18GOVDSUT,G18GOVLEVA,G18ATGRRAV,G18ATGDSEI,G18SOSRBAR,G18SOSDFRE,G18TRERHAE,G18TREDMAT,G18AUDRSAT,G18AUDDCOO,G18PUCRFIE,G18PUCDFRE,G18SPLRBRU,G18SPLDHOU,G18HALRJOH,G18HALDBJO,G18HALLHEN,G18HALIWIE
460030VTD-1,46,003,0VTD-1,165,102,6,177,91,199,67,184,71,195,65,192,69,181,74,180,77,2,11
460030VTD-2,46,003,0VTD-2,90.00064531799855,54.00009410887479,4.0000089627499795,105.00065428074852,40.00010307162477,110.00069685381092,33.00006049856236,100.00064979937353,35.00008066474982,99.0006632434985,38.00008066474982,106.00066100281101,30.000069461312346,101.0006632434985,33.00006946131234,94.00064531799855,46.00009410887479,4.481374989872514e-6,7.000031369624929
460030VTD-3,46,003,0VTD-3,167.99916366798368,214.99892969414577,8.999955196499124,187.9990641046484,181.99909397364897,218.99890978147872,140.9992980784863,188.99905912648163,152.99923834048514,207.99896454131311,137.9993130129866,216.99891973781223,128.99935781648745,188.99905912648163,143.999283143986,198.999009344814,164.99917860248397,1.9999900436664724,18.999905414831485
460030VTD-5,46,003,0VTD-5,78.00083633201633,93.00107030585423,2.0000448035008747,83.0009358953516,81.00090602635102,103.00109021852128,64.00070192151371,86.00094087351837,72.00076165951486,103.00103545868689,59.00068698701341,111.00108026218776,53.00064218351254,90.00094087351836,69.000716856014,90.000990655186,57.000821397516034,2.000009956333528,18.00009458516851
460030VTD-7,46,003,0VTD-7,143,143,8,149,127,199,86,157,106,170,100,181,89,173,92,165,98,5,23
460050VTD-1,46,005,0VTD-1,176.5546875,166.4296875,5.6953125,181.6171875,157.88671875,223.69921875,112.0078125,251.859375,92.390625,233.19140625,103.46484375,221.484375,109.4765625,201.234375,117.0703125,213.890625,121.5,3.48046875,8.2265625
46005VTD-01,46,005,VTD-01,502.9353778751369,295.82694414019716,14.627601314348302,500.9353778751369,263.1697699890471,590.0832420591456,183.6199342825849,627.407447973713,160.55093099671413,589.1128148959474,180.37458926615554,565.4359255202629,188.63964950711937,531.7886089813801,203.64950711938664,575.2792990142387,197.43373493975903,6.617743702081051,22.245345016429354
46005VTD-02,46,005,VTD-02,400.6120799023363,376.5458855961956,13.498765240010213,286.7744219168901,428.31181280320436,193.58870224530833,430.2258653293757,577.7963543661433,193.67587849482956,547.0231203322481,208.7076102307545,511.1373156836461,228.0171250638325,467.3134614770841,248.68266668262478,492.31828881016213,254.3260564279331,9.753812994701903,23.054467078386313
46005VTD-04,46,005,VTD-04,132.16867041282137,124.58910508448753,4.263505497187786,135.9584530769883,118.19384683870585,167.46102147287584,83.84894144469312,188.54168754230435,69.16353362104631,174.5668639681888,77.45368319891145,165.80299155730282,81.95405011260966,150.6438609006351,87.63872410886005,160.11831756105244,90.95478394000611,2.6054755816147583,6.158396829271247
46005VTD-05,46,005,VTD-05,686.1906682527871,635.6785719309382,15.27978512472994,623.8758234271974,623.5421097070616,655.1988258702655,532.7135934107438,969.9389348855071,331.8194582186077,878.7374837696208,360.6095879389429,849.3776377087048,398.6034720923914,772.5872012932014,433.029845344032,814.0905527886189,455.39312722666546,13.171094058900238,35.579858506332336
