GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRROM,G18USSDWIL,G18USSIMCC,G18USSLBOW,G18USSCAAL,G18USSOWRI
49001BEA4UN,49,001,BEA4UN,14.201372186135524,1.1834476821779605,0.16906395459685147,0.6762558183874059,3.8884709557275836,0
49001BEV1I-,49,001,BEV1I-,397.64115786008296,45.56259737895862,7.769961486474493,8.800227927732491,18.807786063069035,1.0302664412579974
49001BEV2I-,49,001,BEV2I-,322.279829196643,47.46532328621957,2.9830727743320478,10.058567519759816,17.594028686466206,0.11499160531965623
49001BEV3I-,49,001,BEV3I-,4.425345966423347,0.5440999139045098,0,0.03627332759363399,0.21763996556180396,0.03627332759363399
49001BEV3UE,49,001,BEV3UE,55.91009668141679,6.874192214928294,0,0.45827948099521953,2.749676885971317,0.45827948099521953
49001BEV3UN,49,001,BEV3UN,68.65342107102485,8.415428180003108,0.0076824583866837385,0.5881732316331564,3.521356931412255,0.5574433980864215
49001BEV3US,49,001,BEV3US,26.058971964901996,3.224445162005262,0.007789179702012631,0.23296467055611333,1.286143114274499,0.20700073821607123
49001BEV3UW,49,001,BEV3UW,77.01226783783171,9.433733343711006,0.14691443590809652,0.7522187516868938,3.7795621452792925,0.5839822085249383
49001BEV4UE,49,001,BEV4UE,7.421254801536492,0.618437900128041,0.088348271446863,0.353393085787452,2.0320102432778486,0
49001BEV4US,49,001,BEV4US,66.39628243400335,5.678294937963622,0.8271674391529518,3.0436461858678188,17.123325008960155,0.011762800006061887
49001GRN1UN,49,001,GRN1UN,19.506256831629784,3.1349990289631267,2.0898981134674988,0.34834602579575474,0.3483983908860577,0.3483250797596336
49001GRN1US,49,001,GRN1US,36.49438202247191,5.865168539325843,3.910112359550562,0.651685393258427,0.651685393258427,0.651685393258427
49001MIL1I-,49,001,MIL1I-,36.12706616455651,21.866382152231573,0,5.704273604929975,0,0
49001MIL2I-,49,001,MIL2I-,36.24775637656442,20.314676650602035,0.5974904897235893,1.3941444760217083,3.584942938341536,0.5974904897235893
49001MIL2UN,49,001,MIL2UN,19.813374805598755,11.104199066874028,0.3265940902021773,0.7620528771384136,1.959564541213064,0.3265940902021773
49001MIL2UW,49,001,MIL2UW,88.01038352788464,49.3245006584848,1.450720607602494,3.3850147510724864,8.704323645614965,1.450720607602494
49001MIL2WW,49,001,MIL2WW,29.295489891135304,16.418351477449455,0.4828926905132193,1.1267496111975117,2.8973561430793158,0.4828926905132193
49001MIL3UE,49,001,MIL3UE,48.03592710933571,12.843653445375814,0.7758081667804281,2.439786963877536,6.206465334243425,0.7758081667804281
49001MIL3UN,49,001,MIL3UN,16.622919832066252,6.933990030720664,0.27328448971670644,0.7249853878444393,1.9016716738166113,0.27328448971670644
49001MIL3US,49,001,MIL3US,6.8464434387567135,2.19407894997266,0.09319899244332494,0.46296090886374724,0.7455919395465995,0.09319899244332494
49001MNV1I-,49,001,MNV1I-,146.53664601167395,11.457597836303725,4.824251720548936,1.8090943952058514,24.121258602744685,0.603031465068617
49001MNV1UE,49,001,MNV1UE,39.70140845070422,3.1042253521126764,1.3070422535211268,0.49014084507042255,6.535211267605634,0.16338028169014085
49001MNV1UW,49,001,MNV1UW,56.76194553762182,4.438176811583599,1.8687060259299364,0.7007647597237261,9.343530129649682,0.23358825324124205
49003BC0001,49,003,BC0001,432,113,16,20,20,2
49003BC0002,49,003,BC0002,160.56338028169012,25.774647887323944,1.6901408450704225,3.380281690140845,5.915492957746479,0.4225352112676056
49003BC0003,49,003,BC0003,306,104,7,23,26,5
49003BC0004,49,003,BC0004,515.5112305251652,120.23989887376105,10.312674657075059,25.622533812004637,26.090607296902068,3.5774647887323945
49003BC0005,49,003,BC0005,215,92,8,14,14,3
49003BC0006,49,003,BC0006,468.56952940296657,70.3786598535154,11.24232330461787,17.108037785733636,26.284221333844037,5.205842734496564
49003BC0007,49,003,BC0007,346.7573591679934,83.64982349818953,11,17.070251188993463,12.140502377986925,2.0175627972483654
49003BC0008,49,003,BC0008,175,58,6,9,7,1
49003BC0009,49,003,BC0009,228,38,5,5.999999999999999,4,0
49003BC0010,49,003,BC0010,359.8568904888089,66.78784394113627,4.984167458293752,7.974667933270003,6.977834441611253,0
49003BC0011,49,003,BC0011,278,59,1.9999999999999998,5.999999999999999,7,0
49003BC0012,49,003,BC0012,444,105,7,30,26,2
49003BC0013,49,003,BC0013,255,76,2,17,17,3
49003BC0014,49,003,BC0014,352.7214204273028,94.92502816032228,7.993686581921875,11.990529872882814,29.976324682207036,1.9984216454804689
49003BC0015,49,003,BC0015,379,91,9,19,24,0
49003BC00UN,49,003,BC00UN,122.0606647007549,28.596111427764054,0.046884473334557655,3.120418328249079,6.189754858424505,0.7765944682550714
49003BDC000,49,003,BDC000,180.11576016312597,12.68909715596979,0.42325385848329056,6.322850012139936,6.197151880716704,1.140487110642986
49003BEAR0E,49,003,BEAR0E,147.30481169556106,28.5944542410472,5.504881634626988,5.529818458792282,11.975487511390316,0.011690991416273484
49003BEAR0I,49,003,BEAR0I,96.29326982417521,12.628625550711503,2.841440748910088,4.735734581516814,5.051450220284601,0.3157156387677876
49003BEARUN,49,003,BEARUN,181.3902900638527,23.721541920193086,5.048036109300167,8.528010685620998,9.48791811855932,0.6287051706247759
49003BEARUS,49,003,BEARUS,9.20754716981132,1.2075471698113207,0.27169811320754716,0.4528301886792453,0.4830188679245283,0.03018867924528302
49003CC0000,49,003,CC0000,6,0,0,1,0,0
49003COR002,49,003,COR002,85,14,2,5,4,0
49003COR01I,49,003,COR01I,128.08185053380782,33.190645653279105,3.404168784951703,6.382816471784444,6.808337569903406,1.2765632943568888
49003COR1UN,49,003,COR1UN,33.66548042704626,8.723945094051855,0.8947635993899339,1.677681748856126,1.7895271987798678,0.3355363497712252
49003COR1US,49,003,COR1US,139.2526690391459,36.08540925266904,3.7010676156583626,6.93950177935943,7.402135231316725,1.387900355871886
49003DEWY0I,49,003,DEWY0I,79.54851661629098,7.281555384109789,0.8033063267054904,3.1920350343745354,4.8057111119346585,0.007063424149142133
49003DEWY0U,49,003,DEWY0U,87.37947927182928,7.943589024711754,0.8826210027457504,3.5304840109830016,5.295726016474502,0
49003ELWD0I,49,003,ELWD0I,415.488873159063,47.773856169821265,4.6263192072851345,12.431640500620214,23.367835730552542,1.7298694941217048
49003ELWD0U,49,003,ELWD0U,33.12275915996311,4.051333695232711,0.3845009947011432,1.004826815524516,1.839236247355633,0.14227088195198426
49003FLD01I,49,003,FLD01I,139.39201998178436,14.215538577824674,0.02694232222808423,2.0269423222280842,9.098788514836308,2
49003FLD2UE,49,003,FLD2UE,96.21330152597618,14.897543462086634,1.8621929327608293,1.8621929327608293,6.828040753456374,0
49003FLD2UW,49,003,FLD2UW,57.39467849223947,8.886917960088692,1.1108647450110865,1.1108647450110865,4.073170731707317,0
49003GAR01I,49,003,GAR01I,160.4497645581104,17.17490437523435,2.7118270066159504,6.327596348770551,13.559135033079752,0.9039423355386501
49003GAR02I,49,003,GAR02I,221.0044742120214,28.600579015673354,4.550092116129852,5.850118435024095,11.70023687004819,2.6000526377884867
49003GAR02U,49,003,GAR02U,120.45390374754821,15.703234963073513,2.4626709054409015,3.2298108436072517,6.299552094952751,1.391995794322253
49003GAR0UE,49,003,GAR0UE,180.10599078341014,9.47926267281106,2.5852534562211984,1.7235023041474655,0.8617511520737328,0.8617511520737328
49003GAR1UE,49,003,GAR1UE,119.30598244376795,12.770781219332907,2.0164391398946697,4.705024659754229,10.082195699473347,0.6721463799648899
49003GAR1UN,49,003,GAR1UN,75.14166666666667,8.043333333333333,1.27,2.9633333333333334,6.3500000000000005,0.42333333333333334
49003GC0000,49,003,GC0000,21.671617543464848,1.7292887544592543,0,0.008539709649871904,0,0
49003HONEYI,49,003,HONEYI,487.28320199891647,65.11482859853585,5.6634534239786545,11.6466645373422,23.58321927409657,2.7735150528198447
49003HONEYU,49,003,HONEYU,35.760267505888436,4.753826118893542,0.35476443731919954,0.78048233066564,1.7028715733857618,0.21285894667322022
49003HOWL0I,49,003,HOWL0I,14.838212526389867,1.219774806474314,0.20295566502463055,0.6109078114004223,1.2258972554539058,0
49003HOWLUE,49,003,HOWLUE,3.020689655172414,0.2482758620689655,0.041379310344827586,0.12413793103448276,0.2482758620689655,0
49003HOWLUN,49,003,HOWLUN,31.573399014778325,2.5950738916256157,0.4325123152709359,1.2975369458128079,2.5950738916256157,0
49003HOWLUW,49,003,HOWLUW,22.079802955665023,1.8147783251231526,0.3024630541871921,0.9073891625615763,1.8147783251231526,0
49003LAKE00,49,003,LAKE00,9.186507692627448,0.7389638080763069,0,0.1010798166527765,0.3032394499583295,0.202159633305553
49003MANT0I,49,003,MANT0I,145.42816884204487,22.439954836161224,3.8838383370279046,2.5892255580186028,3.8838383370279046,0.863075186006201
49003MANTUN,49,003,MANTUN,65.1234949370501,10.048729189099717,1.7392031288826435,1.159468752588429,1.7392031288826435,0.386489584196143
49003MANTUS,49,003,MANTUS,133.9058551678536,23.043824949609423,3.4587295751744143,2.676515103034771,3.785813739514263,0.8158520626656257
49003PARK00,49,003,PARK00,70.0000548507859,1,0,8.438582446184988e-6,5,0
49003PER002,49,003,PER002,325.0586372087988,34.387537428043586,7.138753742804359,7.059465889773296,15.277507485608718,2
49003PER003,49,003,PER003,385.1159416286949,58.98191877263178,5.897284347742342,2.530475891698119,11.797291284047194,3.02509840278979e-4
49003PER01I,49,003,PER01I,510.31553313228983,55.668621162471084,2.8054850039791583,10.538435238420803,13.895101344762168,0.92045903742265
49003PER01U,49,003,PER01U,38.7884676029137,4.036894476531269,0.16479032355226583,0.8810931072249664,1.053775203374887,0.08081680725660192
49003PER04I,49,003,PER04I,463.0644267688521,75.7184227364787,5.863124773933697,17.26236080806942,11.726249547867393,0.058395270309226754
49003PER04U,49,003,PER04U,23.048117154811717,3.7531380753138075,0.2887029288702929,0.8661087866108786,0.5774058577405858,0
49003PLYM0I,49,003,PLYM0I,14.58634582801513,2.279116535627364,0.3418674803441046,0.3418674803441046,0.4558233071254728,0.1139558267813682
49003PLYMUC,49,003,PLYMUC,11.44954128440367,1.7889908256880733,0.26834862385321107,0.26834862385321107,0.3577981651376147,0.08944954128440367
49003PLYMUE,49,003,PLYMUE,77.66871595770748,12.115168405553856,1.7509721589996783,1.7824889022695403,2.513253780551414,0.6201724331791163
49003PLYMUW,49,003,PLYMUW,28.18348623853211,4.4036697247706424,0.6605504587155964,0.6605504587155964,0.8807339449541285,0.22018348623853212
49003PORT0I,49,003,PORT0I,28.3768115942029,4.782608695652174,0.6376811594202899,1.2753623188405798,2.5507246376811596,0
49003PORTUE,49,003,PORTUE,NA,NA,NA,NA,NA,NA
49003PORTUW,49,003,PORTUW,26.280797101449274,4.429347826086956,0.5905797101449275,1.181159420289855,2.36231884057971,0
49003PROM00,49,003,PROM00,11.429613261539572,1.0340964789158613,0,0.9977284832724624,3.9909139330898498,0
49003RIVER0,49,003,RIVER0,197,23,3,8,16,1
49003SNOW0I,49,003,SNOW0I,5.168851124659784,0.4168428326338535,0,0.0833685665267707,0.25010569958031215,0.1667371330535414
49003SNOWUN,49,003,SNOWUN,15.423032901803843,1.2460176700564833,0.019704433497536946,0.2846715143068632,0.7949012424279788,0.45111642762850473
49003SNOWUS,49,003,SNOWUS,36.58932251829263,2.9507455375836584,0,0.5899934030062004,1.7699802090186014,1.1799868060124008
49003SWIL00,49,003,SWIL00,485.815597504148,85.7528160770969,6.495524205084049,20.386657874999603,25.96262170680683,2.191259054105966
49003TRE003,49,003,TRE003,250.6179772935351,36.23437205102407,6.528929571586117,16.33421337120436,18.09845269519888,0.8336755001107661
49003TRE004,49,003,TRE004,382.6932452925265,66.47794939079755,10.076037403081429,12.097762375390408,19.195524750780816,3.0434499446179593
49003TRE005,49,003,TRE005,315.07483266783765,47.379494652052095,5.516784068190087,11.04356145726168,12.343857830321157,2.198124778746059
49003TRE02A,49,003,TRE02A,355.5523023768107,65.30011488402572,5.64277432378543,15.316918346151631,17.736883419527743,0.8064168464946104
49003TRE02B,49,003,TRE02B,70.61878051028793,12.970796420256967,1.1209330239728243,3.0425324936405236,3.5229323610574483,0.1601332891389749
49003TRE0US,49,003,TRE0US,289.00370410350195,36.032535952217486,2.7001066765981316,9.231205952414864,14.590922795605973,1.196843725482685
49003TRE0UW,49,003,TRE0UW,454.49175360915075,64.38620295357246,10.415377864483618,19.88413389623337,23.672236129975886,3.7874101325394975
49003TRE1AI,49,003,TRE1AI,399.31897977407795,35.93229254750925,2.4509141813582325,6.5351931991254935,4.907029923184606,0.8169713937860775
49003TRE1AU,49,003,TRE1AU,3.4894529858097516,0.40684205215719077,0.03911942809203757,0.10171051303929769,0.19559714046018786,0.015647771236815027
49003TRE1BI,49,003,TRE1BI,48.88660771214987,4.817680515015467,0.37981210140326166,1.001068255217567,1.289004886407409,0.13836804899221802
49003TRE1BU,49,003,TRE1BU,66.40243263808799,6.234735716365643,0.4569429271500922,1.2112161304965632,1.242311239965918,0.15961265095371374
49003WLRD0I,49,003,WLRD0I,413.8276207674327,85.58716011702326,8.825266989547396,7.500165443534694,17.678960682456058,3.393660636136897
