GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREIFUE,G16PREOLAR,G16PREOSAN,G16PREOWRI,G16USSDLEA,G16USSRMIL,G16USSOERI,G16USSITRU,G16USSODIA,G16USSOWRI,G16HALOWEL,G16HALOCLA,G16HALOWRI,G16GOVDMIN,G16GOVRSCO,G16GOVOLEE,G16GOVOWRI,G16LTGDZUC,G16LTGRBRO,G16LTGOWAR,G16LTGOWRI,G16TREOPEA,G16TREPSCH,G16TREONGO,G16TREOWRI,G16SOSOCON,G16SOSOHER,G16SOSOWRI,G16AUDDHOF,G16AUDRFEL,G16AUDOBRO,G16AUDOWRI,G16ATGDDON,G16ATGRBUC,G16ATGOJAC,G16ATGOWRI
50001500101,50,001,500101,318.2037329271832,330.9426404711336,46.1558175681302,7.856703081160337,0.9820878851450421,0.9821676449273449,44.190365641323275,11.784496303264387,348.6463038525573,383.97474819070743,10.802488177901648,12.76666394819173,5.89244755108795,7.975978230271183e-5,619.6881236319922,86.41886854604324,7.856384042031126,192.50055137751522,567.6180043324231,10.80256793768395,7.975978230271183e-5,256.3307604869641,483.16371035558143,15.712847843844555,7.975978230271183e-5,594.1495315899767,69.72808032573339,30.443288763414856,7.975978230271183e-5,628.5239634863524,63.83316022139405,0,280.8825588166786,419.3308691733166,25.53324813660116,0,426.2252647953429,301.4847097439382,15.712927603626857,7.975978230271183e-5
50001500102,50,001,500102,290.54741146834823,276.6170561239754,23.880609161782047,7.960203053927349,2.985076145222756,0.9950253817409186,0,48.75624370530501,306.46781757620295,319.4031475388349,14.92538072611378,3.9801015269636744,4.975126908704593,7.960203053927349,536.3186807583551,68.65675134012338,3.9801015269636744,202.9851778751474,439.80121872948604,9.950253817409186,0,234.82599009085678,395.0250765511447,7.960203053927349,0.9950253817409186,499.5027416339411,49.75126908704593,37.8109645061549,0.9950253817409186,530.3485284679097,63.68162443141879,0.9950253817409186,259.70162463437975,325.37329982928037,18.90548225307745,0,361.19421357195347,248.75634543522963,5.970152290445512,0.9950253817409186
50001500103,50,001,500103,1075.5675264967929,558.3219805209077,60.04299443157521,41.02006406806843,9.004777159063913,1.001910863625565,168.05637047695416,14.014331477191737,1140.5914122921124,666.3917270432408,56.015286909004516,38.01433147719174,17.010509749940606,1,1608.864665790568,207.10509749940607,6,858.3802618614874,1022.6344067236876,49.02484122713234,1,984.4815376336423,870.5187994743409,45.0162423408173,0.0019108636255649619,1435.8188050635545,270.10605293121887,79.02866295438348,7.0019108636255645,1584.856066904253,204.0974540449038,5,1012.4968245426469,705.4108356794965,97.043949863388,0,1267.6726239961988,525.2980947255882,76.01815320444287,0
50001500104,50,001,500104,521.7958078477122,150.06222026600804,22.12961501909269,14.145818783747927,3.0486065538491,0.9999998244401254,21.72910252117349,12.081009694162711,542.2008633409208,190.33765336660915,14.210628224452892,2.1458208904664224,4.1134158189941905,0,676.3719564306336,34.03694525780358,2.0324043692327334,386.2080000754638,352.52494390082177,12.275438016277606,0.9999998244401254,445.22873858409423,281.4556004183811,6.162022548403165,0.9999998244401254,600.7886846312796,72.08554566705706,11.356449992718687,0.01620236017624129,652.5015795254806,43.81011045973746,0,447.19633351262206,232.62928847626677,17.48606782076937,0,535.6383282945984,163.7219682444687,14.291640025334098,0
50001500105,50,001,500105,902.0812956330424,506.6172483241046,61.76824823546702,21.364769011700364,3.088393423037682,2.0330346635082766,95.0170175099655,33.23988218998544,983.5199880939567,600.8435928652334,30.282249348968517,7.262939458168006,10.1889549333524,1.9990315723181684,1383.3168436820526,148.84740594167664,13.989073860582758,619.8304900299506,973.122243802904,42.4414181434558,1.0015893589812952,756.6270720460623,837.0539443617162,13.301574447065024,1.0369748320528775,1284.4974698378594,146.8839721507577,57.52189301983113,4.030683853944971,1384.1392857141218,109.7599991271636,3.996680762754863,823.8697148853712,665.1565665158672,43.79592432613537,1.9990315723181684,1088.9574342719256,480.1918304503932,26.34241538619723,0.9988245952183472
50001500106,50,001,500106,78,31,6,3,0,0,5,0,75,41,3,4,2,0,106,11,0,66,53,6,0,72,48,1,0,87,21,7,0,96,13.000000000000002,0,70,39,6,0,75,36,5,0
50001500107,50,001,500107,82,29,3,6,1,0,0,27,98,36,9,3,1,0,132,9,1,82,61,2,1,87,49,4,1,107,22,6,0,120,15,0,93,38,7,0,103,24,7,0
50001500108,50,001,500108,75,54,6,4,1,0,18,1,84,64,4,4,0,1,123,25,1,58,97,4,0,75,70,8,0,107,19,19,0,120,25,0,84,54,9,0,102,44,8,0
50001500109,50,001,500109,199.07750952986024,189.90343074968234,13.761118170266835,4.587039390088946,2.7522236340533675,0,33.944091486658195,7.339263024142313,236.69123252858958,193.5730622617535,9.174078780177892,6.421855146124523,5.504447268106735,0,373.38500635324016,43.11817026683609,0.9174078780177891,139.44599745870394,304.579415501906,8.256670902160101,1.8348157560355782,181.64675984752225,247.70012706480304,12.843710292249046,0,344.0279542566709,44.03557814485388,16.513341804320202,0,364.21092757306224,44.03557814485388,0,192.6556543837357,205.49936467598474,16.513341804320202,0,250.4523506988564,163.29860228716646,17.430749682337993,0
50001500110,50,001,500110,494,188,22,27,3,0,46,11,531,210,22,20,6,1,691,57,3,430,330,25,1,492,273,9,1,583,117,26,0,664,56,0,481,223,27,0,558,168,26,0
50001500111,50,001,500111,2682,595,77,71,11,2,158,71,2663,800,83,44,38,1,3168,249,17,2212,1351,85,3,2312,1174,52,4,2754,457,87,5,3022,277,5,2317,885,130,1,2690,659,117,1
50001500112,50,001,500112,671,360,57,16,2,0,0,96,753,405,21,9,11,1,1010,116,5,480,704,29,1,610,562,14,2,911,134,43,4,1011,89,5,615,461,49,1,794,337,38,0
50001500113,50,001,500113,583.330224663335,330.9465961239754,44.19170635382435,20.62275841002314,4.910176593938118,1.9640706375752472,57.940083808469794,14.730755440835408,607.8812831455975,402.6352997615947,15.71259853156806,14.730554855038916,10.802421937629942,0,888.744027864955,108.02405222146902,0,390.85095951355845,652.072830702333,25.53300186589342,0,494.9468788176185,533.2463732587171,16.694642208097203,1.9640706375752472,841.6062322702508,109.00610425573967,29.461134783302395,1.9640706375752472,879.9056765649003,100.16776967116803,0,510.6595442111187,422.27614821895304,45.173683168421334,0,691.354243453838,306.3958468781491,18.65871284567245,0
50001500114,50,001,500114,270,284,29,16,5,0,31,13,307,318,14,7,3,0,530,68,3,172,465,13,3,208,413,25,0,497,65,28,0,536,58,1,245,335,36,0,346,267,17,0
50001500115,50,001,500115,170.33327969668775,125.45614020033594,5.983495038947762,5.976081404998933,0.0013238632051480348,2.6477264102960703e-4,23.90379607471367,4.977905527597368,177.3178631120884,149.35331695902386,4.98346575305899,5.972904133306577,2.987378770896892,2.6477264102960703e-4,289.82445894294796,32.86249034307096,0.0010590905641184281,113.57361259492886,226.03943343906988,3.988731919990811,5.295452820592141e-4,152.40662411753712,183.22351499457346,1.9950278915979796,7.943179230888211e-4,284.8274897851965,29.880671797635692,6.979552735221088,2.6477264102960703e-4,304.74520166632965,19.92803801413331,2.6477264102960703e-4,165.35034348891082,157.32151375656946,5.981906403101584,2.6477264102960703e-4,215.1500510308848,117.4892672659955,5.979258676691288,0
50001500116,50,001,500116,228,58,5,13,1,0,29,1,251,62,6,3,4,1,308,14,0,201,124,4,1,227,86,4,1,240,51,9,0,277,23,0,216,74,5,1,251,49,7,1
50001500117,50,001,500117,291.20419215228776,185.93777973399196,7.870384980907311,8.854181216252073,2.9513934461509,1.7555987463164963e-7,44.27089747882651,4.918990305837289,315.79913665907924,202.66234663339085,12.789371775547108,8.854179109533577,6.8865841810058095,0,447.6280435693663,62.96305474219642,1.9675956307672666,194.7919999245362,335.47505609917823,16.724561983722396,1.7555987463164963e-7,256.7712614159057,270.5443995816189,9.837977451596835,1.7555987463164963e-7,412.2113153687204,65.91445433294292,21.643550007281313,0.9837976398237587,455.49842047451943,49.18988954026254,0,254.80366648737797,220.37071152373323,29.51393217923063,0,342.3616717054016,165.2780317555313,17.7083599746659,0
50001500118,50,001,500118,356,211,19,13,1,0,39,11,390,236,10,10,3,0,538,63,2,262,373,14,1,311,311,10,1,496,53,19,0,506,60,0,316,243,26,1,401,184,15,2
50001500119,50,001,500119,540.154859568404,257.7790463468429,36.34259662840189,24.273326724848037,3.0787644530936165,0,67.78120691195498,11.164587599896283,558.9525206179866,312.0709393072852,33.27176081752829,15.195606209967586,11.037729324375965,1.0077546525178258,779.3495011150296,107.64738904834691,3.007406673113438,450.43298092543745,462.8686025522628,23.241786145670154,1.0077546525178258,528.2203765825905,376.955740537207,19.17905296671877,1.0632551480579646,712.1399735334913,112.36819953155994,37.23142164761941,2.007580662815632,769.0420239654708,93.70532539971776,2.999478030893418,523.023030475601,326.43322099357533,30.383283777715153,0,629.4636317253543,248.51103841868198,28.30434533491934,0
50001500120,50,001,500120,712.2120327114839,326.2495974920539,51.01591474277893,22.992558603495738,4.995290441732441,1.000703655040802,89.97030925441302,11.072885507662123,786.2270088690876,391.28798554805684,31.991720188604152,10.997740480376573,9.005424554325097,1.000703655040802,1057.4270082133871,104.05000375259033,4.009867048853124,543.0665699790825,660.428728708813,33.015071982453286,1.9978810957366455,649.1030625327927,543.4083143847508,18.99401486666716,2.996233941214142,974.4243918638468,116.03062232886947,54.99560210412444,1.0030544646041075,1041.45209202729,105.99650005474759,1.0030544646041075,682.1542874308813,422.3466567569562,44.99153855696668,1.000703655040802,870.2143012993275,300.2891216475246,34.984284841795755,0.0011754047816527643
