GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSISAN,G18USSRZUP,G18USSIPEA,G18USSIBES,G18USSIGIL,G18USSIADE,G18USSISVI,G18USSIBUS,G18USSOKAN,G18USSOWRI,G18HALDWEL,G18HALRTYN,G18HALIERI,G18HALOPOT,G18HALOWRI,G18GOVDHAL,G18GOVRSCO,G18GOVIBAR,G18GOVILAR,G18GOVIERI,G18GOVOMAR,G18GOVOPEY,G18GOVOWRI,G18LTGPZUC,G18LTGRTUR,G18LTGONGO,G18LTGOWRI,G18ATGDDON,G18ATGRWIL,G18ATGOJAC,G18ATGOWRI,G18SOSDCON,G18SOSRPAI,G18SOSOHER,G18SOSOWRI,G18TREDPEA,G18TRERMOR,G18TREOWRI,G18AUDDHOF,G18AUDRKEN,G18AUDOBRO,G18AUDOWRI
50001500101,50,001,500101,324.0957019195773,261.2207016486375,3.9283515405801683,4.910120386596,3.9281122612332604,3.9283515405801683,20.622728951093645,0,1.9640162507254788,7.975978230271183e-5,346.68356375834867,248.45339962218733,22.58754279964215,5.89244755108795,7.975978230271183e-5,151.25158404490662,456.65308016099107,3.9281122612332604,4.910279906160605,6.8742163971037815,0.9822474047096476,4.910120386596,2.9460243760882183,240.62134231375856,379.0669408377982,4.910598945289816,0,363.37770188951527,240.59709533993853,7.857022120289548,0,318.2036531674009,276.93259237509443,15.713725201449884,0,300.52670931304857,312.2871181620575,0,262.22663770869104,313.2687274885088,18.659271018844287,0
50001500102,50,001,500102,305.472792194462,228.85583780041128,4.975126908704593,5.970152290445512,1.9900507634818372,5.970152290445512,15.920406107854697,2.985076145222756,0,0,329.35340135624404,199.0050763481837,29.85076145222756,3.9801015269636744,0,138.3085280619877,426.8658887668541,1.9900507634818372,1.9900507634818372,2.985076145222756,0.9950253817409186,6.96517767218643,0.9950253817409186,245.7712692900069,325.37329982928037,2.985076145222756,0,342.288731318876,204.97522863862923,14.92538072611378,0,311.4429444849075,231.84091394563404,13.93035534437286,1.9900507634818372,289.5523860866073,268.65685307004804,0,255.72152310741606,268.65685307004804,20.89553301655929,0
50001500103,50,001,500103,1172.5961894511763,445.27038720301744,13.005732590876695,18.008598886315042,7.006688022689477,14.002866295438347,27.008598886315042,4.002866295438348,7.00382172725113,9.554318127824809e-4,1182.6114763601806,438.2551002940129,66.043949863388,21.007643454502258,0,694.3172033618438,949.5703927922311,29.01242061356617,9.009554318127824,12.005732590876695,5,9.002866295438347,8.004777159063913,1002.4719833155145,674.4356769066288,27.006688022689477,1.0009554318127825,1201.6286741328108,416.2493677031362,55.02006406806843,0,1137.5742145194822,482.2828078165836,60.029618386196255,9.554318127824809e-4,1131.56657106498,539.3210250890949,0,1017.5102005880259,548.3105153391543,63.03917270432408,2
50001500104,50,001,500104,547.957826884918,137.3817232453244,4.032404018112984,1.032404544792608,0.01620236017624129,5.0324038425531095,6.1782249085794065,1.032404544792608,0.9999998244401254,1.9999996488802507,554.1522541536735,128.26830830412956,18.194425162037152,2.0972138099376982,0.9999998244401254,338.3168785170846,351.1198850719756,3.9999992977605014,3.162023075082789,0.06480944070496517,5.999998946640752,4.016201657936743,0.9999998244401254,491.96949256996027,203.61309120732687,6.081010747521958,0,548.2008622875616,125.13868994939926,16.1944255131569,0,527.7471997138242,146.6085547077529,16.129616072451935,0,519.5689751563646,154.9650052271512,0,483.21252955264276,162.8515873014385,14.226830584629132,0.9999998244401254
50001500105,50,001,500105,923.7042374926696,446.7050560167328,11.099694401160011,9.152424576163448,7.116937784564739,15.043362873903206,14.155022640025136,3.0505558218756685,2.0656553728169107,3.01485771313157,955.9476177891012,425.4509347174107,31.7875984377391,16.135802124058184,0,501.74998364086537,898.0187912757821,9.223508157979127,4.175615781339281,10.098549517042642,6.996857219190403,4.0538401984109544,2.086804064056387,767.5102177894415,654.613592764453,9.129793175697648,1.0158261408134013,988.2460005833278,406.3402204619543,22.382502478395423,0.9988245952183472,915.3089132026132,470.91847028373957,27.54066690804788,0.017001545595054096,911.1473708520681,497.6183626022968,0.0013823818814740062,828.1362610270205,499.44625760240035,44.701759537762115,0
50001500106,50,001,500106,75,19,0,0,2,0,9,1,0,0,79,26.000000000000004,5,0,0,57,51.00000000000001,3,0,0,0,0,0,70,36,4,0,82,22,4,0,77,28,4,0,72,35,0,67,35,4,0
50001500107,50,001,500107,109,20,0,1,1,0,1,1,0,0,107,17,5,1,0,61.99999999999999,58,5,0,0,1,2,0,98,26,3,0,99,18,8,0,99,21,7,0,107,20,0,93,22,9,0
50001500108,50,001,500108,97,36,1,0,1,3,1,0,2,0,87,41,11,1,0,43,86,5,2,2,0,0,1,80,53,4,0,92,39,7,0,82,46,8,0,86,50,0,78,51,6,0
50001500109,50,001,500109,199.994917407878,145.86785260482847,2.7522236340533675,7.339263024142313,0.9174078780177891,0,1.8348157560355782,0.9174078780177891,0,0,211.0038119440915,129.35451080050825,13.761118170266835,4.587039390088946,0,91.74078780177891,247.70012706480304,4.587039390088946,8.256670902160101,4.587039390088946,1.8348157560355782,0,0.9174078780177891,175.22490470139772,178.89453621346888,4.587039390088946,0,208.25158831003813,131.18932655654385,10.09148665819568,0,193.5730622617535,152.289707750953,7.339263024142313,0,188.98602287166455,162.38119440914866,0,169.720457433291,163.29860228716646,11.926302414231259,0
50001500110,50,001,500110,558,163,7,4,6,6,9,1,1,0,571,162,12,7,0,396,340,3,3,7,3,3,0,515,235,7,0,570,152,13,0,560,172,11,0,557,180,0,517,199,15,0
