GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREIWES,G20PREOOTH,G20PREOSAN,G20PREOWRI,G20HALDWEL,G20HALDRBE,G20HALCHEL,G20HALIBEC,G20HALIHOR,G20HALIORR,G20HALITRU,G20HALOWRI,G20GOVDZUC,G20GOVRSCO,G20GOVIHOY,G20GOVTPEY,G20GOVIWHI,G20GOVIBIL,G20GOVIDEV,G20GOVUDIC,G20GOVOWRI,G20LTGDGRA,G20LTGRMIL,G20LTGPERI,G20LTGIBIL,G20LTGBCOR,G20LTGOWRI,G20ATGDDON,G20ATGRPAI,G20ATGPERI,G20ATGOWRI,G20SOSDCON,G20SOSRPAI,G20SOSPERI,G20SOSISMI,G20SOSOWRI,G20TREDPEA,G20TRERBRA,G20TREPERI,G20TREIWRI,G20TREOWRI,G20AUDOHOF,G20AUDPERI,G20AUDOWRI
50001500101,50,001,500101,437.0348515938695,372.1873007754979,14.730520679352605,1.9640960105077816,5.892208271741042,18.658553180803562,0.9820878851450421,2.9462636554351262,453.72747428917233,329.96079186533547,6.874694955797597,20.62312775000516,6.874296156886084,1.9640960105077816,8.838152888046958,2.946104135870521,142.40880508948612,667.7958339639379,6.874056877539176,7.856224522466521,6.874056877539176,1.9640162507254788,0.9820081253627394,6.874056877539176,4.910120386596,315.25818710978876,504.7648582418342,4.910917984419027,5.892288031523345,1.9641757702900842,0.9821676449273449,491.0424271366573,311.3028767627903,24.551718569932238,2.3927934690813548e-4,416.4090120112661,350.5832815370822,15.713326402538371,42.22794458624385,0,365.3414788608938,396.7394181443416,19.64199698224775,32.407305014140334,0,654.0560949860012,100.170252452196,8.838152888046958
50001500102,50,001,500102,390.0499496424401,319.4031475388349,7.960203053927349,1.9900507634818372,0.9950253817409186,6.96517767218643,2.985076145222756,3.9801015269636744,414.92558418596303,248.75634543522963,2.985076145222756,33.83086297919123,2.985076145222756,1.9900507634818372,1.9900507634818372,0.9950253817409186,134.32842653502402,574.12964526451,4.975126908704593,4.975126908704593,2.985076145222756,0,3.9801015269636744,0,9.950253817409186,286.56730994138456,413.93055880422213,6.96517767218643,5.970152290445512,0,2.985076145222756,407.9604065137766,266.6668023065662,20.89553301655929,0,357.2141120449898,293.532487613571,11.940304580891024,38.80598988789583,0,309.4528937214257,316.41807139361214,30.845786833968475,31.840812215709395,0,547.2639599575052,79.60203053927349,3.9801015269636744
50001500103,50,001,500103,1482.6993760869568,691.3783509978618,22.01146518175339,8.000955431812782,3.00382172725113,21.0162423408173,6,12.009554318127824,1487.6974652233312,587.3430000207888,14.01242061356617,38.02293036350678,27.007643454502258,7.005732590876694,21.01242061356617,9.554318127824809e-4,625.22166018056555,1542.860844063317,10.010509749940606,25.007643454502258,11.000955431812782,9.002866295438347,2.001910863625565,5.000955431812782,7.004777159063912,1146.5216657697792,960.5417298378476,44.017197772630084,30.013376045378955,10.006688022689477,7.0019108636255645,1490.71084126871,556.3200696572821,110.03630640888574,6.000955431812782,1307.6286741328108,604.3535097707295,79.02197493169399,163.06783565870757,0.0019108636255649619,1231.6086100647424,677.3859944523641,102.03439554526017,124.04490529520078,1.001910863625565,1662.8856852904494,337.1156072493467,9.009554318127824
50001500104,50,001,500104,669.367411153066,149.18018346928844,12.129616774691435,3.9999992977605014,3.016201833496617,13.210628400012766,2.0324043692327334,8.016200955697244,654.0803178097785,158.19183774293896,8.032403315873486,15.259235129421741,5.097213283258075,4.032404018112984,2.999999473320376,0.03240472035248258,270.5599258577997,574.1334854415841,2.0324043692327334,6.0648083873457175,2.0324043692327334,1.032404544792608,0.03240472035248258,0.03240472035248258,2.064809089585216,546.9254223401252,266.58976843967594,20.129615370212438,5.1458203637867985,2.016202009056492,2.016202009056492,652.9020920233997,148.2242442188902,24.27543590955911,0.01620236017624129,625.0109669538231,161.59689622066537,16.243032593685626,29.648089315813287,0,590.5573068379241,179.96954734464117,20.210627171093645,22.583281104027446,0,679.0686575670923,79.52300816289646,2.0324043692327334
50001500105,50,001,500105,1214.504324124874,567.6967582570018,22.19952064151143,9.013647447640066,4.070529108333492,15.278932384143532,5.996024970745548,11.160163402787825,1227.4575418569027,530.0241838702748,11.225304494060245,23.42033474832959,14.141542968729471,5.103669430414464,13.220946031270431,0.021148691239476113,453.02377625347344,1341.2629707248302,11.178547330264353,8.145517997983923,4.016447072112865,4.0476853995400255,1.037287467725394,8.007598307341832,4.085835636374555,918.3163663104918,850.6140673160737,32.306232610651506,16.23183739523869,4.119838727564663,5.031203466717309,1258.6670586453288,477.64368010923215,52.6743630640757,0.018383927476528103,1155.223097066709,528.2077095181853,35.39587657637926,74.23890556269288,4.030683853944971,1044.8493540125241,598.797583616221,59.61878672007521,68.85221537139888,0.03400309119010819,1467.7159478141502,191.09819653558057,4.173608128112774
50001500106,50,001,500106,90,34,0,0,0,1,0,1,92,31,1,2,0,0,0,0,48,76,2,1,1,0,0,1,0,74,48,3,2,2,0,86,31,10,0,80,34,10,3,0,77,40,8,2,0,89,25,1
50001500107,50,001,500107,136,30,0,1,0,2,0,0,136,17,2,8,1,1,0,0,57,106,0,0,0,0,0,0,1,106,51,3,2,1,0,127,26,9,0,116,26,6,13,0,113.00000000000001,29,14,4,0,126,30.999999999999996,0
50001500108,50,001,500108,102,57,3,1,1,4,2,1,114,43,2,3,2,1,2,0,49,119,1,0,1,0,0,0,1,84,78,2,1,1,0,110,48,5,0,95,51,6,9,0,90,56,7,9,0,119,25,0
50001500109,50,001,500109,271.55273189326556,211.0038119440915,7.339263024142313,0,0.9174078780177891,4.587039390088946,0,1.8348157560355782,283.4790343074968,177.0597204574333,1.8348157560355782,17.430749682337993,2.7522236340533675,0,4.587039390088946,0.9174078780177891,95.41041931385007,368.7979669631512,7.339263024142313,6.421855146124523,2.7522236340533675,3.6696315120711565,0.9174078780177891,3.6696315120711565,6.421855146124523,209.1689961880559,272.47013977128336,1.8348157560355782,6.421855146124523,0,0,296.3227445997459,167.8856416772554,20.18297331639136,0,249.53494282083864,188.98602287166455,14.678526048284626,27.52223634053367,0,237.60864040660738,200.9123252858958,14.678526048284626,23.852604828462518,0,357.78907242693776,71.55781448538755,3.6696315120711565
50001500110,50,001,500110,723,211,8,2,3,8,3,1,714,187,3,9,12,2,8,0,350,573,1,11,3,4,1,1,1,594,308,15,7,8,1,702,167,38,0,645,202,30,47,0,634,213,31,37,0,740,117,3
