GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRECCAS,G16PRELJOH,G16PREGSTE,G16PREOTH,G16USSRJOH,G16USSDFEI,G16USSLAND,G16USSOTH
55001000001,55,001,000001,122.75148697673889,106.30006649857812,2.8986430821818208,5.800047915699047,2.898894150485039,8.694924973332586,112.11618278568316,107.27213911971384,17.39462024442633,0
55001000002,55,001,000002,124,107,1,4,1,4,113,109,17,0
55001000003,55,001,000003,56,48,1,3,1,4,51,48,8,0
55001000004,55,001,000004,70,60,1,2,1,2,63,61,9,0
55001000005,55,001,000005,255.0521536997798,141.50216925446404,2.075863657936974,15.032684757670102,3.062867742674786,2.2795746348596735,220.0378905708772,165.27204413701907,23.383964408778443,0
55001000006,55,001,000006,94.644401774645,52.45526747888717,1.0065305608374853,6.124188797256358,1.023534500054388,2.968579864861748,82.345013551136,62.45252285941616,9.245807681033497,0
55001000007,55,001,000007,31,17,0,1,0,0,27,20,2,0
55001000008,55,001,000008,100.9825219335605,56.990136140722264,0.9998269498372327,2.999480849511698,0.9998269498372327,0.9998269498372327,84.98529073616477,63.988924789582896,10.99809644820956,0
55001000009,55,001,000009,198.7508890874187,111.85979687332109,2.996244559106815,6.991237304582568,2.996244559106815,1.9974963727378765,165.79219893724377,124.84352329611728,23.96995647285452,0
55001000010,55,001,000010,84.73448820562837,41.87003357511223,1.7305016276729054e-4,0.9971898580081708,1.9935144652025054,1.7305016276729054e-4,84.73171940302409,38.881232803692,3.9885863818699163,0
55001000011,55,001,000011,122.99999999999999,78,1,6.999999999999999,3,3,114,88,9,0
55001000012,55,001,000012,54,34,0,3,1,0,50,39,3,0
55001000013,55,001,000013,181.3749309382349,91.28328115333304,4,4.0083317986274425,1,3,162.3332719450977,102.29994475058793,12.03332719450977,0
55001000014,55,001,000014,155,78,2,2,0,1,138,87,9,0
55001000015,55,001,000015,152.312763265173,115.52129034961568,0.9930107909398286,10.87304504955446,1.976006851722926,0.030044190470193816,127.6176849837148,121.51941401588158,19.750053787072527,0
55001000016,55,001,000016,154.63936285056374,110.74173726717791,0,7.981386469706516,1.995346617426629,4.988366543566572,144.6626297634306,121.71614366302437,9.976733087133145,1.995346617426629
55001000017,55,001,000017,159,114,0,7,1,3,149,125,9,2
55001000018,55,001,000018,117.38971201843289,18.819306213496063,0.010295089838341842,2.0393621069143273,0.022101219717774765,1.0154426347575127,102.34338411416034,32.84535115048987,3.085382798788917,0.005147544919170921
55001000019,55,001,000019,97.96475446088279,75.97266672476624,0.9996403516416611,1.9992807032833222,0.9996403516416611,1.9992807032833222,97.96475446088279,69.97482461491627,12.995324571341595,0
55001000020,55,001,000020,128.31302675100724,101.45342258428698,0,3.9787404473766004,1.502974320110467e-4,1.9893201245442964,118.36592513684573,101.45452476545506,11.935519954113749,0
55001000021,55,001,000021,51.36063714943625,28.25826273282209,0,2.018613530293484,0.0046533825733710045,0.011633456433427513,41.3373702365694,35.28385633697563,3.023266912866855,0.0046533825733710045
55001000022,55,001,000022,118,66,1,7,0,1,96,82,8,0
55001000023,55,001,000023,78,44,0,5,0,0,65,55,5,0
55001000024,55,001,000024,176.14106618703784,145.08976939175136,3.0009499406534537,9.008074495554354,4.0028498219603605,2.000949940653453,156.1315667805033,170.10069370926607,13.009499406534534,0
55001000025,55,001,000025,293.0773395061548,199.023539270437,2.002582939825427,5.005831442748037,6.000237937689912,2.0013311261943656,274.0471684164734,210.03336409176814,18.01949101753566,0
55001000026,55,001,000026,102.84820589890809,69.8954257478558,0.9985375136043722,2.995959941515788,2.9953809403446683,2.9956125408131165,96.8562860158765,74.88869231704876,6.989994195699053,0
