GEOID20,STATEFP,COUNTYFP,DISTRICT,OTHER18,G18USSRVUK,G18USSDBAL,G18USSOWRI,G18GOVRWAL,G18GOVDEVE,G18GOVLAND,G18GOVGWHI,G18GOVITUR,G18GOVIENZ,G18GOVOWRI,G18SOSRSCH,G18SOSDLAF,G18SOSOWRI,G18TRERHAR,G18TREDGOD,G18TRECZUE,G18TREOWRI,G18ATGRSCH,G18ATGDKAU,G18ATGCLAR,G18ATGOWRI
55001000001,55,001,000001,2.510683032187372e-4,99.55606561170387,115.00729381876842,0.966046981858461,115.9856431474846,95.67781785928977,2.8996473553946958,1.9330982369297969,1.9325961003233596,0.966046981858461,0.966046981858461,106.3211562360485,104.37424924244168,0,102.45571296709855,98.57570773656192,8.697937792971212,0,110.18735270990811,98.57570773656192,5.798290437576516,0
55001000002,55,001,000002,2,101,117,0,118,97,1,1,2,0,0,109,107,0,104,99,9,0,111,99,4,0
55001000003,55,001,000003,0,45,52,1,52,44,1,1,1,1,1,48,47,0,46,44,4,0,50,44,3,0
55001000004,55,001,000004,0,56,65,0,66,54,1,0,0,0,0,60,59,0,57.99999999999999,56,4,0,62,56,2,0
55001000005,55,001,000005,0.987004084737812,213.48319220167605,192.3601566285985,0.03395182948711663,240.82904613927906,157.97950609968922,6.023879996888222,4.015919997925481,2.0419118284498574,0.03395182948711663,0.03395182948711663,224.62572495956223,166.25284277201644,0,219.55489721792472,157.11827001309297,14.14753616139364,0,232.70538997477365,157.09435750341277,8.123656164505418,0
55001000006,55,001,000006,0,79.24039741792134,71.4942713833026,0.989524244311738,89.42471514830703,59.31390003642212,2.9685727329352143,1.9960524278403788,1.0235333113999656,1.1886544223248363e-6,1.1886544223248363e-6,83.26651371799917,62.333491718934575,0,81.23645103441615,59.31390360238539,5.134669307562309,0,86.33711127489023,58.25636478986046,4.026115111423407,0
55001000007,55,001,000007,1,26,23,0,29,19,0,0,0,0,0,27,20,0,26,19,1,0,28,19,1,0
55001000008,55,001,000008,0,77.98650208730415,66.9884056390946,0,87.98477158567648,53.990655291210565,0.9998269498372327,1.9996538996744655,0.9998269498372327,0,0,82.98563683649031,60.9894439400712,0,74.98702123779245,60.9894439400712,5.998961699023396,0,84.98529073616477,51.9910013915361,5.998961699023396,0
55001000009,55,001,000009,0,153.8072207008165,130.83601241433092,0.9987481863689383,173.78218442819525,107.86480412784533,3.994992745475753,3.994992745475753,3.994992745475753,0,0,161.797206191768,120.84853055064153,0,148.8134797689718,119.84978236427258,11.98497823642726,0,165.79219893724377,102.87106319600065,12.983726422796197,0
55001000010,55,001,000010,0,53.83371611876878,48.84845902937899,0,62.80548298807527,39.87617300958419,0.9968437576826363,3.4610032553458107e-4,0.9968437576826363,0,0,56.82459349214222,45.85740860584278,0,57.81987979835995,37.884042945683824,4.984391838575949,0,58.818281007507494,42.86583903181827,0.9977090084964727,0
55001000011,55,001,000011,0,96,102,1,70,86,1,2,2,1,0,102.99999999999999,91,0,102.99999999999999,83,6.999999999999999,0,105,84,5,0
55001000012,55,001,000012,0,42,45,0,31,38,0,0,0,0,0,45,40,0,45,36,2,0,46,37,1,0
55001000013,55,001,000013,0,136.30827654921538,112.32494014647024,1,147.34160374372513,100.29161295196047,3,0,2,1,0,143.32494014647025,101.29994475058793,0,139.30827654921535,98.29161295196047,10.008331798627442,0,145.3332719450977,91.28328115333304,9.008331798627442,0
55001000014,55,001,000014,0,115.99999999999999,96,0,125,84,2,0,0,0,0,122,86,0,118,83,8,0,124,78,6,0
55001000015,55,001,000015,0,119.72367230697982,129.47351507355694,0.010014730156731273,136.53475264185977,111.65940921758042,0.030044190470193816,1.00302552109656,1.976006851722926,0,0,123.69571547073913,114.6384415903999,0,120.72669782807638,111.65940921758042,10.863030319397728,0,129.6237360259079,107.7174102442913,3.9720431637593143,0
55001000016,55,001,000016,0,135.68356998501076,121.71614366302437,0,134.68589667629746,115.73010381074448,3.990693234853258,0.9976733087133145,1.995346617426629,0.9976733087133145,0,137.6789166024374,117.72545042817111,0,137.6789166024374,111.73941057589123,10.97440639584646,0,142.66728314600397,107.74871734103796,4.988366543566572,0
55001000017,55,001,000017,0,140,126,0,139,119,3,0,2,0,0,142,121,0,142,115,10,0,147,111,5,0
55001000018,55,001,000018,0,103.13722514889287,29.00733269827045,0.005147544919170921,114.25469704483994,19.85897553280834,0.013624382318472843,0.010295089838341842,1.0136243823184727,0.005147544919170921,0,105.19868847552496,26.90468901228498,0,102.18657513324759,24.852316947848077,4.04238418699651,0,106.2104946054044,20.889553589925416,5.034214561995157,0
55001000019,55,001,000019,0,68.97518426327461,85.96907024118286,0,78.97158777969123,73.97338602148292,0.9996403516416611,0,0.9996403516416611,0.9996403516416611,0,80.97086848297455,69.97482461491627,0,72.97374566984126,72.97374566984126,5.997842109849967,0,81.97050883461621,63.97698250506631,6.997482461491628,0
55001000020,55,001,000020,0,123.33769742431437,109.41170506534424,0,144.22483229444143,87.529534389365,2.0039657601472895e-4,0.9946350127001464,1.0019828800736448e-4,0,0,123.33824851489841,100.45943886045887,0,126.3215523632708,96.4808988096583,3.9787404473766004,0,133.28424794789186,94.49177908169001,1.9893702236883002,0
55001000021,55,001,000021,0,37.31643001498923,38.28385633697563,0,43.31410332370254,31.26989618925552,0.009306765146742009,0.0023266912866855022,0.0046533825733710045,0.0023266912866855022,0,41.321083397562596,32.27454957182889,0,39.321083397562596,31.260589424108776,2.0255936041535403,0,43.332716853996025,29.251282658962033,1.0116334564334275,0
55001000022,55,001,000022,0,35,36,1,41,30,1,1,1,1,0,39,31,0,38,30,2,0,42,28,2,0
55001000023,55,001,000023,1,107,110,0,125,91,3,1,0,0,0,118,95,0,115,91,6,0,126,85,6,0
55001000024,55,001,000024,0,152.10971814547386,173.11779264102822,0,158.0802699852168,158.0992687982859,2,1.0009499406534534,9.002374851633634,0,0,168.11826761135495,153.10401850155316,0,163.11826761135495,135.09546903567207,19.0071245549009,0,164.1211174333153,145.09689394665224,13.004749703267267,0
55001000025,55,001,000025,2.998241248398363,254.04387166357824,235.02621871020753,0.0012518136310617116,269.0601141781913,206.0144282621756,3.00324850292261,1.0044210039903678,4.002662252388731,0,0,259.05095491995735,221.0219080813712,0,258.0352675932874,214.0247600214773,9.00974550876783,0,266.05185842074445,200.01168669722355,9.010997322398891,0
55001000026,55,001,000026,0,89.8669866215828,82.87710822611797,1.1580023422397218e-4,94.86025319077578,72.8915014896058,1.9971908274429682,0.9986533138385961,1.9969592269745202,0,0,90.86587153588984,77.88395745715921,0,90.8656399354214,75.88676662971625,3.9942658546517125,0,93.86148407670296,69.89612054926114,3.9941500544174886,0
55001000027,55,001,000027,0.0034379006647186168,240.12644386952044,251.07826598473648,0.01233469221928026,262.4318412443556,222.74658031593373,4.020002728200652,3.022457785041354,4.006251125541777,0,0,247.29915452838097,230.852857009219,0,240.2428941280319,222.73998241227295,12.107624723274538,0,256.3837656712768,220.7035959932739,8.078447305850663,0.009174689223224492
55001000028,55,001,000028,0.007846389271670218,38.35515797637872,40.165873815147094,0,42.533683292204046,35.93242377442007,0.047078335630021305,0.03138555708668087,0.015692778543340436,0,0,40.42480466111221,36.98686308996599,0,38.402236312008746,35.9245773851484,1.1015176511759408,0,41.47924397665813,34.93290918377585,1.0544393155459195,0
55001000029,55,001,000029,0,23.95228124951595,24.95029296824578,0,24.95029296824578,20.958246093326455,0,0,0.9980117187298312,0,0,23.95228124951595,22.954269530786117,0,23.95228124951595,21.956257812056286,0.9980117187298312,0,24.95029296824578,21.956257812056286,0.9980117187298312,0
55001000030,55,001,000030,0,46.16686153341205,36.16192754909485,0,61.1783494501447,23.141828902496265,0.00351622161804264,0.0015782866298518848,0.00351622161804264,3.596483583388708e-4,0,49.17275560034197,28.148281742212166,0,46.16987841347526,26.14620411402748,3.0084710366694405,0,54.177850108589865,23.13349755902332,2.0088306850277795,0
