block2vtd,block_GEOID
435,021850002002158
426,021850001001032
435,021850002002030
180,021500001001090
190,021000001003022
190,021000001001066
220,022820001001224
180,021500001001114
436,021850002001080
440,021850002002180
435,021850003001018
426,021850001001074
435,021850002002031
219,021500002001010
216,021500001002225
216,021500001003015
436,021850002001033
223,021100005003050
187,021100005003004
180,021500001001253
183,021500001002184
216,021500001002259
206,021980001003085
196,021980001001078
196,021980001001756
205,021980001002000
196,021980001001029
194,021980002002005
199,021980001001427
205,021980001001385
199,021980001001441
196,021980001001117
189,021100006001021
189,021100006001003
180,021500001002167
195,021050004001015
199,021980001001329
213,021220006005057
174,021220007012000
166,021220004003056
169,021220007021033
184,021220013001286
196,021980001001511
196,021980001001113
226,021050004003006
193,021050004002233
208,021220003001155
210,021220002001002
170,021220005004011
168,021220007021008
185,020630003005332
192,021100001001069
192,021100001001055
228,021100001001027
303,020630003003013
185,020630003005417
185,020630003005475
185,020630002001023
185,020630003005359
185,020630003005229
303,020630003005158
185,020630002001276
185,020630003005305
231,021100002001011
187,021100005002028
221,021100006002013
193,021100006001046
192,021100003001006
324,020160001001118
376,020160001001171
324,020160001001283
376,020160001001412
366,021640001001109
324,020160001001113
359,021640001001417
372,021640001001526
372,021640001001272
359,021640001001599
361,021640001001247
370,021640001001014
361,021640001001327
430,021880001001002
206,021980001003071
199,021980001001735
206,021980001003126
206,021980001003012
432,021880002004034
429,021880001002031
372,021640001001542
190,021000001001098
303,020630003002019
435,021850002002128
428,021880001005085
361,021640001001563
282,020680001002000
203,022200002002014
82,020200025012006
72,020200023011043
118,020200029002078
12,020200023052004
4,020209801001022
76,020200023012017
39,020200016022011
35,020200017024003
327,020700001001140
293,020900019021014
270,020900014022039
255,020900015012009
390,020500001001032
336,020500001005073
404,021580001001236
4,020209801001042
400,021800001001241
69,020200023011004
239,021300001021024
292,020909801001096
242,020900006002048
250,020900012001075
263,020900012002006
254,020900019021072
306,020900016003037
253,020909800001052
86,020200025023019
79,020200027113003
278,020660001001171
293,020900019021036
293,020900017001087
253,020909800001070
355,020680001002048
240,022300001001061
240,022300001001058
333,020500001002063
349,021580001003016
347,021580001001224
276,022900001002126
284,022900002001278
354,022900004001207
289,022900001001064
345,022900003003030
345,022900003003025
355,022900004001133
287,022900002001211
333,020500001003017
408,021580001001010
314,022400001001203
358,020700001001155
311,022400001001033
400,021800001001176
200,021950002004102
236,021300001011016
292,020900015012030
314,022400001001243
296,022400004002028
96,020200026033007
123,020200002061002
110,020200017322006
52,020200019001016
125,020200002054013
419,021800001001313
418,021800001001120
419,021800001001407
123,020200002061009
99,020200026013019
39,020200016022020
42,020200018022008
62,020200011001003
123,020200002061019
421,021800001001257
331,020700001001245
280,022400001001131
317,022400001001174
94,020200027112010
124,020200002054009
68,020200009011007
153,021700011001005
132,021700001011143
20,021700007061002
136,021700010032024
132,021700001011048
68,020200010002027
48,020200021002011
311,022400001001088
327,020700002001001
326,020700001001265
329,020700001001234
129,021700004021012
297,021700003001007
300,021700002002116
251,020900013003046
290,020909801001071
258,020900019013008
291,020900019023075
36,020200008013003
83,020200018014002
61,020200010001009
271,020900006003013
242,020900006002045
246,020900007001014
245,020900002001014
251,020900001001031
421,021800001001041
65,020200010002035
65,020200010003004
69,020200023022011
298,021700003003027
155,021700006012020
131,021700001022135
297,021700003001027
129,021700004021041
297,021700003001026
141,021700008003028
21,021700010012021
153,021700011002018
1,021700012022010
2,021700013001040
150,021700007062011
143,021700006031011
38,020200017023002
84,020200025022002
120,020200002012018
29,020200002012007
49,020200020002010
151,021700007061024
421,021800001001443
31,020209801001148
57,020200008015002
11,020200013002003
421,021800001001035
98,020200026012000
141,021700009002004
393,020500001001027
353,022900002001001
377,020500001003140
352,022900003001016
352,022900003001092
321,022900004001275
353,022900002001064
257,020900015011029
257,020900015011019
295,020900019021023
313,022900002002178
353,022900002001083
360,020130001001180
360,020130001001022
362,020130001002072
373,020130001003037
373,020130001003082
360,020130001001058
239,021300001021097
239,021300001021105
237,021300001021343
202,022200002005005
202,022200001002001
255,020900016004028
290,020909801001045
295,020900019021009
249,020900007003001
258,020900019013034
248,020900003003016
248,020900003002004
239,021300001021395
424,021850002002167
426,021850001001081
423,021850002003094
351,021850002003295
202,022200001001413
202,022200001001033
202,022200001003002
203,022200002004024
202,022200001005008
253,020909800001019
435,021850002003247
435,021850002003231
423,021850002003164
423,021850003001060
423,021850003001009
440,021850002002088
200,021950002004193
203,022200002004030
202,022200001001118
160,021220013001131
184,021220012001243
166,021220004001088
185,022820001001091
167,021220007022024
178,021220008001035
212,021220006003028
178,021220007013017
170,021220005003024
175,021220009001043
333,020500001003079
383,020500001004066
401,021580001004089
