block2vtd,block_GEOID
588,011339657004016
588,011339657003025
587,011339657002038
587,011339657002045
583,011339659002065
586,011339655012007
591,011339656011006
1451,010570201001134
1447,010570201001101
1456,010570203003001
1454,010570203003044
1514,010690419021008
1517,010690408022055
1520,010690421002035
1519,010690402053020
1498,010690402042004
1523,010690409001009
1498,010690402043025
1505,010690410002020
1524,010690420004009
1512,010690416001058
1502,010690403021003
1521,010690401001049
1514,010690419022068
1455,010570202004017
1185,010770111023006
288,010770117002032
641,010770116021015
647,010770104002006
507,010630602004029
184,010139529002020
499,010630601021090
513,010630601022056
1505,010690411002014
1499,010690418002046
1506,010690416004012
1512,010690414002016
1501,010690416002004
882,010830202011022
1144,010830204041032
1142,010830206002082
881,010830202021051
875,010830201032024
1140,010830208031030
504,010630601022001
500,010630601023019
60,010857810003038
507,010630602004033
509,010630602001004
1393,010499608002027
1533,010719501011025
1527,010719511013035
1534,010719502004066
1543,010719503011123
1540,010719507003066
1544,010719508001003
1534,010719502003029
1200,011130309031030
1882,011030053043019
1862,011030057011006
1893,011030006001032
1882,011030053041062
1895,011030054053069
1896,011030002003001
1871,011030007002027
1890,011030055004015
1882,011030053044020
817,010950305024007
802,010950309043018
804,010950306011017
806,010950308044001
871,011130308002030
871,011130308002025
1517,010690408021005
865,011130302003011
866,011130307002009
1400,010499602001028
1378,010499611002000
1386,010499613004004
1378,010499613003046
1553,010719511022065
1530,010719510001008
1376,010499608004025
1399,010499614002099
1376,010499610003061
1379,010499604021029
1378,010499611002019
1378,010499613002017
1378,010499611002005
1375,010499608004099
1368,010499612001032
1399,010499614002056
1407,010499607021037
1389,010499607032016
1544,010719509021047
1869,011030053052035
1872,011030057011041
1884,011030053053048
1882,011030053041050
293,010059501001000
293,010059501001003
299,010059503002025
295,010059502002015
298,010059503002010
1147,010830211011188
1379,010499604021014
521,010419634001022
528,010419636003006
133,010419636001064
1964,010179540024027
1960,010179539003043
1971,010179540012045
1971,010179540024033
1970,010179543003022
1969,010179538001051
1967,010179538002066
1967,010179538002037
1960,010179548001023
1960,010179548003012
1967,010179538002072
1961,010179540011066
1273,010330205002045
1287,010330201002002
1281,010330207064013
287,010770115022004
288,010770117004031
640,010770117003027
640,010770117003055
1892,011030056012027
1884,011030052022046
804,010950306011029
796,010950308031077
796,010950312001004
804,010950307021018
806,010950308042010
628,010399630004032
1871,011030007002044
1385,010499603021057
1865,011030054051016
1879,011030008002044
1893,011030006002054
629,010399629001001
180,010399620002017
802,010950308012043
818,010950304021022
793,010950302051016
804,010950307021036
809,010950303024005
804,010950307023025
796,010950311003014
804,010950302063047
796,010950308031057
807,010950302031069
802,010950308014042
1389,010499607011067
1368,010499612001040
1379,010499604022003
1407,010499607011047
1397,010499601011006
1378,010499613003010
1400,010499602002020
1404,010499606023029
1404,010499606021007
1404,010499606023049
473,010857812002042
473,010857812001026
473,010857812001047
473,010857812001053
511,010630601011005
339,010750300001055
1528,010719511013004
1530,010719510004000
1543,010719503021015
1544,010719506021020
1533,010719501011017
1534,010719502001021
1531,010719501023010
1537,010719509011060
507,010630602003015
880,010830203001112
883,010830204042013
876,010830201042057
1145,010830211021008
883,010830204042039
1537,010719506011070
1527,010719511013043
1255,010330207043009
1255,010330207043013
1021,010359606002034
1042,010359606001036
1026,010359604001004
1032,010359605001048
1511,010690416004021
330,010750302001080
1684,010730144141007
1680,010730100022034
1717,010730106051081
1561,010730128022002
1675,010730143033016
1684,010730144143044
1633,010730112102008
1647,010730129113018
1724,010730021001011
1563,010730111154072
1563,010730111154080
1687,010730121041037
1597,010730057024040
1605,010730124033015
1622,010730106051121
1543,010719503011003
1550,010719501022049
1527,010719511012028
1544,010719507002057
1544,010719508002006
1543,010719503023058
1550,010719501022003
1538,010719506011121
1539,010719506012076
1545,010719504001039
1201,011130309032050
860,011130309071009
1201,011130309032007
1201,011130306013030
884,010830204041024
62,010857811002001
1632,010730119012042
1191,010399624001022
1957,010179547003009
1968,010179538003042
1967,010179538002094
1962,010179543003004
1960,010179539002020
1957,010179543001006
180,010399618001034
624,010399628001090
329,010750302004061
337,010750300002128
341,010750301021062
341,010750301021066
342,010750301022014
1191,010399626002001
180,010399620002015
180,010399620003008
165,010310107001037
435,010310105002068
1526,010719511012055
1537,010719509011077
1542,010719503012023
1508,010690420002006
1512,010690414002054
1498,010690402042012
1957,010179543002033
1261,010330210001066
1285,010330202002010
1266,010330209012017
336,010750302004001
185,010139534001075
558,010139533001026
193,010139532004054
193,010139532004049
184,010139528001019
555,010139532003016
1285,010330202001006
867,011130312003070
348,010750302003056
874,010830212032293
628,010399630002004
638,010399616002022
628,010399630002065
628,010399630002078
1191,010399626001020
163,010310111001013
1024,010359603001043
1024,010359603002011
289,010770118011098
641,010770116032007
651,010770116052018
651,010770116062021
881,010830202023009
1145,010830211011062
194,010139530001024
190,010139527001067
189,010139532003023
1150,010830208061047
1150,010830208041001
1144,010830204022000
883,010830204042019
874,010830212032126
1139,010830212031009
1139,010830212031016
1151,010830212021061
1687,010730115004082
1723,010730142071013
1695,010730111161028
1703,010730120032024
1632,010730119013029
1593,010730047022008
1627,010730004005034
1635,010730117072007
1605,010730121032027
1574,010730040001004
1712,010730121034045
1717,010730106051087
1671,010730033001060
1603,010730031003055
1722,010730142073014
326,010750302001045
555,010139532002015
195,010139535001085
325,010750301011017
37,010010208051006
375,010010211002038
653,010770108003021
645,010770103001020
644,010770102002027
645,010770103001006
1152,010770112001023
1260,010330209021054
1280,010330204001028
641,010770116031020
651,010770116062042
1877,011030051013020
1882,011030053042008
1147,010830211011132
1151,010830212021017
878,010830203001132
1140,010830208031060
430,010310104001046
1026,010359604001013
1038,010359604003050
1029,010359603001015
627,010399630001057
1276,010330208023001
1270,010330208012011
338,010750300002042
344,010750300001072
335,010750300002046
328,010750300003072
1877,011030051012083
1869,011030054044025
1890,011030055003083
1895,011030054051060
1879,011030008001039
1897,011030051091002
1882,011030053043002
1443,010570201002025
338,010750300002115
1267,010330209011007
1265,010330208023012
164,010310103001108
166,010310102001033
435,010310105002043
164,010310103001104
1278,010330209012042
1282,010330207042025
1284,010330210001170
1038,010359604003004
350,010770106003015
1184,010770111011006
652,010770116052013
652,010770116051024
1184,010770115021023
640,010770117003025
641,010770116022024
648,010770108001067
652,010770116051022
556,010139528001025
555,010139532003009
184,010139529002024
1147,010830211011032
1149,010830209001024
881,010830202022013
132,010419639001090
133,010419638001035
133,010419636001058
1191,010399624004059
632,010399617003031
1191,010399625001022
325,010750301012039
342,010750301022050
1920,011150405032012
1926,011150402092006
1920,011150405042013
112,010210606002042
1903,011150403021034
1926,011150402092001
1920,011150405051034
1905,011150405062056
1922,011150401101002
1920,011150405042019
1905,011150401072002
56,010650405002075
1274,010330202001114
1287,010330201003002
1260,010330210004078
1378,010499610001006
1379,010499604011023
1383,010499604021092
1664,010730105003002
1687,010730122001125
1673,010730125003032
1633,010730112091011
1712,010730121041156
1683,010730100013003
1654,010730113041031
1607,010730053022004
1633,010730117062040
1724,010730001001015
1632,010730109006003
1693,010730112061051
1603,010730031005024
1596,010730037001019
1580,010730037002035
1635,010730117042021
1883,011030053041022
1890,011030055004024
1894,011030054043010
1283,010330210002015
817,010950304022009
800,010950302063003
807,010950302031070
817,010950304012003
352,010199558021011
510,010650403002003
1527,010719511013064
1526,010719511013070
1552,010719506012045
1552,010719507002039
1530,010719510001039
1545,010719504001011
1549,010719505002040
1543,010719503022015
1191,010399624004057
1191,010399624001045
630,010399617003102
180,010399619002012
806,010950308041000
796,010950311003020
813,010950301021035
817,010950304022001
1926,011150402091018
1707,010730110022030
1707,010730110021014
461,010059507002008
458,010059506002023
806,010950308043021
806,010950309022036
1615,010730111123027
213,010990761012024
1600,010730027022008
1563,010730111141082
1676,010730140021047
1616,010730059032001
1568,010730118043007
1575,010730051032038
1571,010730107022021
1658,010730045024105
1579,010730052001009
1580,010730034003027
1056,010990760003005
655,010990758002013
1049,010990761011093
1049,010990761011098
1048,010990761011029
1054,010990759021026
804,010950307011015
1437,010570204001025
1450,010570200001031
1144,010830204021042
874,010830211011159
611,010199560005022
605,010199559002045
616,010199561011040
619,010199557011036
614,010199561022025
383,010650401001048
1570,010730008004066
1559,010730144051002
1647,010730129162002
516,010210601041014
1908,011150402061013
114,010210606001057
1578,010730036005000
1588,010730024022007
1655,010730113032046
1608,010730012004022
1580,010730034001013
1901,011150403022008
1901,011150403012012
116,010210604032027
1908,011150402062027
1920,011150405041079
1924,011150405081012
1923,011150401073030
1922,011150401042010
1148,010830207002041
1141,010830204021017
875,010830201031002
874,010830212032091
1036,010359605001061
1695,010730111141015
1597,010730057013028
1693,010730112062004
1639,010730141061008
1695,010730111162017
1655,010730113032024
1683,010730139011068
1723,010730142052024
1715,010730142051013
1652,010730126023039
1564,010730127042072
1681,010730116002011
1708,010730127014022
1585,010730012001068
1687,010730122001182
1587,010730012001026
1632,010730109002035
1726,010730123042015
883,010830204042054
1656,010730112081018
1699,010730129171002
1712,010730121035021
1621,010730120013033
1651,010730126023054
1693,010730112063056
1706,010730112071070
1633,010730112101031
1715,010730142051003
1723,010730142063026
1601,010730138012015
1643,010730123023052
1698,010730107032001
1712,010730116001020
1703,010730117093004
1608,010730011004036
1628,010730019023022
1611,010730023062028
1570,010730008001080
1578,010730036004023
1559,010730144051008
1694,010730114022001
1687,010730122001018
1621,010730120012039
1581,010730048002010
1691,010730123022035
1632,010730109002044
1632,010730119013030
1687,010730122001188
1139,010830212012010
1139,010830212013058
1561,010730128042017
1275,010330203003032
1270,010330208013007
1622,010730106031034
1600,010730016003030
1609,010730011002011
611,010199560005030
518,010210604012034
1903,011150403021053
1903,011150403022015
1903,011150403022037
1719,010730144103029
1177,010159819011033
1157,010150018024016
1166,010150012013032
1173,010150002001036
1180,010150022001048
1179,010150022001014
1173,010150005001019
1922,011150401092026
1904,011150402133004
1928,011150401091015
1907,011150402121011
1903,011150403021066
435,010310105003021
165,010310107001084
1929,011150402092055
1924,011150405041054
1911,011150405061027
1924,011150405041059
1911,011150405061012
113,010210605001004
1923,011150401044023
1926,011150402071036
1926,011150402111033
1920,011150405031053
1905,011150401103004
1964,010179540023014
1957,010179543004031
1140,010830208032050
1140,010830208032049
874,010830212032086
781,011310348021006
601,011310352001120
109,010210602001021
1602,010730105003010
1680,010730100024039
1573,010730103023020
1691,010730122002036
1573,010730103022014
1676,010730141061070
1615,010730111131039
1715,010730142093015
1566,010730144082008
1595,010730104015047
1583,010730029003069
1656,010730118053009
1634,010730111083008
1583,010730042002032
1649,010730144092022
1679,010730144092017
1604,010730101003029
1555,010730107051005
1594,010730049022041
1610,010730106045029
1600,010730024022062
620,010199557013027
608,010199557021058
892,010150025043013
1163,010150020023003
1166,010150012012029
1178,010150022002042
1198,010150016004014
895,010150026004021
894,010150026001021
1156,010150025022027
1171,010150005002001
1173,010150005001062
117,010210607021003
116,010210604031015
1910,011150405042036
1181,010150011031012
1600,010730027011000
1675,010730143032011
1601,010730136015032
1597,010730057024008
1688,010730115001007
1691,010730122002007
1563,010730111154115
1583,010730029003058
1641,010730143013018
1723,010730142063003
1575,010730051031018
1630,010730035001054
1608,010730011004014
1572,010730108022039
1703,010730117092034
1631,010730120041005
1622,010730106031005
1688,010730115002018
1680,010730100022023
1646,010730144041001
1621,010730120012037
1199,010150016001026
1181,010150011012065
889,010150025021053
1198,010150017004017
1181,010150011012084
1164,010150011032030
1179,010150023003002
1156,010150018012012
1159,010150021052008
887,010150025042002
1580,010730034002006
1611,010730023052024
1717,010730106043028
115,010210607012024
112,010210606001065
120,010210605003020
1653,010730108033007
1650,010730129051019
1604,010730102002004
1676,010730140021013
1724,010730001005018
1585,010730012003028
1624,010730005003018
1624,010730005002052
1556,010730056003018
1693,010730112051047
1711,010730120012009
1630,010730035003077
1683,010730139021035
611,010199559003039
617,010199561023047
611,010199560003004
352,010199558011046
612,010199559002073
921,011250102052010
909,011250101023094
927,011250107064025
916,011250124081009
928,011250101021035
933,011250106033024
934,011250101023042
950,011250123051008
1207,010030104002070
1253,010030115012030
1218,010030115043042
1224,010030109081039
1233,010030103003021
1235,010030101001014
1219,010030103005007
935,011250107031083
929,011250107051015
920,011250102062034
947,011250119022005
904,011250127003004
909,011250101011030
941,011250101053051
312,010799796004000
1075,010259578004019
1195,010259576032021
1083,010259576032016
1195,010259576041003
310,010799792011038
310,010799792011028
1309,010439647003004
1316,010439641001044
1297,010439656003011
1082,010259575002044
745,011056870022006
1072,010259580032010
1073,010259580032034
1195,010259576032002
1054,010990759021007
1224,010030109082020
1081,010259578002015
9,010539704001052
1724,010730021001050
1683,010730100011002
1618,010730055001050
1659,010730045023038
1592,010730104021006
1704,010730117093005
1628,010730022001007
339,010750300001020
330,010750302002062
746,011056870021028
212,010990757001060
1052,010990759013048
21,010539701002039
13,010539704004028
368,010539706004056
21,010539701002032
597,011339656022030
1329,010439646003002
1311,010439654021036
1294,010439652002049
1203,010259579023031
1067,010259579021014
1072,010259580032036
1071,010259580032073
1309,010439644002076
1972,010439650012034
999,010799797002024
318,010799792021060
1003,010799792011066
1635,010730117082014
1580,010730037003022
1580,010730037003000
1713,010730140012007
1657,010730111174007
1057,010990760002042
1196,010259576042010
1082,010259575001054
1082,010259575001051
1071,010259580032084
592,011339655022020
1172,010150006002015
323,010799795023033
306,010799797002038
301,010799798003033
1210,010030107071070
1246,010030114192003
1227,010030116031024
1232,010030103002013
1230,010030107112019
376,010010211002033
376,010010211002055
376,010010211002016
1359,010479567011017
1348,010479561012014
398,011070502001074
412,011270204003053
599,011310351004039
284,010770114012030
1152,010770112002045
290,010770118021054
650,010770109022022
402,011270210003048
402,011270210003052
402,011270210003060
217,011270212001064
230,011270209004029
1349,010479561022050
35,010010208032009
660,011310351002065
670,011310351001029
654,010770115031046
642,010770112001055
397,011070502001039
1349,010479561012008
1356,010479572002025
1356,010479572001005
1353,010479569001048
1340,010479562021008
1351,010479562022033
1345,010479573012008
1236,010030101003009
1231,010030107073082
599,011310351004029
550,011070503001008
709,010890111001122
72,010890028011023
68,010890104041007
72,010890028011002
697,010890025012001
84,010890025011012
688,010890014032009
709,010890113021052
679,010890031001047
68,010890104052009
704,010890113022089
698,010890113022010
705,010890109041007
699,010890110133009
211,010990760001040
1047,010990762002042
1307,010439655011023
1288,010439643001024
760,010919730021007
756,010919732003029
1737,010970034021001
1806,010970025013000
1795,010970060004055
1783,010970038001118
1794,010970059001091
1765,010970065013013
1095,010239568002046
1020,010239567004113
1019,010239567004036
1107,010239570001036
958,011170303451024
990,011170305041067
958,011170306161019
990,011170305022080
337,010750300002124
345,010750301014040
340,010750300002034
325,010750301014073
960,011170308001146
957,011170306142012
1299,010439655011006
1326,010439650012086
1302,010439654013016
990,011170305042041
990,011170305041058
986,011170307043042
996,011170308001114
316,010799796002034
321,010799793002086
320,010799799001002
310,010799792012053
1300,010439655024029
1300,010439655023013
1784,010970054003024
1735,010970037111015
1804,010970021003009
1797,010970075001040
1798,010970076002005
1732,010970073002036
1729,010970057022043
1775,010970040003019
1758,010970037103004
1787,010970061044039
1790,010970063072004
1770,010970026003027
1775,010970040003008
1749,010970032061016
1774,010970064021047
1751,010970077001034
1740,010970061031044
666,011310348011001
662,011310352002039
662,011310352002035
660,011310351001040
757,010919730011067
1778,010970070003006
1794,010970059003085
1790,010970034103017
1788,010970061021038
1803,010970021002003
1809,010970064071042
1756,010970068043003
1224,010030109082004
1241,010030111022021
1488,010670304001018
412,011270203011043
1687,010730122001090
1600,010730027022058
1646,010730107023014
1711,010730116003038
1660,010730131002047
1588,010730005004027
1671,010730033002064
1680,010730100022013
1629,010730007001004
1602,010730105001004
1793,010970061062002
1786,010970056021029
1800,010970010021016
1754,010970012001085
1735,010970037081012
1792,010970069032005
1746,010970020002023
204,010379612001043
478,010379611002004
480,010379610001061
676,010890006011009
1558,010730129201007
1627,010730004005025
1652,010730126023087
1643,010730123023025
1595,010730104011041
1570,010730008003019
1226,010030114131015
1248,010030104001026
1216,010030107041002
1230,010030108001003
1252,010030110002098
413,011270203011017
228,011270212003015
221,011270215004070
244,011270216002042
221,011270214002003
999,010799797001032
307,010799796002024
201,010379612004092
1322,010439650024031
1322,010439650022008
1309,010439645001038
1326,010439651001035
1314,010439651002066
1288,010439644001088
1753,010970064073017
1754,010970012001039
1779,010970009022017
1783,010970038001126
962,011170306111022
1125,010090501051028
1136,010090503022013
209,011190113022072
209,011190113022061
61,010857811001005
222,011270214004000
27,010070100092018
1739,010970014002023
1774,010970064021042
1757,010970039011010
1803,010970022003002
1739,010970014001023
1800,010970012001111
1793,010970061042032
1782,010970050002014
1754,010970004012001
1649,010730144064013
1644,010730143011036
1649,010730144063022
248,010550111002046
837,010810410014025
967,011170301031010
1671,010730033002005
1620,010730120043035
1723,010730142061028
1582,010730051042004
1712,010730121034018
1682,010730141043013
1020,010239567004044
1468,010610504001070
146,011190115003038
480,010379610002004
1473,010610505001030
1479,010610504003080
1480,010610506001046
1116,010090506033019
1116,010090506041015
993,011170303473025
958,011170306161016
960,011170308001149
838,010810418032001
828,010810410023015
835,010810412004036
1110,010239567001048
1124,010090504004000
1121,010090501071053
1125,010090501051022
1118,010090507014005
1118,010090507012055
1124,010090504004003
1133,010090505022020
1125,010090501061035
720,011210103012035
717,011210112001124
723,011210101013002
736,011210109002026
722,011210115011034
723,011210101011033
714,011210113022020
724,011210101024040
732,011210116001045
729,011210109001044
729,011210107001013
732,011210120001011
732,011210116002003
776,010599732003059
149,010599737022025
1012,010599737032058
480,010379610002001
478,010379611003020
753,010919733003009
236,011270210003046
1672,010730038031002
1579,010730040003006
1692,010730141071027
1597,010730057013014
1557,010730128023013
1576,010730049022008
1631,010730055002029
1570,010730008004098
1138,010090507022045
1138,010090507011008
1134,010090502002077
1136,010090503021079
1116,010090506032039
1124,010090504003047
1115,010090504002031
1343,010479568001022
29,010070100053086
122,010070100071004
977,011170302112008
971,011170304061006
982,011170303302018
992,011170304081106
993,011170303471014
982,011170302123004
964,011170303452079
992,011170304051026
980,011170303401003
412,011270204003072
403,011270212001063
230,011270203021002
224,011270217003047
224,011270217004048
408,011270201002063
1137,010090501031054
1133,010090505013057
217,011270211001047
829,010810410024025
837,010810410014046
828,010810410023072
840,010810419033026
820,010810403001003
831,010810420061013
837,010810410011017
822,010810416001031
819,010810410014033
1938,011239625022012
424,010279589001100
205,011190114002053
483,011190113013028
769,011270211003005
219,011270211003029
405,011270217003022
232,011270201004023
241,011270213003093
222,011270214003006
246,011270208023015
1782,010970061061034
1748,010970029003010
1788,010970061071021
1808,010970064022004
1788,010970061022003
1771,010970071012006
1771,010970071014004
1745,010970031002007
1859,011010033041011
1844,011010055011059
1854,011010007002018
1479,010610504005026
1479,010610504005027
581,010119522011043
363,010119525002073
938,011250101023072
931,011250106044024
967,011170301031099
957,011170306152016
961,011170306121007
982,011170303302016
1483,010610501004014
1846,011010019003000
1846,011010017004006
1855,011010056043033
1849,011010056042049
1815,011010059042030
1820,011010014001011
1832,011010022014002
1832,011010022015017
1824,011010051011037
752,010919732001011
766,010919729021009
1095,010239568005018
1107,010239570001021
1107,010239570002022
1107,010239570002074
351,010239569001003
259,011091887001002
1020,010239567004114
768,010919734003023
240,011270213003018
233,011270209002012
217,011270211004035
217,011270211003033
408,011270201001093
241,011270213003020
413,011270201001049
230,011270209004016
968,011170302192066
989,011170303042031
992,011170304081089
972,011170301022015
967,011170308001027
951,011250125042036
930,011250106041006
922,011250106012026
912,011250107063034
929,011250107052005
954,011250103042040
930,011250106032029
930,011250106032015
921,011250102052038
950,011250108021040
949,011250107074000
783,011310348022025
781,011310348024029
1590,010730014003015
1646,010730107051044
1717,010730106051023
1567,010730129102016
1724,010730001004001
1634,010730111082012
1588,010730005004009
1629,010730007002006
1114,010239567003009
909,011250101023163
922,011250106014035
903,011250125011061
945,011250116003016
932,011250101041069
901,011250103023155
944,011250104041025
1711,010730116003035
975,011170302181014
975,011170303491009
990,011170305021007
979,011170303511006
997,011170301031156
979,011170303502079
262,011091893003024
257,011091886002012
1134,010090502002043
1133,010090505022022
1123,010090503011064
1123,010090503011059
712,011210102021036
730,011210111002056
712,011210102011037
721,011210111001060
714,011210113022016
726,011210104003011
730,011210111002005
718,011210103022023
712,011210102011007
714,011210113021004
720,011210103023001
532,010450214003073
543,010450208022001
543,010450208022013
540,010450200001024
592,011339655022008
967,011170302151094
276,011091891011007
276,011091891011008
271,011091892002021
1838,011010024002011
1852,011010057001035
993,011170303473003
979,011170303502059
993,011170303461017
964,011170303161008
563,011290439002012
571,011290440001043
1149,010830209001021
1142,010830206002066
1140,010830208032017
1150,010830208042000
882,010830201013032
1142,010830206002002
1142,010830206001018
992,011170304062024
1145,010830211011059
882,010830201013063
1948,011239620004020
1941,011239625011021
51,010359602002007
1044,010359602002088
971,011170304082053
50,011110002001024
47,011110006001036
396,010939644011134
127,010939641001025
389,010939642001129
127,010939641001013
1813,011010059042039
1834,011010029011000
1816,011010032006013
1818,011010055041004
