block2vtd,block_GEOID
2167,050399701002137
2168,050399702002149
1125,050134801002060
1392,050930107004027
1392,050930107004011
1859,050279501001108
1294,050510117021003
1333,050510120011005
2572,050990902001031
2211,050510108002011
1324,050510110021007
2573,050990902003109
1322,050510120014041
1179,050534704012026
1179,050534704021054
786,050534702002002
1185,050534702001028
1180,050534704021070
1174,050534703002104
1122,050134802002028
1117,050134802001023
1117,050134802001016
1115,050134802001028
1526,050419501001239
1526,050419504001009
1533,050419503002032
1844,050259702003084
1844,050259702003048
1835,050259702002031
1331,050510104011031
1323,050510120012099
1319,050510110011027
1129,050990901002092
1319,050510110011010
1831,050259701003038
1845,050259701003034
1334,050510120022028
1324,050510103012001
1322,050510120021041
1526,050419505001052
1860,050279501003010
1852,050279502004013
1130,050990901002068
2362,050990901003068
1331,050510120021020
782,050534701003038
783,050534703002076
1175,050534703001109
2169,050399701002207
2169,050399702002020
1859,050279505002012
1836,050259701001018
1232,051174602001114
802,051174602001128
805,051174601002009
1258,051174603001023
1248,051174602002021
1244,051174602003028
1248,051174602002022
2208,051174603001067
1156,050534704021002
1128,050134802003175
1113,050134802003087
1124,050134802003114
767,050134801001096
1291,050510108003007
1327,050510104023014
1838,050259701001033
1322,050510120014062
1292,050510106011026
1324,050510110021032
1283,050510109003007
1842,050259701004035
1842,050259701004026
1836,050259701002023
1839,050259702004031
1548,051299702004038
1549,051299701001228
1545,051299701001014
1540,051299702004036
1540,051299702004013
2163,050930109003147
2162,050930112002069
2152,050930108012037
2152,050930108014050
2162,050930112002144
1517,050419504001024
1288,050510111013013
1297,050510109001019
2081,050990903002001
2572,050990902003171
1292,050510116012007
1286,050510116012047
1322,050510120014059
1322,050510120014048
781,050534701002075
1180,050534704021077
780,050534701002017
1177,050534703003056
1180,050534704011067
1114,050134801001148
1859,050279503012002
1852,050279502003056
764,050434904003000
752,050574805003015
1723,050574802002060
2503,051074806002007
2130,051074806002241
1510,051219602023006
2207,051219602021040
822,050690023002025
828,050690019011063
903,050690015021022
964,050690003033001
1107,050434905001029
761,050434905003031
1108,050434901002208
1510,051219602023038
1156,050534704021026
1180,050534704011017
2503,051074804002039
2133,051074802011045
2503,051074806002012
2134,051074802021071
2502,051074803005004
2131,051074802022078
2134,051074806002016
2502,051074803003012
2503,051074801001034
1104,050434905001086
1106,050434905002004
1106,050434904001012
780,050534701002055
1106,050434905002028
2503,051074804003050
1175,050534703001138
2096,050690021033054
819,050690003012004
877,050690012004016
959,050690025001005
1667,050059505004087
2520,050059506001009
2544,050059505002002
2520,050059502003046
2184,050097905011009
2177,050097906001046
2547,050059509002026
1670,050059502002045
1671,050059502001042
1668,050059508012036
914,050690012002024
2177,050097906004000
2492,050097901003178
2492,050097901003084
830,050690021033050
2559,050690003021008
851,050690018002000
874,050690016002027
854,050690013001045
848,050690023002037
1062,050574805003020
1055,050574801021057
907,050690015011008
815,050690013002045
1545,051299702001016
1113,050134802003085
1534,050419502004064
1531,050419501001114
1531,050419502004046
2486,050097902003017
2488,050097903003009
1118,050134801001166
1677,050059508011022
2177,050097906001017
2184,050097906002080
2493,050097904003028
2484,050097901002070
2480,050097901003051
2480,050097901001016
2174,050097902001057
1684,050059503002042
1678,050059503003005
2500,050097901003180
2487,050097903002059
2492,050097901003121
2596,051474901003015
74,051474902002073
1271,050910210013022
1267,050910205001005
1273,050910208022001
2193,051474901005083
1121,050134802003049
1121,050134802003050
1527,050419502001027
2484,050097903001047
2492,050097904003050
1693,050059505003106
2227,051239603002023
2195,051239601001086
2102,050690009001020
942,050690010002007
729,050690010001011
2183,050097905013020
2190,051239601001012
2228,051239605002002
824,050690024002100
899,050690005022034
820,050690014021097
1619,050839504001072
1517,050419505001040
1531,050419502001011
1531,050419501001361
1529,050419502001095
1515,050419501001319
1798,050219504001004
1789,050219505001082
1108,050434901002001
2183,050097905011017
1624,050839506002035
1630,050839501001092
1624,050839506002023
1638,050839506002080
872,050690016004027
1111,050434904002000
1109,050434903001011
1674,050059505002052
2547,050059509002059
1669,050059502001001
2480,050097901001047
2183,050097905011025
1560,051414601002005
1559,051414603032015
1556,051414604002054
1564,051414603011085
1763,050170801002120
2056,050170803003058
762,050434901002038
761,050434905003009
2546,050059509003054
2177,050097906004017
2492,050097901003150
2492,050097901003157
1688,050059507001017
1673,050059505001021
1682,050059509001038
1670,050059502002047
1660,050059505004150
2487,050097903003067
2545,050059505004126
353,050330204022056
353,050330204022052
342,050330202042051
384,051310008001058
438,051310102011155
2121,050879603001042
2127,050879601003037
2120,050879603004014
1984,051310103042102
387,051310004001001
397,051310101013056
1690,050059504002033
1685,050059505001001
396,051310101013023
689,051310103011035
405,051310102021028
2116,050879604001085
2127,050879602001019
2115,050879603003046
2125,050879601001029
2117,050879603002006
2122,050879601003024
1539,051299702001058
1547,051299703003046
396,051310101013030
419,051310101011040
93,051310006001006
2124,050879603004033
2122,050879603001055
174,050554803001017
164,050554801003111
153,050554806021037
178,050554802003016
175,050554808022011
156,050554808013010
167,050554806022035
2126,050879604001060
2116,050879604001050
2122,050879601003014
1983,051310103042009
401,051310101021001
2049,050879602001042
1043,050434902001009
1411,051279503002129
2397,050674801004032
2402,050674802002032
2397,050674801004056
1405,051279501003101
1270,050910210022037
1268,050910210014026
1272,050910210021014
1277,050910208023008
1408,051279501001013
1402,051279501003149
1394,051279503001145
1273,050910210021040
348,050330202051007
371,050330205011027
355,050330202072027
366,050330203022015
398,051310103012029
420,051310101021011
432,051310101022107
107,051310013101006
107,051310013101008
2414,050674802003031
2398,050674801001098
2395,050674804011038
2374,050674804012039
2402,050674802002024
2391,050674805001004
2405,050674801002042
2409,050674803002003
1992,051379501003036
384,051310008004008
2578,051310103013024
696,051310102012055
413,051310013013006
89,051310008002020
435,051310102021023
435,051310102021019
2048,050879602001038
2122,050879601003028
2126,050879604001070
2187,051379502042004
1991,051379502041062
1991,051379502041030
1514,051379501002069
2187,051379502042015
2186,051379502043005
1514,051379501002060
32,051379502033009
1990,051379502043041
164,050554801003076
160,050554803002023
154,050554803001036
178,050554801001092
166,050554806011070
167,050554806012016
158,050554801003000
2507,050554804011003
1957,050554808023025
2508,050554807002045
164,050554801003077
2508,050554805021044
173,050554801001124
181,050554802001046
1458,050659601001138
1990,051379502043054
2187,051379502042014
376,050330202082013
1050,050574801011114
2298,050070207011001
2271,050070210011029
2280,050070201023010
2522,050070211021022
2607,050070209052031
2247,050070212013012
32,051379502033006
1058,050574802003078
1656,050379501001161
2532,050350301023020
2145,050350307012087
1785,050219501002096
2310,050070202052018
2340,050070209031039
2304,050070203011000
2525,050070211013020
2301,050070202032027
1402,051279501003158
167,050554806012009
2508,050554805023007
100,050554802003032
1726,050159504001037
2199,051239606001052
1063,050574804001000
2481,050097902001143
2500,050097902001195
1685,050059501001039
2194,051239603003040
2194,051239603001013
2199,051239605001053
2227,051239602011022
2200,051239604004018
2210,051250105142052
1373,051250101072008
2598,051250104101021
1351,051250101052010
1353,051250101052027
1882,050299503003002
2529,050299505002053
1384,050350310002044
2353,050350307021005
357,050330204014026
340,050330206025030
1035,050574805002007
750,050574804003024
1061,050574803022009
748,050574802002051
456,050379503001107
456,050379503001109
1387,050350306011114
1652,050379505004059
2146,050350308071129
1796,050219503002162
1796,050219503002166
1796,050219503002141
1799,050219503002041
1795,050219503002096
1799,050219504002082
378,050330202041025
362,050330202061028
378,050330202041007
1957,050554808021011
2451,051039501024049
2421,051039501012023
2424,051039503011021
2418,051039503011053
2451,051039501024053
1353,051250101011002
2243,050070210031046
2315,050070203023006
2315,050070203023003
2341,050070213152012
2285,050070213082028
2314,050070213151017
2302,050070214073000
2299,050070213052088
2258,050070214091039
2606,050070210011048
2265,050070206043012
1385,050350305032003
1656,050379501001059
2476,050379501001047
2148,050350310001032
2532,050350306023001
2060,050379502002037
984,050979532002094
972,050979530004004
2478,051499523012028
2221,051499524023020
1649,050379505004043
2145,050350307012096
2148,050350310001110
2234,050039603003071
2234,050039601002154
758,050039606003022
758,050039606003012
1654,050379501001166
457,050379503002063
1085,050039601002179
2613,051239604004006
222,051354703003096
23,051354704023044
220,051354704012041
1774,050199536022020
1778,050199539012181
1775,050199538003029
1775,050199536011014
1775,050199536011029
219,051354702023076
2430,051039501021020
2466,051039502002016
1095,050039603003011
758,050039607002030
2445,051039503023008
2466,051039502002021
2599,050479502021029
1342,051250104111026
1353,051250101011040
1868,050299501001052
1366,051250101061079
2059,050199538002062
1777,050199536014014
2167,050399701002268
2427,051039503021003
2460,051039505003090
2446,051039505003083
2461,051039504001012
2388,050674803003058
2379,050674805001118
2510,050719518002033
1372,051250105091019
758,050039606003025
776,050014808001037
2518,050014803002068
1167,050014808001003
2463,051039505003019
2420,051039501011008
2469,051039503023000
1102,050039603003053
2477,050495501021123
236,050495501011100
2477,050495501021067
229,051354704022041
1771,050199537001066
979,050979531002096
972,050979531002114
977,050979531002051
1551,051414603012073
1564,051414603011004
1005,051139505001032
443,051499525002039
1138,050799604002068
1559,051414603033058
972,050979531001074
979,050979531002023
993,050979532003128
1697,050119504001041
2075,050959502001012
2075,050959501003133
1255,050959502001047
236,050495501013234
1955,050495501012040
2477,050495501011000
205,050495502021085
2477,050495501011045
2198,051239602021009
1177,050534703001069
146,050634905001045
148,050634907011011
1701,050119503002068
1699,050119503002027
2609,050119501002021
1004,051139503001120
441,051499523021022
1002,051139506001033
995,051139502023038
1955,050495501013244
233,050495502023060
2477,050495501021032
232,050495502011013
1600,051450702001038
2063,050450302021012
2534,050450303023007
668,051190024093007
635,051190039002064
633,051190027002028
632,051190029001094
2468,051039501022011
2450,051039502001017
2426,051039503012067
2515,050719521002040
2515,050719517003095
1423,051059527002008
1421,051059528003090
1425,051059527001049
1428,051059527003082
1699,050119505003131
23,051354704023069
219,051354702022039
219,051354702023085
228,051354704012025
2191,051239601003198
2477,050495501021084
1955,050495501013063
205,050495502023080
233,050495502022031
1955,050495501013087
1955,050495501013158
1589,051450710022032
1581,051450710011007
2005,051450709022003
1604,051450709023016
1572,051450710021052
2018,051450707002009
1578,051450706003060
2021,051450706003027
182,051354701002000
17,051354703002034
1762,050170801001124
1567,051414602003080
651,051190043024096
656,051190042221011
632,051190028001022
2345,050159502011040
2217,050159505023005
2053,050159505011011
1148,050799604001064
1556,051414604003054
987,051139504002023
1003,051139505002056
1611,051450711011052
2010,051450704022008
523,050450303021011
524,050450304011016
2542,050450310082003
512,050450306002012
567,051190047004064
779,050014805001026
1077,051399505021042
756,051399501002048
1390,050930101002022
2157,050930113002189
2155,050930110003031
2162,050930112002075
2159,050930113001012
1431,051059528001028
1463,050734701012085
1463,050734701012083
1170,050014802001424
448,051499524012035
776,050014802001388
320,051430105181008
2591,051430110024030
2141,050659602001042
1448,050659603002080
1389,050930106015013
2159,050930113001057
1390,050930103003012
2151,050930109003029
611,051190036041003
568,051190047004026
565,051190018004074
592,051190025001090
579,051190047003045
635,051190039001064
582,051190040012046
2053,050159503011017
1728,050159505023066
1724,050159505022018
2344,050159503011040
1731,050159502021050
2345,050159502013051
679,051190021042015
558,051190015011040
603,051190034031004
573,051190020021045
1584,051450703002023
1575,051450702001006
1607,051450701002006
532,050450301011063
2063,050450302012016
2543,050450311013053
519,050450302022043
538,050450302022030
1590,051450703001059
1593,051450702002117
515,050450302021001
994,051399510005021
994,051399508001044
1071,051399505013010
1083,051399505022059
1994,051399501002110
2077,050959503002137
1700,050119505002106
1699,050119505003138
1705,050119505001022
447,051499525001120
1614,051450710023042
2031,051450712021052
2021,051450706003017
536,050450310061012
508,050450303031044
2609,050119502002002
1252,050959501002085
1227,050959503001157
1440,050659602003122
1442,050659602001020
1805,050234802033016
647,051190042282004
626,051190038004033
551,051190020013016
627,051190038004032
679,051190021041000
590,051190032072000
549,051190024061000
1604,051450703003062
2036,051450711012005
2535,050450303023011
2538,050450305044011
543,050450302012095
520,050450311013088
440,051499526003071
440,051499526003079
33,051499524023028
448,051499524012053
978,051139502012014
1207,050850201071016
1976,050850201051058
1217,050850206001030
800,050850201022035
1233,050850201082000
1228,050850201061027
1975,050850202043032
1558,051414603012045
996,051139503002093
2345,050159502011057
1724,050159505023035
2456,051039503023006
2449,051039506005018
1142,050799605001001
772,050799606001060
1151,050799606001033
2540,050450304041000
1239,050850208002039
1977,050850201051033
797,050850204002051
1237,050850208002035
1216,050850205003026
2054,050159505022033
122,051011802001064
1250,050959503001056
2612,050659604001043
1447,050659603001110
1446,050659601001306
1467,050734701022034
1485,050734702001077
1075,051399502005024
1087,051399501001120
1072,051399508003035
2046,051399502001033
2424,051039503011031
568,051190046002049
614,051190036093008
625,051190036071015
567,051190045002025
1038,050619501003053
2359,050619503004057
1053,051099534002285
1047,051099534002096
743,051099534002106
567,051190045002087
628,051190037034012
79,051159512022119
76,051159510002060
197,050754702004040
196,050754701002096
201,050754705023063
20,050754703001038
1163,050014806001108
1164,050014806001099
1170,050014802001423
85,051159511003015
452,051159509021012
1825,050234803011007
1802,050234804002106
1458,050659601001142
1162,050014807001032
2569,050810302001063
1149,050799606003029
779,050014805002089
2518,050014803001091
1167,050014807002093
141,050634904001075
2224,050634901011055
143,050634906001046
134,050634904002066
2223,050634906001027
764,050434903005020
591,051190030014049
591,051190030014053
607,051199803003015
660,051190024071030
662,051190043092000
2519,050014802001068
1173,050014803002009
1170,050014802001398
1171,050014808001210
135,050634904001121
149,050634907022012
764,050434903005016
1105,050434902002016
1801,050234804002122
1721,050810303021065
1721,050810303021074
2294,050070205041015
1720,050810301042002
197,050754702004059
2540,050450307021007
592,051190025001030
1087,051399501003005
1079,051399504022131
1023,051330804002104
1007,051330801002011
1007,051330802002002
1007,051330802002017
1009,051330802002027
1018,051330803001000
1822,050234805021006
1455,050659604002128
1460,050659604002063
2137,050659602002009
773,050799606003112
2172,050619501002235
741,050619501004047
1034,050619501002092
