block2vtd,block_GEOID
1015,040138121001023
996,040130610582056
953,040131167323008
1022,040130101023054
604,040132168401011
1137,040130506115023
830,040134225123013
447,040136127001001
675,040131032062009
898,040130506121023
854,040130715041005
584,040130405152022
1027,040130610151009
197,040131042022004
61,040131086023007
331,040131046003017
639,040136124022014
67,040134207092014
629,040138162003001
939,040134201121000
579,040131043012016
968,040131037023002
731,040138160012017
453,040134225141004
960,040138115001029
67,040134207092033
523,040135229012012
655,040138169042022
622,040136136022014
317,040131042142016
1095,040132168562017
1078,040131104003009
1095,040132168561017
640,040131117004013
230,040131048022014
215,040136195001005
825,040132168322008
287,040131032161008
1008,040131033024010
1092,040130101032089
721,040131059001000
966,040136105002025
640,040131118004002
1335,040210021051015
713,040210021041037
645,040134203031006
1078,040131104004010
157,040131125182043
749,040138155012024
610,040134202131065
1034,040138124004016
86,040130610411010
249,040130822063003
943,040131044011027
188,040131050032041
673,040131114022021
353,040134226092010
1073,040131161003005
179,040134225013010
701,040134225033010
229,040130609013024
301,040132168221031
599,040136166001003
599,040136166003013
675,040131032062024
608,040131042172004
934,040130715132003
941,040138125001020
597,040131042212011
1057,040131139001021
593,040131144011041
593,040131144011037
177,040131091012010
328,040131157004003
536,040134209012009
1047,040131098023000
966,040136106002004
1050,040132168062000
796,040210015003013
1353,040210014032013
371,040210008022029
1348,040210008081025
1337,040210020011068
1337,040210020011079
369,040210008041002
1359,040210016003068
371,040210023001117
1352,040219412004027
1293,040210002123006
1392,040210017162018
1386,040210006032010
1364,040210003153005
1354,040210017122031
1333,040210007002005
1337,040210020013039
1340,040210011004066
1361,040210014071010
377,040210016004222
369,040210009041053
1348,040210008071002
713,040210021041004
71,040050022011128
434,040050023022166
893,040050006022003
83,040050015003326
443,040050020002108
76,040059451004092
89,040050015003158
435,040050023022238
73,040059450003144
444,040050023011022
74,040059451004386
552,040131042252014
748,040134201102001
305,040131042191007
1104,040138164021006
81,040050022013189
661,040131118003021
86,040130610402000
573,040133198013002
533,040133190022003
582,040138135001001
941,040138160032008
1099,040130506034043
619,040136186001003
633,040132168091018
990,040134226552000
943,040131045022003
1005,040136179001005
351,040131058004013
562,040131057021002
731,040138160012033
629,040138158001024
149,040134226562000
182,040131032112019
182,040131032112021
319,040131110003016
943,040131044022000
640,040131117004024
1108,040131125172002
326,040134221041001
1129,040133197051024
759,040130610331005
991,040131162023004
24,040133199101002
472,040133199022005
24,040133199102011
1010,040138107001005
574,040138105001007
743,040138103001003
641,040138103002002
969,040134226421016
1030,040134226201004
381,040131062001004
636,040131062002019
381,040131061004006
721,040131059001006
538,040131055011008
591,040131107021000
725,040133199032011
244,040130101021251
1084,040134226404040
571,040059451001042
434,040050023013491
841,040050021023007
82,040050021023019
79,040050015004306
526,040050022024005
571,040059451002075
571,040059451002176
1084,040134226404045
905,040130820273023
291,040131112012009
253,040131063001006
307,040134222094002
610,040134202131089
1109,040131051012017
1012,040136102011025
1124,040138161002008
152,040135230024018
309,040138101003013
742,040136157002014
834,040050021012010
82,040050021021009
972,040130405402069
997,040134201152005
941,040138128012014
139,040131166102025
817,040131051011023
242,040136131003002
1079,040139807001008
217,040131042223017
61,040131171001000
963,040134201101061
513,040138150002001
1038,040136130003028
543,040136167003016
1131,040130719131001
584,040130405151044
1021,040130405285022
1097,040131042122016
129,040131090022002
1009,040138130003000
1152,040136109011043
1066,040131166123021
306,040130610111049
75,040059422012012
93,040050022013060
83,040050015002039
443,040050020002146
443,040050020002152
89,040050015003051
89,040050013023112
76,040059451004104
571,040059451002104
564,040050003022022
