block2vtd,block_GEOID
2891,080410045161051
2881,080410034011019
2715,080410007003005
2739,080410045012052
2701,080410064001005
2877,080410046021035
3211,080010095024003
58,080010095532037
236,080010601003003
224,080010096072011
7,080010085451003
88,080010091012002
79,080010093084001
213,080010612002037
227,080010083081019
196,080010150002029
7,080010085455003
231,080010085622038
45,080010093162004
185,080010088023039
50,080010096041019
32,080010085522004
2685,080410010002024
2887,080410039114000
2884,080410074021003
2869,080410051251008
2686,080410011012002
2815,080410038021028
1941,080770006024012
1929,080770015031015
1958,080770015041059
1908,080770003002009
1958,080770015043007
1916,080770014022031
1923,080770013022037
2872,080410004003040
2632,080410051132002
2778,080410051101016
2629,080410037061001
2827,080410047082008
2678,080410047033001
2718,080410037022017
2831,080410001032004
2839,080410047062030
2803,080410023001006
2684,080410009001014
2684,080410009001032
2709,080410051171030
124,080010085471015
162,080010085591029
187,080010078021000
31,080010086052008
2527,080299648001037
2113,080579556001502
1907,080770014033047
1917,080770013032018
1927,080770017022017
1905,080770017023015
1958,080770015041038
46,080010093163019
2828,080410051172006
2678,080410047031006
2622,080410067012016
2859,080410025011000
2879,080410037132041
2870,080410037022008
2753,080410071053010
2659,080410073012002
2891,080410044031059
2219,080870001001079
2219,080870001001103
3212,080870002002073
2217,080870004002054
634,080050056222015
311,080050805001018
377,080050848002009
612,080050068641014
612,080050068632027
267,080050820001006
196,080010150002048
118,080010601002012
146,080010085641017
147,080010085631016
194,080010087094016
238,080010094081057
2103,080559606003122
2106,080559609012104
508,080050068631003
370,080050063001014
567,080050058001012
633,080050057021010
2518,080299647003029
2526,080299646001054
2527,080299649003013
2514,080299648004067
172,080010085405042
210,080010083541025
30,080010086061030
30,080010086061024
160,080010085384019
188,080010078011012
210,080010083542069
48,080010093071003
59,080010092032006
2428,080470138022048
170,080010085451015
49,080010093071013
68,080010088012005
77,080010090041002
73,080010085553004
208,080010084012001
151,080010085522023
113,080010085342007
186,080010084023071
24,080010093232000
202,080010083092078
466,080050067072003
568,080050055511020
252,080050819004002
359,080050061003009
560,080050067042006
259,080050056202001
629,080050071082030
532,080050831003007
480,080050851001023
1936,080770015022077
1948,080770011032016
1916,080770014022026
2111,080579556001416
2110,080579556001008
2110,080579556001105
2085,080399611002150
1947,080770011021027
1930,080770008011020
1917,080770013032049
2791,080410024021015
2709,080410051171002
2748,080410051221042
242,080010600011000
40,080010093044003
61,080010092071002
166,080010085591020
58,080010095531027
44,080010093164010
28,080010085613029
162,080010085591025
149,080010085652000
211,080010083541022
210,080010084011104
2109,080579556002024
2109,080579556001240
2296,081139682001094
2296,081139681031063
2296,081139682001225
2070,080330001002154
2524,080299648004054
2524,080299651003046
784,080130130042014
2583,080130122081001
2580,080130608022002
807,080130128021011
2296,081139681031060
1629,081010029192013
1713,081010029223002
1710,081010028043059
1717,081010028041047
2520,080299646004014
2552,080299650022006
2552,080299650021032
2513,080299649002054
2524,080299651003042
2524,080299651003051
2515,080299650021006
2518,080299647003023
2519,080299647001004
2524,080299648004075
2551,080299647002000
2519,080299647003020
2524,080299651003048
2514,080299651001007
2293,081139681012027
2293,081139681012009
2073,080330001001001
2073,080330001001006
1243,080350146032003
2194,080859662011013
2186,080859664023023
2253,081039512001167
2253,081039512001162
2184,080859666021058
2185,080859665032041
2186,080859665012015
2189,080859664022005
2209,080859662023074
2191,080859661002096
2187,080859665023014
2188,080859662023092
1923,080770013021049
