block2vtd,block_GEOID
42,110010092011005
131,110010093013006
6,110010064002011
1,110010077092010
95,110010111003055
66,110010059002020
102,110010066001010
45,110010095081006
95,110010088041003
68,110019800001102
82,110010018031009
134,110010055012002
89,110010027042000
42,110010092042000
84,110010010033019
130,110010093013014
144,110010106024011
97,110010055021003
43,110010031001004
17,110010104002006
135,110010096023012
76,110010095051000
107,110010077082005
71,110010046001003
100,110010096032001
115,110010105004003
10,110010079014005
48,110010022022000
115,110010105004002
113,110010070002021
141,110010108003004
47,110010025012002
138,110019800001160
12,110019800001017
111,110010099012002
15,110010081001002
42,110010092012000
103,110010080022006
103,110010080022003
74,110010011004021
17,110010073013019
44,110010005021011
64,110010078062008
64,110010078061006
61,110010029002004
84,110010010022001
13,110010082004003
57,110010033013003
36,110010009041005
15,110010081001005
62,110010111002002
35,110010094001016
80,110010016003003
81,110010015005005
102,110010065001012
108,110010099072001
34,110010022012015
70,110010002024012
51,110010040014001
4,110010099012004
106,110010074011012
28,110010097003001
133,110010107002009
95,110010089032001
72,110010017022020
105,110010069001008
15,110010081003009
85,110010013032000
43,110010032003003
49,110010009042003
115,110010105003001
115,110010105004008
43,110010032004000
37,110010025042001
34,110010024002017
41,110010095031015
119,110010034001000
80,110010016004002
138,110010049022003
39,110010022013002
33,110010015001025
84,110010010033011
75,110010018042013
40,110010012001003
40,110010011004017
39,110010021013005
17,110010073011020
12,110019800001068
39,110010022011000
55,110010058011000
73,110010019022014
78,110010013011011
109,110010099051000
25,110010074093005
41,110010095031003
117,110010091021017
3,110010072032005
10,110010084021009
70,110019800001178
1,110010077091018
124,110010041003003
82,110010018031007
64,110010078061009
108,110010099071001
59,110010087023005
9,110010076033002
121,110010007021001
126,110010096011009
126,110010096011014
136,110010088021000
38,110010020021008
92,110010025032010
72,110010021021003
68,110010056013006
81,110010015003001
106,110010074073003
66,110010059002030
12,110019800001010
83,110010014012002
9,110010076033006
50,110010007042004
108,110010077031003
10,110010079013005
40,110010012001008
138,110019800001044
109,110010099041001
16,110010096041003
17,110010073011021
82,110010018031001
82,110010018042002
118,110010036003001
73,110010019013009
75,110010018032000
80,110010016004024
142,110010078033006
70,110019800001113
119,110010023021002
36,110010009041004
49,110010009042017
10,110010079014004
137,110010089042000
66,110010047032000
138,110019800001041
138,110019800001174
62,110010111001024
126,110010096011010
45,110010095093000
41,110010095033006
144,110010106024003
35,110010094003014
62,110010111001032
57,110010033012003
107,110010077082002
16,110010096041000
38,110010020021018
113,110010069001012
133,110010107001004
34,110010022022006
29,110010098101002
112,110010068022010
93,110010010042015
20,110010076044015
13,110010083012016
49,110010009032009
37,110010025032002
62,110010094003019
12,110010065002006
58,110010040012001
126,110010096011025
31,110010109002027
56,110010034004002
63,110010052022004
63,110010052022007
53,110010008021012
56,110010035001005
31,110010098072002
135,110010096021004
6,110010064002010
103,110010080021005
42,110010092011007
122,110010036001001
70,110019800001118
17,110010073012007
31,110010109002025
52,110010005021007
109,110010099043002
106,110010074011011
44,110010004001001
44,110010004001018
48,110010022012012
98,110010049011000
117,110010091021005
117,110010091021010
117,110010091021016
60,110010001023000
60,110010001023022
21,110010075021004
30,110010098113005
11,110010078042003
143,110010088031010
92,110010024001011
1,110010077091022
78,110010013012010
44,110010004001008
64,110010078061011
73,110010019022006
132,110010048022005
5,110010076014002
119,110010034003010
115,110010105004004
10,110010080011004
72,110010021021008
36,110010009022012
70,110010002012000
125,110010044011003
81,110010015002000
83,110010014012009
114,110010102022002
138,110010058025013
34,110010024002004
64,110010078062017
84,110010010033006
81,110010015002010
50,110010007042007
25,110010074092001
17,110010073011033
49,110010009032005
59,110010106012000
114,110010102025003
109,110010099061000
55,110010059002015
133,110010101003008
130,110010094002008
47,110010025011004
51,110010005011001
69,110010096011033
41,110010095031011
102,110010066002004
117,110010111003039
42,110010092012006
59,110010033021004
80,110010016001018
80,110010016003000
47,110010020021022
138,110019800001134
144,110010047042000
55,110010059002005
15,110010081003003
74,110010011002007
9,110010099021005
20,110010076044014
125,110010044021001
28,110010098011006
63,110010050031000
98,110010048012005
43,110010032003000
86,110010095041020
31,110010073012029
55,110010059002014
73,110010019014014
125,110010044021000
39,110010022011001
36,110010009021005
91,110010006004013
130,110010093011007
41,110010095032002
97,110010055022005
3,110010072012005
73,110010019014008
81,110010015003003
95,110010089031004
105,110010068022001
29,110010104001017
126,110010096011006
86,110010093014001
34,110010024002006
36,110010008041011
50,110010007042002
3,110010072013009
56,110010034003007
132,110010048011006
16,110010096042006
138,110019800001158
29,110010098071002
80,110010016003013
74,110010011004015
57,110010092032013
28,110010097002002
75,110010018042005
117,110010091024001
89,110010027041007
66,110010047022004
99,110010053032000
31,110010073012022
141,110010108004002
142,110010078033011
2,110010077071006
32,110010017022015
133,110010050031001
20,110010076032009
100,110010096031002
79,110010020011000
72,110010021021000
141,110010108003005
54,110010090002004
63,110010052023001
121,110010003004003
47,110010026002025
17,110010073013032
138,110010101003013
91,110010006003002
1,110010077092001
10,110010079014001
102,110019800001192
35,110010094001012
103,110010080021003
109,110010099051010
74,110010011003007
138,110019800001051
12,110010065001009
47,110010025012006
51,110010005011010
17,110010073011015
82,110010018031000
123,110010042012002
91,110010006003006
144,110010106031004
2,110010077071007
123,110010038021000
47,110010026002008
36,110010009022013
54,110010090002001
18,110010075041000
47,110010025011005
66,110010046002020
18,110010075041001
10,110010080013004
80,110010016004022
17,110010073013031
93,110010010042025
93,110010010031010
106,110010104003004
121,110010007021000
1,110010076041002
80,110010016004013
46,110010095103000
47,110010025011001
47,110010026002006
69,110010078031004
143,110010088031006
138,110019800001145
1,110010077091015
66,110010047024000
3,110010072034011
129,110010029001006
131,110010093012009
74,110010011002023
79,110010020012020
120,110010039011002
6,110010064001000
126,110010096011008
19,110010076051000
142,110010078032003
56,110010034002002
19,110010076053000
21,110010075021000
40,110010012004024
90,110010024004006
96,110010042011004
48,110010022013005
135,110010096023017
8,110010076012012
25,110010074093000
30,110010098101000
141,110010107001033
131,110010093012005
