block2vtd,block_GEOID
205,100030166111001
250,100030118002010
204,100030166101026
80,100030144041023
166,100030102002001
255,100030129003035
277,100030108001007
71,100030135062013
162,100030026003000
205,100030166111012
24,100030138002023
136,100030136071001
213,100030130001007
187,100030149072012
244,100030136133013
163,100030015001002
3,100030145011004
174,100030152001005
156,100030142001021
239,100030148084009
219,100030136082007
228,100030148101032
120,100030004001018
127,100030166142037
53,100030113002003
97,100030138002001
64,100030126001001
74,100030154001016
165,100030109003013
75,100030163081000
149,100030019021017
208,100030124001008
82,100030144022004
50,100030117003022
186,100030151001021
186,100030151001011
181,100030014002013
50,100030117003015
19,100030164041013
62,100030163081015
107,100030166101021
49,100030024003024
233,100030114002016
141,100030148091011
46,100030148113013
193,100030149032007
132,100030163013031
193,100030149034010
145,100030135012002
208,100030124003016
139,100030147021047
14,100030166081000
103,100030011001012
202,100030108001024
202,100030108001025
57,100030168063009
107,100030166141010
126,100030111001012
173,100030159003006
201,100030163071020
214,100030136151013
238,100030124004008
49,100030024001018
204,100030166103024
61,100030155022016
393,100050505012001
419,100050504082030
343,100050503043058
418,100050510141018
377,100050505013005
368,100050505013042
390,100050517023024
417,100050509051036
381,100050512034014
385,100050510093022
149,100030019021019
17,100030116002033
12,100030104002017
181,100030023003006
46,100030148112005
166,100030102002010
37,100030168071006
113,100030139052002
213,100030131001010
23,100030127004005
55,100030168081001
193,100030149031011
222,100030030022002
188,100030120002018
143,100030009003002
368,100050505051016
374,100050513141014
378,100050507063021
367,100050501041004
380,100050504062044
398,100050518021046
394,100050501054023
386,100050510121023
368,100050505051020
373,100050510131018
306,100010434001048
294,100010402031045
269,100010428023004
355,100010429002057
263,100010418031029
262,100010402051026
338,100010434003041
346,100010422031020
306,100010434001008
296,100010431001024
296,100010431001036
267,100010402041075
261,100010417014003
349,100010431002103
378,100050507062023
369,100050513081034
263,100010402061134
325,100010430003024
311,100010428022070
345,100010432023038
400,100050507031016
420,100050519003049
362,100050503032032
404,100050509054002
366,100050508012025
405,100050513023049
373,100050505062012
395,100050507101020
361,100050508013031
360,100050510091004
387,100050508081018
400,100050507031004
368,100050505032034
416,100050508051005
378,100050507062034
394,100050502003060
366,100050508061006
406,100050504052086
382,100050518013000
367,100050501042025
295,100010405012003
419,100050517012005
313,100010432021077
349,100010431002021
257,100010413002015
326,100010409001010
270,100010407003003
311,100010428022071
289,100010417011014
329,100010412003001
296,100010431001017
260,100010432023002
300,100010401004012
261,100010417012008
304,100010418043001
332,100010419002001
260,100010422071020
308,100010419003005
261,100010417013021
261,100010417013003
334,100010418042009
345,100010432024005
346,100010422031023
345,100010432022015
328,100010425001024
338,100010434002008
345,100010432023033
338,100010434003028
286,100010433001004
287,100010410001052
194,100030110002011
87,100030021002014
165,100030109003005
147,100030129003014
174,100030152005027
194,100030110003010
23,100030127001027
32,100030013004020
24,100030138003008
240,100030162003001
141,100030148103014
132,100030163013032
181,100030014002019
15,100030112022032
175,100030139012000
108,100030166121007
142,100030108003014
221,100030107041007
39,100030169011014
53,100030113002008
97,100030136153012
4,100030147052002
68,100030150003019
23,100030127001011
134,100030151002006
145,100030121001003
109,100030112051009
114,100030148102015
169,100030112062022
94,100030112033015
14,100030166081032
120,100030004003008
37,100030166082042
137,100030136102012
201,100030163071012
118,100030139063003
55,100030168084010
24,100030138002033
172,100030164011002
429,100030028002018
253,100030125001001
61,100030155021014
55,100030168084022
406,100050504064020
408,100050507011001
387,100050508082011
363,100050513083014
386,100050510142019
378,100050507063015
384,100050515023000
408,100050507032019
374,100050513132005
376,100050510172042
365,100050517021090
390,100050517023006
376,100050510172022
368,100050505061042
390,100050518021068
413,100050511023025
413,100050511032046
424,100050514002023
381,100050512042003
413,100050511032055
363,100050513083011
366,100050508052027
376,100050510151001
385,100050510082013
341,100050504011037
365,100050506012012
382,100050518022017
364,100050518012021
398,100050518023023
363,100050513082015
410,100050510162004
389,100050513092010
395,100050507061003
421,100050514003008
344,100050501011005
367,100050501041028
330,100010429002016
328,100010434002023
271,100010415001021
270,100010407003006
286,100010433001019
283,100010402011061
270,100010407002002
323,100010413002007
356,100010422032026
359,100010405022010
332,100010401002007
350,100010414001058
295,100010405013028
306,100010422081016
400,100050507031029
379,100050505061012
375,100050515011035
375,100050515011038
375,100050515023036
341,100050504061003
428,100050505032005
367,100050501042044
419,100050504083006
405,100050513023056
405,100050513023066
381,100050512011008
381,100050512011010
385,100050511013009
378,100050507072023
392,100050509053009
404,100050501031022
405,100050513022043
369,100050513071070
381,100050512022012
395,100050507061007
19,100030164041046
117,100030147021004
178,100030148123008
140,100030139032003
101,100030016001006
4,100030147051013
67,100030162001010
166,100030102002009
70,100030136113002
123,100030122002000
220,100030136123016
117,100030147021003
130,100030117001014
137,100030136102008
158,100030139031000
53,100030113001017
187,100030149041008
162,100030026001006
132,100030164013013
8,100030015002005
115,100030144032005
233,100030116002006
202,100030105022035
174,100030152004003
254,100030150001005
132,100030164041045
205,100030166081009
64,100030126002000
89,100030149073003
37,100030168071011
228,100030148101019
62,100030163082001
193,100030149035004
125,100039901000006
93,100030166122026
239,100030148084008
62,100030163082005
247,100030148111009
96,100030150002004
187,100030149041011
252,100030118004010
145,100030135012004
44,100030147061002
175,100030140004016
246,100030147033001
187,100030149041026
15,100030112021030
7,100030029001018
145,100030121001005
103,100030011001003
73,100030164014009
39,100030168051007
279,100030117004023
138,100030141003002
205,100030166111037
205,100030166123013
201,100030163071005
129,100030112061002
21,100030158021015
195,100030104003007
274,100030014001014
90,100030107032003
202,100030110001020
162,100030026003011
57,100030168063015
173,100030159003015
222,100030107042036
107,100030166101012
57,100030168061005
197,100030168083011
23,100030127001003
114,100030148102008
249,100030006013015
81,100030139012002
136,100030136072002
21,100030158022002
412,100050517022010
413,100050511032030
417,100050509032031
364,100050518014041
385,100050510092006
387,100050508081023
360,100050510112010
342,100050510121005
370,100050517013017
409,100050504052026
381,100050512034003
381,100050512034007
378,100050507071009
360,100050510083038
274,100030014001019
253,100030125001003
85,100030005002009
160,100030006021014
46,100030148113011
73,100030164012015
188,100030120002023
4,100030147052020
140,100030139032006
186,100030151001018
161,100030129003003
11,100030105025009
239,100030148081018
60,100030148092005
213,100030130001014
24,100030138003028
205,100030166113084
205,100030166113034
90,100030107032000
189,100030136132016
222,100030030021037
47,100030002005007
91,100030103003002
377,100050504072024
425,100050505011018
421,100050514001013
393,100050502001033
380,100050504051010
370,100050517013036
413,100050511021005
426,100050506011042
426,100050506013012
393,100050503021039
373,100050510131015
400,100050507011004
426,100050506013009
405,100050513023042
314,100010428022074
269,100010428023001
307,100010422042041
284,100010402061063
349,100010431002059
257,100010413001014
323,100010414001020
284,100010402042004
335,100010430002021
329,100010410003016
263,100010418031036
333,100010405021022
303,100010431001013
261,100010417014017
339,100010412001050
338,100010434002005
385,100050511011003
378,100050507072027
378,100050507072031
325,100010430002064
311,100010428022064
290,100010402012028
299,100010421002072
267,100010402041066
368,100050505033036
405,100050513023028
362,100050503032004
370,100050506013038
383,100050515022022
395,100050507061053
378,100050507063019
343,100050503041008
372,100050504071003
363,100050513082009
382,100050518013017
374,100050513133002
362,100050503032077
367,100050501032005
409,100050504052032
401,100050503022026
343,100050503041017
364,100050518011028
366,100050508052038
406,100050504052090
365,100050517021005
362,100050503032052
403,100050501032043
418,100050507091027
267,100010402041045
300,100010401003003
283,100010402011059
330,100010429002014
301,100010402052015
329,100010412001001
325,100010430002046
294,100010432021027
289,100010417011027
291,100010402043019
269,100010428021063
257,100010413002031
336,100010433003021
306,100010434001031
335,100010430001037
337,100010432021082
303,100010428011059
261,100010417014000
336,100010433003037
316,100010405012019
262,100010402053015
256,100010407001002
319,100010420001002
338,100010434003025
260,100010422071019
336,100010433003028
263,100010418031012
334,100010418042003
358,100010421002003
290,100010402013000
350,100010414001048
328,100010425001050
319,100010420001007
306,100010434003006
310,100010418031006
306,100010434001007
299,100010421001015
305,100010416001006
306,100010434001053
293,100010401001019
32,100030013003010
227,100030120003007
5,100030145021013
20,100030159002006
128,100030166143051
162,100030026004010
73,100030164014008
14,100030166081027
150,100030138002017
14,100030166081046
42,100030147053017
200,100030123002010
23,100030127001005
179,100030002002017
78,100030136043000
176,100030130002016
57,100030168061004
204,100030166102018
233,100030114002015
128,100030166082059
219,100030136081018
39,100030169012016
197,100030169041042
197,100030169041003
128,100030168085004
93,100030166143002
197,100030169041015
139,100030148032014
151,100030149061002
85,100030005004003
161,100030152005003
117,100030147021023
87,100030021002002
138,100030147031011
117,100030147021034
225,100030135071018
49,100030024004019
156,100030142001009
228,100030148101009
5,100030145021039
132,100030148094009
115,100030144031001
82,100030144041047
391,100050507031006
401,100050501011034
406,100050504064037
341,100050504061032
411,100050504032030
380,100050504064005
397,100050504073007
402,100050510132008
409,100050504052054
390,100050517023042
365,100050517021043
341,100050504061022
344,100050501013032
381,100050512021026
362,100050501011024
360,100059900000008
384,100050506031035
417,100050509031027
422,100050508041010
381,100050512031011
371,100050508063002
384,100050506032021
380,100050504062001
385,100050511013015
378,100050507072020
380,100050504051035
413,100050511032038
413,100050511023026
343,100050503041039
343,100050503041049
373,100050505062007
344,100050501012008
403,100050501052015
403,100050501052010
326,100010409001002
288,100010422061015
325,100010430002054
325,100010431002019
329,100010410003040
327,100010412001027
267,100010402041014
259,100010422052002
316,100010405011001
365,100050506013032
362,100050503022044
342,100050510101010
360,100050510112004
384,100050506041029
362,100050503032039
420,100050519003025
383,100050515022035
374,100050513071000
411,100050504032023
389,100050512041015
395,100050507061000
421,100050514001005
404,100050501053014
371,100050508013000
366,100050508052071
381,100050513132027
417,100050509032033
403,100050501051004
364,100050518021002
375,100050515011043
392,100050509051004
413,100050511023027
387,100050508082006
161,100030129001003
429,100030016002002
5,100030145021035
80,100030144041033
162,100030026003006
133,100030156002005
76,100030163061003
98,100030136042024
116,100030139013003
118,100030139062018
130,100030117001021
105,100030107042024
128,100030166082068
202,100030110001018
275,100030135014005
230,100030024002003
223,100030135013016
59,100030121002009
222,100030030022008
244,100030136133008
244,100030134003000
47,100030002006010
36,100030166121012
70,100030136113003
16,100030168062024
80,100030144041001
111,100030142001034
172,100030164013017
179,100030002002015
148,100030148095000
53,100030113001016
133,100030156002018
95,100030168051006
5,100030145022018
125,100030105021017
111,100030137001007
50,100030117003012
100,100030004002011
200,100030123001002
178,100030148122007
77,100030134001011
29,100030003002008
62,100030163082012
228,100030148101006
50,100030117003017
169,100030112062019
49,100030024003004
181,100030014002015
49,100030024003031
243,100030133001003
429,100030027001039
244,100030134002011
105,100030107042003
246,100030147033015
209,100030163012005
145,100030121001002
60,100030148093009
221,100030107041019
237,100030135011010
233,100030114002004
62,100030163081004
173,100030161001004
43,100030148032007
161,100030129001009
133,100030156002020
61,100030154001002
93,100030166122027
6,100030002003010
162,100030026004011
9,100030013002008
9,100030013001032
222,100039801001002
134,100030151001042
37,100030168071016
130,100030117001017
10,100030163063009
229,100030006011015
213,100030131001014
147,100030125004007
367,100050501032004
420,100050519002023
375,100050515011052
370,100050517011005
360,100050510112014
102,100030023002008
130,100030117002023
249,100030006022001
45,100030148081012
216,100030143023015
172,100030164012006
128,100030166082062
130,100030117002008
204,100030166103019
274,100030014001017
229,100030006011018
151,100030149072008
126,100030111001048
377,100050505013065
389,100050512051009
389,100050513092011
384,100050506012000
389,100050512044020
400,100050515012004
401,100050502001006
391,100050506043020
378,100050507061035
341,100050504061004
418,100050507092012
391,100050506011020
391,100050506043036
365,100050506013025
392,100050509041013
410,100050510162019
365,100050517021040
309,100010402033011
299,100010421001031
271,100010415001014
268,100010402061087
293,100010401002009
285,100010421001011
264,100010428022022
268,100010402061008
284,100010402061077
305,100010412002018
335,100010430001016
335,100010430001015
296,100010431001022
298,100010434001002
307,100010422042032
373,100050507013007
385,100050510092013
413,100050511023001
378,100050507062043
378,100050507062009
264,100010428021038
307,100010422042001
311,100010428023007
363,100050513083017
362,100050503031000
391,100050506043019
412,100050517022044
395,100050507101005
421,100050514003010
421,100050514001019
391,100050506011027
382,100050518014020
408,100050507032017
378,100050507061047
343,100050503041024
382,100050519001034
381,100050512022016
421,100050514003023
378,100050507072014
393,100050505012000
388,100050501031002
412,100050517022048
382,100050518013001
371,100050508072016
283,100010402011022
287,100010410001037
289,100010418021014
