block2vtd,block_GEOID
163,150030089061002
171,150030115001002
206,150030111052002
245,150030100002021
188,150030097051005
193,150030103033009
21,150010211013001
246,150010216052003
18,150010210132022
25,150010212043039
37,150010217071002
37,150010217071014
3,150010219022008
20,150010211083121
127,150030048021001
164,150030089402002
148,150030075074015
25,150010212034062
3,150010220001093
145,150030073022021
97,150030004011007
207,150030112013002
159,150030080102001
159,150030080101007
26,150010212033070
11,150010204003036
121,150030034042001
113,150030024042002
259,150030112014002
142,150030068061005
13,150010205001017
13,150010205002003
137,150030064023003
112,150030018011000
104,150030010002000
259,150039812001003
243,150030110001018
188,150030097051003
186,150030096082075
209,150039400031010
145,150030073021014
193,150030102021009
159,150030080012003
180,150030086274008
196,150030103091011
133,150030040002013
125,150030045001010
168,150030093023008
95,150030001072002
192,150030100001002
158,150030080131004
98,150030002006005
160,150030089481002
194,150030103032006
133,150030040001000
158,150030080132008
245,150030099024001
184,150030086111004
210,150030111061003
198,150030107021004
118,150030030002006
97,150030005004001
116,150030019052000
112,150030020031000
145,150030073022025
172,150030085021084
202,150030110002021
108,150030013001005
192,150030101012003
223,150030062031002
198,150030107023005
259,150039818021007
186,150030096084002
137,150030065001003
204,150030112014003
141,150030068134002
156,150030088022000
259,150039900010020
151,150039822001007
206,150030111041000
259,150030102051003
199,150030103082011
193,150030102051009
188,150030097074006
123,150030034082002
184,150030086091010
109,150030016022003
230,150030063012002
97,150030004011006
73,150090314022000
1,150010218001009
31,150010214021003
12,150010206003003
20,150010211081035
246,150010216083005
255,150010220001135
22,150010210171004
8,150010203002000
30,150010213001013
6,150010221021006
85,150090302011023
63,150090308003018
74,150090315041015
88,150090316011063
59,150090309033012
66,150090311022008
77,150090307091006
89,150090317001004
90,150090317004005
44,150079400001006
257,150070406042011
45,150079400001022
92,150090318011042
92,150090318011035
38,150010217062019
1,150010218002009
25,150010212034017
4,150010220001073
21,150010211013054
247,150010211081012
30,150010213001011
13,150010205003003
22,150010210172005
4,150010220001086
9,150010203003011
35,150010215042031
14,150010209004005
19,150010210143018
19,150010210152010
25,150010212034059
248,150010216081007
14,150010209002008
26,150010212032037
16,150010210131011
21,150010210033018
56,150070409004009
44,150079400001062
47,150070402052004
42,150070401062010
257,150070404013100
38,150010217053006
20,150010211012006
8,150010202021010
37,150010217081033
18,150010210163002
3,150010219021063
26,150010212032087
26,150010212032098
90,150090317002064
92,150090318012030
91,150090318011012
52,150070407012004
52,150070407012001
47,150070402042005
257,150070406042012
49,150070405004004
44,150079400002017
45,150070403011002
53,150070408001055
44,150079400002038
53,150070408003000
257,150070404012018
137,150030064022007
48,150070404013031
48,150070404013028
52,150070407011011
51,150070406032028
106,150030028021000
145,150030073021040
193,150030102031001
237,150030086262015
124,150030042022000
237,150030086261018
100,150030003022018
189,150030101031025
188,150030097074016
107,150030009052003
112,150030020062001
172,150030085021069
205,150030109011003
154,150030087073003
259,150030097073006
188,150030097063001
157,150030080054005
146,150030075085001
162,150030089093005
175,150030089523010
172,150030085021001
19,150010210143033
22,150010210162017
17,150010207012001
39,150010219021106
97,150030005001004
93,150030001221005
146,150030070011005
191,150030095091010
205,150039817001046
107,150030009041006
171,150030115003002
78,150090307132021
21,150010210032002
21,150010210034001
248,150010216052007
38,150010217051006
19,150010210143001
25,150010212043025
83,150090303041012
64,150090309021011
67,150090319003006
75,150090307051001
92,150090318012004
68,150090311041005
65,150090310022009
61,150090309013011
92,150090318012062
62,150090310014000
62,150090310014008
77,150090307092010
84,150090305012006
89,150090317001020
63,150090308002010
258,150099800001001
258,150099900000003
56,150070409006016
52,150070407011001
48,150070404013044
208,150030113001005
178,150030087041013
6,150010221021014
20,150010211083093
33,150010216071010
26,150010212032099
173,150030086322002
141,150030068121004
259,150030102051000
145,150030074001064
18,150010210031010
26,150010212033046
196,150030103083006
259,150030057001026
191,150030099051012
13,150010205001002
17,150010206004008
14,150010207012014
196,150030103091003
245,150030100002008
221,150030056012005
196,150030105073000
194,150030103033028
144,150039813001020
178,150030087041011
179,150030087051001
169,150030092022004
164,150030089441001
185,150030096082091
216,150030034132006
111,150030016022005
166,150030089411006
132,150030056023002
237,150030086262010
114,150030025001001
102,150030014002008
185,150030096091007
131,150030036062001
110,150030022031005
230,150030063022002
223,150030061002012
145,150039814001009
171,150030115005011
166,150030089411000
184,150030086091004
145,150030071001024
107,150030009032011
93,150030001192005
137,150030064021000
180,150030087063003
199,150030103082006
193,150030102022010
118,150030030002007
120,150030026001000
190,150030090002028
188,150030097071003
224,150030075042000
187,150030098031001
187,150030098032000
235,150030086241001
129,150030046004007
193,150030103033012
126,150030044021000
223,150030061002011
209,150039400031024
206,150030109032003
108,150030013001003
76,150090303072002
62,150090310014013
18,150010210162018
1,150010218001011
11,150010204003000
19,150010210151024
26,150010212032065
34,150010215042036
18,150010210132016
18,150010210161006
19,150010210133025
31,150010215021014
248,150010216052008
25,150010212034052
18,150010210133010
31,150010213001010
247,150010211081001
37,150010218002043
25,150010212034066
85,150090302011020
258,150090318011018
59,150090309033010
87,150090301002017
92,150090318012051
85,150090302031011
71,150090314041006
89,150090317001019
84,150090305011027
257,150070404012013
257,150070401052002
44,150079400002042
55,150070408001041
56,150070409001047
257,150079400001070
85,150090302032006
81,150090303054006
78,150090307121007
46,150070403022017
46,150070402051015
83,150090303051008
79,150090304042002
5,150010201004027
