block2vtd,block_GEOID
1303,190291904001004
452,190291902001108
480,191379601003007
477,191379603001063
595,191350703002082
632,191779501004035
627,191779501002004
634,191779501001006
629,191779502003055
690,191850702001086
483,191850702001217
483,191850703001277
690,191850702001005
478,191379603002024
231,190812702002189
234,190812702002304
458,190039501001190
458,190039501001179
459,190039501001163
554,190990409002002
554,190990409001062
718,190990409001110
719,190990408005077
183,190693601003137
185,190693602001026
558,190990407002021
517,191810211003067
113,190759604001162
113,190759604001216
538,191210601012059
537,191210601011022
537,191210601011074
554,190990409001025
187,190693602003040
192,190693601004042
719,190990408005064
88,190150207002179
1116,191690102002077
1096,191690001051016
1105,191690012001002
1122,191690001011001
1086,191690101012058
116,190759602001110
113,190759604001195
114,190759604001055
290,191870006002016
289,191870006004006
538,191210601012029
538,191210601012197
543,191210603002050
682,190879702003076
682,190879702003093
1305,190879703001010
679,190879701003059
679,190879701003027
1052,190039502002088
479,191379601003186
708,191179504001041
682,190879702001105
680,190879705002046
680,190879705002011
539,191210603003076
191,190693602003016
188,190693601003030
189,190693603001101
631,191779502004027
1305,190879704005007
1305,190879703002061
227,190812704002039
355,190279602001258
357,190279606002015
351,190279602001006
91,190150207002043
1114,191690102002049
1084,191690001012054
1099,191690009001009
351,190279601001029
359,190279605001159
93,190150205001008
1093,191690003002013
1092,191690002001012
1122,191690106004064
1087,191690104002059
1087,191690103001011
1089,191690103002045
1090,191690103002060
1090,191690103002056
1119,191690001041009
558,190990407001089
719,190990408004034
188,190693603002057
536,191210602002047
349,190279604002021
1115,191690101022004
1085,191690001012137
454,190291902002089
455,190291903002017
1301,190291905001055
452,190291902001056
1303,190291902001018
1300,190291901002001
1303,190291901001144
1300,190291901002227
554,190990401002063
554,190990401004134
557,190990402004078
188,190693603002198
183,190693601003107
193,190693603003032
189,190693603001127
186,190693602003056
293,191870001012012
294,191870102001219
294,191870102001202
105,191870101001027
1303,190291902001014
555,190990401004081
1301,190291905001070
1052,190039502002178
688,191810203002007
1000,191810212001041
554,190990401003073
718,190990409003089
105,191870101001096
275,191870102001046
106,191870104004015
291,191870001023011
275,191870102001047
539,191210603001116
352,190279601001090
88,190150207002202
91,190150207002055
1090,191690001012061
113,190759604001095
115,190759602002089
460,190039501002244
706,191179503002053
721,191179501002092
679,190879701003053
233,190812702002206
228,190812703002036
289,191870006004031
724,191154501001052
727,191154501001039
723,191154502003030
726,191154503001008
1008,191070804002090
1008,191070804002018
1010,191070804002059
591,191070803001061
1008,191070804003012
590,191070804002092
593,191070802004056
590,191070804002135
1009,191070802001034
593,191070802004068
539,191210603003041
457,190039501001283
720,191179501002082
708,191179504003029
1301,190291905001073
682,190879702003115
681,190879701002089
679,190879701002003
679,190879701005101
681,190879702001001
1305,190879704001047
683,190879705005025
683,190879705005033
1305,190879704005010
539,191210603001040
1285,190490508141020
1065,190594505012014
28,190594505022045
1073,190594508003068
1073,190594508003114
291,191870001021019
1011,191956903002093
1012,191956903002068
1011,191956903002082
349,190279604003004
349,190279602001216
352,190279601002116
89,190150201002126
109,190150201002004
1114,191690102003058
1084,191690001012050
1114,191690102002081
1111,191690102001078
1111,191690102001113
1110,191690010002018
460,190039501002278
630,191779502001043
633,191779502002087
630,191779502001017
627,191779501003091
632,191779502003145
632,191779502003027
690,191850702001034
483,191850702001345
1482,191530112061010
1598,191530111143011
460,190039501002261
460,190039501002285
459,190039501001075
1052,190039502002185
459,190039501001090
708,191179504001040
483,191850703001182
543,191210603004005
1095,191690006004002
1097,191690001024023
1095,191690001052013
1303,190291901001220
1092,191690003002000
460,190039501002209
445,191751903002473
1572,191530117031004
1613,191530101011025
1568,191530117022000
1525,191530010002003
1463,191530101013103
1626,191530113033030
1624,191530112033004
1546,191530029004001
1554,191530042002033
1534,191530052003043
535,191210602003038
535,191210602004036
535,191210602004056
97,190799601001158
97,190799601001186
96,190799604005004
101,190799604003019
96,190799601001325
96,190799601001309
542,191210603004135
542,191210603004019
542,191210603004151
542,191210603004062
23,190594510004039
353,190279602001157
1110,191690010003004
1109,191690013021002
1109,191690013021078
1092,191690002003009
1112,191690105001133
1088,191690103001022
20,191479601002159
20,191479601002193
18,191479604002188
1302,190291904001075
239,191976802001131
242,191976805001014
257,191099503003043
255,191099503002064
252,191099501003047
453,190291903002066
453,190291903002073
453,190291903001131
1300,190291901002037
238,191976804001133
237,191976801001029
19,191479602002097
18,191479602002229
20,191479601002155
20,191479601002061
97,190799601001237
1472,191530102073010
97,190799602003015
146,190370701001243
147,190370703002072
148,190370703001038
149,190370703001118
145,190370702001085
689,191850701002007
100,190799602004091
98,190799605003041
99,190799602001043
235,191976801002064
1497,191530008013003
1607,191530104113031
1609,191530111131013
1533,191530051021000
1470,191530102141011
1542,191530051014054
1462,191530107081001
1567,191530113033001
1628,191530114053007
1512,191530019004010
1484,191530102131004
1506,191530005004015
1535,191530053001022
1602,191530110273017
1499,191530008033012
1528,191530009011019
1626,191530113033005
1588,191530104072006
1614,191530101012123
1510,191530002024006
1591,191530111111011
1511,191530003002026
18,191479601002396
18,191479602002208
19,191479604002182
15,191479603001037
18,191479604002215
18,191479602002170
18,191479601001060
483,191850702001336
629,191779502003084
628,191779501005005
96,190799601001149
97,190799601001018
1578,191530115003064
1631,191530108061013
1476,191530102053088
1471,191530102053094
1555,191530043001004
1610,191530115002046
1469,191530106011050
1593,191530110211022
1541,191530051014007
1585,191530104042007
1552,191530041001036
1566,191530108042059
59,191414901003216
99,190799602001013
725,191154503002060
727,191154502002085
1006,191070803002048
592,191070803001021
593,191070802003073
588,191070804001063
99,190799602004041
98,190799601001359
100,190799602004078
102,190799603003023
100,190799602003118
98,190799605002039
98,190799605001101
546,191810211004000
548,191810212003016
527,191810203001091
1065,190594505012029
22,190594502001062
22,190594511001005
22,190594511001007
30,190594510002082
21,190594502002048
25,190594511003025
1620,191530108062034
1480,191530107032000
544,191810212002089
530,191810208002007
1574,191530115001065
1464,191530102162015
1578,191530115003086
1519,191530048002016
1609,191530111131011
1578,191530115003076
1533,191530052003011
1543,191530027002011
1564,191530046032002
1576,191530108031018
1614,191530101012041
1573,191530114053038
1528,191530009014005
1492,191530004001009
1547,191530032002002
1630,191530112062015
1561,191530043003009
1503,191530007011005
1552,191530041002013
1462,191530107082030
1502,191530007032007
1591,191530110012030
20,191479601002122
19,191479604002136
1011,191956901001075
344,190090703002145
343,190090702002036
1568,191530117022008
1533,191530048001034
1549,191530030024001
1615,191530101013036
1615,191530101013035
1581,191530104093003
1559,191530046021016
1476,191530102053048
1471,191530102053028
1465,191530102093005
1534,191530052003059
1595,191530110211037
1474,191530102151015
1476,191530102073013
1580,191530105003049
1520,191530049001000
147,190370703002049
1611,191530110283012
1595,191530111123006
1493,191530006002012
1596,191530111115002
1485,191530106011005
1485,191530106011004
1475,191530102071009
1481,191530112052001
1583,191530104111009
1604,191530110271008
1473,191530102072003
1593,191530110211031
1532,191530050004002
1472,191530102082008
1590,191530113041044
1567,191530114051001
1496,191530007021021
1485,191530106012033
344,190090703001042
20,191479603004028
19,191479603003011
20,191479603004062
255,191099501001229
217,191099502003051
251,191099505002019
252,191099501003127
35,191434602004120
35,191434602004114
35,191434602004059
519,191810203001068
527,191810201011014
215,191099502003059
216,191099506001235
602,190079502001069
600,190079502001181
598,190079505001052
1298,190490508121018
1281,190490509022047
1278,190490509021052
1269,190490507002037
607,190079504001051
605,190079503001010
605,190079503001027
604,190079505002155
343,190090701002148
344,190090701001081
1269,190490507002064
1299,190490501002033
1283,190490508051009
1282,190490502001075
1293,190490502002009
18,191479601002420
20,191479603004080
18,191479602002173
220,191099506001010
214,191099502003184
258,191099501003027
252,191099501003254
780,191956902001103
