block2vtd,block_GEOID
735,160339501001073
704,160779601002127
700,160779601001085
703,160779602005111
704,160779601002147
404,160050006002013
400,160050011041006
417,160050019001136
703,160779602005012
736,160339501001784
735,160339501001370
735,160339501001299
767,160719601002147
700,160779601002176
702,160779601001133
700,160779601001255
286,160010008032017
333,160010007011050
763,160159502033011
417,160050019001074
420,160059818001046
403,160050016032033
373,160050006001030
393,160050017001009
373,160050006001000
420,160050002003027
373,160050006001016
408,160050019002001
419,160059400002002
385,160050016012045
385,160050016012040
416,160050019003137
348,160010103671003
361,160010101013004
424,160039502001001
814,160359400021031
814,160359400012012
816,160359400021007
428,160039502001239
425,160039501001024
827,160359701001486
827,160359701001357
625,160639501001039
625,160639501001040
626,160639501001136
625,160639501001109
735,160339501001026
826,160359701005047
429,160039502002199
759,160159502032205
140,160299601003106
144,160299602001237
192,160739502004799
192,160739502004819
191,160739502004689
693,160739501011093
698,160739502001523
697,160739502004199
697,160739502004029
190,160739502001412
282,160010017021007
322,160010005013030
273,160010015001024
256,160010012032002
332,160010001022019
258,160010010012020
279,160010103381011
626,160639501001152
408,160050019002136
187,160639501002016
626,160639501004181
626,160639501004226
319,160010103412007
315,160010103531015
316,160010103691009
290,160010103423006
243,160010103633002
368,160010102262008
321,160010104092006
321,160010104092009
284,160010017011006
358,160010102282005
252,160010103672015
223,160010102332001
278,160010022302014
829,160719601002101
829,160719601002098
765,160719601002044
828,160719601001170
828,160719601001201
765,160719601002039
767,160719601002134
385,160050016012036
418,160050019001003
391,160050010001013
625,160639501001081
625,160639501001334
766,160719601001316
198,160759603023019
138,160299601003061
142,160299602002048
145,160299601001011
138,160299601004181
146,160299601005247
143,160299602001079
140,160299601004089
139,160299602001087
139,160299602001056
146,160299601005084
245,160010024163006
310,160010001022047
191,160739502003322
765,160719601002040
829,160719601003014
828,160719601001163
768,160719601001071
695,160739502001116
698,160739502003010
191,160739502003575
696,160739502001090
828,160719601002060
75,160259701001018
889,160179504023079
906,160179501002059
74,160259701001449
193,160759603011071
198,160759603011005
201,160759601001005
197,160759601001007
222,160010102292016
351,160010102311002
879,160179506004039
880,160179504011016
880,160179504011006
250,160010103502008
244,160010024181004
339,160010006012008
330,160010005021054
281,160010018001005
365,160010105011167
272,160010008061007
268,160010103371006
296,160010022282000
309,160010103682075
358,160010102281012
241,160010024192023
332,160010001012023
365,160010105034133
366,160010101022028
364,160010105034072
201,160759601001068
351,160010102311006
304,160010103621010
308,160010103712007
325,160010103542025
274,160010010031023
340,160010006023049
327,160010102272017
367,160010102301026
228,160010102341014
356,160010104033031
222,160010102291013
310,160010004023011
313,160010023145016
290,160010022253013
333,160010007013022
300,160010104061013
354,160010104072062
249,160010024142014
1,160139601011209
1,160139601011206
1,160139601011247
6,160139602023041
9,160139601021052
6,160139601021002
1,160139601011266
187,160639501002079
359,160010103362044
365,160010105034121
325,160010103583001
275,160010009011007
335,160010008033009
362,160010002023006
201,160759601001096
248,160010103523004
267,160010007041017
330,160010005021053
357,160010103501019
328,160010102242008
271,160010019002001
366,160010101024020
370,160010102362014
735,160339501001189
736,160339501001919
736,160339501001642
736,160339501001695
496,160439701001396
752,160619400021103
754,160619400022189
3,160139601011176
3,160139601011134
495,160439702001022
494,160439703013018
695,160739502001109
8,160139602011033
16,160139603013075
16,160139603013059
13,160139603013030
824,160359400023012
815,160359400026002
655,160679701002225
655,160679701002239
191,160739502003337
192,160739502004793
697,160739502003163
697,160739502003147
699,160739502001410
820,160359701004299
823,160359701004123
822,160359701002111
823,160359701004004
826,160359701005039
807,160359701001439
427,160039502003015
427,160039502001162
192,160739502004843
696,160739501022053
736,160339501001677
822,160359701001320
628,160639501003098
628,160639501004076
628,160639501004043
747,160619400011008
718,160379602003068
720,160379602001310
817,160359701002214
