block2vtd,block_GEOID
3238,202070966001120
2281,201719571005081
2281,201719571005074
3248,202070966001129
3238,202070966001108
3238,202070967001081
2278,201719571002030
3241,202070966002309
2278,201719571004048
3244,202070967002054
1932,201459703002129
1920,201459703002139
1920,201459703002295
354,200239502002009
1373,201099546001019
2997,201799528002334
2985,201799528002206
964,200639553003409
969,200639553001108
126,200099711003026
128,200099712001408
134,200099713002083
102,200099717001058
1914,201459702002036
1910,201459703001068
2274,201719571001234
3160,201974831001148
3157,201974831005015
3133,201939534002264
3124,201939531002071
3126,201939531003013
3128,201939534002099
3122,201939534002037
2990,201799528002256
2991,201799528002291
2993,201799528002059
977,200659523003372
970,200659523003022
2026,201539506002094
3122,201939534002045
963,200639553003205
1175,200895763003199
1166,200895763003398
357,200239502003177
965,200639553003012
965,200639553003104
939,200599541022026
1916,201459702005054
1916,201459702005055
1923,201459702005063
3165,201974832001029
1917,201459702001004
1921,201459703001135
2995,201799528002643
3002,201814537001092
3010,201814536002213
3000,201814537003053
3000,201814537002055
354,200239502002242
965,200639553003049
1925,201459703002244
1912,201459702003018
940,200599541012025
943,200599545006042
949,200599542002009
950,200599542002038
950,200599542002045
1928,201459703001164
1912,201459702003062
1163,200895763001440
2999,201814537001049
3001,201814537002029
3002,201814537004096
34,200039537001187
2105,201550005003000
2993,201799528002067
2994,201799528002472
2986,201799528002326
1482,201154898004225
2102,201550014003068
2048,201550008003022
963,200639553003202
1924,201459703002286
1931,201459703002367
961,200639553001090
1029,200759586002301
1641,201231767001026
1636,201231767002006
1636,201231767002134
1611,201231766001106
1163,200895763001298
1171,200895763002053
1171,200895763002087
976,200659523003034
970,200659523003165
989,200659523003224
973,200659523001011
3091,201919623002047
3100,201919621001049
3084,201919621004025
3106,201919626002080
241,200150201023029
234,200150205002037
228,200150209033089
1210,200959612003113
1199,200959611001243
1210,200959612003055
2013,201539506002152
134,200099713002089
3134,201939534001178
2742,201759657002034
210,200150207003038
272,200150209022009
3083,201919625004007
3089,201919623003058
3087,201919623003094
3100,201919621001030
3084,201919621004059
3108,201919623001075
2744,201759657003029
2724,201759656001281
3114,201919626002274
237,200150206021163
226,200150201012040
236,200150202053081
236,200150202053003
202,200150202071011
237,200150206021194
3166,201974832002103
2276,201719571001362
2092,201550013001045
1468,201154895001135
1469,201154898004111
1496,201154896001125
1496,201154896001128
1502,201154898002059
1470,201154897003165
262,200150201012101
3112,201919622002050
3104,201919622001030
3110,201919623002144
254,200150202052069
232,200150204002000
232,200150204002015
211,200150207003021
230,200150209032036
248,200150202043050
226,200150201011217
3109,201919624002007
3100,201919621001009
2738,201759658001017
2743,201759658003049
3287,202099809001065
138,200099718012007
141,200099712001260
111,200099717002062
101,200099711001430
126,200099711001389
3122,201939534002078
2124,201579781001217
2123,201579781001248
1817,201359563004033
2202,201679739001199
2191,201679739003113
2197,201679739002329
1623,201231767002251
1616,201231766001176
1631,201231766001243
1633,201231767002127
2025,201539506002554
2019,201539506002232
1129,200834611001056
1127,200834611001050
31,200039537001078
3326,202090436003012
3176,201999541001032
3218,202050973001022
3212,202050973002102
3225,202050974002117
3295,202090428002007
3261,202090414002000
3250,202090447021022
3302,202090439052035
3268,202090438031008
3304,202090439051009
3316,202090413004001
1037,200779618002010
3223,202050974003036
78,200079682001234
967,200639553001295
1815,201359563003352
2194,201679739003296
2192,201679739003307
105,200099712001183
116,200099715002031
102,200099718013002
106,200099715003023
106,200099715003009
231,200150203003012
245,200150206022063
2723,201759656001196
2723,201759656001208
2728,201759660003015
3095,201919623001164
245,200150206012023
228,200150209033026
244,200150206021054
1032,200759586001260
3965,200759586001234
3176,201999541001283
3324,202090430002007
3257,202090448072027
3268,202090438031018
1404,201110002021045
955,200599543002060
936,200599541013063
947,200599545001060
946,200599543001041
942,200599541023037
35,200039537001150
35,200039537001198
40,200039537001173
36,200039537002269
32,200039537003118
955,200599543003002
956,200599545003089
2235,201690004001005
2222,201690012002020
1037,200779618002094
2113,201579783002043
3166,201974832001089
1993,201974831004017
3169,201974831004037
3169,201974831004040
3233,202050972002075
3227,202050974003085
1374,201099546003051
3174,201999541002019
3174,201999541002083
2130,201579782002249
1420,201110008003288
1405,201110006001218
1410,201110006001010
1422,201110008002076
1414,201110007002041
99,200099712002034
120,200099718011052
132,200099718014083
101,200099711001381
3093,201919622005166
3365,201919625003062
3230,202050971001206
3233,202050972002071
3209,202050971002177
3216,202050971001012
3222,202050971002153
1818,201359563004142
230,200150209032095
262,200150201012127
262,200150201012064
225,200150202052007
244,200150206021170
3110,201919623002124
3113,201919626002118
3085,201919623001383
3212,202050973002156
1207,200959611001085
1204,200959612001056
1215,200959613001324
1209,200959611002090
1204,200959612001050
1910,201459703002047
2119,201579783002010
2133,201579782002152
3175,201999541001109
1033,200759586001059
3215,202050971002051
3224,202050974001022
3227,202050974002000
3216,202050971001016
3224,202050974001047
3216,202050971001021
3366,201919625001033
3106,201919626001052
2195,201679739001188
1422,201110008002148
1405,201110006001162
3094,201919622006008
3365,201919624004005
247,200150209011094
235,200150201011047
2048,201550008003034
2106,201550003001012
2068,201550007003011
2052,201550005005006
2071,201550004004025
2042,201550005005024
1500,201154898001127
1501,201154898004386
1482,201154898004259
1411,201110007001028
2129,201579781002260
2116,201579782001119
2134,201579782001135
2933,201770035001105
2116,201579782001106
2124,201579781001170
2131,201579781002056
1392,201110001013031
1420,201110008003187
1420,201110008003057
1380,201110004003006
1390,201110006001296
1421,201110008001047
1411,201110007001076
1411,201110007001105
1208,200959613002061
1219,200959611001045
1174,200895763003318
1611,201231766001095
1187,200895763003104
1179,200895763003170
1179,200895763003147
1171,200895763002014
1179,200895763003004
1344,201050861001387
2841,201770024021004
2748,201770004001013
2778,201770009001015
2835,201770016043016
2808,201770037011044
2934,201770035001083
2933,201770035001132
2807,201770015002023
2981,201770035004048
2956,201770033021019
1614,201231766002043
1614,201231766002028
2964,201770024011015
3157,201974831001028
2824,201770041003004
2931,201770034012010
2774,201770022002002
2967,201770036051037
2764,201770036042004
2853,201770026022013
2965,201770024022003
2927,201770036073000
2962,201770036011108
2066,201550010002017
2038,201550012001059
2096,201550018002042
1490,201154896001007
1489,201154896004056
2061,201550001003028
2104,201550004002016
2085,201550016002040
79,200079682002118
2201,201679739002274
2196,201679739002014
2198,201679739003004
2194,201679739003288
1045,200779617002038
1849,201390102003022
1831,201390103001038
1890,201430857001005
1347,201050861003062
1333,201050861001171
376,200274581003097
374,200274581002242
388,200274581002018
389,200274581002201
400,200299772002085
387,200274581001159
384,200274581001020
389,200274581002059
3164,201974831003129
1046,200779617001289
1044,200779616002179
1045,200779617002078
1641,201231767001139
1633,201231766001012
1633,201231766001023
1641,201231767001032
1168,200895763001245
1169,200895763003393
1178,200895763001081
1886,201430856002160
342,200219581001105
326,200219585003026
311,200219583004035
314,200219583003019
3168,201974832003084
3277,202090407002023
3276,202090451001006
3303,202090440013002
1885,201430856001067
2033,201550017001217
2032,201550017002185
1495,201154895002009
1496,201154896001106
1480,201154898001031
2919,201770012002038
2975,201770027023010
2759,201770039021067
2803,201770013002041
2971,201770037011057
2973,201770007002043
2877,201770040003008
2776,201770040002013
2884,201770039022044
2759,201770039021073
2981,201770035003027
2934,201770035001025
3312,202090416001015
3291,202090423002015
3340,202090446013015
3300,202090437001014
3329,202090438022000
3347,202090447031010
2128,201579781001046
2128,201579782001148
613,200410844002070
629,200410846001088
639,200410841003066
639,200410841003073
