block2vtd,block_GEOID
197,210170304002065
187,210170306001002
196,210170303002063
185,210170305002059
378,210339202001079
2449,211319202002068
604,211319202003020
2454,211319203002000
2448,211319202003062
2457,211319201021009
2451,211319201013002
194,210170302014000
1006,210719210013007
1037,210719205001018
1025,210719205004012
1015,210719210023036
1011,210719210011003
1008,210719210011038
2803,211699601003000
2799,211699602001001
1042,210719203022007
2267,211170657001011
1007,210719202002023
1040,210719204011005
2799,211699602001041
2453,211319203003079
2443,211319202002093
2449,211319202003047
376,210339202004048
383,210339203021007
383,210339203021043
383,210339203021052
749,210670020013007
897,210670005002005
197,210170304002033
1010,210719201004051
2800,211699603004024
2430,211279305001004
2425,211279304001061
2430,211279305001000
383,210339203021090
375,210339201002115
377,210339201002094
381,210339203022059
1420,211030903011017
1013,210719201001043
2310,211199602001020
279,210259208002059
2526,211390401001085
185,210170305002004
1028,210719208022028
1028,210719208021023
185,210170305002043
2237,211170637012054
392,210350108001070
375,210339201002116
2416,211279301012011
2427,211279305002034
288,210259207002029
284,210259206002018
292,210259207001017
2995,210259206002042
392,210350108001062
286,210259205001038
289,210259207002000
1108,210779601042060
2801,211699601001024
2524,211390402023024
2422,211279301012038
2418,211279301012075
3669,210590017021026
670,210590017031004
675,210590015011032
1104,210779601022006
2446,211319201012015
2448,211319202002009
2448,211319202002012
2454,211319203003044
2454,211319203002008
129,210150705021016
166,210150703131002
3687,210590015012041
675,210590015011005
171,210150703111003
2867,211779604001002
2873,211779602013006
2859,211779608002076
386,210339202003038
2233,211170653005063
2260,211170636071023
2221,211170609002022
3673,210590006001000
169,210150702012001
142,210150706042014
956,210670039181055
944,210670033002000
768,210670042071025
911,210670040072034
948,210670017002005
776,210670037043004
915,210670039112002
3632,210670034071006
814,210670023034004
783,210670026001001
846,210670035042007
2554,211439601021010
2554,211439601012088
2551,211439602002010
804,210670036002010
966,210670040033006
778,210670015002018
2861,211779608001033
2856,211779602021066
2872,211779603002018
2872,211779603001019
2866,211779604004017
2856,211779602013014
2851,211779607001007
2867,211779604002013
2866,211779606003009
2858,211779608002005
484,210419502002012
476,210419503001044
482,210419501002067
2703,211559704002019
257,210219305001053
3317,212179202001041
3328,212179204013073
781,210670042072005
925,210670040013003
899,210670032024023
858,210670034042005
750,210670014001020
788,210670037021011
3333,212179204023007
3335,212179205011031
2457,211319201022070
374,210339201001042
2264,211170644002008
2294,211170640021011
2214,211170613001007
2216,211170671002017
2225,211170669004027
2692,211559707002019
395,210350108003011
3696,210350101001008
679,210590014023007
651,210590004022006
3665,210590012002004
666,210590018002107
3546,212359202002066
3528,212359205021004
3200,212079604001034
3199,212079601021000
3206,212079601023033
3196,212079603002031
1122,210799704003010
252,210799702013006
399,210350108002032
660,210590017022050
155,210150703111054
184,210150703181000
3370,212231002003046
3195,212079603004016
3199,212079604002005
3206,212079601022040
3208,212079601024048
2505,210219302001043
254,210219307003003
762,210670030001010
870,210670041061014
3197,212079602002050
3204,212079601011045
389,210350101004026
397,210350107003058
3304,212150801022014
3303,212150801031010
3303,212150801031009
2885,211799303012055
2878,211799303032034
3315,212150801021015
2174,211159603003001
674,210590016021012
3683,210590016022025
3669,210590009004003
2889,211799306002018
2895,211799302021033
581,210490204001010
2736,211599502024022
2741,211599503001035
2416,211279301011112
2428,211279305001044
2408,211259711032013
2867,211779604002068
2854,211779602012016
2427,211279305002003
2415,211279301011079
2425,211279304001036
144,210150704032000
145,210159801001014
154,210150705032000
2368,211239603001055
2366,211239603001071
2366,211239603002029
1130,210819202011042
2269,211170656002001
2196,211170638003012
2201,211170650004012
115,210139602003057
103,210139601003002
119,210139607001020
95,210139604001033
2181,211159601002077
2173,211159604012014
2736,211599502024031
2737,211599502023014
2415,211279301011069
3654,210590008001024
575,210490204003000
117,210139602004063
592,210490202023012
588,210490202022011
2278,211170648003002
2227,211170668011008
398,210350106022069
3697,210350102002091
391,210350105003014
393,210350108003004
2705,211559703001029
3330,212179202003041
2878,211799303031014
392,210350108001007
476,210419503001009
483,210419502005036
2699,211559705002019
2699,211559705002046
267,210219305003031
3704,210350102002054
3708,210350103041010
2861,211779608001053
2873,211779602023086
2865,211779605001002
2873,211779602023001
1085,210730711022008
1046,210730710012002
1079,210730711023044
1065,210730706011072
1078,210730704052005
3347,212199503002004
2349,211219304021031
2347,211219301002015
2556,211439601012085
3343,212199502003055
3347,212199503001006
3347,212199503001031
3346,212199502004027
2857,211779607002028
2867,211779604001016
3708,210350103041085
2862,211779606002005
2856,211779602021058
2851,211779601001108
2860,211779607003023
3539,212359206023013
1063,210730707032004
1074,210730706011015
2335,211219302002034
2356,211219304014061
2972,211879701003048
1467,211079710003058
1442,211079713001002
111,210139603001019
100,210139601002034
1437,211059701003071
1439,211059701001125
199,210170304001004
1222,210890404002073
1221,210890405021020
2140,211130605023015
200,210170301011021
198,210170302021015
2158,211130604023009
270,210239502001049
1104,210779601022003
1104,210779601022016
1478,211079703022024
1268,210930009042008
1269,210930010032007
1482,211079711001020
1453,211079709002052
1465,211079710001068
2180,211159601001029
2189,211159602002046
69,210099501002002
660,210590017011032
3665,210590007002017
666,210590018002008
1498,211099603011062
1498,211099603011011
2422,211279301012054
2416,211279301012003
274,210239501002056
78,210099503001051
252,210799701021003
1110,210799702013000
3344,212199504001019
2338,211219306041019
2354,211219306031029
2339,211219307001002
2344,211219305012020
76,210099502003045
75,210099509002014
77,210099502002036
70,210099506021002
1120,210799701022036
2858,211779607001026
2861,211779608001039
2858,211779607001048
1494,211099601012017
1492,211099601011002
1494,211099601012001
2530,211390401004040
2524,211390402023009
2367,211239603003088
1223,210890403003018
1220,210890407003065
2732,211599502022048
2740,211599501003016
2731,211599502024011
2736,211599502024039
2415,211279301011089
68,210099508002033
78,210099503001057
1499,211099603012009
3684,210590015013029
3683,210590016022039
475,210399602001086
2361,211239601011029
1219,210890405012064
2366,211239603001010
2154,211130601022017
2127,211130601042012
2800,211699601003054
80,210099504023012
58,210099504021015
75,210099510001026
2800,211699603004005
2366,211239603001070
586,210490203002007
594,210490203001045
471,210399602002065
475,210399603002052
1079,210730711023034
1081,210730711011038
2351,211219307002039
2855,211779601001107
2865,211779605001051
