block2vtd,block_GEOID
2673,220850002011019
2678,220850004005017
2672,220850004005050
2672,220850004005090
2482,220750502023003
3733,220750502011058
2483,220750503003042
3734,220750502013022
2486,220750506001008
2670,220850005001015
2477,220750501002017
2487,220750506002066
2485,220750504002034
24,220019602023024
43,220019609022007
54,220019609015025
54,220019609011019
2480,220750504002025
2690,220850007021018
562,220190031021011
582,220190031011001
563,220190031011029
589,220190024022021
589,220190024022013
518,220190020024042
3095,221030401071019
3201,221030409003026
3118,221030411011010
1602,220550019057018
1577,220550020044010
1586,220550007004002
1663,220550014082055
3193,221030411053024
3097,221030401072022
1673,220550014142000
1641,220550017001023
3051,221030403082006
3132,221030406022048
3084,221030412092026
3128,221030404021040
3046,221030401032005
3160,221030407131012
3040,221030403091013
1666,220550014253008
1669,220550014215005
1583,220550010025002
3102,221030401062044
3175,221030408064009
3145,221030412111048
3145,221030412111042
3136,221030402051044
527,220190005003013
581,220190027012024
562,220190027022028
528,220190006011019
535,220190006021005
535,220190006021004
512,220190022082014
605,220190016001048
532,220190005004003
1668,220550014183002
1660,220550014135003
1676,220550014263018
222,220119606003025
220,220119606003211
233,220119601021086
257,220119604001003
249,220119602003032
222,220119606003096
587,220190034001080
548,220190016004001
529,220190008003012
584,220190025002029
3091,221030412091016
3065,221030402041004
3197,221030411031032
3138,221030402042021
3062,221030406081004
3051,221030403082021
3113,221030408062010
3201,221030409003016
1596,220550006032008
3098,221030401072033
3125,221030401052012
3201,221030409002016
3136,221030402051021
3094,221030401082026
1635,220550015005014
1586,220550007004013
242,220119607011021
1571,220550021022015
1620,220550002001010
3124,221030405021020
3078,221030406062012
3190,221030410042010
3087,221030412122014
3084,221030412092022
222,220119606003064
220,220119606003226
593,220190035003007
1596,220550006032009
1677,220550014286029
1675,220550014273025
1631,220550022003017
1651,220550014034013
3145,221030412112014
3171,221030407102004
3166,221030407101008
3135,221030405011065
3108,221030412022005
3170,221030407082010
1579,220550019071032
1601,220550019086008
1686,220550021022004
1566,220550021053000
1578,220550020016015
1614,220550008005009
1652,220550014255028
1602,220550019054004
1663,220550014201004
1713,220570209001004
235,220119601011078
255,220119605003027
